Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"eban_bow,head,39.0,-561.4,-1,0,4,1,1,0","eban_bow,neck,22.0,-526.4,-2,0,6,1,1,0","eban_bow,body,-0.8,-386.4,-2.5,0,5,1,1,0","eban_bow,arm_up,-97.0,-464.4,-79,0,6,1,1,0","eban_bow,arm_low,-187.2,-449.6,-83,0,7,1,1,0","eban_bow,fist,-271.6,-443.2,-97,0,9,1,1,0","eban_bow,arm_up,86.0,-467.6,86,1,13,1,1,0","eban_bow,arm_low,173.2,-464.8,86,1,17,1,1,0","eban_bow,fist,258.8,-464.0,81,0,22,1,1,0","eban_bow,leg_up,-43.0,-220.4,-11.7,0,9,1,1,0","eban_bow,leg_low,-75.0,-104.4,-11,0,10,1,1,0","eban_bow,foot,-50.8,-13.4,1.4,0,13,1,1,0","eban_bow,leg_up,44.0,-222.4,16.7,0,12,1,1,0","eban_bow,leg_low,62.0,-99.4,6.5,0,13,1,1,0","eban_bow,foot,104.2,-14.4,4.5,0,15,1,1,0",,,"eban_bow,lower_shirt,0.8,-266.0,-3,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"eban_bow,head,-83.0,-555.4,33,0,4,1,1,0","eban_bow,neck,-84.0,-516.4,14,0,6,1,1,0","eban_bow,body,-46.8,-382.4,24.5,0,5,1,1,0","eban_bow,arm_up,-161.0,-394.4,-25,0,6,1,1,0","eban_bow,arm_low,-189.8,-318.4,-11.6,0,7,1,1,0","eban_bow,fist,-209.2,-240.0,2,1,8,1,1,0","eban_bow,arm_up,14.0,-469.4,89,1,13,1,1,0","eban_bow,arm_low,112.0,-442.4,59,1,17,1,1,0","eban_bow,fist,172.0,-410.8,49.2,0,18,1,1,0","eban_bow,leg_up,-51.0,-220.4,-3.7,0,9,1,1,0","eban_bow,leg_low,-75.0,-104.4,-7,0,10,1,1,0","eban_bow,foot,-50.8,-13.4,5.4,0,13,1,1,0","eban_bow,leg_up,66.0,-262.4,49.7,0,12,1,1,0","eban_bow,leg_low,122.0,-177.4,18.5,0,13,1,1,0","eban_bow,foot,177.2,-100.0,14.5,0,15,1,1,0","hban_bow,base,158.4,-456.8,157.3,0,19,1,1,0","hban_bow,quiver,-83.2,-429.6,52.4,0,17,1,1,0","eban_bow,lower_shirt,-17.2,-266.0,13,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"eban_bow,head,-190.8,-480.8,67,0,4,1,1,0","eban_bow,neck,-178.0,-440.4,64,0,6,1,1,0","eban_bow,body,-74.8,-348.4,44.5,0,5,1,1,0","eban_bow,arm_up,-209.0,-334.4,-25,0,6,1,1,0","eban_bow,arm_low,-237.8,-258.4,-11.6,0,7,1,1,0","eban_bow,fist,-257.2,-180.0,2,1,8,1,1,0","eban_bow,arm_up,-62.4,-446.8,94,1,13,1,1,0","eban_bow,arm_low,28.8,-464.0,112,1,17,1,1,0","eban_bow,fist,104.0,-508.0,123.2,0,18,1,1,0","eban_bow,leg_up,-51.0,-220.4,-24.7,0,9,1,1,0","eban_bow,leg_low,-125.0,-114.4,-36,0,10,1,1,0","eban_bow,foot,-134.4,-28.8,-7.6,0,13,1,1,0","eban_bow,leg_up,66.0,-278.4,66.7,0,12,1,1,0","eban_bow,leg_low,182.0,-259.4,106,0,13,1,1,0","eban_bow,foot,285.6,-295.2,27.5,0,15,1,1,0","hban_bow,base,69.6,-520.8,-177.7,0,19,1,1,0","hban_bow,quiver,-159.2,-383.6,70.4,0,17,1,1,0","eban_bow,lower_shirt,-17.2,-266.0,13,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"eban_bow,head,-190.8,-480.8,57,0,4,1,1,0","eban_bow,neck,-178.0,-440.4,65,0,6,1,1,0","eban_bow,body,-74.8,-348.4,47.5,0,5,1,1,0","eban_bow,arm_up,-201.0,-330.4,-18,0,6,1,1,0","eban_bow,arm_low,-223.8,-258.4,-6.6,0,7,1,1,0","eban_bow,fist,-235.2,-176.0,9,1,8,1,1,0","eban_bow,arm_up,-62.4,-438.8,102,1,13,1,1,0","eban_bow,arm_low,28.8,-464.0,119,1,17,1,1,0","eban_bow,fist,90.0,-510.0,123.2,0,18,1,1,0","eban_bow,leg_up,-51.0,-220.4,-31.7,0,9,1,1,0","eban_bow,leg_low,-125.0,-124.4,-42,0,10,1,1,0","eban_bow,foot,-134.4,-46.8,-10.6,0,13,1,1,0","eban_bow,leg_up,66.0,-284.4,82.7,0,12,1,1,0","eban_bow,leg_low,182.0,-289.4,115,0,13,1,1,0","eban_bow,foot,275.6,-317.2,28.5,0,15,1,1,0","hban_bow,base,59.6,-524.8,-164.7,0,19,1,1,0","hban_bow,quiver,-159.2,-369.6,74.4,0,17,1,1,0","eban_bow,lower_shirt,-17.2,-266.0,14,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"eban_bow,head,-234.0,-384.8,65,0,4,1,1,0","eban_bow,neck,-207.2,-354.8,55,0,6,1,1,0","eban_bow,body,-94.8,-274.4,60.5,0,5,1,1,0","eban_bow,arm_up,-225.0,-236.4,-25,0,6,1,1,0","eban_bow,arm_low,-249.8,-160.4,-11.6,0,7,1,1,0","eban_bow,fist,-264.0,-87.6,2,1,8,1,1,0","eban_bow,arm_up,-112.8,-355.6,113,1,13,1,1,0","eban_bow,arm_low,-33.6,-407.6,141,1,17,1,1,0","eban_bow,open,12.0,-469.2,130.2,0,18,1,1,0","eban_bow,leg_up,-71.0,-182.4,-46.7,0,9,1,1,0","eban_bow,leg_low,-153.0,-122.4,-59,0,10,1,1,0","eban_bow,foot,-191.6,-55.6,-25.6,0,13,1,1,0","eban_bow,leg_up,54.0,-254.4,90.7,0,12,1,1,0","eban_bow,leg_low,166.0,-279.4,126,0,13,1,1,0","eban_bow,foot,230.4,-322.4,27.5,0,15,1,1,0","hban_bow,base,79.6,-641.6,147.3,0,19,1,1,0","hban_bow,quiver,-187.2,-285.6,82.4,0,17,1,1,0","eban_bow,lower_shirt_speed,-27.2,-238.0,38,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"eban_bow,head,-234.0,-216.6,45,0,4,1,1,0","eban_bow,neck,-207.2,-186.6,55,0,6,1,1,0","eban_bow,body,-94.8,-98.2,60.5,0,5,1,1,0","eban_bow,arm_up,-241.0,-68.2,-74,0,6,1,1,0","eban_bow,arm_low,-343.2,-42.8,-80,0,7,1,1,0","eban_bow,fist,-420.0,-42.0,-110,1,8,1,1,0","eban_bow,arm_up,-112.8,-181.4,108,1,13,1,1,0","eban_bow,arm_low,-28.8,-228.8,141,1,17,1,1,0","eban_bow,open,20.0,-285.0,130.2,0,18,1,1,0","eban_bow,leg_up,-73.0,-24.2,-67.7,0,9,1,1,0","eban_bow,leg_low,-173.0,-16.2,-107,0,10,1,1,0","eban_bow,foot,-256.8,-11.6,-137,0,13,1,1,0","eban_bow,leg_up,54.0,-68.2,76.7,0,12,1,1,0","eban_bow,leg_low,177.6,-50.0,100,0,13,1,1,0","eban_bow,foot,268.8,-58.4,27.5,0,15,1,1,0","hban_bow,base,79.6,-473.4,147.3,0,19,1,1,0","hban_bow,quiver,-187.2,-117.4,82.4,0,17,1,1,0","eban_bow,lower_shirt_speed,-27.2,-57.8,36,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"eban_bow,head,-222.4,-143.4,78,0,4,1,1,0","eban_bow,neck,-191.6,-143.4,52,0,6,1,1,0","eban_bow,body,-73.2,-57.0,57.5,0,5,1,1,0","eban_bow,arm_up,-225.4,-49.0,-78,0,6,1,1,0","eban_bow,arm_low,-327.6,-23.6,-83,0,7,1,1,0","eban_bow,fist,-404.4,-18.8,-87,1,8,1,1,0","eban_bow,arm_up,-97.2,-138.2,105,1,13,1,1,0","eban_bow,arm_low,-13.2,-185.6,138,1,17,1,1,0","eban_bow,open,35.6,-241.8,127.2,0,18,1,1,0","eban_bow,leg_up,-63.4,9.0,-74.7,0,9,1,1,0","eban_bow,leg_low,-157.4,5.0,-110,0,10,1,1,0","eban_bow,foot,-241.2,9.8,-160,0,13,1,1,0","eban_bow,leg_up,69.6,-29.0,79.7,0,12,1,1,0","eban_bow,leg_low,193.2,-12.8,90,0,13,1,1,0","eban_bow,foot,284.4,-15.2,24.5,0,15,1,1,0","hban_bow,base,50.8,-242.4,75.3,0,19,1,1,0","hban_bow,quiver,-171.6,-64.2,83.4,0,17,1,1,0","eban_bow,lower_shirt_speed,-11.6,-36.4,27,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"eban_bow,head,-226.4,-123.4,118,0,4,1,1,0","eban_bow,neck,-197.6,-123.4,76,0,6,1,1,0","eban_bow,body,-73.2,-57.0,57.5,0,5,1,1,0","eban_bow,arm_up,-225.4,-43.0,-74,0,6,1,1,0","eban_bow,arm_low,-327.6,-23.6,-83,0,7,1,1,0","eban_bow,fist,-404.4,-18.8,-87,1,8,1,1,0","eban_bow,arm_up,-97.2,-138.2,97,1,13,1,1,0","eban_bow,arm_low,-13.2,-161.6,117,1,17,1,1,0","eban_bow,open,41.6,-201.8,132.2,0,18,1,1,0","eban_bow,leg_up,-63.4,9.0,-74.7,0,9,1,1,0","eban_bow,leg_low,-157.4,5.0,-110,0,10,1,1,0","eban_bow,foot,-241.2,9.8,-160,0,13,1,1,0","eban_bow,leg_up,69.6,-29.0,79.7,0,12,1,1,0","eban_bow,leg_low,193.2,-12.8,90,0,13,1,1,0","eban_bow,foot,284.4,-15.2,24.5,0,15,1,1,0","hban_bow,base,50.8,-162.4,75.3,0,18,1,1,0","hban_bow,quiver,-171.6,-64.2,83.4,0,17,1,1,0","eban_bow,lower_shirt_speed,-11.6,-36.4,27,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"eban_bow,head,-226.4,-123.4,118,0,4,1,1,0","eban_bow,neck,-197.6,-123.4,76,0,6,1,1,0","eban_bow,body,-73.2,-57.0,57.5,0,5,1,1,0","eban_bow,arm_up,-225.4,-43.0,-74,0,6,1,1,0","eban_bow,arm_low,-327.6,-23.6,-83,0,7,1,1,0","eban_bow,fist,-404.4,-18.8,-87,1,8,1,1,0","eban_bow,arm_up,-97.2,-124.2,88,1,13,1,1,0","eban_bow,arm_low,-13.2,-113.6,79,1,17,1,1,0","eban_bow,open,43.2,-108.8,82.2,0,18,1,1,0","eban_bow,leg_up,-63.4,9.0,-74.7,0,9,1,1,0","eban_bow,leg_low,-157.4,5.0,-110,0,10,1,1,0","eban_bow,foot,-241.2,9.8,-160,0,13,1,1,0","eban_bow,leg_up,69.6,-29.0,79.7,0,12,1,1,0","eban_bow,leg_low,193.2,-12.8,90,0,13,1,1,0","eban_bow,foot,284.4,-15.2,24.5,0,15,1,1,0","hban_bow,base,50.4,-64.8,75.3,0,18,1,1,0","hban_bow,quiver,-171.6,-64.2,83.4,0,17,1,1,0","eban_bow,lower_shirt_speed,-11.6,-36.4,27,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halt/0,"eban_bow,head,47.0,-523.4,3,0,4,1,1,0","eban_bow,neck,18.0,-500.4,-4,0,6,1,1,0","eban_bow,body,3.2,-360.4,-2.5,0,5,1,1,0","eban_bow,arm_up,-29.0,-408.4,8,0,2,1,1,0","eban_bow,arm_low,26.2,-330.4,71,0,3,1,1,0","eban_bow,fist,93.6,-298.8,81,1,4,1,1,0","eban_bow,arm_up,62.0,-413.4,22.5,1,13,1,1,0","eban_bow,arm_low,117.2,-338.4,71,1,17,1,1,0","eban_bow,fist,189.0,-317.0,62.2,0,18,1,1,0","eban_bow,leg_up,-55.0,-204.4,-31.7,0,9,1,1,0","eban_bow,leg_low,-125.2,-113.2,-41,0,10,1,1,0","eban_bow,foot,-150.4,-32.4,-24.6,0,13,1,1,0","eban_bow,leg_up,54.0,-212.4,51,0,12,1,1,0","eban_bow,leg_low,105.6,-116.0,14,0,13,1,1,0","eban_bow,foot,152.8,-33.2,-9.5,0,15,1,1,0","hban_bow,base,168.0,-371.6,159.3,0,19,1,1,0","hban_bow,quiver,4.8,-419.6,26.4,0,17,1,1,0","eban_bow,lower_shirt_speed,10.8,-268.0,-8,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
