Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"elghest,head,-14.8,-525.2,4,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-8.8,-352.4,2.5,0,15,1,1,0","elghest,arm_up,-109.0,-398.4,-50,0,10,1,1,0","elghest,arm_low,-107.2,-332.8,31,0,9,1,1,0","noble2,open,-87.2,-278.8,3,0,14,1,1,0","elghest,arm_up,82.0,-417.4,53,1,17,1,1,0","elghest,arm_low,147.2,-422.0,126,1,8,1,1,0","noble2,open,184.8,-465.2,151,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,-2.2,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-11,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,3,1,20,1,1,0","elghest,leg_low,42.0,-87.4,1.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,196.4,-509.6,-3,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityIdle/1,"elghest,head,-2.8,-525.2,1,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-4.8,-352.4,0.5,0,15,1,1,0","elghest,arm_up,-103.0,-402.4,-48,0,10,1,1,0","elghest,arm_low,-105.2,-336.8,29,0,9,1,1,0","noble2,open,-85.2,-278.8,5,0,14,1,1,0","elghest,arm_up,82.0,-417.4,53,1,17,1,1,0","elghest,arm_low,147.2,-416.0,119,1,8,1,1,0","noble2,open,196.8,-451.2,128,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-9,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,6,1,20,1,1,0","elghest,leg_low,46.0,-87.4,-0.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,216.4,-491.6,-21,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityIdle/2,"elghest,head,13.2,-525.2,-2,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-0.8,-348.4,-2.5,0,15,1,1,0","elghest,arm_up,-97.0,-406.4,-52,0,10,1,1,0","elghest,arm_low,-105.2,-336.8,23,0,9,1,1,0","noble2,open,-87.2,-274.8,7,0,14,1,1,0","elghest,arm_up,82.0,-417.4,48,1,17,1,1,0","elghest,arm_low,157.2,-410.0,110,1,8,1,1,0","noble2,open,212.8,-431.2,114,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-9,0,23,1,1,0","elghest,foot,-60.8,-13.4,1,0,25,1,1,0","elghest,leg_up,44.4,-202.8,9,1,20,1,1,0","elghest,leg_low,48.0,-87.4,-4.5,0,25,1,1,0","elghest,foot,58.2,-18.4,8,0,27,1,1,0",,,"item,rare_coin,226.4,-473.6,-24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityIdle/3,"elghest,head,17.2,-519.2,-3,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-0.8,-344.4,-3.5,0,15,1,1,0","elghest,arm_up,-93.0,-406.4,-54,0,10,1,1,0","elghest,arm_low,-105.2,-334.8,21,0,9,1,1,0","noble2,open,-87.2,-270.8,2,0,14,1,1,0","elghest,arm_up,82.0,-417.4,48,1,17,1,1,0","elghest,arm_low,157.2,-396.0,94,1,8,1,1,0","noble2,open,212.8,-405.2,104,0,27,1,1,0","elghest,leg_up,-51.0,-196.4,2.8,0,17,1,1,0","elghest,leg_low,-69.0,-84.4,-10,0,23,1,1,0","elghest,foot,-64.8,-13.4,2,0,25,1,1,0","elghest,leg_up,44.4,-198.8,11,1,20,1,1,0","elghest,leg_low,46.0,-83.4,-4.5,0,25,1,1,0","elghest,foot,58.2,-18.4,5,0,27,1,1,0",,,"item,rare_coin,226.4,-439.6,-30,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityIdle/4,"elghest,head,13.2,-525.2,-2,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-0.8,-348.4,-2.5,0,15,1,1,0","elghest,arm_up,-97.0,-406.4,-52,0,10,1,1,0","elghest,arm_low,-105.2,-336.8,23,0,9,1,1,0","noble2,open,-87.2,-274.8,7,0,14,1,1,0","elghest,arm_up,82.0,-417.4,48,1,17,1,1,0","elghest,arm_low,157.2,-400.0,100,1,8,1,1,0","noble2,open,212.8,-411.2,111,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-9,0,23,1,1,0","elghest,foot,-60.8,-13.4,1,0,25,1,1,0","elghest,leg_up,44.4,-202.8,9,1,20,1,1,0","elghest,leg_low,48.0,-87.4,-4.5,0,25,1,1,0","elghest,foot,58.2,-18.4,8,0,27,1,1,0",,,"item,rare_coin,226.4,-445.6,-27,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityIdle/5,"elghest,head,-2.8,-525.2,1,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-4.8,-352.4,0.5,0,15,1,1,0","elghest,arm_up,-103.0,-402.4,-48,0,10,1,1,0","elghest,arm_low,-105.2,-336.8,29,0,9,1,1,0","noble2,open,-85.2,-278.8,5,0,14,1,1,0","elghest,arm_up,82.0,-417.4,53,1,17,1,1,0","elghest,arm_low,147.2,-416.0,119,1,8,1,1,0","noble2,open,196.8,-451.2,128,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-9,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,6,1,20,1,1,0","elghest,leg_low,46.0,-87.4,-0.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,216.4,-491.6,-21,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CityTalk/0,"elghest,head,-10.8,-525.2,4,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-8.8,-352.4,2.5,0,15,1,1,0","elghest,arm_up,-103.0,-398.4,-41,0,10,1,1,0","elghest,arm_low,-93.2,-332.8,44,0,9,1,1,0","noble2,open,-53.2,-292.8,48,0,14,1,1,0","elghest,arm_up,82.0,-417.4,59,1,17,1,1,0","elghest,arm_low,147.2,-430.0,132,1,8,1,1,0","noble2,open,184.8,-475.2,155,0,27,1,1,0","elghest,leg_up,-51.0,-200.4,-2.2,0,17,1,1,0","elghest,leg_low,-69.0,-86.4,-11,0,23,1,1,0","elghest,foot,-66.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,3,1,20,1,1,0","elghest,leg_low,42.0,-87.4,1.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,192.4,-527.6,3,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/1,"elghest,head,-14.8,-525.2,4,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-10.8,-352.4,4.5,0,15,1,1,0","elghest,arm_up,-79.0,-386.4,-13,0,10,1,1,0","elghest,arm_low,-49.2,-334.8,52,0,9,1,1,0","noble2,open,-1.2,-296.8,63,0,14,1,1,0","elghest,arm_up,82.0,-425.4,68,1,17,1,1,0","elghest,arm_low,147.2,-448.0,138,1,8,1,1,0","noble2,open,178.8,-501.2,158,0,27,1,1,0","elghest,leg_up,-47.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-63.0,-86.4,-13,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,3,1,20,1,1,0","elghest,leg_low,42.0,-87.4,1.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,186.4,-553.6,6,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/2,"elghest,head,-14.8,-525.2,6,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-10.8,-352.4,4.5,0,15,1,1,0","elghest,arm_up,-47.0,-392.4,31,0,10,1,1,0","elghest,arm_low,10.8,-356.8,69,0,9,1,1,0","noble2,twopoint,65.6,-333.6,66,0,14,1,1,0","elghest,arm_up,78.0,-439.4,79,1,17,1,1,0","elghest,arm_low,141.2,-470.0,146,1,8,1,1,0","noble2,open,166.8,-523.2,165,0,27,1,1,0","elghest,leg_up,-47.0,-200.4,0.8,0,17,1,1,0","elghest,leg_low,-63.0,-86.4,-13,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,40.4,-204.8,3,1,20,1,1,0","elghest,leg_low,42.0,-87.4,1.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,174.4,-575.6,13,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/3,"elghest,head,-22.8,-525.2,0,0,4,1,1,0","elghest,neck,0.0,-482.4,6,0,19,1,1,0","elghest,body,-10.8,-352.4,6.5,0,15,1,1,0","elghest,arm_up,-37.0,-396.4,48,0,10,1,1,0","elghest,arm_low,30.8,-384.8,91,0,9,1,1,0","noble2,twopoint,99.6,-383.6,84,0,14,1,1,0","elghest,arm_up,78.0,-451.4,96,1,17,1,1,0","elghest,arm_low,139.2,-502.0,153,1,8,1,1,0","noble2,open,160.8,-559.2,171,0,27,1,1,0","elghest,leg_up,-43.0,-200.4,1.8,0,17,1,1,0","elghest,leg_low,-61.0,-86.4,-14,0,23,1,1,0","elghest,foot,-60.8,-13.4,4,0,25,1,1,0","elghest,leg_up,46.4,-204.8,2,1,20,1,1,0","elghest,leg_low,48.0,-87.4,-1.5,0,25,1,1,0","elghest,foot,58.2,-18.4,10,0,27,1,1,0",,,"item,rare_coin,168.4,-611.6,19,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
