Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Hban_bow,Head,-9.0,-519.4,-3,0,4,1,1,0","Hban_bow,Neck,-2.0,-468.4,-8,0,4,1,1,0","Hban_bow,Body,-0.8,-364.4,-0.5,0,5,1,1,0","Hban_bow,Arm Up,-97.0,-422.4,-74,0,6,1,1,0","Hban_bow,Arm Low,-187.2,-399.6,-79,0,7,1,1,0","Hban_bow,Fist,-255.6,-391.2,-97,0,4,1,1,0","Hban_bow,Arm Up,86.0,-431.6,86,1,13,1,1,0","Hban_bow,Arm Low,173.2,-428.8,86,1,17,1,1,0","Hban_bow,Fist Back,240.8,-428.0,85,0,15,1,1,0","Hban_bow,Leg Up,-39.0,-212.4,-8.7,0,8,1,1,0","Hban_bow,Leg Low,-69.0,-104.4,-11,0,10,1,1,0","Hban_bow,Foot,-60.8,-13.4,1.4,0,13,1,1,0","Hban_bow,Leg Up,48.0,-202.4,14.7,0,12,1,1,0","Hban_bow,Leg Low,66.0,-101.4,6.5,0,13,1,1,0","Hban_bow,Foot,94.2,-14.4,4.5,0,15,1,1,0",,,"Hban_bow,Headtail,-70.8,-505.2,0,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Hban_bow,Head,-93.0,-511.4,22.5,0,4,1,1,0","Hban_bow,Neck,-66.0,-468.4,5,0,4,1,1,0","Hban_bow,Body,-36.8,-364.4,17.5,0,5,1,1,0","Hban_bow,Arm Up,-135.0,-374.4,-41.1,0,6,1,1,0","Hban_bow,Arm Low,-189.8,-304.4,-32.6,0,7,1,1,0","Hban_bow,Open,-216.4,-248.8,-33.4,0,4,1,1,0","Hban_bow,Arm Up,44.0,-427.4,72.9,1,13,1,1,0","Hban_bow,Arm Low,134.4,-411.6,87.9,1,17,1,1,0","Hban_bow,Fist Back,187.6,-428.8,104.5,0,15,1,1,0","Hban_bow,Leg Up,-37.0,-212.4,2.3,0,8,1,1,0","Hban_bow,Leg Low,-65.0,-106.4,-25,0,10,1,1,0","Hban_bow,Foot,-76.8,-17.4,-3.6,0,13,1,1,0","Hban_bow,Leg Up,62.0,-230.4,36.2,0,12,1,1,0","Hban_bow,Leg Low,106.0,-143.4,20,0,13,1,1,0","Hban_bow,Foot,158.8,-70.0,18,0,15,1,1,0","Hban_bow,Base,140.0,-455.2,-151.2,0,19,1,1,0","Hban_bow,Quiver,-6.8,-280.0,67.4,0,17,1,1,0","Hban_bow,Headtail_speed1,-170.8,-501.2,14.5,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Hban_bow,Head,-195.0,-443.4,49,0,4,1,1,0","Hban_bow,Neck,-148.0,-412.4,35.5,0,4,1,1,0","Hban_bow,Body,-76.8,-336.4,42,0,5,1,1,0","Hban_bow,Arm Up,-165.0,-306.4,4.6,0,6,1,1,0","Hban_bow,Arm Low,-132.8,-202.8,35.8,0,7,1,1,0","Hban_bow,Open,-87.6,-155.2,41.9,0,4,1,1,0","Hban_bow,Arm Up,-52.0,-432.4,113.4,1,13,1,1,0","Hban_bow,Arm Low,36.4,-480.4,128.7,1,17,1,1,0","Hban_bow,Fist Back,90.0,-511.2,128.1,0,15,1,1,0","Hban_bow,Leg Up,-9.0,-214.4,37.5,0,8,1,1,0","Hban_bow,Leg Low,22.0,-113.6,4,0,10,1,1,0","Hban_bow,Foot,49.6,-28.4,2.4,0,13,1,1,0","Hban_bow,Leg Up,42.0,-250.4,52.2,0,12,1,1,0","Hban_bow,Leg Low,106.0,-161.4,30,0,13,1,1,0","Hban_bow,Foot,170.8,-96.0,26.5,0,15,1,1,0","Hban_bow,Base,37.6,-512.0,-128.7,0,19,1,1,0","Hban_bow,Quiver,-38.8,-272.0,72.4,0,17,1,1,0","Hban_bow,Headtail_speed1,-252.4,-387.6,49.5,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Hban_bow,Head,-175.0,-453.4,43.5,0,4,1,1,0","Hban_bow,Neck,-134.0,-422.4,27,0,4,1,1,0","Hban_bow,Body,-76.8,-332.4,32.5,0,5,1,1,0","Hban_bow,Arm Up,-165.0,-302.4,0.6,0,6,1,1,0","Hban_bow,Arm Low,-136.8,-200.8,38.8,0,7,1,1,0","Hban_bow,Open,-83.6,-151.2,43.4,0,4,1,1,0","Hban_bow,Arm Up,-44.0,-428.4,107.9,1,13,1,1,0","Hban_bow,Arm Low,48.4,-476.4,132.2,1,17,1,1,0","Hban_bow,Fist Back,84.0,-517.2,130.1,0,15,1,1,0","Hban_bow,Leg Up,-33.0,-210.4,24,0,8,1,1,0","Hban_bow,Leg Low,-12.0,-109.6,0,0,10,1,1,0","Hban_bow,Foot,1.6,-28.4,-8.1,0,13,1,1,0","Hban_bow,Leg Up,32.0,-234.4,51.2,0,12,1,1,0","Hban_bow,Leg Low,96.0,-145.4,30.5,0,13,1,1,0","Hban_bow,Foot,154.8,-84.0,27,0,15,1,1,0","Hban_bow,Base,37.6,-514.0,-125.7,0,19,1,1,0","Hban_bow,Quiver,-38.8,-268.0,75.4,0,17,1,1,0","Hban_bow,Headtail_speed1,-242.4,-417.6,31.5,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"Hban_bow,Head,-229.6,-73.2,118.7,0,4,1,1,0","Hban_bow,Neck,-189.6,-108.8,102.6,0,4,1,1,0","Hban_bow,Body,-88.8,-124.4,101.5,0,5,1,1,0","Hban_bow,Arm Up,-92.0,-28.0,72,0,6,1,1,0","Hban_bow,Arm Low,10.0,-40.8,127.1,0,7,1,1,0","Hban_bow,Open,66.8,-94.4,128.6,0,4,1,1,0","Hban_bow,Arm Up,-158.8,-189.6,158.8,1,13,1,1,0","Hban_bow,Arm Low,-113.6,-300.4,157.2,1,17,1,1,0","Hban_bow,Open Back,-96.0,-367.2,150.6,1,15,1,1,0","Hban_bow,Leg Up,72.8,-100.4,79.1,0,8,1,1,0","Hban_bow,Leg Low,161.6,-66.0,66.2,0,10,1,1,0","Hban_bow,Foot,235.6,-18.0,-4.1,0,13,1,1,0","Hban_bow,Leg Up,32.0,-192.4,128.7,0,12,1,1,0","Hban_bow,Leg Low,114.8,-250.0,131.8,0,13,1,1,0","Hban_bow,Foot,173.6,-323.6,112,0,15,1,1,0","Hban_bow,Base,242.4,-521.6,126.6,0,19,1,1,0","Hban_bow,Quiver,61.2,-124.8,48.4,0,17,1,1,0","Hban_bow,Headtail_speed1,-225.6,-1.2,95.6,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"Hban_bow,Head,-237.6,-73.2,104.2,0,4,1,1,0","Hban_bow,Neck,-189.6,-88.8,98.6,0,4,1,1,0","Hban_bow,Body,-88.8,-104.4,97.5,0,5,1,1,0","Hban_bow,Arm Up,-92.0,-12.0,75,0,6,1,1,0","Hban_bow,Arm Low,10.0,-30.8,123.1,0,7,1,1,0","Hban_bow,Open,60.8,-74.4,124.6,0,4,1,1,0","Hban_bow,Arm Up,-162.8,-169.6,167.8,1,13,1,1,0","Hban_bow,Arm Low,-149.6,-280.4,178.2,1,17,1,1,0","Hban_bow,Open Back,-154.0,-351.2,171.1,1,15,1,1,0","Hban_bow,Leg Up,72.8,-86.4,81.6,0,8,1,1,0","Hban_bow,Leg Low,161.6,-60.0,70.2,0,10,1,1,0","Hban_bow,Foot,235.6,-22.0,-1.6,0,13,1,1,0","Hban_bow,Leg Up,32.0,-162.4,124.7,0,12,1,1,0","Hban_bow,Leg Low,114.8,-188.0,91.4,0,13,1,1,0","Hban_bow,Foot,205.2,-198.8,56.2,0,15,1,1,0","Hban_bow,Base,369.6,-348.0,108.6,0,19,1,1,0","Hban_bow,Quiver,61.2,-86.8,113.9,0,17,1,1,0","Hban_bow,Headtail_speed1,-253.6,-3.2,82.1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"Hban_bow,Head,-237.6,-99.2,87.2,0,4,1,1,0","Hban_bow,Neck,-183.6,-108.8,85.6,0,4,1,1,0","Hban_bow,Body,-88.8,-82.4,76,0,5,1,1,0","Hban_bow,Arm Up,-118.0,-14.0,68,0,6,1,1,0","Hban_bow,Arm Low,-18.0,-4.8,99.1,0,7,1,1,0","Hban_bow,Open,56.8,-26.4,100.1,0,4,1,1,0","Hban_bow,Arm Up,-162.8,-147.6,160.3,1,13,1,1,0","Hban_bow,Arm Low,-123.6,-254.4,161.5,1,17,1,1,0","Hban_bow,Open Back,-104.0,-327.2,150.6,1,15,1,1,0","Hban_bow,Leg Up,54.8,-64.4,125.9,0,8,1,1,0","Hban_bow,Leg Low,153.6,-108.0,114.1,0,10,1,1,0","Hban_bow,Foot,242.4,-140.4,64.4,0,13,1,1,0","Hban_bow,Leg Up,44.0,-114.4,134.2,0,12,1,1,0","Hban_bow,Leg Low,126.0,-176.4,127.8,0,13,1,1,0","Hban_bow,Foot,185.6,-236.4,108,0,15,1,1,0","Hban_bow,Base,424.8,-171.6,90.6,0,19,1,1,0","Hban_bow,Quiver,136.8,-36.0,87.3,0,17,1,1,0","Hban_bow,Headtail_speed1,-267.6,-35.2,65.1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"Hban_bow,Head,-235.6,-93.2,87.2,0,4,1,1,0","Hban_bow,Neck,-183.6,-108.8,85.6,0,4,1,1,0","Hban_bow,Body,-88.8,-82.4,76,0,5,1,1,0","Hban_bow,Arm Up,-118.0,-26.0,91,0,4,1,1,0","Hban_bow,Arm Low,-18.0,-48.8,119.9,0,5,1,1,0","Hban_bow,Open,49.2,-84.8,106.1,0,4,1,1,0","Hban_bow,Arm Up,-154.8,-147.6,134.7,1,13,1,1,0","Hban_bow,Arm Low,-85.6,-225.2,144.5,1,17,1,1,0","Hban_bow,Open Back,-45.2,-295.2,135.1,1,15,1,1,0","Hban_bow,Leg Up,48.8,-64.4,130.9,0,8,1,1,0","Hban_bow,Leg Low,143.6,-118.0,118.6,0,10,1,1,0","Hban_bow,Foot,232.4,-162.4,82.4,0,13,1,1,0","Hban_bow,Leg Up,44.0,-114.4,139.2,0,12,1,1,0","Hban_bow,Leg Low,122.0,-182.4,135.3,0,13,1,1,0","Hban_bow,Foot,173.6,-248.4,112,0,15,1,1,0","Hban_bow,Base,417.6,-59.2,78.6,0,19,1,1,0","Hban_bow,Quiver,136.8,-36.0,90.3,0,17,1,1,0","Hban_bow,Headtail_speed1,-269.6,-25.2,69.1,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"Hban_bow,Head,-231.6,-51.2,110.2,0,4,1,1,0","Hban_bow,Neck,-185.6,-76.8,97.1,0,4,1,1,0","Hban_bow,Body,-88.8,-60.4,87.5,0,5,1,1,0","Hban_bow,Arm Up,-118.0,-26.0,91,0,4,1,1,0","Hban_bow,Arm Low,-18.0,-24.8,89.5,0,5,1,1,0","Hban_bow,Fist,45.2,-20.0,74.1,0,4,1,1,0","Hban_bow,Arm Up,-126.8,-101.6,86.7,1,13,1,1,0","Hban_bow,Arm Low,-31.2,-97.2,91.8,1,17,1,1,0","Hban_bow,Fist Back,16.8,-90.8,94.3,0,15,1,1,0","Hban_bow,Leg Up,48.8,-36.4,87.1,0,8,1,1,0","Hban_bow,Leg Low,156.0,-22.8,79,0,10,1,1,0","Hban_bow,Foot,240.0,-26.4,82.4,0,13,1,1,0","Hban_bow,Leg Up,44.0,-80.4,85.2,0,12,1,1,0","Hban_bow,Leg Low,140.0,-42.4,61.9,0,13,1,1,0","Hban_bow,Foot,210.0,-10.0,8.9,0,15,1,1,0","Hban_bow,Base,417.6,-55.2,89.6,0,19,1,1,0","Hban_bow,Quiver,136.8,-36.0,90.3,0,17,1,1,0","Hban_bow,Headtail_speed1,-241.6,-1.2,55.1,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halt/0,"Hban_bow,Head,13.0,-489.4,-8,0,4,1,1,0","Hban_bow,Neck,14.0,-440.4,-13,0,4,1,1,0","Hban_bow,Body,7.2,-334.4,-3.5,0,5,1,1,0","Hban_bow,Arm Up,-77.0,-378.4,-46,0,6,1,1,0","Hban_bow,Arm Low,-125.8,-282.4,-8,0,7,1,1,0","Hban_bow,Fist,-132.4,-230.0,-15.9,0,4,1,1,0","Hban_bow,Arm Up,84.0,-363.4,27.5,1,13,1,1,0","Hban_bow,Arm Low,127.2,-282.4,27,1,17,1,1,0","Hban_bow,Fist Back,153.0,-243.0,25.2,0,15,1,1,0","Hban_bow,Leg Up,17.0,-202.4,32,0,8,1,1,0","Hban_bow,Leg Low,56.8,-97.2,21,0,10,1,1,0","Hban_bow,Foot,111.2,-21.4,25.9,0,11,1,1,0","Hban_bow,Leg Up,-6.0,-198.4,-16,0,12,1,1,0","Hban_bow,Leg Low,-58.0,-101.4,-32.1,0,13,1,1,0","Hban_bow,Foot,-75.8,-20.4,-9.5,0,15,1,1,0","Hban_bow,Base,164.8,-290.8,130.3,0,19,1,1,0","Hban_bow,Quiver,-18.8,-280.0,59.4,0,17,1,1,0","Hban_bow,Headtail_speed1,-64.8,-501.2,5,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
