Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Kervos,Head,15.0,-555.4,0,0,4,1,1,0","Kervos,Neck,20.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-362.4,-0.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-415.4,5,1,22,1,1,0","Kervos,Arm Low,117.6,-312.0,17,1,22,1,1,0","Noble2,Open,139.2,-232.4,15,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,0.8,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"Kervos,Head,19.0,-551.4,-4,0,4,1,1,0","Kervos,Neck,20.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-360.4,-0.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-411.4,2,1,22,1,1,0","Kervos,Arm Low,113.6,-308.0,12,1,22,1,1,0","Noble2,Open,133.2,-228.4,12,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,0.8,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"Kervos,Head,33.0,-551.4,-8,0,4,1,1,0","Kervos,Neck,34.0,-510.4,9,0,18,1,1,0","Kervos,Body,11.2,-360.4,-2.5,0,15,1,1,0",,,,"Kervos,Arm Up,88.0,-407.4,0,1,22,1,1,0","Kervos,Arm Low,105.6,-304.0,9,1,22,1,1,0","Noble2,Open,117.2,-222.4,7,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,-0.2,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/3,"Kervos,Head,45.0,-551.4,-16,0,4,1,1,0","Kervos,Neck,42.0,-510.4,6,0,18,1,1,0","Kervos,Body,15.2,-360.4,-4.5,0,15,1,1,0",,,,"Kervos,Arm Up,88.0,-401.4,-6,1,22,1,1,0","Kervos,Arm Low,103.6,-300.0,6,1,22,1,1,0","Noble2,Open,111.2,-218.4,0,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,-0.2,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/4,"Kervos,Head,33.0,-551.4,-6,0,4,1,1,0","Kervos,Neck,34.0,-510.4,9,0,18,1,1,0","Kervos,Body,11.2,-360.4,-2.5,0,15,1,1,0",,,,"Kervos,Arm Up,88.0,-407.4,0,1,22,1,1,0","Kervos,Arm Low,105.6,-304.0,9,1,22,1,1,0","Noble2,Open,117.2,-222.4,7,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,-0.2,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/5,"Kervos,Head,19.0,-551.4,-4,0,4,1,1,0","Kervos,Neck,20.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-360.4,-0.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-411.4,2,1,22,1,1,0","Kervos,Arm Low,113.6,-308.0,12,1,22,1,1,0","Noble2,Open,133.2,-228.4,12,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,0.8,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityTalk/0,"Kervos,Head,19.0,-555.4,-3,0,4,1,1,0","Kervos,Neck,20.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-362.4,-0.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-415.4,5,1,22,1,1,0","Kervos,Arm Low,135.6,-318.0,36,1,22,1,1,0","Noble2,Open,183.2,-254.4,26,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,0.8,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/1,"Kervos,Head,19.0,-555.4,-5,0,4,1,1,0","Kervos,Neck,20.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-362.4,-0.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-415.4,5,1,22,1,1,0","Kervos,Arm Low,147.6,-334.0,54,1,22,1,1,0","Noble2,Open,212.8,-285.2,46,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,0.8,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/2,"Kervos,Head,15.0,-555.4,-8,0,4,1,1,0","Kervos,Neck,16.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-362.4,1.5,0,15,1,1,0",,,,"Kervos,Arm Up,84.0,-415.4,5,1,22,1,1,0","Kervos,Arm Low,147.6,-358.0,80,1,22,1,1,0","Noble2,Twopoint,234.8,-345.2,80,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,-1.2,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/3,"Kervos,Head,11.0,-555.4,-10,0,4,1,1,0","Kervos,Neck,8.0,-510.4,9,0,18,1,1,0","Kervos,Body,5.2,-362.4,2.5,0,15,1,1,0",,,,"Kervos,Arm Up,80.0,-415.4,5,1,22,1,1,0","Kervos,Arm Low,153.6,-380.0,100,1,22,1,1,0","Noble2,Twopoint,248.8,-389.2,92,1,27,1,1,0","Kervos,Leg Up,1.0,-178.4,-2.2,0,17,1,1,0","Kervos,Leg Low,-55.0,-78.4,-9,0,23,1,1,0","Kervos,Foot,-38.8,-21.4,2,0,22,1,1,0",,"Kervos,Leg Low,56.0,-81.4,5.5,0,25,1,1,0","Kervos,Foot,80.2,-18.4,2,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
