Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"King,Head,-3.0,-455.4,0,0,4,1,1,0","King,Neck,4.0,-412.4,-1,0,18,1,1,0","King,Body,1.2,-304.4,-1,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-209.6,64,0,6,1,1,0","King,Arm Up,66.0,-327.4,13,1,22,1,1,0","King,Arm Low,94.0,-258.4,14,1,22,1,1,0","King,Open,120.8,-172.0,8,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"King,Head,1.0,-455.4,-2,0,4,1,1,0","King,Neck,8.0,-412.4,-5,0,18,1,1,0","King,Body,1.2,-304.4,-3.5,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-207.6,66,0,6,1,1,0","King,Arm Up,68.0,-327.4,12,1,22,1,1,0","King,Arm Low,90.0,-258.4,10,1,22,1,1,0","King,Open,114.8,-170.0,4,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,0,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"King,Head,5.0,-455.4,-3,0,4,1,1,0","King,Neck,12.0,-408.4,-7,0,18,1,1,0","King,Body,1.2,-304.4,-4.5,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,49.2,-205.6,68,0,6,1,1,0","King,Arm Up,68.0,-331.4,12,1,22,1,1,0","King,Arm Low,90.0,-254.4,10,1,22,1,1,0","King,Open,114.8,-168.0,7,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,-1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/3,"King,Head,7.0,-455.4,-5,0,4,1,1,0","King,Neck,12.0,-408.4,-7,0,18,1,1,0","King,Body,1.2,-304.4,-6.5,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-254.8,47,0,12,1,1,0","King,Fist,49.2,-205.6,72,0,6,1,1,0","King,Arm Up,70.0,-323.4,6,1,22,1,1,0","King,Arm Low,84.0,-250.4,4,1,22,1,1,0","King,Open,102.8,-168.0,5,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,5.2,-308.4,-2,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/4,"King,Head,5.0,-455.4,-3,0,4,1,1,0","King,Neck,12.0,-408.4,-7,0,18,1,1,0","King,Body,1.2,-304.4,-4.5,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,49.2,-205.6,68,0,6,1,1,0","King,Arm Up,68.0,-331.4,12,1,22,1,1,0","King,Arm Low,90.0,-254.4,10,1,22,1,1,0","King,Open,114.8,-168.0,7,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,-1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/5,"King,Head,1.0,-455.4,-2,0,4,1,1,0","King,Neck,8.0,-412.4,-5,0,18,1,1,0","King,Body,1.2,-304.4,-3.5,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-207.6,66,0,6,1,1,0","King,Arm Up,68.0,-327.4,12,1,22,1,1,0","King,Arm Low,90.0,-258.4,10,1,22,1,1,0","King,Open,114.8,-170.0,4,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,0,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityNod/0,"King,Head,-3.0,-455.4,0,0,4,1,1,0","King,Neck,4.0,-412.4,-1,0,18,1,1,0","King,Body,1.2,-304.4,-1,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-209.6,64,0,6,1,1,0","King,Arm Up,58.0,-345.4,18,1,22,1,1,0","King,Arm Low,94.0,-258.4,14,1,22,1,1,0","King,Open,118.8,-164.0,8,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/1,"King,Head,1.0,-455.4,-8,0,4,1,1,0","King,Neck,4.0,-412.4,-1,0,18,1,1,0","King,Body,1.2,-304.4,-1,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-213.6,66,0,6,1,1,0","King,Arm Up,58.0,-345.4,18,1,22,1,1,0","King,Arm Low,94.0,-258.4,14,1,22,1,1,0","King,Open,118.8,-164.0,8,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/2,"King,Head,1.0,-453.4,-14,0,4,1,1,0","King,Neck,4.0,-412.4,-1,0,18,1,1,0","King,Body,1.2,-304.4,-1,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-213.6,69,0,6,1,1,0","King,Arm Up,62.0,-333.4,16,1,22,1,1,0","King,Arm Low,94.0,-254.4,14,1,22,1,1,0","King,Open,114.8,-164.0,6,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/3,"King,Head,1.0,-455.4,-8,0,4,1,1,0","King,Neck,4.0,-412.4,-1,0,18,1,1,0","King,Body,1.2,-304.4,-1,0,15,1,1,0","King,Arm Up,-43.6,-314.0,11,0,13,1,1,0","King,Arm Low,-16.8,-258.8,47,0,12,1,1,0","King,Fist,51.2,-213.6,66,0,6,1,1,0","King,Arm Up,58.0,-345.4,18,1,22,1,1,0","King,Arm Low,94.0,-258.4,14,1,22,1,1,0","King,Open,118.8,-164.0,8,1,21,1,1,0","King,Leg Up,-25.0,-102.4,-7.2,0,11,1,1,0","King,Leg Low,-57.0,-76.4,-3,0,23,1,1,0","King,Foot,-72.8,-13.4,9,1,22,1,1,0","King,Leg Up,36.0,-102.8,5,1,10,1,1,0","King,Leg Low,70.0,-77.4,6.5,0,25,1,1,0","King,Foot,96.2,-4.4,-8,0,24,1,1,0",,,"King,Cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
