Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityBow/0,"Aerlnarn,Head,-1.0,-567.4,1,0,4,1,1,0","Aerlnarn,Neck,-12.0,-532.4,0,0,5,1,1,0","Aerlnarn,Body,-6.4,-378.8,2,0,6,1,1,0","Aerlnarn,Arm Up,-83.0,-416.4,10.6,0,6,1,1,0","Aerlnarn,Arm Low,-63.2,-344.4,78,0,3,1,1,0","White_human,Open,6.8,-296.0,55,0,3,1,1,0","Aerlnarn,Arm Up,67.2,-440.4,15,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-350.8,-12,0,5,1,1,0","White_human,Fist,27.2,-292.4,-55,1,4,1,1,0","Aerlnarn,Leg Up,2.4,-146.4,-0.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/1,"Aerlnarn,Head,9.0,-563.4,-1,0,4,1,1,0","Aerlnarn,Neck,-2.0,-528.4,-2,0,5,1,1,0","Aerlnarn,Body,-2.4,-374.8,-1,0,6,1,1,0","Aerlnarn,Arm Up,-75.0,-420.4,5.6,0,6,1,1,0","Aerlnarn,Arm Low,-57.2,-340.4,78,0,3,1,1,0","White_human,Open,12.8,-292.0,55,0,3,1,1,0","Aerlnarn,Arm Up,73.2,-436.4,13,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-350.8,-14,0,5,1,1,0","White_human,Fist,27.2,-292.4,-57,1,4,1,1,0","Aerlnarn,Leg Up,-1.6,-146.4,-0.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/2,"Aerlnarn,Head,19.0,-549.4,-10,0,4,1,1,0","Aerlnarn,Neck,2.0,-518.4,-9,0,5,1,1,0","Aerlnarn,Body,-2.4,-370.8,0,0,6,1,1,0","Aerlnarn,Arm Up,-79.0,-412.4,3.6,0,6,1,1,0","Aerlnarn,Arm Low,-59.2,-334.4,76,0,3,1,1,0","White_human,Open,10.8,-286.0,53,0,3,1,1,0","Aerlnarn,Arm Up,71.2,-428.4,9,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-338.8,-14,0,5,1,1,0","White_human,Fist,27.2,-280.4,-57,1,4,1,1,0","Aerlnarn,Leg Up,-1.6,-146.4,-1,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/3,"Aerlnarn,Head,31.0,-537.4,-13,0,4,1,1,0","Aerlnarn,Neck,10.0,-510.4,-12,0,5,1,1,0","Aerlnarn,Body,1.6,-366.8,-2,0,6,1,1,0","Aerlnarn,Arm Up,-71.0,-412.4,1.6,0,6,1,1,0","Aerlnarn,Arm Low,-53.2,-334.4,76,0,3,1,1,0","White_human,Open,16.8,-286.0,53,0,3,1,1,0","Aerlnarn,Arm Up,83.2,-416.4,7,1,18,1,1,0","Aerlnarn,Arm Low,88.0,-330.8,-14,0,5,1,1,0","White_human,Fist,35.2,-272.4,-57,1,4,1,1,0","Aerlnarn,Leg Up,-5.6,-146.4,-1,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/4,"Aerlnarn,Head,39.0,-529.4,-16,0,4,1,1,0","Aerlnarn,Neck,18.0,-502.4,-15,0,5,1,1,0","Aerlnarn,Body,5.6,-362.8,-4,0,6,1,1,0","Aerlnarn,Arm Up,-61.0,-406.4,2.6,0,6,1,1,0","Aerlnarn,Arm Low,-47.2,-328.4,76,0,3,1,1,0","White_human,Open,22.8,-280.0,53,0,3,1,1,0","Aerlnarn,Arm Up,83.2,-402.4,1,1,18,1,1,0","Aerlnarn,Arm Low,84.0,-318.8,-14,0,5,1,1,0","White_human,Fist,31.2,-260.4,-57,1,4,1,1,0","Aerlnarn,Leg Up,-9.6,-142.4,-3,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hold,play_time_mod_1.5",,
CityIdle/0,"Aerlnarn,Head,3.0,-567.4,-1,0,4,1,1,0","Aerlnarn,Neck,-8.0,-532.4,-2,0,5,1,1,0","Aerlnarn,Body,-6.4,-378.8,0,0,6,1,1,0","Aerlnarn,Arm Up,-89.0,-424.4,1.6,0,6,1,1,0","Aerlnarn,Arm Low,-73.2,-362.4,91,0,3,1,1,0","White_human,Open,8.8,-326.0,66,0,3,1,1,0","Aerlnarn,Arm Up,67.2,-440.4,15,1,18,1,1,0","Aerlnarn,Arm Low,76.0,-368.8,-34,0,5,1,1,0","White_human,Fist,9.2,-328.4,-57,1,4,1,1,0","Aerlnarn,Leg Up,-5.6,-146.4,-2.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityIdle/1,"Aerlnarn,Head,11.0,-563.4,-3,0,4,1,1,0","Aerlnarn,Neck,0.0,-528.4,-4,0,5,1,1,0","Aerlnarn,Body,-2.4,-374.8,-2,0,6,1,1,0","Aerlnarn,Arm Up,-81.0,-424.4,-4.4,0,6,1,1,0","Aerlnarn,Arm Low,-69.2,-360.4,89,0,3,1,1,0","White_human,Open,12.8,-324.0,64,0,3,1,1,0","Aerlnarn,Arm Up,71.2,-440.4,13,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-368.8,-36,0,5,1,1,0","White_human,Fist,13.2,-328.4,-59,1,4,1,1,0","Aerlnarn,Leg Up,-9.6,-146.4,-3.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
CityIdle/2,"Aerlnarn,Head,11.0,-559.4,-5,0,4,1,1,0","Aerlnarn,Neck,0.0,-524.4,-6,0,5,1,1,0","Aerlnarn,Body,-2.4,-370.8,-2,0,6,1,1,0","Aerlnarn,Arm Up,-83.0,-420.4,-7.4,0,6,1,1,0","Aerlnarn,Arm Low,-69.2,-354.4,87,0,3,1,1,0","White_human,Open,12.8,-318.0,62,0,3,1,1,0","Aerlnarn,Arm Up,71.2,-432.4,11,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-364.8,-38,0,5,1,1,0","White_human,Fist,13.2,-324.4,-61,1,4,1,1,0","Aerlnarn,Leg Up,-11.6,-146.4,-5.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
CityIdle/3,"Aerlnarn,Head,17.0,-551.4,-7,0,4,1,1,0","Aerlnarn,Neck,6.0,-516.4,-6,0,5,1,1,0","Aerlnarn,Body,1.6,-362.8,-3,0,6,1,1,0","Aerlnarn,Arm Up,-79.0,-416.4,-7.4,0,6,1,1,0","Aerlnarn,Arm Low,-65.2,-350.4,89,0,3,1,1,0","White_human,Open,16.8,-314.0,64,0,3,1,1,0","Aerlnarn,Arm Up,75.2,-424.4,11,1,18,1,1,0","Aerlnarn,Arm Low,84.0,-352.8,-38,0,5,1,1,0","White_human,Fist,17.2,-312.4,-61,1,4,1,1,0","Aerlnarn,Leg Up,-13.6,-142.4,-7.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,,
CityIdle/4,"Aerlnarn,Head,11.0,-559.4,-5,0,4,1,1,0","Aerlnarn,Neck,0.0,-524.4,-6,0,5,1,1,0","Aerlnarn,Body,-2.4,-370.8,-2,0,6,1,1,0","Aerlnarn,Arm Up,-83.0,-420.4,-7.4,0,6,1,1,0","Aerlnarn,Arm Low,-69.2,-354.4,87,0,3,1,1,0","White_human,Open,12.8,-318.0,62,0,3,1,1,0","Aerlnarn,Arm Up,71.2,-432.4,11,1,18,1,1,0","Aerlnarn,Arm Low,80.0,-364.8,-38,0,5,1,1,0","White_human,Fist,13.2,-324.4,-61,1,4,1,1,0","Aerlnarn,Leg Up,-11.6,-146.4,-5.2,0,8,1,1,0",,"Aerlnarn,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Aerlnarn,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,,
