Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityCourtEnd/0,"Dashisi,Head,6.8,-182.8,1,0,2,1,1,0","Dashisi,Neck,-1.2,-125.6,19,0,4,1,1,0","Dashisi,Body,-2.8,-81.6,7.5,0,5,1,1,0","Dashisi,Arm Up,-49.2,-87.6,-29,0,5,1,1,0","Dashisi,Arm Low,-74.8,-32.0,-14,0,4,1,1,0","Dashisi,Fist,-82.0,0.8,-28,0,3,1,1,0","Dashisi,Arm Up,42.4,-100.0,51,1,13,1,1,0","Dashisi,Arm Low,82.4,-59.2,46,1,13,1,1,0","Dashisi,Fist Back,108.8,-35.6,23,0,12,1,1,0","Dashisi,Leg Up,-17.2,3.6,-3.7,0,7,1,1,0","Dashisi,Leg Low,-36.0,69.6,-13,0,10,1,1,0","Dashisi,Foot,-31.2,108.0,-17.6,0,9,1,1,0","Dashisi,Leg Up,19.2,4.8,22.7,0,16,1,1,0","Dashisi,Leg Low,33.2,67.2,7.5,0,18,1,1,0","Dashisi,Foot,44.0,110.8,-14,0,15,1,1,0",,,"Dashisi,Hat,-0.8,-203.2,0,0,1,1,1,0","Dashisi,Feather,-22.8,-254.4,-21,0,5,1,1,0","Dashisi,Feather2,-43.6,-192.0,-24,0,6,1,1,0","Dashisi,Wing,-52.4,-103.2,6,0,9,1,1,0","Dashisi,Wing,-31.6,-125.2,-39,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/1,"Dashisi,Head,2.8,-186.8,4,0,2,1,1,0","Dashisi,Neck,-3.2,-129.6,25,0,4,1,1,0","Dashisi,Body,-2.8,-81.6,7.5,0,5,1,1,0","Dashisi,Arm Up,-49.2,-81.6,-25,0,5,1,1,0","Dashisi,Arm Low,-72.8,-28.0,-21,0,4,1,1,0","Dashisi,Open,-92.0,4.8,-27,1,3,1,1,0","Dashisi,Arm Up,42.4,-106.0,59,1,13,1,1,0","Dashisi,Arm Low,88.4,-83.2,66,1,13,1,1,0","Dashisi,Open,126.4,-76.0,64,0,12,1,1,0","Dashisi,Leg Up,-17.2,3.6,-3.7,0,7,1,1,0","Dashisi,Leg Low,-36.0,69.6,-13,0,10,1,1,0","Dashisi,Foot,-31.2,108.0,-17.6,0,9,1,1,0","Dashisi,Leg Up,25.2,0.8,27.7,0,16,1,1,0","Dashisi,Leg Low,41.2,67.2,11.5,0,18,1,1,0","Dashisi,Foot,56.0,108.8,-9,0,15,1,1,0",,,"Dashisi,Hat,-6.8,-207.2,6,0,1,1,1,0","Dashisi,Feather,-32.8,-254.4,-18,0,5,1,1,0","Dashisi,Feather2,-53.6,-192.0,-21,0,6,1,1,0","Dashisi,Wing,-54.4,-86.6,19,0,9,1,1,0","Dashisi,Wing,-33.6,-102.6,-47,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/2,"Dashisi,Head,-7.2,-186.8,11,0,2,1,1,0","Dashisi,Neck,-9.2,-129.6,35,0,4,1,1,0","Dashisi,Body,1.2,-81.6,13.5,0,5,1,1,0","Dashisi,Arm Up,-45.2,-81.6,-28,0,5,1,1,0","Dashisi,Arm Low,-70.8,-32.0,-25,0,4,1,1,0","Dashisi,Open,-96.0,-1.2,-33,1,3,1,1,0","Dashisi,Arm Up,42.4,-114.0,72,1,13,1,1,0","Dashisi,Arm Low,88.4,-107.2,83,1,13,1,1,0","Dashisi,Open,130.4,-112.0,82,0,12,1,1,0","Dashisi,Leg Up,-11.2,3.6,-6.7,0,7,1,1,0","Dashisi,Leg Low,-34.0,69.6,-20,0,10,1,1,0","Dashisi,Foot,-37.2,108.0,-22.6,0,9,1,1,0","Dashisi,Leg Up,39.2,-7.2,33.7,0,16,1,1,0","Dashisi,Leg Low,63.2,59.2,14.5,0,18,1,1,0","Dashisi,Foot,78.0,102.8,-9,0,15,1,1,0",,,"Dashisi,Hat,-20.8,-207.2,11,0,1,1,1,0","Dashisi,Feather,-50.8,-248.4,-13,0,5,1,1,0","Dashisi,Feather2,-71.6,-186.0,-16,0,6,1,1,0","Dashisi,Wing,-48.4,-81.6,32,0,9,1,1,0","Dashisi,Wing,-35.6,-85.6,-61,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/3,"Dashisi,Head,-13.2,-188.8,19,0,2,1,1,0","Dashisi,Neck,-9.2,-127.6,37,0,4,1,1,0","Dashisi,Body,7.2,-81.6,22.5,0,5,1,1,0","Dashisi,Arm Up,-45.2,-79.6,-20,0,5,1,1,0","Dashisi,Arm Low,-66.8,-32.0,-20,0,4,1,1,0","Dashisi,Open,-90.0,2.8,-26,1,3,1,1,0","Dashisi,Arm Up,42.4,-122.0,96,1,13,1,1,0","Dashisi,Arm Low,88.4,-135.2,103,1,13,1,1,0","Dashisi,Open,126.4,-156.0,111,0,12,1,1,0","Dashisi,Leg Up,-1.2,-2.4,-3.7,0,7,1,1,0","Dashisi,Leg Low,-24.0,61.6,-27,0,10,1,1,0","Dashisi,Foot,-31.2,100.0,-29.6,0,9,1,1,0","Dashisi,Leg Up,45.2,-17.2,37.7,0,16,1,1,0","Dashisi,Leg Low,69.2,45.2,14.5,0,18,1,1,0","Dashisi,Foot,90.0,86.8,-9,0,15,1,1,0",,,"Dashisi,Hat,-34.8,-205.2,21,0,1,1,1,0","Dashisi,Feather,-72.8,-240.4,-7,0,5,1,1,0","Dashisi,Feather2,-93.6,-178.0,-10,0,6,1,1,0","Dashisi,Wing,-54.4,-82.6,19,0,9,1,1,0","Dashisi,Wing,-33.6,-102.6,-47,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/4,"Dashisi,Head,-21.2,-186.8,32,0,2,1,1,0","Dashisi,Neck,-9.2,-127.6,37,0,4,1,1,0","Dashisi,Body,7.2,-81.6,31.5,0,5,1,1,0","Dashisi,Arm Up,-45.2,-71.6,-14,0,5,1,1,0","Dashisi,Arm Low,-62.8,-22.0,-14,0,4,1,1,0","Dashisi,Open,-78.0,18.8,-11,1,3,1,1,0","Dashisi,Arm Up,42.4,-134.0,113,1,13,1,1,0","Dashisi,Arm Low,88.4,-161.2,124,1,13,1,1,0","Dashisi,Open,122.4,-192.0,125,0,12,1,1,0","Dashisi,Leg Up,10.8,-4.4,-1.7,0,7,1,1,0","Dashisi,Leg Low,-4.0,59.6,-23,0,10,1,1,0","Dashisi,Foot,-11.2,98.0,-25.6,0,9,1,1,0","Dashisi,Leg Up,53.2,-27.2,42.7,0,16,1,1,0","Dashisi,Leg Low,77.2,29.2,14.5,0,18,1,1,0","Dashisi,Foot,98.0,68.8,-9,0,15,1,1,0",,,"Dashisi,Hat,-40.8,-201.2,30,0,1,1,1,0","Dashisi,Feather,-100.8,-226.4,6,0,5,1,1,0","Dashisi,Feather2,-99.6,-168.0,4,0,6,1,1,0","Dashisi,Wing,-52.4,-68.6,36,0,9,1,1,0","Dashisi,Wing,-31.6,-84.6,-30,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/5,"Dashisi,Head,-27.2,-182.8,37,0,2,1,1,0","Dashisi,Neck,-9.2,-127.6,43,0,4,1,1,0","Dashisi,Body,7.2,-81.6,31.5,0,5,1,1,0","Dashisi,Arm Up,-45.2,-71.6,-14,0,5,1,1,0","Dashisi,Arm Low,-66.8,-22.0,-30,0,4,1,1,0","Dashisi,Open,-90.0,16.8,-14,1,3,1,1,0","Dashisi,Arm Up,42.4,-134.0,113,1,13,1,1,0","Dashisi,Arm Low,78.4,-165.2,158,1,13,1,1,0","Dashisi,Open,92.4,-206.0,133,0,12,1,1,0","Dashisi,Leg Up,14.8,-4.4,1.3,0,7,1,1,0","Dashisi,Leg Low,0.0,55.6,-21,0,10,1,1,0","Dashisi,Foot,-5.2,98.0,-22.6,0,9,1,1,0","Dashisi,Leg Up,57.2,-27.2,48.7,0,16,1,1,0","Dashisi,Leg Low,85.2,25.2,11.5,0,18,1,1,0","Dashisi,Foot,102.0,64.8,-1,0,15,1,1,0",,,"Dashisi,Hat,-50.8,-193.2,38,0,1,1,1,0","Dashisi,Feather,-110.8,-212.4,11,0,5,1,1,0","Dashisi,Feather2,-105.6,-150.0,11,0,6,1,1,0","Dashisi,Wing,-42.4,-51.6,51,0,9,1,1,0","Dashisi,Wing,-27.6,-91.6,10,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/6,"Dashisi,Head,-27.2,-182.8,40,0,2,1,1,0","Dashisi,Neck,-9.2,-127.6,43,0,4,1,1,0","Dashisi,Body,7.2,-81.6,31.5,0,5,1,1,0","Dashisi,Arm Up,-45.2,-71.6,-17,0,5,1,1,0","Dashisi,Arm Low,-70.8,-22.0,-33,0,4,1,1,0","Dashisi,Open,-94.0,12.8,-22,1,3,1,1,0","Dashisi,Arm Up,38.4,-140.0,135,1,13,1,1,0","Dashisi,Arm Low,62.4,-183.2,158,1,13,1,1,0","Dashisi,Open,76.4,-224.0,133,0,12,1,1,0","Dashisi,Leg Up,14.8,-4.4,1.3,0,7,1,1,0","Dashisi,Leg Low,0.0,55.6,-21,0,10,1,1,0","Dashisi,Foot,-5.2,98.0,-22.6,0,9,1,1,0","Dashisi,Leg Up,57.2,-27.2,48.7,0,16,1,1,0","Dashisi,Leg Low,85.2,25.2,11.5,0,18,1,1,0","Dashisi,Foot,102.0,64.8,-1,0,15,1,1,0",,,"Dashisi,Hat,-50.8,-193.2,41,0,1,1,1,0","Dashisi,Feather,-110.8,-208.4,15,0,5,1,1,0","Dashisi,Feather2,-105.6,-146.0,15,0,6,1,1,0","Dashisi,Wing,-48.4,-67.6,35,0,9,1,1,0","Dashisi,Wing,-35.6,-71.6,-58,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/7,"Dashisi,Head,-27.2,-186.8,36,0,2,1,1,0","Dashisi,Neck,-9.2,-127.6,43,0,4,1,1,0","Dashisi,Body,7.2,-81.6,31.5,0,5,1,1,0","Dashisi,Arm Up,-51.2,-73.6,-51,0,5,1,1,0","Dashisi,Arm Low,-50.8,-74.0,138,0,4,1,1,0","Dashisi,Open,-22.8,-92.8,127,1,3,1,1,0","Dashisi,Arm Up,38.4,-140.0,135,1,13,1,1,0","Dashisi,Arm Low,40.4,-141.2,-57,1,9,1,1,0","Dashisi,Open,10.4,-121.2,-87,0,3,1,1,0","Dashisi,Leg Up,14.8,-4.4,6.3,0,7,1,1,0","Dashisi,Leg Low,20.0,59.6,15,1,10,1,1,0","Dashisi,Foot,15.2,93.6,13.4,1,9,1,1,0","Dashisi,Leg Up,53.2,-27.2,28.7,1,16,1,1,0","Dashisi,Leg Low,91.2,25.2,22.5,1,18,1,1,0","Dashisi,Foot,94.0,62.8,16,1,15,1,1,0",,,"Dashisi,Hat,-50.8,-203.2,34,0,1,1,1,0","Dashisi,Feather,-110.8,-218.4,8,0,5,1,1,0","Dashisi,Feather2,-105.6,-156.0,8,0,6,1,1,0","Dashisi,Wing,-40.4,-77.6,23,0,9,1,1,0","Dashisi,Wing,-15.6,-71.6,45,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityCourtEnd/8,"Dashisi,Head,-61.2,-166.8,37,1,2,1,1,0","Dashisi,Neck,-13.2,-121.6,33,1,4,1,1,0","Dashisi,Body,7.2,-81.6,31.5,1,5,1,1,0","Dashisi,Arm Up,44.0,-135.6,112,1,5,1,1,0","Dashisi,Arm Low,94.8,-162.0,118,1,4,1,1,0","Dashisi,Open,120.0,-182.4,114,0,3,1,1,0","Dashisi,Arm Up,-48.4,-64.0,-30,0,13,1,1,0","Dashisi,Arm Low,-79.2,-22.4,-32,0,13,1,1,0","Dashisi,Open,-110.4,2.8,-45,1,12,1,1,0","Dashisi,Leg Up,74.8,-34.4,68,1,7,1,1,0","Dashisi,Leg Low,132.0,-23.6,81,1,10,1,1,0","Dashisi,Foot,166.0,-7.2,79,1,9,1,1,0","Dashisi,Leg Up,29.2,-3.2,18.7,1,16,1,1,0","Dashisi,Leg Low,59.2,49.2,31.5,1,18,1,1,0","Dashisi,Foot,64.4,82.4,14,1,15,1,1,0",,,"Dashisi,Hat,-86.8,-179.2,51,1,1,1,1,0","Dashisi,Feather,-92.8,-246.4,86,1,5,1,1,0","Dashisi,Feather2,-34.8,-248.0,98,1,6,1,1,0","Dashisi,Wing,34.4,-120.4,48,1,9,1,1,0","Dashisi,Wing,10.8,-124.0,50,1,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Movement,Swirl,0.0,-60.0,17,0,0,1,1,0",,,,,,,,,,
CityCourtEnd/9,"Dashisi,Head,-51.2,-170.8,27,1,2,1,1,0","Dashisi,Neck,-13.2,-125.6,23,1,4,1,1,0","Dashisi,Body,7.2,-83.6,26.5,1,5,1,1,0","Dashisi,Arm Up,50.0,-135.6,112,1,5,1,1,0","Dashisi,Arm Low,100.8,-162.0,118,1,4,1,1,0","Dashisi,Open,126.0,-182.4,114,0,3,1,1,0","Dashisi,Arm Up,-46.4,-70.0,-34,0,13,1,1,0","Dashisi,Arm Low,-77.2,-30.4,-37,0,13,1,1,0","Dashisi,Open,-108.4,-5.2,-45,1,12,1,1,0","Dashisi,Leg Up,74.8,-36.4,71,1,7,1,1,0","Dashisi,Leg Low,136.0,-33.6,93,1,10,1,1,0","Dashisi,Foot,166.0,-23.2,93,1,9,1,1,0","Dashisi,Leg Up,35.2,-3.2,23.7,1,16,1,1,0","Dashisi,Leg Low,69.2,49.2,39.5,1,18,1,1,0","Dashisi,Foot,82.4,82.4,31,1,15,1,1,0",,,"Dashisi,Hat,-66.8,-189.2,45,1,1,1,1,0","Dashisi,Feather,-72.8,-256.4,80,1,5,1,1,0","Dashisi,Feather2,-14.8,-258.0,92,1,6,1,1,0","Dashisi,Wing,46.4,-120.4,34,1,9,1,1,0","Dashisi,Wing,22.8,-124.0,36,1,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
