Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityApprove/0,"Orsanoas,Head,29.2,-594.8,2.5,0,5,1,1,0","Orsanoas,Neck,20,-550.4,9,0,9,1,1,0","Orsanoas,Body,1.2,-372.4,-3,0,6,1,1,0","Orsanoas,Arm Up,-98.6,-417.2,-13,0,4,1,1,0","Orsanoas,Arm Low,-96,-336.4,23,0,3,1,1,0","Orsanoas,Fist,-54,-265.2,57,1,5,1,1,0","Orsanoas,Arm Up,65.6,-436.8,-7,1,13,1,1,0","Orsanoas,Arm Low,97.2,-348.4,23,1,13,1,1,0","Orsanoas,Fist Back,131.2,-290.8,34,1,11,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,64,-190.4,18.7,0,12,1,1,0","Orsanoas,Leg Low,88,-95.4,4.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-88.4,-389.2,-13,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/1,"Orsanoas,Head,21.2,-594.8,5.5,0,5,1,1,0","Orsanoas,Neck,16,-550.4,9,0,9,1,1,0","Orsanoas,Body,-2.8,-372.4,-1,0,6,1,1,0","Orsanoas,Arm Up,-66.6,-415.2,16,0,4,1,1,0","Orsanoas,Arm Low,-28,-318.4,30,0,3,1,1,0","Orsanoas,Fist,18,-255.2,57,1,5,1,1,0","Orsanoas,Arm Up,77.6,-440.8,19,1,13,1,1,0","Orsanoas,Arm Low,107.2,-354.4,6,1,13,1,1,0","Orsanoas,Fist Back,107.2,-284.8,-4,1,11,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,64,-190.4,18.7,0,12,1,1,0","Orsanoas,Leg Low,88,-95.4,4.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-86.4,-377.2,-4,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/2,"Orsanoas,Head,11.2,-594.8,7.5,0,5,1,1,0","Orsanoas,Neck,10,-550.4,9,0,9,1,1,0","Orsanoas,Body,-2.8,-374.4,1,0,6,1,1,0","Orsanoas,Arm Up,-70.6,-411.2,22,0,4,1,1,0","Orsanoas,Arm Low,-14,-364.4,80,0,3,1,1,0","Orsanoas,Fist,56,-347.2,73,1,5,1,1,0","Orsanoas,Arm Up,77.6,-440.8,19,1,13,1,1,0","Orsanoas,Arm Low,71.2,-368.4,-36,1,6,1,1,0","Orsanoas,Fist,31.2,-316.8,-50,1,6,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,68,-190.4,21.7,0,12,1,1,0","Orsanoas,Leg Low,92,-95.4,1.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-86.4,-369.2,0,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/3,"Orsanoas,Head,5.2,-598.8,12.5,0,5,1,1,0","Orsanoas,Neck,6,-550.4,9,0,9,1,1,0","Orsanoas,Body,-2.8,-374.4,1,0,6,1,1,0","Orsanoas,Arm Up,-70.6,-411.2,25,0,4,1,1,0","Orsanoas,Arm Low,-12,-400.4,122,0,3,1,1,0","Orsanoas,Fist,52,-427.2,99,1,6,1,1,0","Orsanoas,Arm Up,77.6,-442.8,19,1,13,1,1,0","Orsanoas,Arm Low,61.2,-402.4,-85,1,6,1,1,0","Orsanoas,Fist,-2.4,-413.6,-104,1,6,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,68,-190.4,21.7,0,12,1,1,0","Orsanoas,Leg Low,92,-95.4,1.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-82.4,-359.2,3,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/4,"Orsanoas,Head,15.2,-594.8,3.5,0,5,1,1,0","Orsanoas,Neck,10,-550.4,9,0,9,1,1,0","Orsanoas,Body,1.2,-374.4,-1,0,6,1,1,0","Orsanoas,Arm Up,-66.6,-411.2,21,0,4,1,1,0","Orsanoas,Arm Low,-8,-400.4,120,0,3,1,1,0","Orsanoas,Fist,56,-427.2,97,1,6,1,1,0","Orsanoas,Arm Up,85.6,-438.8,17,1,13,1,1,0","Orsanoas,Arm Low,65.2,-398.4,-87,1,6,1,1,0","Orsanoas,Fist,1.6,-413.6,-111,1,6,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,68,-190.4,21.7,0,12,1,1,0","Orsanoas,Leg Low,92,-95.4,1.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-88.4,-369.2,-4,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
CityApprove/5,"Orsanoas,Head,59.2,-580.8,-10.5,0,5,1,1,0","Orsanoas,Neck,38,-550.4,18,0,9,1,1,0","Orsanoas,Body,9.2,-372.4,-6,0,6,1,1,0","Orsanoas,Arm Up,-50.6,-413.2,21,0,4,1,1,0","Orsanoas,Arm Low,8,-402.4,116,0,3,1,1,0","Orsanoas,Fist,72,-429.2,93,1,6,1,1,0","Orsanoas,Arm Up,97.6,-436.8,14,1,13,1,1,0","Orsanoas,Arm Low,77.2,-398.4,-93,1,6,1,1,0","Orsanoas,Fist,13.6,-413.6,-117,1,6,1,1,0","Orsanoas,Leg Up,-60.4,-188.4,-14.2,0,8,1,1,0","Orsanoas,Leg Low,-77,-94.4,-6,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,74,-194.4,25.7,0,12,1,1,0","Orsanoas,Leg Low,98,-99.4,-6.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-80.4,-397.2,-19,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/6,"Orsanoas,Head,59.2,-574.8,-15.5,0,5,1,1,0","Orsanoas,Neck,38,-550.4,18,0,9,1,1,0","Orsanoas,Body,9.2,-372.4,-6,0,6,1,1,0","Orsanoas,Arm Up,-50.6,-413.2,20,0,4,1,1,0","Orsanoas,Arm Low,8,-404.4,118,0,3,1,1,0","Orsanoas,Fist,72,-429.2,87,1,6,1,1,0","Orsanoas,Arm Up,97.6,-434.8,14,1,13,1,1,0","Orsanoas,Arm Low,73.2,-402.4,-96,1,6,1,1,0","Orsanoas,Fist,13.6,-411.6,-108,1,6,1,1,0","Orsanoas,Leg Up,-60.4,-188.4,-14.2,0,8,1,1,0","Orsanoas,Leg Low,-77,-94.4,-6,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,78,-194.4,27.7,0,12,1,1,0","Orsanoas,Leg Low,102,-99.4,-8.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-76.4,-397.2,-16,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
CityApprove/7,"Orsanoas,Head,51.2,-584.8,-4.5,0,5,1,1,0","Orsanoas,Neck,34,-550.4,18,0,9,1,1,0","Orsanoas,Body,9.2,-372.4,-4,0,6,1,1,0","Orsanoas,Arm Up,-50.6,-413.2,22,0,4,1,1,0","Orsanoas,Arm Low,8,-404.4,120,0,3,1,1,0","Orsanoas,Fist,72,-431.2,95,1,6,1,1,0","Orsanoas,Arm Up,97.6,-438.8,13,1,13,1,1,0","Orsanoas,Arm Low,73.2,-406.4,-94,1,6,1,1,0","Orsanoas,Fist,13.6,-417.6,-103,1,6,1,1,0","Orsanoas,Leg Up,-60.4,-188.4,-14.2,0,8,1,1,0","Orsanoas,Leg Low,-77,-94.4,-6,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,78,-194.4,27.7,0,12,1,1,0","Orsanoas,Leg Low,102,-99.4,-8.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-80.4,-391.2,-13,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityApprove/8,"Orsanoas,Head,15.2,-594.8,3.5,0,5,1,1,0","Orsanoas,Neck,10,-550.4,9,0,9,1,1,0","Orsanoas,Body,1.2,-374.4,-1,0,6,1,1,0","Orsanoas,Arm Up,-62.6,-411.2,21,0,4,1,1,0","Orsanoas,Arm Low,-8,-400.4,120,0,3,1,1,0","Orsanoas,Fist,56,-427.2,97,1,6,1,1,0","Orsanoas,Arm Up,81.6,-442.8,17,1,13,1,1,0","Orsanoas,Arm Low,65.2,-398.4,-87,1,6,1,1,0","Orsanoas,Fist,1.6,-413.6,-111,1,6,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,68,-190.4,21.7,0,12,1,1,0","Orsanoas,Leg Low,92,-95.4,1.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-88.4,-369.2,-4,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
CityApprove/9,"Orsanoas,Head,11.2,-594.8,7.5,0,5,1,1,0","Orsanoas,Neck,10,-550.4,9,0,9,1,1,0","Orsanoas,Body,-2.8,-374.4,1,0,6,1,1,0","Orsanoas,Arm Up,-78.6,-411.2,18,0,4,1,1,0","Orsanoas,Arm Low,-32,-350.4,69,0,3,1,1,0","Orsanoas,Fist,40,-323.2,73,1,5,1,1,0","Orsanoas,Arm Up,77.6,-440.8,19,1,13,1,1,0","Orsanoas,Arm Low,71.2,-368.4,-36,1,6,1,1,0","Orsanoas,Fist,31.2,-316.8,-50,1,6,1,1,0","Orsanoas,Leg Up,-56.4,-178.4,-10.2,0,8,1,1,0","Orsanoas,Leg Low,-73,-92.4,-14,0,12,1,1,0","Orsanoas,Foot,-64.8,-11.4,0.4,0,15,1,1,0","Orsanoas,Leg Up,68,-190.4,21.7,0,12,1,1,0","Orsanoas,Leg Low,92,-95.4,1.5,0,15,1,1,0","Orsanoas,Foot,110.2,-14.4,3.5,0,17,1,1,0",,,"Orsanoas,Cloak,-86.4,-369.2,0,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
