Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityBow/0,"Rodhinbar,Head,9,-483.4,-4,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-340.4,-6.5,0,6,1,1,0","Rodhinbar,Arm Up,-73,-362.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-50.8,-285.2,54,0,4,1,1,0","Rodhinbar,Fist,10.8,-247.6,53,0,5,1,1,0","Rodhinbar,Arm Up,56,-355.6,19.8,1,26,1,1,0","Rodhinbar,Arm Low,85.2,-278.4,14.3,1,16,1,1,0","Rodhinbar,Fist,98.8,-223.6,29.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,26,-194.4,11.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-33.6,-464.8,-6,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/1,"Rodhinbar,Head,15,-477.4,-7,0,6,1,1,0","Rodhinbar,Neck,4,-436.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-334.4,-4.5,0,6,1,1,0","Rodhinbar,Arm Up,-67,-354.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-44.8,-313.2,88,0,4,1,1,0","Rodhinbar,Fist,29.2,-315.2,83,0,5,1,1,0","Rodhinbar,Arm Up,58,-349.6,19.8,1,26,1,1,0","Rodhinbar,Arm Low,87.2,-272.4,14.3,1,16,1,1,0","Rodhinbar,Fist,100.8,-217.6,29.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-8,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-2.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-190.4,10.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-29.6,-458.8,-7,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/2,"Rodhinbar,Head,15,-473.4,-10,0,6,1,1,0","Rodhinbar,Neck,4,-434.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-330.4,-6.5,0,6,1,1,0","Rodhinbar,Arm Up,-41,-352.4,14,0,5,1,1,0","Rodhinbar,Arm Low,3.6,-334.6,130,0,4,1,1,0","Rodhinbar,Fist,45.6,-374.6,122,0,5,1,1,0","Rodhinbar,Arm Up,62,-343.6,19.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-266.4,6.3,1,16,1,1,0","Rodhinbar,Fist,88.8,-205.6,26.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-16.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-8,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-2.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-186.4,12.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-3,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-3,0,15,1,1,0",,,"Rodhinbar,Turban,-29.6,-458.8,-10,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityBow/3,"Rodhinbar,Head,41,-463.4,-22,0,6,1,1,0","Rodhinbar,Neck,24,-428.4,-5,0,9,1,1,0","Rodhinbar,Body,1.2,-324.4,-12.5,0,6,1,1,0","Rodhinbar,Arm Up,-27,-348.4,14,0,5,1,1,0","Rodhinbar,Arm Low,17.6,-330.6,130,0,4,1,1,0","Rodhinbar,Fist,59.6,-370.6,122,0,5,1,1,0","Rodhinbar,Arm Up,58,-343.6,10.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-254.4,6.3,1,16,1,1,0","Rodhinbar,Fist,88.8,-193.6,26.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-16.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-8,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-2.1,0,13,1,1,0","Rodhinbar,Leg Up,30,-182.4,21.7,0,12,1,1,0","Rodhinbar,Leg Low,36,-75.4,-9,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-3,0,15,1,1,0",,,"Rodhinbar,Turban,-1.6,-454.8,1,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
CityBow/4,"Rodhinbar,Head,77,-441.4,-27,0,6,1,1,0","Rodhinbar,Neck,54,-412.4,-16,0,9,1,1,0","Rodhinbar,Body,11.2,-310.4,-21.5,0,6,1,1,0","Rodhinbar,Arm Up,-7,-338.4,10,0,5,1,1,0","Rodhinbar,Arm Low,37.6,-320.6,126,0,4,1,1,0","Rodhinbar,Fist,81.6,-354.6,118,0,5,1,1,0","Rodhinbar,Arm Up,58,-343.6,10.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-254.4,6.3,1,16,1,1,0","Rodhinbar,Fist,88.8,-187.6,24.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-16.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-8,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-2.1,0,13,1,1,0","Rodhinbar,Leg Up,38,-182.4,26.7,0,12,1,1,0","Rodhinbar,Leg Low,38,-75.4,-9,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-3,0,15,1,1,0",,,"Rodhinbar,Turban,40.4,-432.8,0,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5,hold",,
CityIdle/0,"Rodhinbar,Head,13,-483.4,-4,0,6,1,1,0","Rodhinbar,Neck,-2,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-10.8,-340.4,-5.5,0,6,1,1,0","Rodhinbar,Arm Up,-73,-362.4,-14.4,0,5,1,1,0","Rodhinbar,Arm Low,-83.8,-286.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-76.8,-214,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,54,-351.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-270.4,12.3,1,16,1,1,0","Rodhinbar,Fist,92.8,-209.6,27.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,11.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-31.6,-460.8,-1,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityIdle/1,"Rodhinbar,Head,3,-483.4,-2,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-12.8,-340.4,-3.5,0,6,1,1,0","Rodhinbar,Arm Up,-75,-358.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-85.8,-282.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-78.8,-210,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,50,-351.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,73.2,-270.4,12.3,1,16,1,1,0","Rodhinbar,Fist,86.8,-207.6,22.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-37.6,-460.8,0,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,,
CityIdle/2,"Rodhinbar,Head,-1,-483.4,0,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-12.8,-340.4,-1.5,0,6,1,1,0","Rodhinbar,Arm Up,-79,-358.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-89.8,-282.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-82.8,-210,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,46,-355.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,69.2,-276.4,12.3,1,16,1,1,0","Rodhinbar,Fist,82.8,-211.6,27.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-41.6,-460.8,4,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.6,,
CityIdle/3,"Rodhinbar,Head,3,-483.4,-2,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-12.8,-340.4,-3.5,0,6,1,1,0","Rodhinbar,Arm Up,-75,-358.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-85.8,-282.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-78.8,-210,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,50,-351.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,73.2,-270.4,12.3,1,16,1,1,0","Rodhinbar,Fist,86.8,-207.6,22.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-37.6,-460.8,0,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.9,,
CityIdle/4,"Rodhinbar,Head,13,-483.4,-4,0,6,1,1,0","Rodhinbar,Neck,-2,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-10.8,-340.4,-5.5,0,6,1,1,0","Rodhinbar,Arm Up,-73,-362.4,-14.4,0,5,1,1,0","Rodhinbar,Arm Low,-83.8,-286.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-76.8,-214,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,54,-351.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-270.4,12.3,1,16,1,1,0","Rodhinbar,Fist,92.8,-209.6,27.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,11.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-31.6,-460.8,-1,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.6,,
CityIdle/5,"Rodhinbar,Head,15,-481.4,-5,0,6,1,1,0","Rodhinbar,Neck,4,-442.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-338.4,-4.5,0,6,1,1,0","Rodhinbar,Arm Up,-69,-360.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-79.8,-284.4,2.2,0,4,1,1,0","Rodhinbar,Fist,-72.8,-212,-2.2,0,5,1,1,0","Rodhinbar,Arm Up,56,-347.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-264.4,12.3,1,16,1,1,0","Rodhinbar,Fist,94.8,-201.6,27.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-194.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,28,-194.4,10.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-27.6,-458.8,0,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
CitySurprise/0,"Rodhinbar,Head,7,-483.4,-4,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-340.4,-1.5,0,6,1,1,0","Rodhinbar,Arm Up,-79,-358.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-73.8,-282.4,23.2,0,4,1,1,0","Rodhinbar,Fist,-46.8,-216,10.8,0,5,1,1,0","Rodhinbar,Arm Up,56,-355.6,19.8,1,26,1,1,0","Rodhinbar,Arm Low,85.2,-278.4,14.3,1,16,1,1,0","Rodhinbar,Fist,98.8,-223.6,29.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-41.6,-464.8,-4,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CitySurprise/1,"Rodhinbar,Head,21,-483.4,-7,0,6,1,1,0","Rodhinbar,Neck,10,-440.4,-1,0,9,1,1,0","Rodhinbar,Body,-2.8,-340.4,-4.5,0,6,1,1,0","Rodhinbar,Arm Up,-63,-358.4,-4.4,0,5,1,1,0","Rodhinbar,Arm Low,-35.8,-292.4,55.2,0,4,1,1,0","Rodhinbar,Fist,13.2,-246,23.8,0,5,1,1,0","Rodhinbar,Arm Up,58,-355.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,93.2,-278.4,21.3,1,16,1,1,0","Rodhinbar,Fist,116.8,-219.6,32.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-27.6,-464.8,-7,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CitySurprise/2,"Rodhinbar,Head,33,-479.4,-11,0,6,1,1,0","Rodhinbar,Neck,22,-436.4,-5,0,9,1,1,0","Rodhinbar,Body,-0.8,-338.4,-10.5,0,6,1,1,0","Rodhinbar,Arm Up,-53,-362.4,-4.4,0,5,1,1,0","Rodhinbar,Arm Low,-15.8,-312.4,75.2,0,4,1,1,0","Rodhinbar,Fist,47.2,-304,76,0,5,1,1,0","Rodhinbar,Arm Up,46,-359.6,13.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-278.4,21.3,1,16,1,1,0","Rodhinbar,Fist,104.8,-215.6,32.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-15.6,-464.8,-11,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,,
CitySurprise/3,"Rodhinbar,Head,39,-479.4,-13,0,6,1,1,0","Rodhinbar,Neck,28,-436.4,-7,0,9,1,1,0","Rodhinbar,Body,3.2,-338.4,-12.5,0,6,1,1,0","Rodhinbar,Arm Up,-37,-362.4,6.6,0,5,1,1,0","Rodhinbar,Arm Low,12.2,-334.4,109,0,4,1,1,0","Rodhinbar,Fist,72,-360.4,103,0,5,1,1,0","Rodhinbar,Arm Up,68,-347.6,6.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-264.4,3.3,1,16,1,1,0","Rodhinbar,Fist,80.8,-203.6,10.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-11.6,-468.8,-13,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,,
CitySurprise/4,"Rodhinbar,Head,43,-479.4,-15,0,6,1,1,0","Rodhinbar,Neck,32,-436.4,-9,0,9,1,1,0","Rodhinbar,Body,3.2,-338.4,-14.5,0,6,1,1,0","Rodhinbar,Arm Up,-7,-372.4,32.6,0,5,1,1,0","Rodhinbar,Arm Low,42.2,-366.4,134,0,4,1,1,0","Rodhinbar,Fist,82,-406.4,110,0,5,1,1,0","Rodhinbar,Arm Up,68,-347.6,6.8,1,26,1,1,0","Rodhinbar,Arm Low,79.2,-260.4,0.3,1,16,1,1,0","Rodhinbar,Fist,76.8,-199.6,7.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-5.6,-464.8,-3,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.6,,
CitySurprise/5,"Rodhinbar,Head,43,-479.4,-17,0,6,1,1,0","Rodhinbar,Neck,32,-436.4,-9,0,9,1,1,0","Rodhinbar,Body,3.2,-338.4,-14.5,0,6,1,1,0","Rodhinbar,Arm Up,-7,-372.4,32.6,0,5,1,1,0","Rodhinbar,Arm Low,38.2,-376.4,150,0,4,1,1,0","Rodhinbar,Fist,68,-430.4,122,0,5,1,1,0","Rodhinbar,Arm Up,64,-347.6,4.8,1,26,1,1,0","Rodhinbar,Arm Low,75.2,-260.4,0.3,1,16,1,1,0","Rodhinbar,Fist,72.8,-199.6,7.7,1,18,1,1,0","Rodhinbar,Leg Up,-41,-198.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-1.6,-468.8,1,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
CityTalk/0,"Rodhinbar,Head,7,-483.4,-4,0,6,1,1,0","Rodhinbar,Neck,-4,-440.4,2,0,9,1,1,0","Rodhinbar,Body,-8.8,-340.4,-1.5,0,6,1,1,0","Rodhinbar,Arm Up,-79,-358.4,-12.4,0,5,1,1,0","Rodhinbar,Arm Low,-73.8,-282.4,23.2,0,4,1,1,0","Rodhinbar,Fist,-46.8,-216,10.8,0,5,1,1,0","Rodhinbar,Arm Up,56,-355.6,19.8,1,26,1,1,0","Rodhinbar,Arm Low,85.2,-278.4,14.3,1,16,1,1,0","Rodhinbar,Fist,98.8,-223.6,29.7,1,18,1,1,0","Rodhinbar,Leg Up,-43,-190.4,-14.2,0,8,1,1,0","Rodhinbar,Leg Low,-65,-76.4,-6,0,10,1,1,0","Rodhinbar,Foot,-46.8,-13.4,-4.1,0,13,1,1,0","Rodhinbar,Leg Up,32,-194.4,9.7,0,12,1,1,0","Rodhinbar,Leg Low,32,-75.4,-1,0,13,1,1,0","Rodhinbar,Foot,56.2,-16.4,-1,0,15,1,1,0",,,"Rodhinbar,Turban,-41.6,-464.8,-4,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
