Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_Bow/0,"Lisha,Head,13.0,-599.4,-2,0,4,1,1,0","Lisha,Neck,-12.0,-546.4,-2,0,8,1,1,0","Lisha,Body,-6.4,-378.8,2,0,6,1,1,0","Lisha,Arm Up,-83.0,-420.4,7.6,0,8,1,1,0","Lisha,Arm Low,-63.2,-344.4,78,0,3,1,1,0","White_human,Open,6.8,-296.0,55,0,3,1,1,0","Lisha,Arm Up,67.2,-440.4,15,1,18,1,1,0","Lisha,Arm Low,80.0,-350.8,-12,0,5,1,1,0","White_human,Fist,27.2,-292.4,-55,1,4,1,1,0","Lisha,Leg Up,2.4,-146.4,-0.2,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Bow/1,"Lisha,Head,23.0,-591.4,-4,0,4,1,1,0","Lisha,Neck,2.0,-542.4,-2,0,8,1,1,0","Lisha,Body,-2.4,-374.8,-1,0,6,1,1,0","Lisha,Arm Up,-77.0,-416.4,7.6,0,8,1,1,0","Lisha,Arm Low,-57.2,-340.4,78,0,3,1,1,0","White_human,Open,12.8,-292.0,55,0,3,1,1,0","Lisha,Arm Up,73.2,-436.4,13,1,18,1,1,0","Lisha,Arm Low,80.0,-350.8,-14,0,5,1,1,0","White_human,Fist,27.2,-292.4,-57,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-0.2,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Bow/2,"Lisha,Head,27.0,-585.4,-2,0,4,1,1,0","Lisha,Neck,-4.0,-542.4,1,0,8,1,1,0","Lisha,Body,-2.4,-370.8,0,0,6,1,1,0","Lisha,Arm Up,-79.0,-410.4,5.6,0,8,1,1,0","Lisha,Arm Low,-59.2,-334.4,76,0,3,1,1,0","White_human,Open,10.8,-286.0,53,0,3,1,1,0","Lisha,Arm Up,71.2,-428.4,9,1,18,1,1,0","Lisha,Arm Low,80.0,-338.8,-14,0,5,1,1,0","White_human,Fist,27.2,-280.4,-57,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-1,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Bow/3,"Lisha,Head,41.0,-577.4,-10,0,4,1,1,0","Lisha,Neck,2.0,-536.4,1,0,8,1,1,0","Lisha,Body,1.6,-366.8,-2,0,6,1,1,0","Lisha,Arm Up,-73.0,-410.4,5.6,0,8,1,1,0","Lisha,Arm Low,-53.2,-334.4,76,0,3,1,1,0","White_human,Open,16.8,-286.0,53,0,3,1,1,0","Lisha,Arm Up,83.2,-416.4,7,1,18,1,1,0","Lisha,Arm Low,88.0,-330.8,-14,0,5,1,1,0","White_human,Fist,35.2,-272.4,-57,1,4,1,1,0","Lisha,Leg Up,-5.6,-146.4,-1,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Bow/4,"Lisha,Head,57.0,-561.4,-17,0,4,1,1,0","Lisha,Neck,14.0,-534.4,-7,0,8,1,1,0","Lisha,Body,5.6,-362.8,-4,0,6,1,1,0","Lisha,Arm Up,-67.0,-404.4,5.6,0,8,1,1,0","Lisha,Arm Low,-47.2,-328.4,76,0,3,1,1,0","White_human,Open,22.8,-280.0,53,0,3,1,1,0","Lisha,Arm Up,83.2,-402.4,1,1,18,1,1,0","Lisha,Arm Low,84.0,-318.8,-14,0,5,1,1,0","White_human,Fist,31.2,-260.4,-57,1,4,1,1,0","Lisha,Leg Up,-9.6,-142.4,-3,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hold,play_time_mod_1.5",,
EXCLUDE_Idle/0,"Lisha,Head,13.0,-599.4,-2,0,4,1,1,0","Lisha,Neck,-12.0,-546.4,-2,0,8,1,1,0","Lisha,Body,-6.4,-378.8,2,0,6,1,1,0","Lisha,Arm Up,-83.0,-420.4,7.6,0,8,1,1,0","Lisha,Arm Low,-63.2,-344.4,78,0,3,1,1,0","White_human,Open,6.8,-296.0,55,0,3,1,1,0","Lisha,Arm Up,67.2,-440.4,15,1,18,1,1,0","Lisha,Arm Low,80.0,-350.8,-12,0,5,1,1,0","White_human,Fist,27.2,-292.4,-55,1,4,1,1,0","Lisha,Leg Up,2.4,-146.4,-0.2,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
EXCLUDE_Idle/1,"Lisha,Head,17.0,-595.4,-4,0,4,1,1,0","Lisha,Neck,-12.0,-546.4,-2,0,8,1,1,0","Lisha,Body,-6.4,-374.8,2,0,6,1,1,0","Lisha,Arm Up,-83.0,-414.4,7.6,0,8,1,1,0","Lisha,Arm Low,-63.2,-338.4,78,0,3,1,1,0","White_human,Open,6.8,-290.0,55,0,3,1,1,0","Lisha,Arm Up,67.2,-436.4,11,1,18,1,1,0","Lisha,Arm Low,76.0,-346.8,-12,0,5,1,1,0","White_human,Fist,23.2,-288.4,-55,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-2.2,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
EXCLUDE_Idle/2,"Lisha,Head,25.0,-591.4,-4,0,4,1,1,0","Lisha,Neck,-4.0,-542.4,1,0,8,1,1,0","Lisha,Body,-2.4,-370.8,0,0,6,1,1,0","Lisha,Arm Up,-79.0,-410.4,5.6,0,8,1,1,0","Lisha,Arm Low,-59.2,-334.4,76,0,3,1,1,0","White_human,Open,10.8,-286.0,53,0,3,1,1,0","Lisha,Arm Up,71.2,-428.4,9,1,18,1,1,0","Lisha,Arm Low,80.0,-338.8,-14,0,5,1,1,0","White_human,Fist,27.2,-280.4,-57,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-3,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.7,
EXCLUDE_Idle/3,"Lisha,Head,25.0,-587.4,-4,0,4,1,1,0","Lisha,Neck,-4.0,-542.4,1,0,8,1,1,0","Lisha,Body,-2.4,-366.8,0,0,6,1,1,0","Lisha,Arm Up,-79.0,-406.4,5.6,0,8,1,1,0","Lisha,Arm Low,-59.2,-330.4,76,0,3,1,1,0","White_human,Open,10.8,-282.0,53,0,3,1,1,0","Lisha,Arm Up,71.2,-424.4,9,1,18,1,1,0","Lisha,Arm Low,80.0,-334.8,-14,0,5,1,1,0","White_human,Fist,27.2,-276.4,-57,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-1,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.7,
EXCLUDE_Idle/4,"Lisha,Head,25.0,-591.4,-4,0,4,1,1,0","Lisha,Neck,-4.0,-542.4,1,0,8,1,1,0","Lisha,Body,-2.4,-370.8,0,0,6,1,1,0","Lisha,Arm Up,-79.0,-410.4,5.6,0,8,1,1,0","Lisha,Arm Low,-59.2,-334.4,76,0,3,1,1,0","White_human,Open,10.8,-286.0,53,0,3,1,1,0","Lisha,Arm Up,71.2,-428.4,9,1,18,1,1,0","Lisha,Arm Low,80.0,-338.8,-14,0,5,1,1,0","White_human,Fist,27.2,-280.4,-57,1,4,1,1,0","Lisha,Leg Up,-1.6,-146.4,-3,0,8,1,1,0",,"Lisha,Foot,-42.8,-15.4,-3.1,0,13,1,1,0",,,"Lisha,Foot,76.2,-22.4,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
