Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Mannequin,Head,-14.4,-391.2,-2.5,0,2,1,1,0",,,"Mannequin,Arm Up,-123.0,-416.4,-89.6,0,4,1,1,0",,,"Mannequin,Arm Up,86.8,-417.6,89,1,13,1,1,0",,,"Mannequin,Leg Up,-5.0,-182.4,0,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Mannequin,Head,-164.4,-401.6,25.5,0,3,1,1,0",,,"Mannequin,Arm Up,-301.0,-392.4,-68.1,0,4,1,1,0",,,"Mannequin,Arm Up,-33.2,-475.6,107.5,1,13,1,1,0",,,"Mannequin,Leg Up,-37.0,-188.4,29.3,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Mannequin,Head,-234.4,-252.0,16.5,0,3,1,1,0",,,"Mannequin,Arm Up,-359.6,-264.2,-68.1,0,4,1,1,0",,,"Mannequin,Arm Up,-91.6,-347.2,107.5,1,13,1,1,0",,,"Mannequin,Leg Up,-21.6,-71.6,57,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/2,"Mannequin,Head,-252.0,-206.4,25.5,0,3,1,1,0",,,"Mannequin,Arm Up,-352.0,-195.6,-68.1,0,4,1,1,0",,,"Mannequin,Arm Up,-84.0,-278.4,107.5,1,13,1,1,0",,,"Mannequin,Leg Up,4.4,-67.6,95.5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"Mannequin,Head,-240.0,-189.6,25.5,0,3,1,1,0",,,"Mannequin,Arm Up,-352.0,-145.6,-68.1,0,4,1,1,0",,,"Mannequin,Arm Up,-84.0,-228.4,107.5,1,13,1,1,0",,,"Mannequin,Leg Up,42.4,-51.6,107.5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"Mannequin,Head,-307.2,-228.0,49.5,0,3,1,1,0",,,"Mannequin,Arm Up,-284.0,-57.6,23.6,0,4,1,1,0",,,"Mannequin,Arm Up,-165.6,-213.6,107.5,1,13,1,1,0",,,"Mannequin,Leg Up,60.4,-27.6,80.5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"Mannequin,Head,-372.0,-189.6,86,0,3,1,1,0",,,"Mannequin,Arm Up,-230.4,-21.6,101.9,0,4,1,1,0",,,"Mannequin,Arm Up,-195.6,-215.6,145.7,1,13,1,1,0",,,"Mannequin,Leg Up,60.4,-13.6,86.5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"Mannequin,Head,-334.4,-50.4,99,0,3,1,1,0",,,"Mannequin,Arm Up,-230.4,-21.6,94.9,0,4,1,1,0",,,"Mannequin,Arm Up,-231.6,-215.6,158.7,1,13,1,1,0",,,"Mannequin,Leg Up,60.4,-13.6,86.5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyDamaged/0,"Mannequin,Head,-148.4,-389.6,19.5,0,3,1,1,0",,,"Mannequin,Arm Up,-293.0,-356.4,-75.1,0,4,1,1,0",,,"Mannequin,Arm Up,-25.2,-421.6,100.5,1,13,1,1,0",,,"Mannequin,Leg Up,-29.0,-134.4,22.3,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Idle/0,"Mannequin,Head,-14.4,-391.2,-2.5,0,2,1,1,0",,,"Mannequin,Arm Up,-123.0,-416.4,-89.6,0,4,1,1,0",,,"Mannequin,Arm Up,86.8,-417.6,89,1,13,1,1,0",,,"Mannequin,Leg Up,-5.0,-182.4,0,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
