Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Orgatonion,Head,121.6,-439.6,-31.5,0,10,1,1,0","Orgatonion,Neck,84.0,-424.4,-23,0,13,1,1,0","Orgatonion,Body,49.2,-276.4,-12,0,12,1,1,0","Orgatonion,Arm Up,70.4,-333.2,76,0,10,1,1,0","Orgatonion,Arm Low,153.6,-323.2,92,0,9,1,1,0","White_human,Open,204.0,-333.6,100,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,127.2,-156.8,38,1,15,1,1,0","Orgatonion,Leg Up,37.6,-158.8,16.8,0,14,1,1,0","Orgatonion,Leg Low,69.6,-80.8,4,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,0.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,1.5,0,22,1,1,0",,,"Item,Pen,220.0,-340.4,-139,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,"Parchment_write,500,10"
CityIdle/1,"Orgatonion,Head,125.6,-435.6,-34.5,0,10,1,1,0","Orgatonion,Neck,84.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,53.2,-276.4,-14,0,12,1,1,0","Orgatonion,Arm Up,74.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,157.6,-317.2,92,0,9,1,1,0","White_human,Open,208.0,-327.6,100,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,135.2,-154.8,36,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,18.8,0,14,1,1,0","Orgatonion,Leg Low,69.6,-80.8,6,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,0.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,1.5,0,22,1,1,0",,,"Item,Pen,224.0,-332.4,-139,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/2,"Orgatonion,Head,125.6,-435.6,-36.5,0,10,1,1,0","Orgatonion,Neck,84.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,53.2,-276.4,-14,0,12,1,1,0","Orgatonion,Arm Up,74.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,157.6,-313.2,90,0,9,1,1,0","White_human,Open,212.0,-319.6,97,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,131.2,-154.8,32,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,18.8,0,14,1,1,0","Orgatonion,Leg Low,69.6,-80.8,6,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,0.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,1.5,0,22,1,1,0",,,"Item,Pen,230.0,-324.4,-141,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/3,"Orgatonion,Head,107.6,-449.6,-27.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,49.2,-276.4,-10,0,12,1,1,0","Orgatonion,Arm Up,74.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,157.6,-329.2,107,0,9,1,1,0","White_human,Open,212.0,-353.6,112,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-158.8,33,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,20.8,0,14,1,1,0","Orgatonion,Leg Low,69.6,-80.8,8,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,230.0,-350.4,-130,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/4,"Orgatonion,Head,99.6,-449.6,-21.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,49.2,-276.4,-7,0,12,1,1,0","Orgatonion,Arm Up,70.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,147.6,-339.2,121,0,9,1,1,0","White_human,Open,202.0,-373.6,122,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,137.2,-162.8,35,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,23.8,0,14,1,1,0","Orgatonion,Leg Low,73.6,-80.8,9,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,218.0,-378.4,-117,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/5,"Orgatonion,Head,109.6,-441.6,-29.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,53.2,-276.4,-9,0,12,1,1,0","Orgatonion,Arm Up,78.4,-329.2,71,0,10,1,1,0","Orgatonion,Arm Low,155.6,-329.2,116,0,9,1,1,0","White_human,Open,214.0,-361.6,116,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-162.8,39,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,20.8,0,14,1,1,0","Orgatonion,Leg Low,73.6,-82.8,7,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,224.0,-370.4,-146,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/6,"Orgatonion,Head,109.6,-441.6,-31.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,53.2,-276.4,-9,0,12,1,1,0","Orgatonion,Arm Up,78.4,-329.2,71,0,10,1,1,0","Orgatonion,Arm Low,155.6,-323.2,109,0,9,1,1,0","White_human,Open,214.0,-349.6,112,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-158.8,31,1,15,1,1,0","Orgatonion,Leg Up,41.6,-154.8,18.8,0,14,1,1,0","Orgatonion,Leg Low,67.6,-80.8,5,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,232.0,-354.4,-150,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,"Parchment_write,500,10"
CityIdle/7,"Orgatonion,Head,115.6,-437.6,-34.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,57.2,-276.4,-12,0,12,1,1,0","Orgatonion,Arm Up,78.4,-325.2,69,0,10,1,1,0","Orgatonion,Arm Low,155.6,-319.2,104,0,9,1,1,0","White_human,Open,214.0,-339.6,108,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-158.8,29,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,14.8,0,14,1,1,0","Orgatonion,Leg Low,67.6,-80.8,2,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,238.0,-336.4,-148,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/8,"Orgatonion,Head,103.6,-449.6,-27.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,49.2,-276.4,-10,0,12,1,1,0","Orgatonion,Arm Up,74.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,157.6,-329.2,107,0,9,1,1,0","White_human,Open,212.0,-353.6,112,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-158.8,33,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,20.8,0,14,1,1,0","Orgatonion,Leg Low,69.6,-80.8,8,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,230.0,-350.4,-130,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/9,"Orgatonion,Head,85.6,-453.6,-13.5,0,10,1,1,0","Orgatonion,Neck,74.0,-424.4,-28,0,13,1,1,0","Orgatonion,Body,49.2,-276.4,-7,0,12,1,1,0","Orgatonion,Arm Up,70.4,-329.2,74,0,10,1,1,0","Orgatonion,Arm Low,147.6,-339.2,121,0,9,1,1,0","White_human,Open,202.0,-373.6,122,1,14,1,1,0","Orgatonion,Arm Up,100.4,-301.2,-50,1,19,1,1,0","Orgatonion,Arm Low,88.8,-211.2,14,1,15,1,1,0","White_human,Open,133.2,-158.8,33,1,15,1,1,0","Orgatonion,Leg Up,41.6,-158.8,23.8,0,14,1,1,0","Orgatonion,Leg Low,73.6,-80.8,9,0,18,1,1,0","Orgatonion,Foot,54.4,-17.2,2.4,0,19,1,1,0",,,"Orgatonion,Foot,149.6,-26.8,3.5,0,22,1,1,0",,,"Item,Pen,218.0,-378.4,-117,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
