Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Picrieas,Head,4.4,-565.2,1,0,14,1,1,0",,"Picrieas,Body,-2.8,-392.4,0.5,0,15,1,1,0","Picrieas,Arm Up,-103.0,-428.4,-17,0,11,1,1,0","Picrieas,Arm Low,-88.0,-348.0,53,0,12,1,1,0","Noble2,Fist,-28.4,-318.8,70,0,13,1,1,0","Picrieas,Arm Up,85.6,-438.0,11,1,22,1,1,0","Picrieas,Arm Low,114.0,-331.6,15,1,24,1,1,0","Noble2,Fist,128.0,-267.6,8,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,9,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,7.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,0.0,-442.8,-4,0,25,1,1,0","Picrieas,Staff,3.2,-362.8,-28,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"Picrieas,Head,14.4,-561.2,-1,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,-1.5,0,15,1,1,0","Picrieas,Arm Up,-99.0,-428.4,-19,0,11,1,1,0","Picrieas,Arm Low,-84.0,-348.0,51,0,12,1,1,0","Noble2,Fist,-24.4,-316.8,68,0,13,1,1,0","Picrieas,Arm Up,91.6,-432.0,9,1,22,1,1,0","Picrieas,Arm Low,116.0,-325.6,12,1,24,1,1,0","Noble2,Fist,126.0,-261.6,9,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,9,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,7.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-432.8,-9,0,25,1,1,0","Picrieas,Staff,9.2,-358.8,-30,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"Picrieas,Head,22.4,-559.2,-3,0,14,1,1,0",,"Picrieas,Body,5.2,-384.4,-3.5,0,15,1,1,0","Picrieas,Arm Up,-89.0,-428.4,-21,0,11,1,1,0","Picrieas,Arm Low,-74.0,-348.0,49,0,12,1,1,0","Noble2,Fist,-20.4,-312.8,65,0,13,1,1,0","Picrieas,Arm Up,95.6,-428.0,9,1,22,1,1,0","Picrieas,Arm Low,116.0,-319.6,9,1,24,1,1,0","Noble2,Fist,120.0,-255.6,4,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,12,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,5.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,2,0,27,1,1,0",,,"Picrieas,Cloak,8.0,-434.8,-7,0,25,1,1,0","Picrieas,Staff,17.2,-352.8,-34,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/3,"Picrieas,Head,34.4,-553.2,-5,0,14,1,1,0",,"Picrieas,Body,9.2,-380.4,-5.5,0,15,1,1,0","Picrieas,Arm Up,-81.0,-424.4,-23,0,11,1,1,0","Picrieas,Arm Low,-66.0,-344.0,47,0,12,1,1,0","Noble2,Fist,-16.4,-308.8,61,0,13,1,1,0","Picrieas,Arm Up,103.6,-420.0,9,1,22,1,1,0","Picrieas,Arm Low,124.0,-311.6,9,1,24,1,1,0","Noble2,Fist,128.0,-247.6,4,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,16,0,20,1,1,0","Picrieas,Leg Low,86.0,-93.4,2.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,2,0,27,1,1,0",,,"Picrieas,Cloak,18.0,-428.8,-9,0,25,1,1,0","Picrieas,Staff,27.2,-342.8,-40,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/4,"Picrieas,Head,22.4,-559.2,-3,0,14,1,1,0",,"Picrieas,Body,5.2,-384.4,-3.5,0,15,1,1,0","Picrieas,Arm Up,-89.0,-428.4,-21,0,11,1,1,0","Picrieas,Arm Low,-74.0,-348.0,49,0,12,1,1,0","Noble2,Fist,-20.4,-312.8,65,0,13,1,1,0","Picrieas,Arm Up,95.6,-428.0,9,1,22,1,1,0","Picrieas,Arm Low,116.0,-319.6,9,1,24,1,1,0","Noble2,Fist,120.0,-255.6,4,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,12,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,5.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,2,0,27,1,1,0",,,"Picrieas,Cloak,8.0,-434.8,-7,0,25,1,1,0","Picrieas,Staff,17.2,-352.8,-34,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/5,"Picrieas,Head,14.4,-561.2,-1,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,-1.5,0,15,1,1,0","Picrieas,Arm Up,-99.0,-428.4,-19,0,11,1,1,0","Picrieas,Arm Low,-84.0,-348.0,51,0,12,1,1,0","Noble2,Fist,-24.4,-316.8,68,0,13,1,1,0","Picrieas,Arm Up,91.6,-432.0,9,1,22,1,1,0","Picrieas,Arm Low,116.0,-325.6,12,1,24,1,1,0","Noble2,Fist,126.0,-261.6,9,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,9,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,7.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-432.8,-9,0,25,1,1,0","Picrieas,Staff,9.2,-358.8,-30,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityTalk/0,"Picrieas,Head,14.4,-561.2,-1,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,-1.5,0,15,1,1,0","Picrieas,Arm Up,-93.0,-422.4,-9,0,11,1,1,0","Picrieas,Arm Low,-66.0,-348.0,55,0,12,1,1,0","Noble2,Fist,-6.4,-316.8,72,0,13,1,1,0","Picrieas,Arm Up,91.6,-432.0,9,1,22,1,1,0","Picrieas,Arm Low,116.0,-325.6,12,1,24,1,1,0","Noble2,Fist,126.0,-261.6,9,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-13.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-8,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,56.0,-216.8,9,0,20,1,1,0","Picrieas,Leg Low,80.0,-93.4,7.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-432.8,-9,0,25,1,1,0","Picrieas,Staff,25.2,-358.8,-26,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/1,"Picrieas,Head,6.4,-561.2,4,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,0.5,0,15,1,1,0","Picrieas,Arm Up,-79.0,-418.4,4,0,11,1,1,0","Picrieas,Arm Low,-40.0,-348.0,64,0,12,1,1,0","Noble2,Fist,17.6,-330.8,85,0,13,1,1,0","Picrieas,Arm Up,87.6,-438.0,17,1,22,1,1,0","Picrieas,Arm Low,130.0,-327.6,27,1,24,1,1,0","Noble2,Fist,152.0,-267.6,24,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-9.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-11,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,62.0,-216.8,14,0,20,1,1,0","Picrieas,Leg Low,88.0,-93.4,0.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-432.8,-9,0,25,1,1,0","Picrieas,Staff,37.2,-370.8,-16,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/2,"Picrieas,Head,4.4,-561.2,6,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,0.5,0,15,1,1,0","Picrieas,Arm Up,-61.0,-418.4,23,0,11,1,1,0","Picrieas,Arm Low,6.0,-350.0,68,0,12,1,1,0","Noble2,Twopoint,87.6,-334.8,87,0,13,1,1,0","Picrieas,Arm Up,85.6,-438.0,21,1,22,1,1,0","Picrieas,Arm Low,138.0,-327.6,27,1,24,1,1,0","Noble2,Open,162.0,-261.6,23,1,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-9.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-11,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,62.0,-216.8,14,0,20,1,1,0","Picrieas,Leg Low,88.0,-93.4,0.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-428.8,-6,0,25,1,1,0","Picrieas,Staff,83.2,-384.8,-10,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/3,"Picrieas,Head,4.4,-561.2,8,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,0.5,0,15,1,1,0","Picrieas,Arm Up,-41.0,-432.4,51,0,11,1,1,0","Picrieas,Arm Low,56.0,-372.0,74,0,12,1,1,0","Noble2,Twopoint,141.6,-362.8,86,0,13,1,1,0","Picrieas,Arm Up,85.6,-438.0,21,1,22,1,1,0","Picrieas,Arm Low,138.0,-327.6,30,1,24,1,1,0","Noble2,Open,168.0,-265.6,31,0,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-9.2,0,17,1,1,0","Picrieas,Leg Low,-77.0,-92.4,-11,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,62.0,-216.8,14,0,20,1,1,0","Picrieas,Leg Low,88.0,-93.4,0.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,4.0,-428.8,-8,0,25,1,1,0","Picrieas,Staff,134.8,-412.8,-6,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/4,"Picrieas,Head,0.4,-561.2,12,0,14,1,1,0",,"Picrieas,Body,1.2,-388.4,2.5,0,15,1,1,0","Picrieas,Arm Up,-37.0,-436.4,56,0,11,1,1,0","Picrieas,Arm Low,68.0,-390.0,81,0,12,1,1,0","Noble2,Twopoint,147.6,-392.8,88,0,13,1,1,0","Picrieas,Arm Up,85.6,-444.0,26,1,22,1,1,0","Picrieas,Arm Low,154.0,-335.6,39,1,24,1,1,0","Noble2,Open,196.0,-283.6,50,0,27,1,1,0","Picrieas,Leg Up,-57.0,-214.4,-7.2,0,17,1,1,0","Picrieas,Leg Low,-73.0,-92.4,-13,0,23,1,1,0","Picrieas,Foot,-72.8,-17.4,-1,0,26,1,1,0","Picrieas,Leg Up,70.0,-212.8,16,0,20,1,1,0","Picrieas,Leg Low,94.0,-93.4,-2.5,0,25,1,1,0","Picrieas,Foot,106.2,-20.4,3,0,27,1,1,0",,,"Picrieas,Cloak,0.0,-424.8,-11,0,25,1,1,0","Picrieas,Staff,140.8,-442.8,-4,0,14,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5,hold",play_time_mod_0.7,
