Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Cheer/0,"Rabbit_sling,Head,14.2,-167.0,-1,0,2,1,1,0","Rabbit_sling,Neck,6.2,-129.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-121.8,-122,0,5,1,1,0","Rabbit_sling,Arm Low,-58.8,-150.4,-142,0,4,1,1,0","Rabbit_sling,Fist,-82.0,-178.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-120.2,127,1,13,1,1,0","Rabbit_sling,Arm Low,69.8,-147.4,150,1,13,1,1,0","Rabbit_sling,Fist,94.8,-175.6,117,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-38.6,-242.6,63,0,0,1,1,0","Rabbit_sling,Ear_back,-1.4,-254.6,46,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Cheer/1,"Rabbit_sling,Head,12.2,-171.0,9,0,2,1,1,0","Rabbit_sling,Neck,6.2,-135.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-129.8,-132,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-153,0,4,1,1,0","Rabbit_sling,Fist,-72.0,-190.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-126.2,136,1,13,1,1,0","Rabbit_sling,Arm Low,65.8,-157.4,168,1,13,1,1,0","Rabbit_sling,Fist,84.8,-187.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-52.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-15.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Cheer/2,"Rabbit_sling,Head,8.2,-175.0,15,0,2,1,1,0","Rabbit_sling,Neck,4.2,-135.8,10,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-139.8,-117,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-150,0,4,1,1,0","Rabbit_sling,Fist,-78.0,-194.0,-121,1,2,1,1,0","Rabbit_sling,Arm Up,37.8,-132.2,149,1,13,1,1,0","Rabbit_sling,Arm Low,53.8,-167.4,169,1,13,1,1,0","Rabbit_sling,Fist,72.8,-203.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-56.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-19.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,"Small Clap4,1000,10"
Cheer/3,"Rabbit_sling,Head,12.2,-171.0,9,0,2,1,1,0","Rabbit_sling,Neck,6.2,-135.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-129.8,-132,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-153,0,4,1,1,0","Rabbit_sling,Fist,-72.0,-190.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-126.2,136,1,13,1,1,0","Rabbit_sling,Arm Low,65.8,-157.4,168,1,13,1,1,0","Rabbit_sling,Fist,84.8,-187.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-52.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-15.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
CheerFast/0,"Rabbit_sling,Head,14.2,-167.0,-1,0,2,1,1,0","Rabbit_sling,Neck,6.2,-129.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-121.8,-122,0,5,1,1,0","Rabbit_sling,Arm Low,-58.8,-150.4,-142,0,4,1,1,0","Rabbit_sling,Fist,-82.0,-178.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-120.2,127,1,13,1,1,0","Rabbit_sling,Arm Low,69.8,-147.4,150,1,13,1,1,0","Rabbit_sling,Fist,94.8,-175.6,117,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-38.6,-242.6,63,0,0,1,1,0","Rabbit_sling,Ear_back,-1.4,-254.6,46,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Clap5,1000,10"
CheerFast/1,"Rabbit_sling,Head,12.2,-171.0,9,0,2,1,1,0","Rabbit_sling,Neck,6.2,-135.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-129.8,-132,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-153,0,4,1,1,0","Rabbit_sling,Fist,-72.0,-190.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-126.2,136,1,13,1,1,0","Rabbit_sling,Arm Low,65.8,-157.4,168,1,13,1,1,0","Rabbit_sling,Fist,84.8,-187.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-52.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-15.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Clap7,1000,10"
CheerFast/2,"Rabbit_sling,Head,8.2,-175.0,15,0,2,1,1,0","Rabbit_sling,Neck,4.2,-135.8,10,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-139.8,-117,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-150,0,4,1,1,0","Rabbit_sling,Fist,-78.0,-194.0,-121,1,2,1,1,0","Rabbit_sling,Arm Up,37.8,-132.2,149,1,13,1,1,0","Rabbit_sling,Arm Low,53.8,-167.4,169,1,13,1,1,0","Rabbit_sling,Fist,72.8,-203.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-56.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-19.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Clap4,1000,10"
CheerFast/3,"Rabbit_sling,Head,12.2,-171.0,9,0,2,1,1,0","Rabbit_sling,Neck,6.2,-135.8,8,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-29.8,-129.8,-132,0,5,1,1,0","Rabbit_sling,Arm Low,-56.8,-164.4,-153,0,4,1,1,0","Rabbit_sling,Fist,-72.0,-190.0,-116,1,2,1,1,0","Rabbit_sling,Arm Up,43.8,-126.2,136,1,13,1,1,0","Rabbit_sling,Arm Low,65.8,-157.4,168,1,13,1,1,0","Rabbit_sling,Fist,84.8,-187.6,124,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-52.6,-234.6,79,0,0,1,1,0","Rabbit_sling,Ear_back,-15.4,-254.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Clap6,1000,10"
Default/0,"Rabbit_sling,Head,14.2,-171.0,-9,0,2,1,1,0","Rabbit_sling,Neck,6.2,-135.8,-3,0,4,1,1,0","Rabbit_sling,Body,8.6,-73.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,-23.8,-103.8,-70,0,5,1,1,0","Rabbit_sling,Arm Low,-62.2,-97.4,-82,0,4,1,1,0","Rabbit_sling,Fist,-97.0,-91.0,-100,0,9,1,1,0","Rabbit_sling,Arm Up,43.8,-104.2,65,1,13,1,1,0","Rabbit_sling,Arm Low,83.8,-97.4,77,1,13,1,1,0","Rabbit_sling,Fist,111.4,-83.8,17,0,19,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-36.6,-242.6,66,0,0,1,1,0","Rabbit_sling,Ear_back,-5.4,-248.6,52,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execute/0,"Rabbit_sling,Head,18.2,-155.0,-31,0,2,1,1,0","Rabbit_sling,Neck,6.2,-131.8,-3,0,4,1,1,0","Rabbit_sling,Body,8.6,-69.8,-1.5,0,5,1,1,0","Rabbit_sling,Arm Up,6.2,-87.8,62,0,5,1,1,0","Rabbit_sling,Arm Low,36.0,-63.6,50,0,4,1,1,0","Rabbit_sling,Fist,57.6,-53.6,51,0,2,1,1,0","Rabbit_sling,Arm Up,51.8,-86.2,36,1,13,1,1,0","Rabbit_sling,Arm Low,67.8,-89.4,-149,1,13,1,1,0","Rabbit_sling,Fist,57.4,-121.8,171.0,0,7,1,1,0",,,,,,,,,"Rabbit_sling,Ear,-12.6,-238.6,46,0,0,1,1,0","Rabbit_sling,Ear_back,22.6,-238.6,28,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
