Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Shopper_one,Head,-9.0,-475.4,3,0,7,1,1,0","Shopper_one,Neck,-0.8,-426.8,5,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-8,0,4,1,1,0","Shopper_one,Arm Low,-110.0,-231.6,-5,0,3,1,1,0","Shopper_one,Open,-110.8,-151.6,7,1,14,1,1,0","Shopper_one,Arm Up,60.8,-350.0,37,0,13,1,1,0","Shopper_one,Arm Low,126.8,-293.2,85,0,10,1,1,0","Shopper_one,Open,220.8,-288.8,92,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"Shopper_one,Head,-9.0,-475.4,1,0,7,1,1,0","Shopper_one,Neck,-2.8,-426.8,3,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-8,0,4,1,1,0","Shopper_one,Arm Low,-110.0,-231.6,-5,0,3,1,1,0","Shopper_one,Open,-110.8,-151.6,7,1,14,1,1,0","Shopper_one,Arm Up,60.8,-350.0,33,0,13,1,1,0","Shopper_one,Arm Low,122.8,-293.2,87,0,10,1,1,0","Shopper_one,Open,214.8,-292.8,92,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/2,"Shopper_one,Head,-9.0,-473.4,-1,0,7,1,1,0","Shopper_one,Neck,-2.8,-426.8,-1,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-6,0,4,1,1,0","Shopper_one,Arm Low,-106.0,-231.6,-2,0,3,1,1,0","Shopper_one,Open,-104.8,-151.6,10,1,14,1,1,0","Shopper_one,Arm Up,58.8,-348.0,24,0,13,1,1,0","Shopper_one,Arm Low,114.8,-293.2,87,0,10,1,1,0","Shopper_one,Open,204.8,-288.8,89,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/3,"Shopper_one,Head,-5.0,-475.4,-3,0,7,1,1,0","Shopper_one,Neck,-2.8,-426.8,-5,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-6,0,4,1,1,0","Shopper_one,Arm Low,-106.0,-231.6,0,0,3,1,1,0","Shopper_one,Open,-100.8,-151.6,12,1,14,1,1,0","Shopper_one,Arm Up,58.8,-348.0,24,0,13,1,1,0","Shopper_one,Arm Low,114.8,-287.2,79,0,10,1,1,0","Shopper_one,Open,204.8,-274.8,89,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/4,"Shopper_one,Head,-9.0,-473.4,-1,0,7,1,1,0","Shopper_one,Neck,-2.8,-426.8,-1,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-6,0,4,1,1,0","Shopper_one,Arm Low,-106.0,-231.6,-2,0,3,1,1,0","Shopper_one,Open,-104.8,-151.6,10,1,14,1,1,0","Shopper_one,Arm Up,58.8,-348.0,24,0,13,1,1,0","Shopper_one,Arm Low,114.8,-293.2,87,0,10,1,1,0","Shopper_one,Open,204.8,-288.8,89,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/5,"Shopper_one,Head,-9.0,-475.4,1,0,7,1,1,0","Shopper_one,Neck,-2.8,-426.8,3,0,4,1,1,0","Shopper_one,Body,-2.8,-300.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-91.6,-325.2,-8,0,4,1,1,0","Shopper_one,Arm Low,-110.0,-231.6,-5,0,3,1,1,0","Shopper_one,Open,-110.8,-151.6,7,1,14,1,1,0","Shopper_one,Arm Up,60.8,-350.0,33,0,13,1,1,0","Shopper_one,Arm Low,122.8,-293.2,87,0,10,1,1,0","Shopper_one,Open,214.8,-292.8,92,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityTalk/0,"Shopper_one,Head,7.0,-475.4,2,0,7,1,1,0","Shopper_one,Neck,13.2,-422.8,2,0,4,1,1,0","Shopper_one,Body,1.2,-292.4,-2.5,0,6,1,1,0","Shopper_one,Arm Up,-87.6,-321.2,-15,0,4,1,1,0","Shopper_one,Arm Low,-110.0,-231.6,-6,0,3,1,1,0","Shopper_one,Open,-110.8,-149.6,10,1,14,1,1,0","Shopper_one,Arm Up,58.8,-350.0,74,0,13,1,1,0","Shopper_one,Arm Low,156.8,-313.2,73,0,10,1,1,0","Shopper_one,Open,248.4,-290.8,80,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityTalk/1,"Shopper_one,Head,3.0,-471.4,7,0,7,1,1,0","Shopper_one,Neck,13.2,-422.8,4,0,4,1,1,0","Shopper_one,Body,1.2,-292.4,-2.5,0,6,1,1,0","Shopper_one,Arm Up,-87.6,-317.2,-11,0,4,1,1,0","Shopper_one,Arm Low,-106.0,-231.6,-3,0,3,1,1,0","Shopper_one,Open,-100.8,-149.6,15,1,14,1,1,0","Shopper_one,Arm Up,58.8,-350.0,74,0,13,1,1,0","Shopper_one,Arm Low,152.8,-329.2,91,0,10,1,1,0","Shopper_one,Open,248.4,-336.8,97,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityTalk/2,"Shopper_one,Head,-7.0,-475.4,9,0,7,1,1,0","Shopper_one,Neck,3.2,-426.8,6,0,4,1,1,0","Shopper_one,Body,-2.8,-292.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-87.6,-311.2,-6,0,4,1,1,0","Shopper_one,Arm Low,-102.0,-221.6,-3,0,3,1,1,0","Shopper_one,Open,-96.8,-139.6,15,1,14,1,1,0","Shopper_one,Arm Up,54.8,-364.0,83,0,13,1,1,0","Shopper_one,Arm Low,160.8,-353.2,99,0,10,1,1,0","Shopper_one,Twopoint,248.4,-370.8,110,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityTalk/3,"Shopper_one,Head,-11.0,-475.4,11,0,7,1,1,0","Shopper_one,Neck,1.2,-426.8,8,0,4,1,1,0","Shopper_one,Body,-2.8,-292.4,-0.5,0,6,1,1,0","Shopper_one,Arm Up,-83.6,-311.2,-2,0,4,1,1,0","Shopper_one,Arm Low,-88.0,-221.6,2,0,3,1,1,0","Shopper_one,Open,-68.8,-139.6,23,1,9,1,1,0","Shopper_one,Arm Up,54.8,-364.0,94,0,13,1,1,0","Shopper_one,Arm Low,160.8,-379.2,110,0,10,1,1,0","Shopper_one,Twopoint,248.4,-416.8,119,1,16,1,1,0","Shopper_one,Leg Up,-45.0,-160.4,-13.7,0,11,1,1,0","Shopper_one,Leg Low,-67.0,-70.4,170,0,10,1,1,0","Shopper_one,Foot,-58.8,-15.4,-6.6,0,13,1,1,0","Shopper_one,Leg Up,36.0,-160.4,15.7,0,15,1,1,0","Shopper_one,Leg Low,52.0,-75.4,-176,0,13,1,1,0","Shopper_one,Foot,80.2,-20.4,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
