Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"tanrsakt,head,19.0,-551.4,-3,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,-0.8,-378.4,-0.5,0,15,1,1,0","tanrsakt,arm_up,-81.0,-452.4,-28,0,12,1,1,0","tanrsakt,arm_low,-101.2,-357.2,12,0,13,1,1,0","rodhinbar,fist,-79.6,-298.4,42,0,14,1,1,0","tanrsakt,arm_up,98.0,-477.4,73,1,22,1,1,0","tanrsakt,arm_low,183.2,-480.0,135,1,26,1,1,0","rodhinbar,fist,226.4,-534.4,148,0,27,1,1,0","tanrsakt,leg_up,-49.0,-196.4,-6.2,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-10,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,-1,0,22,1,1,0","tanrsakt,leg_up,68.4,-196.8,14,0,20,1,1,0","tanrsakt,leg_low,74.0,-99.4,3.5,0,25,1,1,0","tanrsakt,foot,102.2,-20.4,9,0,24,1,1,0",,,"item,diamond,221.2,-562.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"tanrsakt,head,23.0,-551.4,-7,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,-0.8,-378.4,-0.5,0,15,1,1,0","tanrsakt,arm_up,-83.0,-448.4,-22,0,12,1,1,0","tanrsakt,arm_low,-95.2,-357.2,16,0,13,1,1,0","rodhinbar,fist,-69.6,-298.4,33,0,14,1,1,0","tanrsakt,arm_up,100.0,-477.4,79,1,22,1,1,0","tanrsakt,arm_low,183.2,-492.0,144,1,26,1,1,0","rodhinbar,fist,216.4,-552.4,160,0,27,1,1,0","tanrsakt,leg_up,-49.0,-192.4,-1.2,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-12,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,68.4,-196.8,16,0,20,1,1,0","tanrsakt,leg_low,74.0,-99.4,2.5,0,25,1,1,0","tanrsakt,foot,102.2,-20.4,9,0,24,1,1,0",,,"item,diamond,207.2,-576.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"tanrsakt,head,31.0,-551.4,-10,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,3.2,-378.4,-2.5,0,15,1,1,0","tanrsakt,arm_up,-75.0,-448.4,-22,0,12,1,1,0","tanrsakt,arm_low,-83.2,-357.2,22,0,13,1,1,0","rodhinbar,fist,-53.6,-294.4,28,0,14,1,1,0","tanrsakt,arm_up,94.0,-477.4,79,1,22,1,1,0","tanrsakt,arm_low,177.2,-492.0,149,1,26,1,1,0","rodhinbar,fist,206.4,-554.4,160,0,27,1,1,0","tanrsakt,leg_up,-49.0,-192.4,1.8,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-12,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,70.4,-194.8,19,0,20,1,1,0","tanrsakt,leg_low,76.0,-99.4,-0.5,0,25,1,1,0","tanrsakt,foot,98.2,-20.4,4,0,24,1,1,0",,,"item,diamond,199.2,-578.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/3,"tanrsakt,head,49.0,-551.4,-13,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,7.2,-378.4,-6.5,0,15,1,1,0","tanrsakt,arm_up,-59.0,-452.4,-21,0,12,1,1,0","tanrsakt,arm_low,-65.2,-357.2,27,0,13,1,1,0","rodhinbar,fist,-27.6,-294.4,30,0,14,1,1,0","tanrsakt,arm_up,88.0,-477.4,86,1,22,1,1,0","tanrsakt,arm_low,163.2,-502.0,165,1,26,1,1,0","rodhinbar,fist,174.4,-566.4,163,0,27,1,1,0","tanrsakt,leg_up,-53.0,-192.4,5.8,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-11,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,70.4,-188.8,15,0,20,1,1,0","tanrsakt,leg_low,76.0,-91.4,-0.5,0,25,1,1,0","tanrsakt,foot,98.2,-20.4,4,0,24,1,1,0",,,"item,diamond,167.2,-590.0,27,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/4,"tanrsakt,head,53.0,-551.4,-16,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,7.2,-378.4,-6.5,0,15,1,1,0","tanrsakt,arm_up,-55.0,-452.4,-18,0,12,1,1,0","tanrsakt,arm_low,-55.2,-357.2,31,0,13,1,1,0","rodhinbar,fist,-15.6,-298.4,30,0,14,1,1,0","tanrsakt,arm_up,94.0,-475.4,93,1,22,1,1,0","tanrsakt,arm_low,167.2,-508.0,173,1,26,1,1,0","rodhinbar,fist,172.4,-576.4,166,0,27,1,1,0","tanrsakt,leg_up,-53.0,-192.4,5.8,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-11,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,70.4,-188.8,15,0,20,1,1,0","tanrsakt,leg_low,76.0,-91.4,-0.5,0,25,1,1,0","tanrsakt,foot,98.2,-20.4,4,0,24,1,1,0",,,"item,diamond,165.2,-592.0,30,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/5,"tanrsakt,head,49.0,-551.4,-13,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,7.2,-378.4,-6.5,0,15,1,1,0","tanrsakt,arm_up,-59.0,-452.4,-21,0,12,1,1,0","tanrsakt,arm_low,-65.2,-357.2,27,0,13,1,1,0","rodhinbar,fist,-27.6,-294.4,30,0,14,1,1,0","tanrsakt,arm_up,88.0,-477.4,86,1,22,1,1,0","tanrsakt,arm_low,163.2,-502.0,165,1,26,1,1,0","rodhinbar,fist,174.4,-566.4,163,0,27,1,1,0","tanrsakt,leg_up,-53.0,-192.4,5.8,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-11,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,70.4,-188.8,15,0,20,1,1,0","tanrsakt,leg_low,76.0,-91.4,-0.5,0,25,1,1,0","tanrsakt,foot,98.2,-20.4,4,0,24,1,1,0",,,"item,diamond,167.2,-590.0,27,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/6,"tanrsakt,head,31.0,-551.4,-10,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,3.2,-378.4,-2.5,0,15,1,1,0","tanrsakt,arm_up,-75.0,-448.4,-22,0,12,1,1,0","tanrsakt,arm_low,-83.2,-357.2,22,0,13,1,1,0","rodhinbar,fist,-53.6,-294.4,28,0,14,1,1,0","tanrsakt,arm_up,94.0,-477.4,79,1,22,1,1,0","tanrsakt,arm_low,169.2,-492.0,154,1,26,1,1,0","rodhinbar,fist,194.4,-558.4,160,0,27,1,1,0","tanrsakt,leg_up,-49.0,-192.4,1.8,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-12,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,70.4,-194.8,19,0,20,1,1,0","tanrsakt,leg_low,76.0,-99.4,-0.5,0,25,1,1,0","tanrsakt,foot,98.2,-20.4,4,0,24,1,1,0",,,"item,diamond,187.2,-582.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/7,"tanrsakt,head,23.0,-551.4,-7,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,-0.8,-378.4,-0.5,0,15,1,1,0","tanrsakt,arm_up,-83.0,-448.4,-22,0,12,1,1,0","tanrsakt,arm_low,-95.2,-357.2,16,0,13,1,1,0","rodhinbar,fist,-69.6,-298.4,33,0,14,1,1,0","tanrsakt,arm_up,92.0,-477.4,79,1,22,1,1,0","tanrsakt,arm_low,175.2,-492.0,144,1,26,1,1,0","rodhinbar,fist,208.4,-552.4,160,0,27,1,1,0","tanrsakt,leg_up,-49.0,-192.4,-1.2,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-12,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,2,0,22,1,1,0","tanrsakt,leg_up,68.4,-196.8,16,0,20,1,1,0","tanrsakt,leg_low,74.0,-95.4,2.5,0,25,1,1,0","tanrsakt,foot,102.2,-20.4,9,0,24,1,1,0",,,"item,diamond,199.2,-576.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityTalk/0,"tanrsakt,head,19.0,-551.4,-5,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,-0.8,-378.4,-0.5,0,15,1,1,0","tanrsakt,arm_up,-61.0,-444.4,-5,0,12,1,1,0","tanrsakt,arm_low,-47.2,-343.2,25,0,13,1,1,0","rodhinbar,fist,-15.6,-290.4,38,0,14,1,1,0","tanrsakt,arm_up,98.0,-477.4,73,1,22,1,1,0","tanrsakt,arm_low,183.2,-480.0,135,1,26,1,1,0","rodhinbar,fist,226.4,-534.4,148,0,27,1,1,0","tanrsakt,leg_up,-49.0,-196.4,-6.2,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-10,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,-1,0,22,1,1,0","tanrsakt,leg_up,68.4,-196.8,14,0,20,1,1,0","tanrsakt,leg_low,74.0,-99.4,3.5,0,25,1,1,0","tanrsakt,foot,102.2,-20.4,9,0,24,1,1,0",,,"item,diamond,221.2,-562.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityTalk/1,"tanrsakt,head,25.0,-551.4,-9,0,4,1,1,0","tanrsakt,neck,14.0,-506.4,-2,0,18,1,1,0","tanrsakt,body,-0.8,-378.4,-0.5,0,15,1,1,0","tanrsakt,arm_up,-45.0,-444.4,18,0,12,1,1,0","tanrsakt,arm_low,6.8,-353.2,50,0,13,1,1,0","rodhinbar,fist,59.2,-310.4,50,0,14,1,1,0","tanrsakt,arm_up,90.0,-477.4,64,1,22,1,1,0","tanrsakt,arm_low,175.2,-466.0,120,1,26,1,1,0","rodhinbar,fist,228.4,-502.4,120,0,27,1,1,0","tanrsakt,leg_up,-49.0,-196.4,-6.2,0,17,1,1,0","tanrsakt,leg_low,-69.0,-92.4,-10,0,23,1,1,0","tanrsakt,foot,-58.8,-15.4,-1,0,22,1,1,0","tanrsakt,leg_up,68.4,-196.8,14,0,20,1,1,0","tanrsakt,leg_low,74.0,-99.4,3.5,0,25,1,1,0","tanrsakt,foot,102.2,-20.4,9,0,24,1,1,0",,,"item,diamond,229.2,-528.0,24,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
