Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Wigorsein,Head,21.6,-399.6,-3.5,0,10,1,1,0","Wigorsein,Neck,11.2,-352.4,-1,0,13,1,1,0","Wigorsein,Body,9.2,-264.4,-2,0,12,1,1,0","Wigorsein,Arm Up,-61.6,-231.2,-18,0,12,1,1,0","Wigorsein,Arm Low,-42.4,-170.4,66,0,9,1,1,0","Noble2,Open,39.6,-148.4,86,0,10,1,1,0","Wigorsein,Arm Up,61.2,-287.2,81,1,19,1,1,0","Wigorsein,Arm Low,146.4,-311.2,130,1,19,1,1,0","Noble2,Open,215.2,-358.0,127,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,236.8,-353.6,-82,0,26,1,1,0","Item,Reviving Seed,48.0,-191.2,14,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"Wigorsein,Head,29.6,-401.6,-7.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,13.2,-266.4,-4,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-237.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-42.4,-172.4,60,0,9,1,1,0","Noble2,Open,39.6,-146.4,95,0,10,1,1,0","Wigorsein,Arm Up,69.2,-287.2,96,1,19,1,1,0","Wigorsein,Arm Low,144.4,-315.2,126,1,19,1,1,0","Noble2,Open,213.2,-356.0,110,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,238.8,-357.6,-97,0,26,1,1,0","Item,Reviving Seed,46.0,-193.2,16,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,"Parchment_write,500,10"
CityIdle/2,"Wigorsein,Head,29.6,-401.6,-3.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,13.2,-266.4,-4,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-237.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-42.4,-172.4,60,0,9,1,1,0","Noble2,Open,39.6,-146.4,95,0,10,1,1,0","Wigorsein,Arm Up,65.2,-283.2,84,1,19,1,1,0","Wigorsein,Arm Low,140.4,-299.2,123,1,19,1,1,0","Noble2,Open,209.2,-338.0,110,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,234.8,-337.6,-100,0,26,1,1,0","Item,Reviving Seed,46.0,-193.2,15,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/3,"Wigorsein,Head,29.6,-403.6,1.5,0,10,1,1,0","Wigorsein,Neck,11.2,-356.4,-1,0,13,1,1,0","Wigorsein,Body,13.2,-268.4,-4,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-239.2,-18,0,12,1,1,0","Wigorsein,Arm Low,-34.4,-178.4,66,0,9,1,1,0","Noble2,Open,41.6,-164.4,104,0,10,1,1,0","Wigorsein,Arm Up,73.2,-281.2,76,1,19,1,1,0","Wigorsein,Arm Low,146.4,-301.2,140,1,19,1,1,0","Noble2,Open,207.2,-356.0,124,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,224.8,-355.6,-92,0,26,1,1,0","Item,Reviving Seed,40.0,-215.2,26,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,"Parchment_write,500,10"
CityIdle/4,"Wigorsein,Head,29.6,-401.6,4.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,13.2,-266.4,-4,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-237.2,-18,0,12,1,1,0","Wigorsein,Arm Low,-34.4,-176.4,66,0,9,1,1,0","Noble2,Open,41.6,-162.4,104,0,10,1,1,0","Wigorsein,Arm Up,89.2,-279.2,86,1,19,1,1,0","Wigorsein,Arm Low,166.4,-305.2,131,1,19,1,1,0","Noble2,Open,219.2,-354.0,124,1,24,0.9,0.9,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,230.8,-353.6,-87,0,26,0.9,0.9,0","Item,Reviving Seed,40.0,-213.2,26,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/5,"Wigorsein,Head,33.6,-401.6,-1.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,17.2,-266.4,-6,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-241.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-38.4,-178.4,60,0,9,1,1,0","Noble2,Open,41.6,-152.4,89,0,10,1,1,0","Wigorsein,Arm Up,85.2,-287.2,86,1,19,1,1,0","Wigorsein,Arm Low,172.4,-311.2,118,1,19,1,1,0","Noble2,Open,255.2,-350.0,109,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,262.8,-343.6,-102,0,26,1,1,0","Item,Reviving Seed,44.0,-193.2,10,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/6,"Wigorsein,Head,39.6,-401.6,-6.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,17.2,-266.4,-6,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-241.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-38.4,-178.4,60,0,9,1,1,0","Noble2,Open,41.6,-152.4,89,0,10,1,1,0","Wigorsein,Arm Up,55.2,-295.2,101,1,19,1,1,0","Wigorsein,Arm Low,148.4,-327.2,120,1,19,1,1,0","Noble2,Open,227.2,-358.0,96,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,238.8,-353.6,-134,0,26,1,1,0","Item,Reviving Seed,44.0,-193.2,10,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/7,"Wigorsein,Head,39.6,-401.6,-9.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,17.2,-266.4,-6,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-241.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-38.4,-178.4,60,0,9,1,1,0","Noble2,Open,41.6,-152.4,89,0,10,1,1,0","Wigorsein,Arm Up,55.2,-287.2,101,1,19,1,1,0","Wigorsein,Arm Low,148.4,-319.2,115,1,19,1,1,0","Noble2,Open,231.2,-348.0,98,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,238.8,-343.6,-131,0,26,1,1,0","Item,Reviving Seed,44.0,-193.2,10,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/8,"Wigorsein,Head,39.6,-401.6,-11.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,17.2,-266.4,-6,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-241.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-38.4,-178.4,60,0,9,1,1,0","Noble2,Open,41.6,-152.4,89,0,10,1,1,0","Wigorsein,Arm Up,55.2,-287.2,101,1,19,1,1,0","Wigorsein,Arm Low,148.4,-315.2,113,1,19,1,1,0","Noble2,Open,231.2,-344.0,96,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,238.8,-339.6,-134,0,26,1,1,0","Item,Reviving Seed,44.0,-193.2,10,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/9,"Wigorsein,Head,39.6,-401.6,-6.5,0,10,1,1,0","Wigorsein,Neck,11.2,-354.4,-1,0,13,1,1,0","Wigorsein,Body,17.2,-266.4,-6,0,12,1,1,0","Wigorsein,Arm Up,-53.6,-241.2,-23,0,12,1,1,0","Wigorsein,Arm Low,-38.4,-178.4,60,0,9,1,1,0","Noble2,Open,41.6,-152.4,89,0,10,1,1,0","Wigorsein,Arm Up,51.2,-291.2,101,1,19,1,1,0","Wigorsein,Arm Low,140.4,-325.2,122,1,19,1,1,0","Noble2,Open,217.2,-364.0,107,1,24,1,1,0","Wigorsein,Leg Up,35.6,-94.8,2,0,14,1,1,0",,"Wigorsein,Foot,25.6,-18.8,0,0,19,1,1,0",,,"Wigorsein,Foot,98.4,-22.8,5.5,0,22,1,1,0",,,"Item,Pen,224.8,-359.6,-117,0,26,1,1,0","Item,Reviving Seed,44.0,-193.2,10,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
