Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Cat_rocket,Head,151,-46,-23,0,2,1,1,0","Cat_rocket,Neck,114,-34,-50,1,5,1,1,0","Cat_rocket,Body,46,-23,-79.5,0,5,1,1,0","Cat_rocket,Arm Up,48,-14,-40,1,4,1,1,0","Cat_rocket,Arm Low,40,23,63,0,3,1,1,0","Cat_rocket,Fist,57,55,-42,0,3,1,1,0","Cat_rocket,Arm Up,63,-9,25,1,13,1,1,0","Cat_rocket,Arm Low,94,20,97,1,15,1,1,0","Cat_rocket,Fist,124,33,-13,0,14,1,1,0","Cat_rocket,Leg Up,-36,-16,-75.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-6,-92,0,10,1,1,0","Cat_rocket,Foot,-142,-2,-106.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,7,-53.3,1,12,1,1,0","Cat_rocket,Leg Low,-93,28,-78.5,0,13,1,1,0","Cat_rocket,Foot,-138,34,-117.5,0,15,1,1,0","Cat_rocket,Base,21,-73,86,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-76,-42,-79,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"Cat_rocket,Head,150,-39,-29,0,2,1,1,0","Cat_rocket,Neck,114,-32,-49,1,5,1,1,0","Cat_rocket,Body,46,-20,-78.5,0,5,1,1,0","Cat_rocket,Arm Up,50,-7,-35,1,4,1,1,0","Cat_rocket,Arm Low,45,26,69,0,3,1,1,0","Cat_rocket,Fist,65,57,-36,0,3,1,1,0","Cat_rocket,Arm Up,63,-6,26,1,13,1,1,0","Cat_rocket,Arm Low,94,12,118,1,15,1,1,0","Cat_rocket,Fist,122,-7,91,0,14,1,1,0","Cat_rocket,Leg Up,-36,-13,-76.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-4,-92,0,10,1,1,0","Cat_rocket,Foot,-142,1,-105.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,10,-50.3,1,12,1,1,0","Cat_rocket,Leg Low,-92,31,-82.5,0,13,1,1,0","Cat_rocket,Foot,-137,37,-116.5,0,15,1,1,0","Cat_rocket,Base_1,20,-67,89,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-77,-40,-83,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"Cat_rocket,Head,150,-27,-41,0,2,1,1,0","Cat_rocket,Neck,114,-27,-31,1,5,1,1,0","Cat_rocket,Body,47,-21,-79.5,0,5,1,1,0","Cat_rocket,Arm Up,55,-7,-26,1,4,1,1,0","Cat_rocket,Arm Low,55,26,69,0,3,1,1,0","Cat_rocket,Fist,79,55,-29,0,3,1,1,0","Cat_rocket,Arm Up,63,-6,26,1,13,1,1,0","Cat_rocket,Arm Low,94,6,124,1,15,1,1,0","Cat_rocket,Fist,110,-20,131,0,14,1,1,0","Cat_rocket,Leg Up,-36,-14,-78.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-6,-92,0,10,1,1,0","Cat_rocket,Foot,-142,-1,-105.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,6,-51.3,1,12,1,1,0","Cat_rocket,Leg Low,-92,29,-82.5,0,13,1,1,0","Cat_rocket,Foot,-137,33,-116.5,0,15,1,1,0","Cat_rocket,Base,20,-66,91,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-77,-35,-79,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,"Cat_rocket,Head,150,-30,-44,0,2,1,1,0","Cat_rocket,Neck,114,-33,-31,1,5,1,1,0","Cat_rocket,Body,47,-28,-80.5,0,5,1,1,0","Cat_rocket,Arm Up,62,-11,-16,1,4,1,1,0","Cat_rocket,Arm Low,68,22,79,0,3,1,1,0","Cat_rocket,Fist,96,46,-19,0,3,1,1,0","Cat_rocket,Arm Up,63,-12,26,1,13,1,1,0","Cat_rocket,Arm Low,94,11,74,1,15,1,1,0","Cat_rocket,Fist,140,16,52,0,14,1,1,0","Cat_rocket,Leg Up,-36,-22,-78.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-16,-94,0,10,1,1,0","Cat_rocket,Foot,-142,-12,-105.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,0,-51.3,1,12,1,1,0","Cat_rocket,Leg Low,-92,21,-86.5,0,13,1,1,0","Cat_rocket,Foot,-137,24,-116.5,0,15,1,1,0","Cat_rocket,Base_1,20,-72,91,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-77,-50,-88,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Bomb,Base,145,0,-159,0,12,1,1,0",,,,,,,,play_time_mod_0.8,,
Attack1/4,"Cat_rocket,Head,149,-35,-47,0,2,1,1,0","Cat_rocket,Neck,114,-38,-31,1,5,1,1,0","Cat_rocket,Body,47,-33,-80.5,0,5,1,1,0","Cat_rocket,Arm Up,63,-16,-11,1,4,1,1,0","Cat_rocket,Arm Low,70,19,76,0,3,1,1,0","Cat_rocket,Fist,107,41,3,0,1,1,1,0","Cat_rocket,Arm Up,63,-17,26,1,13,1,1,0","Cat_rocket,Arm Low,94,6,74,1,15,1,1,0","Cat_rocket,Fist,140,32,-2,0,14,1,1,0","Cat_rocket,Leg Up,-36,-29,-80.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-24,-94,0,10,1,1,0","Cat_rocket,Foot,-142,-21,-105.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,-5,-51.3,1,12,1,1,0","Cat_rocket,Leg Low,-92,16,-86.5,0,13,1,1,0","Cat_rocket,Foot,-137,19,-116.5,0,15,1,1,0","Cat_rocket,Base,20,-77,91,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-77,-57,-90,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Bomb,Base,134,11,-167,0,2,1,1,0",,,,,,,,,,
Attack1/5,"Cat_rocket,Head,149,-42,-43,0,2,1,1,0","Cat_rocket,Neck,114,-40,-29,1,5,1,1,0","Cat_rocket,Body,47,-33,-78.5,0,5,1,1,0","Cat_rocket,Arm Up,75,-15,13,1,4,0.9,1,0","Cat_rocket,Arm Low,97,15,98,0,3,1.1,1,0","Cat_rocket,Fist,123,8,71,0,1,1,1,0","Cat_rocket,Arm Up,63,-17,28,1,13,1,1,0","Cat_rocket,Arm Low,96,4,76,1,15,1,1,0","Cat_rocket,Fist,147,16,0,0,14,1,1,0","Cat_rocket,Leg Up,-36,-25,-78.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-18,-92,0,10,1,1,0","Cat_rocket,Foot,-142,-13,-103.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,-1,-49.3,1,12,1,1,0","Cat_rocket,Leg Low,-90,22,-84.5,0,13,1,1,0","Cat_rocket,Foot,-135,25,-114.5,0,15,1,1,0","Cat_rocket,Base_1,18,-75,93,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-78,-53,-88,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Bomb,Base,136,-20,-168,0,2,1,1,0",,,,,,,,play_time_mod_0.8,,
Attack1/6,"Cat_rocket,Head,150,-19,-55,0,2,1,1,0","Cat_rocket,Neck,117,-28,-32,1,5,1,1,0","Cat_rocket,Body,50,-24,-81.5,0,5,1,1,0","Cat_rocket,Arm Up,75,-6,10,1,4,0.9,1,0","Cat_rocket,Arm Low,91,41,45,0,3,1.1,1,0","Cat_rocket,Fist,120,70,8,0,1,1,1,0","Cat_rocket,Arm Up,89,-6,32,1,13,1,1,0","Cat_rocket,Arm Low,115,36,33,1,15,1,1,0","Cat_rocket,Fist,134,66,-3,0,14,1,1,0","Cat_rocket,Leg Up,-36,-22,-81.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-18,-95,0,10,1,1,0","Cat_rocket,Foot,-142,-16,-106.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,2,-52.3,1,12,1,1,0","Cat_rocket,Leg Low,-90,22,-87.5,0,13,1,1,0","Cat_rocket,Foot,-136,25,-117.5,0,15,1,1,0","Cat_rocket,Base,21,-68,90,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-75,-50,-91,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Bomb,Base,140,62,-131,0,2,1,1,0",,,,,,,,,,
Attack1/7,"Cat_rocket,Head,153,7,-64,0,2,1,1,0","Cat_rocket,Neck,121,-10,-36,1,5,1,1,0","Cat_rocket,Body,54,-10,-85.5,0,5,1,1,0","Cat_rocket,Arm Up,83,8,17,1,4,0.9,1,0","Cat_rocket,Arm Low,99,62,27,0,3,1.1,1,0","Cat_rocket,Fist,110,106,-31,0,1,1,1,0","Cat_rocket,Arm Up,93,8,28,1,13,1,1,0","Cat_rocket,Arm Low,115,55,24,1,15,1,1,0","Cat_rocket,Fist,130,95,-30,0,14,1,1,0","Cat_rocket,Leg Up,-32,-16,-85.7,0,5,1,1,0","Cat_rocket,Leg Low,-90,-16,-99,0,10,1,1,0","Cat_rocket,Foot,-138,-18,-110.6,0,13,1,1,0","Cat_rocket,Leg Up,-39,8,-56.3,1,12,1,1,0","Cat_rocket,Leg Low,-90,24,-91.5,0,13,1,1,0","Cat_rocket,Foot,-136,27,-121.5,0,15,1,1,0","Cat_rocket,Base,29,-58,86,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-71,-44,-95,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Bomb,Speed,147,98,-40,0,2,1,1,1",,,,,,,,,,"Stone,1000,0"
Attack1/8,"Cat_rocket,Head,151,17,-75,0,2,1,1,0","Cat_rocket,Neck,124,-4,-39,1,5,1,1,0","Cat_rocket,Body,57,-7,-88.5,0,5,1,1,0","Cat_rocket,Arm Up,83,11,4,1,4,0.9,1,0","Cat_rocket,Arm Low,89,68,16,0,3,1.1,1,0","Cat_rocket,Fist,93,112,-38,0,1,1,1,0","Cat_rocket,Arm Up,96,12,21,1,13,1,1,0","Cat_rocket,Arm Low,109,61,8,1,15,1,1,0","Cat_rocket,Fist,118,103,-31,0,14,1,1,0","Cat_rocket,Leg Up,-29,-21,-92.7,0,5,1,1,0","Cat_rocket,Leg Low,-87,-25,-102,0,10,1,1,0","Cat_rocket,Foot,-135,-30,-115.6,0,13,1,1,0","Cat_rocket,Leg Up,-39,5,-59.3,1,12,1,1,0","Cat_rocket,Leg Low,-90,18,-94.5,0,13,1,1,0","Cat_rocket,Foot,-136,19,-124.5,0,15,1,1,0","Cat_rocket,Base_1,32,-58,83,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-68,-56,-102,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/9,"Cat_rocket,Head,150,-30,-41,0,2,1,1,0","Cat_rocket,Neck,117,-28,-32,1,5,1,1,0","Cat_rocket,Body,50,-24,-81.5,0,5,1,1,0","Cat_rocket,Arm Up,70,-6,-4,1,4,0.9,1,0","Cat_rocket,Arm Low,80,41,58,0,3,1.1,1,0","Cat_rocket,Fist,101,71,-32,0,1,1,1,0","Cat_rocket,Arm Up,89,-6,24,1,13,1,1,0","Cat_rocket,Arm Low,115,36,43,1,15,1,1,0","Cat_rocket,Fist,139,65,-13,0,14,1,1,0","Cat_rocket,Leg Up,-36,-22,-81.7,0,5,1,1,0","Cat_rocket,Leg Low,-94,-18,-95,0,10,1,1,0","Cat_rocket,Foot,-142,-16,-106.6,0,13,1,1,0","Cat_rocket,Leg Up,-41,2,-52.3,1,12,1,1,0","Cat_rocket,Leg Low,-90,22,-87.5,0,13,1,1,0","Cat_rocket,Foot,-136,25,-117.5,0,15,1,1,0","Cat_rocket,Base,21,-68,90,0,6,0.8,0.8,0",,"Cat_rocket,Tail,-75,-48,-87,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
