"Name","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_r_foot","p1_l_leg_up","p1_l_leg_low","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p1_special_6","p1_special_7","p1_special_8","p1_special_9","p1_special_10","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_r_foot","p2_l_leg_up","p2_l_leg_low","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p2_special_6","p2_special_7","p2_special_8","p2_special_9","p2_special_10","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_r_foot","p3_l_leg_up","p3_l_leg_low","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p3_special_6","p3_special_7","p3_special_8","p3_special_9","p3_special_10","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_r_foot","p4_l_leg_up","p4_l_leg_low","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","p4_special_6","p4_special_7","p4_special_8","p4_special_9","p4_special_10","effect_1","effect_2","effect_3","effect_4","effect_5","effect_6","effect_7","effect_8","frame_property","animation_property","sound_effect"
"Attack1/0","fly_monk,head,212,-71,10,0,4,1,1,0","fly_monk,neck,185,-43,-78,1,5,1,1,0","fly_monk,body,53,-17,-79.5,0,7,1,1,0","fly_monk,arm_up,92,3,21,1,6,1,1,0","fly_monk,arm_low,178,45,-10,0,5,1,1,0","white_human,fist,279,35,85,0,5,1,1,0","fly_monk,arm_up,132,-34,-48,1,15,1,1,0","fly_monk,arm_low,189,-4,-18,0,17,1,1,0","white_human,fist_back,286,-6,87,0,6,1,1,0","fly_monk,leg_up,-172,10,-5.7,0,10,1,1,0",,"fly_monk,foot,-322,0,-116.6,0,15,1,1,0",,,"fly_monk,foot,-310,77,-115.5,0,17,1,1,0","fly_monk,base,304,-90,172,0,7,1,1,0",,"fly_monk,wing,-123,-140,2,0,3,1,1,0","fly_monk,wing,-56,-186,-18,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attack1/1","fly_monk,head,209,-85,17,0,4,1,1,0","fly_monk,neck,185,-43,-78,1,5,1,1,0","fly_monk,body,53,-21,-75.5,0,7,1,1,0","fly_monk,arm_up,128,-23,56,1,5,1,1,0","fly_monk,arm_low,221,-34,25,0,4,1,1,0","white_human,fist,296,-102,120,0,4,1,1,0","fly_monk,arm_up,136,-59,-12,1,14,1,1,0","fly_monk,arm_low,203,-82,17,0,16,1,1,0","white_human,fist_back,281,-139,122,0,5,1,1,0","fly_monk,leg_up,-166,16,-2.7,0,10,1,1,0",,"fly_monk,foot,-316,14,-116.6,0,15,1,1,0",,,"fly_monk,foot,-302,87,-112.5,0,17,1,1,0","fly_monk,base,246,-216,-158,0,6,1,1,0",,"fly_monk,wing,-133,-136,3,0,3,1,1,0","fly_monk,wing,-60,-180,-15,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attack1/2","fly_monk,head,209,-117,23,0,4,1,1,0","fly_monk,neck,179,-75,-76,1,5,1,1,0","fly_monk,body,53,-28,-67.5,0,7,1,1,0","fly_monk,arm_up,151,-65,68,1,5,1,1,0","fly_monk,arm_low,239,-94,37,0,4,1,1,0","white_human,fist,299,-176,132,0,4,1,1,0","fly_monk,arm_up,151,-102,0,1,14,1,1,0","fly_monk,arm_low,213,-138,29,0,16,1,1,0","white_human,fist_back,276,-210,134,0,5,1,1,0","fly_monk,leg_up,-164,27,1.3,0,10,1,1,0",,"fly_monk,foot,-314,33,-114.6,0,15,1,1,0",,,"fly_monk,foot,-288,117,-84.5,0,17,1,1,0","fly_monk,base,226,-277,-146,0,6,1,1,0",,"fly_monk,wing,-139,-130,6,0,3,1,1,0","fly_monk,wing,-72,-178,-11,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.2",,
"Attack1/3","fly_monk,head,220,-94,13,0,5,1,1,0","fly_monk,neck,184,-58,-86,1,6,1,1,0","fly_monk,body,53,-26,-72.5,0,7,1,1,0","fly_monk,arm_up,132,-49,77,1,5,1,1,0","fly_monk,arm_low,251,-47,6,0,4,1,1,0","white_human,fist,344,-87,100,0,4,1,1,0","fly_monk,arm_up,102,-79,-72,1,14,1,1,0","fly_monk,arm_low,264,-98,5,0,16,1,1,0","white_human,fist_back,352,-129,72,0,5,1,1,0","fly_monk,leg_up,-164,22,-1.7,0,10,1,1,0",,"fly_monk,foot,-314,21,-114.6,0,15,1,1,0",,,"fly_monk,foot,-288,101,-84.5,0,17,1,1,0","fly_monk,swing,370,-206,166,0,6,1,1,0",,"fly_monk,wing,-138,-143,2,0,3,1,1,0","fly_monk,wing,-71,-197,-15,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.5",,
"Attack1/4","fly_monk,head,223,-73,1,0,5,1,1,0","fly_monk,neck,184,-40,-92,1,6,1,1,0","fly_monk,body,49,-26,-78.5,0,7,1,1,0","fly_monk,arm_up,107,-30,51,1,5,1,1,0","fly_monk,arm_low,215,25,-20,0,4,1,1,0","white_human,fist,315,28,74,0,4,1,1,0","fly_monk,arm_up,99,-81,-68,1,14,1,1,0","fly_monk,arm_low,249,-17,-21,0,16,1,1,0","white_human,fist_back,341,-5,46,0,5,1,1,0","fly_monk,leg_up,-170,3,-7.7,0,10,1,1,0",,"fly_monk,foot,-320,-15,-120.6,0,15,1,1,0",,,"fly_monk,foot,-302,65,-90.5,0,17,1,1,0","fly_monk,swing,391,-68,140,0,6,1,1,0",,"fly_monk,wing,-126,-161,-4,0,3,1,1,0","fly_monk,wing,-56,-209,-21,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.3",,"swing_bulk_small,2500,0"
"Attack1/5","fly_monk,head,227,-38,-16,0,5,1,1,0","fly_monk,neck,182,-15,-102,1,6,1,1,0","fly_monk,body,48,-24,-88.5,0,7,1,1,0","fly_monk,arm_up,105,-18,41,1,5,1,1,0","fly_monk,arm_low,203,54,-30,0,4,1,1,0","white_human,fist,299,75,64,0,4,1,1,0","fly_monk,arm_up,106,-49,-68,1,14,1,1,0","fly_monk,arm_low,242,19,-31,0,16,1,1,0","white_human,fist_back,332,49,36,0,5,1,1,0","fly_monk,leg_up,-174,-36,-17.7,0,10,1,1,0",,"fly_monk,foot,-315,-78,-135.6,0,15,1,1,0",,,"fly_monk,foot,-314,0,-121.5,0,17,1,1,0","fly_monk,swing,426,10,118,0,6,1,1.1,0",,"fly_monk,wing,-101,-196,-16,0,3,1,1,0","fly_monk,wing,-21,-223,-31,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.2",,
"Attack1/6","fly_monk,head,227,-37,-19,0,5,1,1,0","fly_monk,neck,182,-15,-102,1,6,1,1,0","fly_monk,body,48,-24,-89.5,0,7,1,1,0","fly_monk,arm_up,105,-18,41,1,5,1,1,0","fly_monk,arm_low,192,70,-42,0,4,1,1,0","white_human,fist,277,114,42,0,4,1,1,0","fly_monk,arm_up,107,-23,-78,1,14,1,1,0","fly_monk,arm_low,246,49,-54,0,16,1,1,0","white_human,fist_back,322,115,16,0,5,1,1,0","fly_monk,leg_up,-174,-40,-20.7,0,10,1,1,0",,"fly_monk,foot,-315,-80,-137.6,0,15,1,1,0",,,"fly_monk,foot,-314,-2,-121.5,0,17,1,1,0","fly_monk,swing,381,123,90,0,6,1,1,0",,"fly_monk,wing,-98,-200,-18,0,3,1,1,0","fly_monk,wing,-17,-225,-33,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.1",,
"Attack1/7","fly_monk,head,227,-29,-26,0,5,1,1,0","fly_monk,neck,181,-12,-103,1,6,1,1,0","fly_monk,body,47,-24,-90.5,0,7,1,1,0","fly_monk,arm_up,94,-17,10,1,5,1,1,0","fly_monk,arm_low,146,93,-57,0,4,1,1,0","white_human,fist,210,168,1,0,4,1,1,0","fly_monk,arm_up,188,-36,-119,1,14,1,1,0","fly_monk,arm_low,212,91,-85,0,16,1,1,0","white_human,fist_back,243,188,-15,0,5,1,1,0","fly_monk,leg_up,-170,-46,-23.7,0,10,1,1,0",,"fly_monk,foot,-309,-97,-138.6,0,15,1,1,0",,,"fly_monk,foot,-314,-13,-124.5,0,17,1,1,0","fly_monk,swing,333,223,69,0,6,1,1.1,0",,"fly_monk,wing,-95,-202,-19,0,3,1,1,0","fly_monk,wing,-14,-226,-34,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.3",,
"Attack1/8","fly_monk,head,222,-13,-41,0,5,1,1,0","fly_monk,neck,181,-6,-105,1,6,1,1,0","fly_monk,body,47,-22,-92.5,0,7,1,1,0","fly_monk,arm_up,94,-13,8,1,5,1,1,0","fly_monk,arm_low,117,109,-79,0,4,1,1,0","white_human,fist,149,198,-21,0,4,1,1,0","fly_monk,arm_up,153,2,-161,1,14,1,1,0","fly_monk,arm_low,158,131,-87,0,16,1,1,0","white_human,fist_back,185,228,-17,0,5,1,1,0","fly_monk,leg_up,-169,-52,-25.7,0,10,1,1,0",,"fly_monk,foot,-306,-107,-140.6,0,15,1,1,0",,,"fly_monk,foot,-314,-23,-126.5,0,17,1,1,0","fly_monk,swing,251,316,37,0,6,1.1,1.2,0",,"fly_monk,wing,-89,-205,-21,0,3,1,1,0","fly_monk,wing,-6,-226,-36,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.5",,
"Attack1/9","fly_monk,head,221,-6,-47,0,5,1,1,0","fly_monk,neck,181,-6,-105,1,6,1,1,0","fly_monk,body,47,-22,-92.5,0,7,1,1,0","fly_monk,arm_up,84,-12,-5,1,5,1,1,0","fly_monk,arm_low,79,111,-92,0,4,1,1,0","white_human,fist,91,206,-34,0,4,1,1,0","fly_monk,arm_up,138,15,-174,1,14,1,1,0","fly_monk,arm_low,115,142,-100,0,16,1,1,0","white_human,fist_back,118,244,-30,0,5,1,1,0","fly_monk,leg_up,-169,-52,-25.7,0,10,1,1,0",,"fly_monk,foot,-306,-107,-140.6,0,15,1,1,0",,,"fly_monk,foot,-314,-23,-126.5,0,17,1,1,0","fly_monk,base,151,311,31,0,6,1,1,0",,"fly_monk,wing,-89,-205,-21,0,3,1,1,0","fly_monk,wing,-6,-226,-36,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
