Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Human_crossbow,Head,-4,-937,-2,0,7,1,1,0","Human_banner,Neck,-4,-892,3,0,9,1,1,0","Human_crossbow,Body,-7,-752,-1.5,0,10,1,1,0","Human_banner,Arm Up,-66,-786,0,0,8,1,1,0","Human_banner,Arm Low,-24,-739,100,0,8,1,1,0","White_human,Open,63,-767,113,0,9,1,1,0","Human_banner,Arm Up,96,-805,40,1,18,1,1,0","Human_banner,Arm Low,169,-788,124,1,20,1,1,0","White_human,Open Back,240,-839,138,0,34,1,1,0",,,,,,,"Human_crossbow,Base,135,-807,-160,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,exclude_p2,
Attack1/1,"Human_crossbow,Head,1,-937,-7,0,7,1,1,0","Human_banner,Neck,-4,-892,3,0,9,1,1,0","Human_crossbow,Body,-7,-752,-1.5,0,10,1,1,0","Human_banner,Arm Up,-74,-796,-10,0,8,1,1,0","Human_banner,Arm Low,-44,-739,90,0,8,1,1,0","White_human,Open,43,-747,103,0,9,1,1,0","Human_banner,Arm Up,76,-807,26,1,18,1,1,0","Human_banner,Arm Low,159,-748,84,1,20,1,1,0","White_human,Open Back,250,-728,78,0,34,1,1,0",,,,,,,"Human_crossbow,Base,138,-747,-180,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/2,"Human_crossbow,Head,18,-934,-14,0,8,1,1,0","Human_banner,Neck,9,-893,2,0,10,1,1,0","Human_crossbow,Body,-7,-745,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-796,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-711,60,0,8,1,1,0","White_human,Open,39,-675,73,0,9,1,1,0","Human_banner,Arm Up,76,-794,22,1,18,1,1,0","Human_banner,Arm Low,95,-698,-6,1,20,1,1,0","White_human,Open Back,86,-670,98,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-636,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/3,"Human_crossbow,Head,42,-931,-25,0,8,1,1,0","Human_banner,Neck,13,-891,2,0,10,1,1,0","Human_crossbow,Body,-6,-745,-8.5,0,10,1,1,0","Human_banner,Arm Up,-72,-796,-20,0,8,1,1,0","Human_banner,Arm Low,-60,-711,50,0,8,1,1,0","White_human,Open,39,-675,73,0,9,1,1,0","Human_banner,Arm Up,76,-792,18,1,18,1,1,0","Human_banner,Arm Low,87,-692,-10,1,20,1,1,0","White_human,Open Back,78,-664,94,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-636,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,exclude_p2,
Attack1/4,"Human_crossbow,Head,44,-931,-26,0,8,1,1,0","Human_banner,Neck,13,-891,2,0,10,1,1,0","Human_crossbow,Body,-6,-745,-8.5,0,10,1,1,0","Human_banner,Arm Up,-73,-803,-31,0,8,1,1,0","Human_banner,Arm Low,-70,-721,50,0,8,1,1,0","White_human,Open,9,-655,43,0,9,1,1,0","Human_banner,Arm Up,76,-789,18,1,18,1,1,0","Human_banner,Arm Low,87,-692,-10,1,20,1,1,0","White_human,Open Back,78,-664,94,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-636,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.25,exclude_p2,
Attack1/5,"Human_crossbow,Head,44,-929,-27,0,8,1,1,0","Human_banner,Neck,13,-891,2,0,10,1,1,0","Human_crossbow,Body,-6,-745,-9.5,0,10,1,1,0","Human_banner,Arm Up,-88,-817,-51,0,8,1,1,0","Human_banner,Arm Low,-99,-752,49,0,8,1,1,0","White_human,Open,-22,-684,42,0,9,1,1,0","Human_banner,Arm Up,76,-782,17,1,18,1,1,0","Human_banner,Arm Low,87,-687,-10,1,20,1,1,0","White_human,Open Back,78,-659,94,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 1,34,-636,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,exclude_p2,"Mechanic Click,1000,0"
Attack1/6,"Human_crossbow,Head,18,-934,-14,0,8,1,1,0","Human_banner,Neck,9,-893,2,0,10,1,1,0","Human_crossbow,Body,-7,-745,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-796,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-711,60,0,8,1,1,0","White_human,Open,39,-675,73,0,9,1,1,0","Human_banner,Arm Up,76,-793,22,1,18,1,1,0","Human_banner,Arm Low,95,-698,-6,1,20,1,1,0","White_human,Open Back,86,-670,98,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-636,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/7,"Human_crossbow,Head,1,-937,-7,0,7,1,1,0","Human_banner,Neck,-4,-892,3,0,9,1,1,0","Human_crossbow,Body,-7,-752,-1.5,0,10,1,1,0","Human_banner,Arm Up,-74,-796,-10,0,8,1,1,0","Human_banner,Arm Low,-44,-739,90,0,8,1,1,0","White_human,Open,43,-747,103,0,9,1,1,0","Human_banner,Arm Up,76,-807,26,1,18,1,1,0","Human_banner,Arm Low,159,-748,84,1,20,1,1,0","White_human,Open Back,250,-728,78,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,144,-747,-180,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/8,"Human_crossbow,Head,-8,-937,-3,0,7,1,1,0","Human_banner,Neck,-8,-892,4,0,9,1,1,0","Human_crossbow,Body,-9,-752,-0.5,0,10,1,1,0","Human_banner,Arm Up,-57,-783,1,0,8,1,1,0","Human_banner,Arm Low,-17,-734,101,0,8,1,1,0","White_human,Open,66,-756,114,0,9,1,1,0","Human_banner,Arm Up,73,-826,60,1,18,1,1,0","Human_banner,Arm Low,155,-807,105,1,20,1,1,0","White_human,Open Back,222,-832,119,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,141,-802,-159,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/9,"Human_crossbow,Head,-12,-935,-2,0,7,1,1,0","Human_banner,Neck,-9,-890,5,0,9,1,1,0","Human_crossbow,Body,-9,-750,1.5,0,10,1,1,0","Human_banner,Arm Up,-45,-781,22,0,8,1,1,0","Human_banner,Arm Low,17,-748,112,0,8,1,1,0","White_human,Open,93,-786,125,0,9,1,1,0","Human_banner,Arm Up,73,-834,63,1,18,1,1,0","Human_banner,Arm Low,155,-816,101,1,20,1,1,0","White_human,Open Back,231,-832,120,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,162,-823,-163,0,10,1,1,0",,,,,,,,,,,,,,"Human_castle,Body,-15,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Human_castle,Back,-14,-723,0,0,24,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,exclude_p2,
