Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Damaged/0,"human_mage,head,13,-535,-10,0,4,1,1,0","human_mage,neck,5,-460,-2,0,7,1,1,0","human_mage,body,0,-357,-2.5,0,5,1,1,0","human_mage,arm_up,-59,-382,-35,0,2,1,1,0","human_mage,arm_low,-93,-264,-86,0,1,1,1,0","white_human,open,-60,-154,0,0,6,1,1,0","human_mage,arm_up,70,-382,35,1,14,1,1,0","human_mage,arm_low,157,-350,0,0,14,1,0.9,0","white_human,fist_back,252,-374,91,0,16,1,1,0","human_mage,leg_up,-6,-164,-0.7,0,8,1,1,0",,"human_mage,foot,-44,-13,-1.6,0,13,1,1,0",,,"human_mage,foot,40,-14,4.5,0,15,1,1,0","human_mage,base,262,-315,180,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/1,"human_mage,head,42,-532,-22,0,4,1,1,0","human_mage,neck,19,-461,-12,0,7,1,1,0","human_mage,body,4,-357,-9.5,0,5,1,1,0","human_mage,arm_up,-44,-387,-35,0,2,1,1,0","human_mage,arm_low,-78,-269,-86,0,1,1,1,0","white_human,open,-45,-159,0,0,6,1,1,0","human_mage,arm_up,72,-358,30,1,14,1,1,0","human_mage,arm_low,157,-340,13,0,14,1,0.9,0","white_human,fist_back,251,-375,74,0,16,1,1,0","human_mage,leg_up,-6,-164,1.3,0,8,1,1,0",,"human_mage,foot,-44,-13,-6.6,0,13,1,1,0",,,"human_mage,foot,40,-14,-0.5,0,15,1,1,0","human_mage,base,260,-316,178,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/2,"human_mage,close,53,-523,-33,0,4,1,1,0","human_mage,neck,25,-459,-12,0,7,1,1,0","human_mage,body,6,-357,-9.5,0,5,1,1,0","human_mage,arm_up,-49,-387,-42,0,2,1,1,0","human_mage,arm_low,-106,-276,-96,0,1,1,1,0","white_human,open,-106,-160,-20,0,6,1,1,0","human_mage,arm_up,72,-358,30,1,14,1,1,0","human_mage,arm_low,159,-338,8,0,14,1,0.9,0","white_human,fist_back,251,-364,71,0,16,1,1,0","human_mage,leg_up,-6,-164,-0.7,0,8,1,1,0",,"human_mage,foot,-52,-13,-26.6,0,13,1,1,0",,,"human_mage,foot,40,-14,-8.5,0,15,1,1,0","human_mage,base,255,-315,170,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Damaged/3,"human_mage,close,60,-519,-37,0,4,1,1,0","human_mage,neck,25,-459,-12,0,7,1,1,0","human_mage,body,6,-357,-10.5,0,5,1,1,0","human_mage,arm_up,-53,-390,-44,0,2,1,1,0","human_mage,arm_low,-115,-280,-102,0,1,1,1,0","white_human,open,-121,-162,-26,0,6,1,1,0","human_mage,arm_up,72,-361,34,1,14,1,1,0","human_mage,arm_low,159,-338,4,0,14,1,0.9,0","white_human,fist_back,251,-360,66,0,16,1,1,0","human_mage,leg_up,-6,-164,0.3,0,8,1,1,0",,"human_mage,foot,-57,-13,-30.6,0,13,1,1,0",,,"human_mage,foot,46,-14,-0.5,0,15,1,1,0","human_mage,base,252,-315,167,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/4,"human_mage,head,42,-532,-22,0,4,1,1,0","human_mage,neck,19,-461,-12,0,7,1,1,0","human_mage,body,4,-357,-9.5,0,5,1,1,0","human_mage,arm_up,-50,-388,-41,0,2,1,1,0","human_mage,arm_low,-103,-277,-96,0,1,1,1,0","white_human,open,-90,-163,-10,0,6,1,1,0","human_mage,arm_up,72,-358,30,1,14,1,1,0","human_mage,arm_low,157,-340,13,0,14,1,0.9,0","white_human,fist_back,251,-375,74,0,16,1,1,0","human_mage,leg_up,-6,-164,1.3,0,8,1,1,0",,"human_mage,foot,-44,-13,-6.6,0,13,1,1,0",,,"human_mage,foot,40,-14,-0.5,0,15,1,1,0","human_mage,base,256,-316,171,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/5,"human_mage,head,13,-535,-10,0,4,1,1,0","human_mage,neck,5,-460,-2,0,7,1,1,0","human_mage,body,0,-357,-2.5,0,5,1,1,0","human_mage,arm_up,-59,-382,-35,0,2,1,1,0","human_mage,arm_low,-93,-264,-86,0,1,1,1,0","white_human,open,-60,-154,0,0,6,1,1,0","human_mage,arm_up,70,-382,35,1,14,1,1,0","human_mage,arm_low,157,-350,0,0,14,1,0.9,0","white_human,fist_back,252,-374,91,0,16,1,1,0","human_mage,leg_up,-6,-164,-0.7,0,8,1,1,0",,"human_mage,foot,-44,-13,-1.6,0,13,1,1,0",,,"human_mage,foot,40,-14,4.5,0,15,1,1,0","human_mage,base,262,-315,180,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default/0,"human_mage,head,5,-521.4,-1,0,4,1,1,0","human_mage,neck,4,-462.4,-2,0,7,1,1,0","human_mage,body,-0.8,-358.4,-1.5,0,5,1,1,0","human_mage,arm_up,-115,-412.4,-76,0,5,1,1,0","human_mage,arm_low,-212,-383,14,1,7,1,1,0","white_human,fist,-321,-384,-79,0,9,1,1,0","human_mage,arm_up,109.2,-416,84,1,14,1,1,0","human_mage,arm_low,231,-389,-16,0,16,1,1,0","white_human,fist_back,336,-382,63,0,18,1,1,0","human_mage,leg_up,-2,-154,-1.7,0,8,1,1,0",,"human_mage,foot,-70,-13,-1.6,0,13,1,1,0",,,"human_mage,foot,92,-14,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"human_mage,head,24,-532,-7,0,4,1,1,0","human_mage,neck,19,-461,-12,0,7,1,1,0","human_mage,body,4,-357,-3.5,0,5,1,1,0","human_mage,arm_up,-41,-386,-25,0,2,1,1,0","human_mage,arm_low,-54,-264,-76,0,1,1,1,0","white_human,open,-2,-162,10,0,6,1,1,0","human_mage,arm_up,70,-373,40,1,14,1,1,0","human_mage,arm_low,157,-350,3,0,14,1,0.9,0","white_human,fist_back,251,-379,75,0,16,1,1,0","human_mage,leg_up,-5,-164,1.3,0,8,1,1,0",,"human_mage,foot,-48,-13,-10.6,0,13,1,1,0",,,"human_mage,foot,72,-18,9.5,0,15,1,1,0","human_mage,base,260,-326,-173,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"human_mage,close,4,-542,3,0,4,1,1,0","human_mage,neck,7,-469,8,0,7,1,1,0","human_mage,body,0,-367,-0.5,0,5,1,1,0","human_mage,arm_up,-74,-400,-41,0,2,1,1,0","human_mage,arm_low,-120,-290,-92,0,1,1,1,0","white_human,open,-99,-176,-6,0,6,1,1,0","human_mage,arm_up,90,-393,60,1,14,1,1,0","human_mage,arm_low,186,-374,3,0,14,1,0.9,0","white_human,fist_back,278,-403,81,0,16,1,1,0","human_mage,leg_up,7,-174,4.3,0,8,1,1,0",,"human_mage,foot,-38,-23,-10.6,0,13,1,1,0",,,"human_mage,foot,113,-36,14.5,0,15,1,1,0","human_mage,base,293,-356,-171,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"human_mage,close,-131,-517,27,0,4,1,1,0","human_mage,neck,-85,-451,28,0,7,1,1,0","human_mage,body,-63,-354,26.5,0,5,1,1,0","human_mage,arm_up,-152,-357,-31,0,2,1,1,0","human_mage,arm_low,-179,-240,-82,0,1,1,1,0","white_human,open,-135,-139,7,0,6,1,1,0","human_mage,arm_up,19,-409,80,1,14,1,1,0","human_mage,arm_low,116,-424,23,0,14,1,0.9,0","white_human,open,209,-482,101,0,16,1,1,0","human_mage,leg_up,29,-174,25.3,0,8,1,1,0",,"human_mage,foot,27,-17,9.4,0,13,1,1,0",,,"human_mage,foot,172,-90,34.5,0,15,1,1,0","human_mage,base,273,-443,-171,0,18,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
