Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Damaged/0,"Human_land_militia_spear,Head,-19,-515.4,7,0,4,1,1,0","Human_land_militia_spear,Neck,-14,-458.4,5,0,7,1,1,0","Human_land_militia_spear,Body,-6.8,-356.4,5.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-85,-372.4,-19,0,2,1,1,0","Human_land_militia_spear,Arm Low,-76.4,-278.8,34,0,4,1,1,0","White_human,Fist,-34,-208,24,0,6,1,1,0","Human_land_militia_spear,Arm Up,57,-391,34,1,14,1,1,0","Human_land_militia_spear,Arm Low,127,-310,46,1,5,1,1,0","White_human,Fist Back,180,-248,19,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-77,-94.4,-10,0,14,1,1,0","Human_land_militia_spear,Foot,-64.8,-13.4,-1.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,22,-200.4,21.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,74,-89.4,3.5,0,17,1,1,0","Human_land_militia_spear,Foot,102.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,164,-242,103.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,-2,-202,-1,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/1,"Human_land_militia_spear,Head,-43,-509.4,16,0,4,1,1,0","Human_land_militia_spear,Neck,-36,-452.4,11,0,7,1,1,0","Human_land_militia_spear,Body,-14.8,-356.4,11.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-101,-362.4,-20,0,2,1,1,0","Human_land_militia_spear,Arm Low,-88.4,-278.8,43,0,4,1,1,0","White_human,Fist,-26,-214,36,0,6,1,1,0","Human_land_militia_spear,Arm Up,45.2,-398,40,1,14,1,1,0","Human_land_militia_spear,Arm Low,111,-336,52,1,5,1,0.9,0","White_human,Fist Back,168,-286,32,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-77,-94.4,-13,0,14,1,1,0","Human_land_militia_spear,Foot,-66.8,-13.4,1.4,0,13,1,1,0","Human_land_militia_spear,Leg Up,22,-200.4,21.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,86,-89.4,5.5,0,17,1,1,0","Human_land_militia_spear,Foot,110.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,152,-280,112.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,2,-202,1,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/2,"Human_land_militia_spear,Close,-73,-503.4,29,0,4,1,1,0","Human_land_militia_spear,Neck,-54,-448.4,11,0,7,1,1,0","Human_land_militia_spear,Body,-24.8,-356.4,19.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-103,-348.4,-6,0,2,1,1,0","Human_land_militia_spear,Arm Low,-74.4,-248.8,41,0,4,1,1,0","White_human,Fist,-16,-184,40,0,6,1,1,0","Human_land_militia_spear,Arm Up,35,-404,47,1,14,1,1,0","Human_land_militia_spear,Arm Low,109,-343,56,1,5,1,0.9,0","White_human,Fist Back,177,-295,47,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-73,-94.4,-20,0,14,1,1,0","Human_land_militia_spear,Foot,-74,-16,-6.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,28,-204.4,22.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,98,-95.4,11.5,0,17,1,1,0","Human_land_militia_spear,Foot,134.2,-22.4,19.5,0,15,1,1,0","Rabbit_spear,Base,154,-278,121.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,4,-208,6,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Damaged/3,"Human_land_militia_spear,Head,-79,-499.4,39,0,4,1,1,0","Human_land_militia_spear,Neck,-54,-448.4,11,0,7,1,1,0","Human_land_militia_spear,Body,-24.8,-356.4,19.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-91,-348.4,7,0,2,1,1,0","Human_land_militia_spear,Arm Low,-48.4,-260.8,48,0,4,1,1,0","White_human,Fist,12,-204,45,0,6,1,1,0","Human_land_militia_spear,Arm Up,35.2,-402,53,1,14,1,1,0","Human_land_militia_spear,Arm Low,114.4,-358.8,62,1,5,1,1,0","White_human,Fist Back,192,-320,56,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-73,-94.4,-20,0,14,1,1,0","Human_land_militia_spear,Foot,-66.8,-13.4,1.4,0,13,1,1,0","Human_land_militia_spear,Leg Up,28,-204.4,22.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,98,-95.4,11.5,0,17,1,1,0","Human_land_militia_spear,Foot,134.2,-22.4,19.5,0,15,1,1,0","Rabbit_spear,Base,173,-311,126.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,4,-208,6,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/4,"Human_land_militia_spear,Head,-43,-509.4,16,0,4,1,1,0","Human_land_militia_spear,Neck,-36,-452.4,11,0,7,1,1,0","Human_land_militia_spear,Body,-14.8,-356.4,11.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-101,-362.4,-20,0,2,1,1,0","Human_land_militia_spear,Arm Low,-88.4,-278.8,43,0,4,1,1,0","White_human,Fist,-26,-214,36,0,6,1,1,0","Human_land_militia_spear,Arm Up,45.2,-398,40,1,14,1,1,0","Human_land_militia_spear,Arm Low,108.4,-342.8,47,1,5,1,1,0","White_human,Fist Back,168,-286,32,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-77,-94.4,-13,0,14,1,1,0","Human_land_militia_spear,Foot,-66.8,-13.4,1.4,0,13,1,1,0","Human_land_militia_spear,Leg Up,22,-200.4,21.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,86,-89.4,5.5,0,17,1,1,0","Human_land_militia_spear,Foot,110.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,152,-280,112.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,2,-202,1,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/5,"Human_land_militia_spear,Head,-19,-515.4,7,0,4,1,1,0","Human_land_militia_spear,Neck,-14,-458.4,5,0,7,1,1,0","Human_land_militia_spear,Body,-6.8,-356.4,5.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-85,-372.4,-19,0,2,1,1,0","Human_land_militia_spear,Arm Low,-76.4,-278.8,34,0,4,1,1,0","White_human,Fist,-34,-208,24,0,6,1,1,0","Human_land_militia_spear,Arm Up,57,-391,34,1,14,1,1,0","Human_land_militia_spear,Arm Low,127,-310,46,1,5,1,1,0","White_human,Fist Back,180,-248,19,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-224.4,-6.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-77,-94.4,-10,0,14,1,1,0","Human_land_militia_spear,Foot,-64.8,-13.4,-1.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,22,-200.4,21.2,0,12,1,1,0","Human_land_militia_spear,Leg Low,74,-89.4,3.5,0,17,1,1,0","Human_land_militia_spear,Foot,102.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,164,-242,103.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,-2,-202,-1,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default/0,"Human_land_militia_spear,Head,5,-521.4,-1,0,4,1,1,0","Human_land_militia_spear,Neck,4,-462.4,-2,0,7,1,1,0","Human_land_militia_spear,Body,-0.8,-358.4,-1.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-115,-412.4,-76,0,5,1,1,0","Human_land_militia_spear,Arm Low,-212.4,-392.8,-76,0,7,1,1,0","White_human,Fist,-301.6,-370.8,-88,0,9,1,1,0","Human_land_militia_spear,Arm Up,109.2,-416,84,1,14,1,1,0","Human_land_militia_spear,Arm Low,230.4,-408.8,86,1,16,1,1,0","White_human,Fist Back,316.8,-402,73,0,18,1,1,0",,"Human_land_militia_spear,Leg Low,-77,-94.4,-10,0,14,1,1,0","Human_land_militia_spear,Foot,-64.8,-13.4,-1.6,0,13,1,1,0",,"Human_land_militia_spear,Leg Low,78,-89.4,11.5,0,17,1,1,0","Human_land_militia_spear,Foot,112.2,-14.4,4.5,0,15,1,1,0",,,"Human_land_militia_spear,Skirt,-6,-204,1,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Human_land_militia_spear,Head,43,-507.4,-9,0,4,1,1,0","Human_land_militia_spear,Neck,34,-452.4,-7,0,7,1,1,0","Human_land_militia_spear,Body,13.2,-350.4,-10.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-51,-374.4,-25,0,2,1,1,0","Human_land_militia_spear,Arm Low,-54.4,-276.8,21,0,4,1,1,0","White_human,Fist,-30,-192,6,0,6,1,1,0","Human_land_militia_spear,Arm Up,87.2,-376,28,1,14,1,1,0","Human_land_militia_spear,Arm Low,148.4,-294.8,39,1,5,1,1,0","White_human,Fist Back,196,-220,13,0,6,1,1,0","Human_land_militia_spear,Leg Up,-45,-212.4,-15.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-99,-88.4,-32,0,14,1,1,0","Human_land_militia_spear,Foot,-108.8,-13.4,-6.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,48,-198.4,20.7,0,12,1,1,0","Human_land_militia_spear,Leg Low,68,-89.4,5.5,0,17,1,1,0","Human_land_militia_spear,Foot,98.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,176,-220,99.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,-8,-184,-5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Human_land_militia_spear,Head,89,-491.4,-22,0,4,1,1,0","Human_land_militia_spear,Neck,76,-442.4,-18,0,7,1,1,0","Human_land_militia_spear,Body,33.2,-344.4,-21.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-25,-378.4,-36,0,2,1,1,0","Human_land_militia_spear,Arm Low,-56.4,-276.8,4,0,4,1,1,0","White_human,Fist,-52,-192,0,0,6,1,1,0","Human_land_militia_spear,Arm Up,113.2,-354,28,1,14,1,1,0","Human_land_militia_spear,Arm Low,168.4,-278.8,35,1,5,1,1,0","White_human,Open,218,-200,23,0,7,1,1,0","Human_land_militia_spear,Leg Up,-43,-212.4,-15.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-97,-88.4,-32,0,14,1,1,0","Human_land_militia_spear,Foot,-106.8,-13.4,-6.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,50,-198.4,20.7,0,12,1,1,0","Human_land_militia_spear,Leg Low,60,-89.4,-9.5,0,17,1,1,0","Human_land_militia_spear,Foot,74.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,150,-216,96.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,-8,-180,-5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Human_land_militia_spear,Head,117,-461.4,-34,0,4,1,1,0","Human_land_militia_spear,Neck,94,-434.4,-18,0,7,1,1,0","Human_land_militia_spear,Body,39.2,-328.4,-25.5,0,5,1,1,0","Human_land_militia_spear,Arm Up,-25,-374.4,-45,0,2,1,1,0","Human_land_militia_spear,Arm Low,-88.4,-276.8,-17,0,4,1,1,0","White_human,Open,-116,-184,-25,0,6,1,1,0","Human_land_militia_spear,Arm Up,107.2,-320,-6,1,14,1,1,0","Human_land_militia_spear,Arm Low,122.4,-218.8,15,1,5,1,1,0","White_human,Open,138,-132,1,0,8,1,1,0","Human_land_militia_spear,Leg Up,-43,-212.4,-15.7,0,8,1,1,0","Human_land_militia_spear,Leg Low,-115,-66.4,-49,0,14,1,1,0","Human_land_militia_spear,Foot,-154.8,2.6,-36.6,0,13,1,1,0","Human_land_militia_spear,Leg Up,50,-198.4,20.7,0,12,1,1,0","Human_land_militia_spear,Leg Low,60,-89.4,-9.5,0,17,1,1,0","Human_land_militia_spear,Foot,74.2,-14.4,4.5,0,15,1,1,0","Rabbit_spear,Base,150,-152,92.3,0,7,1,1,0",,"Human_land_militia_spear,Skirt,-8,-170,-5,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
