Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"greek_ghoul,head,182,-382,-20.5,0,4,1,1,0","greek_ghoul,neck,128,-338,-53.5,0,19,1.3,1.1,0","greek_ghoul,body,27,-241,-44,0,6,1,1,0","greek_ghoul,arm_up,53,-266,7.6,0,6,1.1,1.1,0","greek_ghoul,arm_low,84,-137,23.7,0,4,1.1,1.1,0","greek_ghoul,open,140,-34,33.8,0,6,1,1,0","greek_ghoul,arm_up,148,-227,11.8,1,18,1,1,0","greek_ghoul,arm_low,206,-126,39,1,20,1,1,0","greek_ghoul,open2,299,-56,63,0,22,1,1,0","greek_ghoul,leg_up,-108,-146,-25.7,0,6,1,0.9,0","greek_ghoul,leg_low,-181,-54,-49,0,10,1,1.2,0","greek_ghoul,foot,-198,2,-3.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,15,-140,57.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,26,-76,-44,0,13,1.1,1.3,0","greek_ghoul,foot,12,-18,-1.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"greek_ghoul,head,239,-362,-4.5,0,4,1,1,0","greek_ghoul,neck,179,-314,-63.5,0,19,1.3,1.1,0","greek_ghoul,body,51,-241,-54,0,6,1,1,0","greek_ghoul,arm_up,97,-266,7.6,0,6,1.1,1.1,0","greek_ghoul,arm_low,128,-137,23.7,0,4,1.1,1.1,0","greek_ghoul,open,183,-34,34.8,0,6,1,1,0","greek_ghoul,arm_up,166,-220,23.8,1,18,1,1,0","greek_ghoul,arm_low,244,-134,51,1,20,1,1,0","greek_ghoul,open2,350,-85,75,0,22,1,1,0","greek_ghoul,leg_up,-96,-159,-34.7,0,6,1,0.9,0","greek_ghoul,leg_low,-182,-62,-45,0,10,1,1.2,0","greek_ghoul,foot,-198,2,-3.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,29,-140,46.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,31,-74,-45,0,13,1.1,1.3,0","greek_ghoul,foot,12,-18,-5.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"greek_ghoul,head,232,-374,5.5,0,4,1,1,0","greek_ghoul,neck,182,-316,-53.5,0,19,1.3,1.1,0","greek_ghoul,body,59,-241,-54,0,6,1,1,0","greek_ghoul,arm_up,97,-266,2.6,0,6,1.1,1.1,0","greek_ghoul,arm_low,118,-137,23.7,0,4,1.1,1.1,0","greek_ghoul,open,173,-34,34.8,0,6,1,1,0","greek_ghoul,arm_up,204,-236,44.8,1,18,1,1,0","greek_ghoul,arm_low,310,-181,72,1,20,1,1,0","greek_ghoul,open2,430,-173,96,0,22,1,1,0","greek_ghoul,leg_up,-94,-159,-37.7,0,6,1,0.9,0","greek_ghoul,leg_low,-185,-62,-46,0,10,1,1.2,0","greek_ghoul,foot,-203,2,-7.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,38,-139,50.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,38,-74,-45,0,13,1.1,1.3,0","greek_ghoul,foot,15,-11,-9.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/3,"greek_ghoul,head,225,-389,11.5,0,4,1,1,0","greek_ghoul,neck,178,-330,-49.5,0,19,1.3,1.1,0","greek_ghoul,body,59,-247,-51,0,6,1,1,0","greek_ghoul,arm_up,95,-274,4.6,0,6,1.1,1.1,0","greek_ghoul,arm_low,107,-137,13.7,0,4,1.1,1.1,0","greek_ghoul,open,143,-24,20.8,0,6,1,1,0","greek_ghoul,arm_up,214,-261,91.8,1,18,1,1,0","greek_ghoul,arm_low,328,-300,119,1,20,1,1,0","greek_ghoul,open2,414,-382,143,0,22,1,1,0","greek_ghoul,leg_up,-94,-161,-37.7,0,6,1,0.9,0","greek_ghoul,leg_low,-185,-69,-46,0,10,1,1.2,0","greek_ghoul,foot,-205,-1,-12.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,35,-139,53.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,36,-74,-43,0,13,1.1,1.3,0","greek_ghoul,foot,15,-7,-5.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/4,"greek_ghoul,head,219,-398,14.5,0,4,1,1,0","greek_ghoul,neck,176,-334,-48.5,0,19,1.3,1.1,0","greek_ghoul,body,58,-249,-49,0,6,1,1,0","greek_ghoul,arm_up,91,-280,4.6,0,6,1.1,1.1,0","greek_ghoul,arm_low,101,-137,7.7,0,4,1.1,1.1,0","greek_ghoul,open,127,-24,15.8,0,6,1,1,0","greek_ghoul,arm_up,201,-297,126.8,1,18,1,1,0","greek_ghoul,arm_low,265,-397,162,1,20,1,1,0","greek_ghoul,open2,272,-517,-177,0,22,1,1,0","greek_ghoul,leg_up,-94,-161,-39.7,0,6,1,0.9,0","greek_ghoul,leg_low,-188,-69,-46,0,10,1,1.2,0","greek_ghoul,foot,-207,-1,-12.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,35,-139,55.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,37,-74,-43,0,13,1.1,1.3,0","greek_ghoul,foot,15,-7,-6.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/5,"greek_ghoul,head,244,-384,4.5,0,4,1,1,0","greek_ghoul,neck,191,-328,-58.5,0,19,1.3,1.1,0","greek_ghoul,body,84,-244,-51,0,6,1,1,0","greek_ghoul,arm_up,101,-271,-15.4,0,6,1.1,1.1,0","greek_ghoul,arm_low,100,-137,13.7,0,4,1.1,1.1,0","greek_ghoul,open,117,-24,-4.2,0,6,1,1,0","greek_ghoul,arm_up,247,-286,104.8,1,18,1,1,0","greek_ghoul,arm_low,359,-342,120,1,20,1,1,0","greek_ghoul,open2,453,-405,118,0,22,1,1,0","greek_ghoul,leg_up,-74,-166,-49.7,0,6,1,0.9,0","greek_ghoul,leg_low,-178,-79,-46,0,10,1,1.2,0","greek_ghoul,foot,-207,-4,-32.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,46,-139,35.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,48,-62,-63,0,13,1.1,1.3,0","greek_ghoul,foot,15,-7,-6.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.5",,"swing_bulk,2500,0"
Attack1/6,"greek_ghoul,head,278,-319,-2.5,0,4,1,1,0","greek_ghoul,neck,217,-273,-68.5,0,19,1.3,1.1,0","greek_ghoul,body,95,-214,-61,0,6,1,1,0","greek_ghoul,arm_up,113,-245,-25.4,0,6,1.1,1.1,0","greek_ghoul,arm_low,115,-137,30.7,0,4,1.1,1.1,0","greek_ghoul,open,164,-36,12.8,0,6,1,1,0","greek_ghoul,arm_up,261,-196,74.8,1,18,1,1,0","greek_ghoul,arm_low,386,-188,90,1,20,1,1,0","greek_ghoul,open2,499,-195,88,0,22,1,1,0","greek_ghoul,leg_up,-63,-153,-41.7,0,6,1,0.9,0","greek_ghoul,leg_low,-168,-69,-56,0,10,1,1.2,0","greek_ghoul,foot,-207,-4,-42.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,48,-119,49.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,48,-58,-61,0,13,1.1,1.3,0","greek_ghoul,foot,15,-5,-4.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.1",,
Attack1/7,"greek_ghoul,head,281,-315,-5.5,0,4,1,1,0","greek_ghoul,neck,217,-268,-68.5,0,19,1.3,1.1,0","greek_ghoul,body,95,-211,-63,0,6,1,1,0","greek_ghoul,arm_up,109,-243,-29.4,0,6,1.1,1.1,0","greek_ghoul,arm_low,109,-137,29.7,0,4,1.1,1.1,0","greek_ghoul,open,156,-36,11.8,0,6,1,1,0","greek_ghoul,arm_up,261,-178,57.8,1,18,1,1,0","greek_ghoul,arm_low,382,-117,60,1,20,1,1,0","greek_ghoul,open2,483,-66,58,0,22,1,1,0","greek_ghoul,leg_up,-63,-151,-42.7,0,6,1,0.9,0","greek_ghoul,leg_low,-171,-69,-57,0,10,1,1.2,0","greek_ghoul,foot,-208,-4,-43.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,48,-116,51.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,48,-56,-61,0,13,1.1,1.3,0","greek_ghoul,foot,15,-5,-4.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.1",,
Attack1/8,"greek_ghoul,head,289,-299,-11.5,0,4,1,1,0","greek_ghoul,neck,217,-258,-73.5,0,19,1.3,1.1,0","greek_ghoul,body,95,-208,-64,0,6,1,1,0","greek_ghoul,arm_up,108,-236,-31.4,0,6,1.1,1.1,0","greek_ghoul,arm_low,104,-130,27.7,0,4,1.1,1.1,0","greek_ghoul,open,147,-29,9.8,0,6,1,1,0","greek_ghoul,arm_up,261,-158,47.8,1,18,1,1,0","greek_ghoul,arm_low,357,-75,50,1,20,1,1,0","greek_ghoul,open2,448,-8,48,0,22,1,1,0","greek_ghoul,leg_up,-65,-143,-38.7,0,6,1,0.9,0","greek_ghoul,leg_low,-164,-65,-60,0,10,1,1.2,0","greek_ghoul,foot,-208,-4,-46.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,48,-114,52.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,48,-54,-63,0,13,1.1,1.3,0","greek_ghoul,foot,15,-5,-5.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprite_deal_damage,,
Attack1/9,"greek_ghoul,head,289,-308,-6.5,0,4,1,1,0","greek_ghoul,neck,223,-263,-69.5,0,19,1.3,1.1,0","greek_ghoul,body,95,-211,-60,0,6,1,1,0","greek_ghoul,arm_up,106,-242,-30.4,0,6,1.1,1.1,0","greek_ghoul,arm_low,104,-136,28.7,0,4,1.1,1.1,0","greek_ghoul,open,149,-35,10.8,0,6,1,1,0","greek_ghoul,arm_up,237,-156,28.8,1,18,1,1,0","greek_ghoul,arm_low,331,-73,58,1,20,1,1,0","greek_ghoul,open2,424,-16,48,0,22,1,1,0","greek_ghoul,leg_up,-65,-148,-37.7,0,6,1,0.9,0","greek_ghoul,leg_low,-159,-65,-55,0,10,1,1.2,0","greek_ghoul,foot,-193,-1,-25.1,0,13,1.2,1.2,0","greek_ghoul,leg_up,45,-117,49.3,0,8,0.9,0.9,0","greek_ghoul,leg_low,42,-57,-60,0,13,1.1,1.3,0","greek_ghoul,foot,11,-6,-3.5,0,15,1.2,1.2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.1",,
