Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"greek_skeleton_lich,open,46,-627,16.5,0,4,1,1,0","greek_skeleton_human,neck,23,-572,-20.5,0,7,1,1,0","greek_skeleton_lich,body,2,-448,-9,0,6,1,1,0","tensimpho,arm_up,-15,-487,29.6,0,6,1,1,0","greek_skeleton_human,arm_low,38,-443,83.7,0,4,1,1,0","greek_skeleton_lich,fist,126,-451,86.8,0,3,1,1,0","tensimpho,arm_up,82,-474,34.8,0,18,1,1,0","greek_skeleton_human,arm_low,103,-452,160,0,16,1,1,0","greek_skeleton_lich,open,152,-536,135,0,19,1,1,0","greek_skeleton_lich,leg_up,-63,-220,-10.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-119,-155,-36,0,10,1,1,0","greek_skeleton_human,foot,-152,-82,-66.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,-14,-125,-12,0,13,1,1,0","greek_skeleton_human,foot,-19,-44,-49.5,0,15,1,1,0","greek_skeleton_lich,base,141,-536,-20,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/1,"greek_skeleton_lich,open,36,-627,18.5,0,4,1,1,0","greek_skeleton_human,neck,15,-572,-18.5,0,7,1,1,0","greek_skeleton_lich,body,-2,-446,-7,0,6,1,1,0","tensimpho,arm_up,-21,-485,31.6,0,6,1,1,0","greek_skeleton_human,arm_low,34,-443,85.7,0,4,1,1,0","greek_skeleton_lich,fist,122,-455,88.8,0,3,1,1,0","tensimpho,arm_up,86,-496,56.8,0,18,1,1,0","greek_skeleton_human,arm_low,155,-494,132,0,16,1,1,0","greek_skeleton_lich,open,228,-561,117,0,19,1,1,0","greek_skeleton_lich,leg_up,-59,-216,-8.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-113,-149,-34,0,10,1,1,0","greek_skeleton_human,foot,-144,-76,-64.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,-6,-123,-10,0,13,1,1,0","greek_skeleton_human,foot,-9,-42,-47.5,0,15,1,1,0","greek_skeleton_lich,base,133,-540,-18,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"greek_skeleton_lich,open,31,-627,19.5,0,4,1,1,0","greek_skeleton_human,neck,11,-572,-17.5,0,7,1,1,0","greek_skeleton_lich,body,-4,-445,-6,0,6,1,1,0","tensimpho,arm_up,-24,-484,32.6,0,6,1,1,0","greek_skeleton_human,arm_low,32,-443,86.7,0,4,1,1,0","greek_skeleton_lich,fist,120,-456,89.8,0,3,1,1,0","tensimpho,arm_up,83,-497,57.8,0,18,1,1,0","greek_skeleton_human,arm_low,170,-486,121,0,16,1,1,0","greek_skeleton_lich,open,264,-547,111,0,19,1,1,0","greek_skeleton_lich,leg_up,-55,-214,-5.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-110,-146,-33,0,10,1,1,0","greek_skeleton_human,foot,-139,-73,-63.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,8,-122,-9,0,13,1,1,0","greek_skeleton_human,foot,6,-41,-46.5,0,15,1,1,0","greek_skeleton_lich,base,129,-542,-17,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,"greek_skeleton_lich,open,21,-625,22.5,0,4,1,1,0","greek_skeleton_human,neck,3,-570,-15.5,0,7,1,1,0","greek_skeleton_lich,body,-8,-443,-4,0,6,1,1,0","tensimpho,arm_up,-30,-480,34.6,0,6,1,1,0","greek_skeleton_human,arm_low,28,-441,88.7,0,4,1,1,0","greek_skeleton_lich,fist,116,-458,93.8,0,3,1,1,0","tensimpho,arm_up,97,-517,80.8,0,18,1,1,0","greek_skeleton_human,arm_low,204,-517,93,0,16,1,1,0","greek_skeleton_lich,open,316,-525,81,0,19,1,1,0","greek_skeleton_lich,leg_up,-51,-210,-3.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-104,-140,-31,0,10,1,1,0","greek_skeleton_human,foot,-129,-67,-61.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,16,-120,-7,0,13,1,1,0","greek_skeleton_human,foot,16,-39,-44.5,0,15,1,1,0","greek_skeleton_lich,base,117,-544,-13,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/4,"greek_skeleton_lich,open,21,-625,24.5,0,4,1,1,0","greek_skeleton_human,neck,3,-570,-15.5,0,7,1,1,0","greek_skeleton_lich,body,-8,-443,-4,0,6,1,1,0","tensimpho,arm_up,-30,-480,34.6,0,6,1,1,0","greek_skeleton_human,arm_low,28,-441,88.7,0,4,1,1,0","greek_skeleton_lich,fist,116,-458,93.8,0,3,1,1,0","tensimpho,arm_up,97,-517,81.8,0,18,1,1,0","greek_skeleton_human,arm_low,204,-519,93,0,16,1,1,0","greek_skeleton_lich,point,306,-534,78,0,19,1,1,0","greek_skeleton_lich,leg_up,-49,-210,-2.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-104,-140,-31,0,10,1,1,0","greek_skeleton_human,foot,-129,-67,-64.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,21,-120,-7,0,13,1,1,0","greek_skeleton_human,foot,21,-39,-44.5,0,15,1,1,0","greek_skeleton_lich,base,117,-544,-13,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"deep_flow,2500,0"
Attack1/5,"greek_skeleton_lich,open,16,-624,25.5,0,4,1,1,0","greek_skeleton_human,neck,-1,-569,-14.5,0,7,1,1,0","greek_skeleton_lich,body,-10,-441,-3,0,6,1,1,0","tensimpho,arm_up,-33,-478,35.6,0,6,1,1,0","greek_skeleton_human,arm_low,26,-440,89.7,0,4,1,1,0","greek_skeleton_lich,fist,114,-459,94.8,0,3,1,1,0","tensimpho,arm_up,94,-517,82.8,0,18,1,1,0","greek_skeleton_human,arm_low,206,-544,114,0,16,1,1,0","greek_skeleton_lich,point,295,-595,99,0,19,1,1,0","greek_skeleton_lich,leg_up,-47,-208,-1.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-101,-137,-30,0,10,1,1,0","greek_skeleton_human,foot,-124,-63,-63.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,25,-119,-6,0,13,1,1,0","greek_skeleton_human,foot,26,-38,-43.5,0,15,1,1,0","greek_skeleton_lich,base,113,-545,-12,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dark_energy,base,433,-532,-90,0,0,1,1,0",,,,,,,,,,
Attack1/6,"greek_skeleton_lich,open,6,-624,28.5,0,4,1,1,0","greek_skeleton_human,neck,-9,-565,-12.5,0,7,1,1,0","greek_skeleton_lich,body,-14,-437,-1,0,6,1,1,0","tensimpho,arm_up,-39,-474,37.6,0,6,1,1,0","greek_skeleton_human,arm_low,22,-438,91.7,0,4,1,1,0","greek_skeleton_lich,fist,110,-459,96.8,0,3,1,1,0","tensimpho,arm_up,88,-517,84.8,0,18,1,1,0","greek_skeleton_human,arm_low,180,-555,138,0,16,1,1,0","greek_skeleton_lich,point,240,-636,121,0,19,1,1,0","greek_skeleton_lich,leg_up,-41,-204,1.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,-95,-131,-28,0,10,1,1,0","greek_skeleton_human,foot,-114,-55,-61.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,43,-117,-4,0,13,1,1,0","greek_skeleton_human,foot,46,-36,-41.5,0,15,1,1,0","greek_skeleton_lich,base,105,-545,-10,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/7,"greek_skeleton_lich,open,21,-625,21.5,0,4,1,1,0","greek_skeleton_human,neck,3,-570,-15.5,0,7,1,1,0","greek_skeleton_lich,body,-8,-443,-4,0,6,1,1,0","tensimpho,arm_up,-30,-480,34.6,0,6,1,1,0","greek_skeleton_human,arm_low,28,-441,88.7,0,4,1,1,0","greek_skeleton_lich,fist,116,-458,91.8,0,3,1,1,0","tensimpho,arm_up,77,-497,59.8,0,18,1,1,0","greek_skeleton_human,arm_low,170,-512,133,0,16,1,1,0","greek_skeleton_lich,open,250,-591,123,0,19,1,1,0","greek_skeleton_lich,leg_up,-51,-210,-3.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-104,-140,-31,0,10,1,1,0","greek_skeleton_human,foot,-129,-67,-61.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,16,-120,-7,0,13,1,1,0","greek_skeleton_human,foot,16,-39,-44.5,0,15,1,1,0","greek_skeleton_lich,base,121,-544,-15,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/8,"greek_skeleton_lich,open,36,-627,18.5,0,4,1,1,0","greek_skeleton_human,neck,15,-572,-18.5,0,7,1,1,0","greek_skeleton_lich,body,-2,-446,-7,0,6,1,1,0","tensimpho,arm_up,-21,-485,31.6,0,6,1,1,0","greek_skeleton_human,arm_low,34,-443,85.7,0,4,1,1,0","greek_skeleton_lich,fist,122,-455,88.8,0,3,1,1,0","tensimpho,arm_up,86,-496,56.8,0,18,1,1,0","greek_skeleton_human,arm_low,155,-494,132,0,16,1,1,0","greek_skeleton_lich,open,228,-561,117,0,19,1,1,0","greek_skeleton_lich,leg_up,-59,-216,-8.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-113,-149,-34,0,10,1,1,0","greek_skeleton_human,foot,-144,-76,-64.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,-6,-123,-10,0,13,1,1,0","greek_skeleton_human,foot,-9,-42,-47.5,0,15,1,1,0","greek_skeleton_lich,base,133,-540,-18,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/9,"greek_skeleton_lich,open,46,-627,16.5,0,4,1,1,0","greek_skeleton_human,neck,23,-572,-20.5,0,7,1,1,0","greek_skeleton_lich,body,2,-448,-9,0,6,1,1,0","tensimpho,arm_up,-15,-487,29.6,0,6,1,1,0","greek_skeleton_human,arm_low,38,-443,83.7,0,4,1,1,0","greek_skeleton_lich,fist,126,-451,86.8,0,3,1,1,0","tensimpho,arm_up,82,-474,34.8,0,18,1,1,0","greek_skeleton_human,arm_low,103,-452,160,0,16,1,1,0","greek_skeleton_lich,open,152,-536,135,0,19,1,1,0","greek_skeleton_lich,leg_up,-63,-220,-10.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-119,-155,-36,0,10,1,1,0","greek_skeleton_human,foot,-152,-82,-66.1,0,13,1,1,0",,"greek_skeleton_human,leg_low,-14,-125,-12,0,13,1,1,0","greek_skeleton_human,foot,-19,-44,-49.5,0,15,1,1,0","greek_skeleton_lich,base,141,-536,-20,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
