Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"greek_skeleton_human,head,-15,-583,-13.5,0,4,1,1,0","greek_skeleton_human,neck,-35,-541,20.5,0,7,1,1.1,0","greek_skeleton_human,body,-13,-384,-8,0,6,1,1,0","greek_skeleton_human,arm_up,-88,-441,-40.4,0,6,1,1,0","greek_skeleton_human,arm_low,-105,-340,13.7,0,4,1,1,0","greek_skeleton_human,fist,-74,-266,0.8,0,6,1,1,0","greek_skeleton_human,arm_up,-53,-452,-15.2,1,18,1,1,0","greek_skeleton_human,arm_low,-60,-361,9,0,20,1,1,0","greek_skeleton_human,fist_back,-35,-281,-9,0,22,1,1,0","greek_skeleton_human,leg_up,-68,-207,-10.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-97,-82,-11,0,10,1,1,0","greek_skeleton_human,foot,-84,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,14,-218,26.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,47,-87,9,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"greek_skeleton_human,head,-4,-583,-15.5,0,4,1,1,0","greek_skeleton_human,neck,-25,-541,18.5,0,7,1,1.1,0","greek_skeleton_human,body,-7,-384,-11,0,6,1,1,0","greek_skeleton_human,arm_up,-107,-451,-58.4,0,6,1,1,0","greek_skeleton_human,arm_low,-141,-373,-6.3,0,4,1,1,0","greek_skeleton_human,fist,-138,-293,-19.2,0,6,1,1,0","greek_skeleton_human,arm_up,-63,-458,-35.2,1,18,1,1,0","greek_skeleton_human,arm_low,-101,-374,-11,0,20,1,1,0","greek_skeleton_human,fist_back,-105,-290,-29,0,22,1,1,0","greek_skeleton_human,leg_up,-72,-207,-10.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-108,-82,-16,0,10,1,1,0","greek_skeleton_human,foot,-98,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,17,-217,29.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,53,-87,4,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,-114,-288,100,0,8,1,1,0","bone,base,-72,-294,-110,0,15,1,1,0",,,,,,,,,
Attack1/2,"greek_skeleton_human,head,32,-581,-15.5,0,4,1,1,0","greek_skeleton_human,neck,5,-543,8.5,0,7,1,1.1,0","greek_skeleton_human,body,-1,-384,-17,0,6,1,1,0","greek_skeleton_human,arm_up,-85,-494,-88.4,0,6,1,1,0","greek_skeleton_human,arm_low,-154,-443,-36.3,0,4,1,1,0","greek_skeleton_human,fist,-191,-372,-49.2,0,6,1,1,0","greek_skeleton_human,arm_up,-45,-478,-65.2,1,18,1,1,0","greek_skeleton_human,arm_low,-119,-424,-41,0,20,1,1,0","greek_skeleton_human,fist_back,-164,-353,-59,0,22,1,1,0","greek_skeleton_human,leg_up,-84,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-128,-82,-16,0,10,1,1,0","greek_skeleton_human,foot,-118,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,15,-216,34.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,57,-87,1,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,-174,-356,70,0,8,1,1,0","bone,base,-134,-340,-140,0,15,1,1,0",,,,,,,,,
Attack1/3,"greek_skeleton_human,head,22,-581,-2.5,0,4,1,1,0","greek_skeleton_human,neck,5,-543,8.5,0,7,1,1.1,0","greek_skeleton_human,body,-7,-384,-13,0,6,1,1,0","greek_skeleton_human,arm_up,-69,-473,-64.4,0,6,1.2,0.9,0","greek_skeleton_human,arm_low,-113,-401,-12.3,0,4,1.2,0.9,0","greek_skeleton_human,fist,-119,-321,-25.2,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-27,-471,-45.2,1,18,1,0.9,0","greek_skeleton_human,arm_low,-77,-406,-21,0,20,1,0.9,0","greek_skeleton_human,fist_back,-95,-331,-39,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,15,-216,34.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,57,-87,1,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,-114,-312,80,0,8,1.2,1.2,0","bone,base,-72,-330,-100,0,15,0.9,0.9,0",,,,,,,,,
Attack1/4,"greek_skeleton_human,head,-17,-581,-2.5,0,4,1,1,0","greek_skeleton_human,neck,-32,-541,18.5,0,7,1,1.1,0","greek_skeleton_human,body,-19,-386,-8,0,6,1,1,0","greek_skeleton_human,arm_up,-50,-430,-4.4,0,6,1.2,0.9,0","greek_skeleton_human,arm_low,-21,-368,47.7,0,4,1.2,0.9,0","greek_skeleton_human,fist,47,-322,34.8,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-27,-466,14.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,3,-391,39,0,20,1,0.9,0","greek_skeleton_human,fist_back,59,-337,21,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,19,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,56,-87,2,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,67,-352,140,0,8,1.2,1.2,0","bone,base,82,-377,-30,0,15,0.9,0.9,0",,,,,,,play_time_mod_0.5,,
Attack1/5,"greek_skeleton_human,head,-41,-582,3.5,0,4,1,1,0","greek_skeleton_human,neck,-48,-540,24.5,0,7,1,1.1,0","greek_skeleton_human,body,-24,-386,-5,0,6,1,1,0","greek_skeleton_human,arm_up,-14,-436,48.6,0,6,1.2,0.9,0","greek_skeleton_human,arm_low,69,-423,100.7,0,4,1.2,0.9,0","greek_skeleton_human,fist,146,-447,87.8,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-27,-474,67.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,51,-455,92,0,20,1,0.9,0","greek_skeleton_human,fist_back,127,-465,74,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,19,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,56,-87,2,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,152,-459,-177,0,8,1.2,1.2,0","bone,base,118,-488,13,0,15,0.9,0.9,0",,,,,,,play_time_mod_0.5,,
Attack1/6,"greek_skeleton_human,head,-53,-582,0.5,0,4,1,1,0","greek_skeleton_human,neck,-61,-540,27.5,0,7,1,1.1,0","greek_skeleton_human,body,-32,-386,-2,0,6,1,1,0","greek_skeleton_human,arm_up,-11,-532,128.6,0,6,1.2,0.9,0","greek_skeleton_human,arm_low,18,-613,-180,0,4,1.2,0.9,0","greek_skeleton_human,fist,6,-691,167.8,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-49,-527,147.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,-18,-598,172,0,20,1,0.9,0","greek_skeleton_human,fist_back,-16,-676,154,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,19,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,56,-87,2,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,-4,-701,-97,0,8,1.2,1.2,0","bone,base,-37,-672,93,0,15,0.9,0.9,0",,,,,,,play_time_mod_0.5,,
Attack1/7,"greek_skeleton_human,head,-65,-582,6.5,0,4,1,1,0","greek_skeleton_human,neck,-72,-540,27.5,0,7,1,1.1,0","greek_skeleton_human,body,-36,-386,-1,0,6,1,1,0","greek_skeleton_human,arm_up,-79,-540,160,0,4,1.2,1,0","greek_skeleton_human,arm_low,-77,-641,-150,0,4,1.2,0.9,0","greek_skeleton_human,fist,-126,-702,-170,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-92,-533,177.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,-100,-610,-160,0,20,1,0.9,0","greek_skeleton_human,fist_back,-138,-678,-180,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,19,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,56,-87,2,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,-139,-706,-67,0,8,1.2,1.2,0","bone,base,-154,-664,123,0,15,0.9,0.9,0",,,,,,,,,
Attack1/8,"greek_skeleton_human,head,-15,-581,-3.5,0,4,1,1,0","greek_skeleton_human,neck,-30,-541,17.5,0,7,1,1.1,0","greek_skeleton_human,body,-21,-386,-8,0,6,1,1,0","greek_skeleton_human,arm_up,-45,-530,148.6,0,4,1.2,0.9,0","greek_skeleton_human,arm_low,1,-626,160,0,4,1.2,0.9,0","greek_skeleton_human,fist,29,-699,140,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,-43,-543,157.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,-2,-633,140,0,20,1,0.9,0","greek_skeleton_human,fist_back,49,-692,120,0,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,19,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,56,-87,2,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,27,-711,-127,0,8,1.2,1.2,0","bone,base,27,-703,53,0,15,0.9,0.9,0",,,,,,,play_time_mod_0.5,,"swing_bulk_small,2500,0"
Attack1/9,"greek_skeleton_human,head,80,-585,-3.5,0,4,1,1,0","greek_skeleton_human,neck,57,-559,-12.5,0,7,1,1.1,0","greek_skeleton_human,body,21,-384,-25,0,6,1,1,0","greek_skeleton_human,arm_up,67,-523,110.6,0,4,1.1,0.9,0","greek_skeleton_human,arm_low,173,-567,110,0,4,1.2,0.9,0","greek_skeleton_human,open,253,-594,90,0,6,1.2,0.9,0","greek_skeleton_human,arm_up,85,-539,117.8,1,18,1,0.9,0","greek_skeleton_human,arm_low,166,-576,100,0,20,1,0.9,0","greek_skeleton_human,open,253,-608,130,1,22,1,0.9,0","greek_skeleton_human,leg_up,-82,-209,-13.7,0,8,1.1,1,0","greek_skeleton_human,leg_low,-125,-82,-14,0,10,1,1,0","greek_skeleton_human,foot,-115,-14,-0.1,0,13,1,1,0","greek_skeleton_human,leg_up,26,-216,31.3,0,8,1.1,1,0","greek_skeleton_human,leg_low,60,-87,-1,0,13,1,1,0","greek_skeleton_human,foot,79,-15,0.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bone,base,346,-717,-60,0,8,1,1,1","bone,base,343,-767,-60,0,15,1,1,1",,,,,,,,,
