Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,,,"doll_air_balloon,body,-8,-81,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-42,6,0,6,1,1,0",,,,"doll_captain,arm_low,125,-5,-32,0,7,0.8,0.8,0",,,"doll_captain,arm_low,184,-21,100,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/0,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-44,6,0,6,1,1,0",,,,"doll_captain,arm_low,124,-8,-32,0,7,0.8,0.8,0",,,"doll_captain,arm_low,178,-15,67,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-40,-11,0,6,1,1,0",,,,"doll_captain,arm_low,125,-13,-42,0,7,0.8,0.8,0",,,"doll_captain,arm_low,177,-11,62,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-40,-11,0,6,1,1,0",,,,"doll_captain,arm_low,125,-13,-42,0,7,0.8,0.8,0",,,"doll_captain,arm_low,171,-10,14,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-40,-13,0,6,1,1,0",,,,"doll_captain,arm_low,121,-19,-54,0,7,0.8,0.8,0",,,"doll_captain,arm_low,169,1,10,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"movement,crush,136,57,140,0,0,0.4,0.4,0",,,,,,,,,,
Attack1/4,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-40,-13,0,6,1,1,0",,,,"doll_captain,arm_low,121,-19,-54,0,7,0.8,0.8,0",,,"doll_captain,arm_low,169,-12,10,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/5,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-40,-16,0,6,1,1,0",,,,"doll_captain,arm_low,121,-16,-54,0,7,0.8,0.8,0",,,"doll_captain,arm_low,169,0,10,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"movement,crush,224,-6,-80,0,0,0.4,0.4,0",,,,,,,,,,
Attack1/6,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-42,-8,0,6,1,1,0",,,,"doll_captain,arm_low,125,-13,-42,0,7,0.8,0.8,0",,,"doll_captain,arm_low,171,-10,14,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bomb,base,20,84,180,0,10,1,1,0",,,,,,,,,,
Attack1/7,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,151,-42,-8,0,6,1,1,0",,,,"doll_captain,arm_low,125,-13,-40,0,7,0.8,0.8,0",,,"doll_captain,arm_low,171,-10,14,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bomb,speed,20,134,180,0,0,1,1,1",,,,,,,,,,
Attack1/8,,,"doll_air_balloon,body,-8,-83,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-47,2,0,6,1,1,0",,,,"doll_captain,arm_low,125,-11,-42,0,7,0.8,0.8,0",,,"doll_captain,arm_low,173,-13,37,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,,,"doll_air_balloon,body,1,-87,-9,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-23,-18,0,6,1,1,0",,,,"doll_captain,arm_low,115,-5,-61,0,7,0.8,0.8,0",,,"doll_captain,arm_low,169,17,41,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,,,"doll_air_balloon,body,3,-89,-11,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-21,-20,0,6,1,1,0",,,,"doll_captain,arm_low,113,-3,-63,0,7,0.8,0.8,0",,,"doll_captain,arm_low,167,19,39,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/2,,,"doll_air_balloon,body,14,-95,-21,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,143,-4,-30,0,6,1,1,0",,,,"doll_captain,arm_low,107,8,-73,0,7,0.8,0.8,0",,,"doll_captain,arm_low,156,39,29,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/3,,,"doll_air_balloon,body,14,-95,-22,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,132,-6,5,0,6,1,1,0",,,,"doll_captain,arm_low,108,4,-129,0,7,0.8,0.8,0",,,"doll_captain,arm_low,163,10,119,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"deep_thump,1500,0"
Die/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"smoke_pop,base,4,-89,0,0,0,2,2,1",,,,,,,,,,"explosion_big,1000,0"
Run/0,,,"doll_air_balloon,body,-8,-81,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,"doll_captain,head,146,-42,6,0,6,1,1,0",,,,"doll_captain,arm_low,124,-6,-32,0,7,0.8,0.8,0",,,"doll_captain,arm_low,177,-9,50,1,7,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
