Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"doll_claw,head,-4,-206,0,0,14,1,1,0",,"doll_claw,body,-1,-136,2,0,19,0.8,0.9,0","doll_claw,arm_up,-50,-158,-57,0,20,1,1,0","doll_claw,arm_low,-129,-132,-74,1,35,1,1,0",,"doll_claw,arm_up,42,-158,51,1,21,1,1,0","doll_claw,arm_low,117,-131,74,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-1,0,21,1,1,0",,"doll_claw,foot,-29,-13,-2,0,28,1,1,0",,,"doll_claw,foot,30,-12,16,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/0,"doll_claw,head,-12,-200,27,0,14,1,1,0",,"doll_claw,body,-1,-136,2,0,19,0.8,0.9,0","doll_claw,arm_up,-42,-141,-15,0,20,1,1,0","doll_claw,arm_low,-74,-63,-24,1,35,1,1,0",,"doll_claw,arm_up,38,-144,26,1,21,1,1,0","doll_claw,arm_low,71,-65,23,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-1,0,21,1,1,0",,"doll_claw,foot,-21,-10,-2,0,28,1,1,0",,,"doll_claw,foot,20,-12,2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"doll_claw,head,-16,-200,32,0,14,1,1,0",,"doll_claw,body,-5,-136,6,0,19,0.8,0.9,0","doll_claw,arm_up,-32,-124,28,0,16,1,1,0","doll_claw,arm_low,3,-57,24,1,17,1,1,0",,"doll_claw,arm_up,38,-154,66,1,21,1,1,0","doll_claw,arm_low,102,-114,53,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-2,0,21,1,1,0",,"doll_claw,foot,-21,-10,-2,0,28,1,1,0",,,"doll_claw,foot,20,-12,2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"doll_claw,head,-20,-195,35,0,14,1,1,0",,"doll_claw,body,-6,-136,10,0,19,0.8,0.9,0","doll_claw,arm_up,-21,-127,58,0,16,1,1,0","doll_claw,arm_low,44,-88,54,1,17,1,1,0",,"doll_claw,arm_up,38,-166,76,1,21,1,1,0","doll_claw,arm_low,112,-144,73,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-3,0,21,1,1,0",,"doll_claw,foot,-21,-10,-3,0,28,1,1,0",,,"doll_claw,foot,20,-12,2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,"doll_claw,head,-27,-195,37,0,14,1,1,0",,"doll_claw,body,-8,-135,11,0,19,0.8,0.9,0","doll_claw,arm_up,-11,-134,98,0,16,1,1,0","doll_claw,arm_low,71,-154,106,0,17,1,1,0",,"doll_claw,arm_up,28,-177,108,1,21,1,1,0","doll_claw,arm_low,91,-219,123,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-4,0,21,1,1,0",,"doll_claw,foot,-21,-10,-3,0,28,1,1,0",,,"doll_claw,foot,20,-12,2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/4,"doll_claw,head,-29,-195,45,0,14,1,1,0",,"doll_claw,body,-10,-131,16,0,19,0.8,0.9,0","doll_claw,arm_up,-17,-144,130,0,16,1,1,0","doll_claw,arm_low,47,-198,138,0,17,1,1,0",,"doll_claw,arm_up,18,-185,138,1,21,1,1,0","doll_claw,arm_low,58,-259,163,0,23,1,1,0",,"doll_claw,leg_up,2,-59,-5,0,21,1,1,0",,"doll_claw,foot,-23,-11,-5,0,28,1,1,0",,,"doll_claw,foot,20,-12,2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
Attack1/5,"doll_claw,head,-7,-197,25,0,14,1,1,0",,"doll_claw,body,1,-131,-4,0,19,0.8,0.9,0","doll_claw,arm_up,-4,-139,90,0,16,1,1,0","doll_claw,arm_low,81,-146,98,0,17,1,1.1,0",,"doll_claw,arm_up,24,-165,118,1,21,1,1,0","doll_claw,arm_low,89,-221,137,0,23,1,1.1,0",,"doll_claw,leg_up,-2,-59,-8,0,21,1,1,0",,"doll_claw,foot,-23,-11,-7,0,28,1,1,0",,,"doll_claw,foot,23,-12,-2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"movement,lines,138,-166,10,0,0,1,1,0",,,,,,,,"play_time_mod_0.2,sprite_deal_damage",,"pierce,1000,0"
Attack1/6,"doll_claw,head,3,-197,15,0,14,1,1,0",,"doll_claw,body,6,-131,-12,0,19,0.8,0.9,0","doll_claw,arm_up,-3,-132,70,0,16,1,1,0","doll_claw,arm_low,78,-115,78,0,17,1,1.1,0",,"doll_claw,arm_up,45,-154,88,1,21,1,1,0","doll_claw,arm_low,129,-176,107,0,23,1,1.1,0",,"doll_claw,leg_up,-2,-59,-8,0,21,1,1,0",,"doll_claw,foot,-23,-11,-7,0,28,1,1,0",,,"doll_claw,foot,23,-12,-2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"movement,lines,138,-136,10,0,0,1,1,0",,,,,,,,"play_time_mod_0.2,sprite_deal_damage",,"swing_flat_small,1000,0"
Attack1/7,"doll_claw,head,43,-192,-5,0,14,1,1,0",,"doll_claw,body,18,-125,-28,0,19,0.8,0.9,0","doll_claw,arm_up,12,-129,50,0,16,1,1,0","doll_claw,arm_low,84,-79,58,0,17,1,1.1,0",,"doll_claw,arm_up,65,-132,68,1,21,1,1,0","doll_claw,arm_low,156,-122,85,0,23,1,1.1,0",,"doll_claw,leg_up,-2,-59,-8,0,21,1,1,0",,"doll_claw,foot,-23,-11,-7,0,28,1,1,0",,,"doll_claw,foot,23,-12,-2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.2",,
Attack1/8,"doll_claw,head,57,-172,-37,0,14,1,1,0",,"doll_claw,body,18,-119,-34,0,19,0.8,0.9,0","doll_claw,arm_up,2,-120,30,0,16,1,1,0","doll_claw,arm_low,52,-48,38,0,17,1,1.1,0",,"doll_claw,arm_up,66,-123,28,1,21,1,1,0","doll_claw,arm_low,129,-57,45,0,23,1,1.1,0",,"doll_claw,leg_up,-4,-59,-12,0,21,1,1,0",,"doll_claw,foot,-23,-11,-7,0,28,1,1,0",,,"doll_claw,foot,23,-12,-2,0,25,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.5",,
