Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,,,"doll_thrower,body,-19,-225,0,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-340,-71,0,0,2,1.5,1.5,0","doll_thrower,foot,2,-71,0,0,2,1.5,1.5,0","doll_thrower,foot,322,-71,0,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,,,"doll_thrower,body,-20,-225,1,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-339,-65,1,0,2,1.5,1.5,0","doll_thrower,foot,3,-71,1,0,2,1.5,1.5,0","doll_thrower,foot,323,-77,1,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,,,"doll_thrower,body,-20,-265,10,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-311,-58,10,0,2,1.5,1.5,0","doll_thrower,foot,26,-117,10,0,2,1.5,1.5,0","doll_thrower,foot,340,-172,10,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,,,"doll_thrower,body,-5,-230,0,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-325,-73,2,0,2,1.5,1.5,0","doll_thrower,foot,18,-84,2,0,2,1.5,1.5,0","doll_thrower,foot,336,-85,2,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,,,"doll_thrower,body,-2,-201,-3,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-328,-63,-1,0,2,1.5,1.5,0","doll_thrower,foot,15,-66,-1,0,2,1.5,1.5,0","doll_thrower,foot,333,-69,19,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,,,"doll_thrower,body,19,-174,-10,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-323,-76,-8,0,2,1.5,1.5,0","doll_thrower,foot,19,-62,-8,0,2,1.5,1.5,0","doll_thrower,foot,334,-28,22,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,,,"doll_thrower,body,19,-172,-9,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-323,-76,-19,0,2,1.5,1.5,0","doll_thrower,foot,19,-64,-18,0,2,1.5,1.5,0","doll_thrower,foot,334,-36,22,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,,,"doll_thrower,body,-19,-225,0,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-340,-71,0,0,2,1.5,1.5,0","doll_thrower,foot,2,-71,0,0,2,1.5,1.5,0","doll_thrower,foot,322,-71,0,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
Run/0,,,"doll_thrower,body,-19,-226,0,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-340,-71,-13,0,2,1.5,1.5,0","doll_thrower,foot,2,-71,-13,0,2,1.5,1.5,0","doll_thrower,foot,322,-71,-13,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run/1,,,"doll_thrower,body,-19,-222,0,0,4,1.3,1.3,0",,,,,,,,,,,,,,,"doll_thrower,foot,-340,-71,-40,0,2,1.5,1.5,0","doll_thrower,foot,2,-71,-40,0,2,1.5,1.5,0","doll_thrower,foot,322,-71,-40,0,2,1.5,1.5,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
