Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Sertors,Head,36,-323,-27,1,2,1,1,0","Sertors,Neck,3,-283,-46,0,4,1,1,0","Sertors,Body,-9,-211,-10.5,0,5,1,1,0","Sertors,Arm Up,2.8,-237.6,39,0,5,1,1,0","Sertors,Arm Low,24.4,-206,52,0,2,1,1,0","Bigta,Fist,51.2,-196.4,52,0,1,1,1,0","Sertors,Arm Up,26.4,-242,41,1,13,1,1,0","Sertors,Arm Low,62.4,-231.2,86,1,13,1,1,0","Sertors,Fist,86,-223,88,1,19,1,1,0","Sertors,Leg Up,-51.2,-114.4,-27.7,0,4,1,1,0","Sertors,Leg Low,-78,-56.4,-7,0,10,1,1,0","Sertors,Foot,-82.8,-9.6,-42.6,0,13,1,1,0","Sertors,Leg Up,19.2,-121.2,36.7,0,12,1,1,0","Sertors,Leg Low,43.2,-68.8,7.5,0,13,1,1,0","Sertors,Foot,46.8,-17.6,-26.5,0,15,1,1,0","Bigta,Lance_base,163.2,-357.6,89,0,8,1,1,0","Bigta,Shield,102,-338,-170,0,10,1,1,0","Sertors,Ear,120,-360,-30,0,0,1,1,0","Sertors,Ear_back,93,-320,-75,0,12,1,1,0","Sertors,Tail,-73,-155,-14,0,5,1,1,0",,,,,,,,"Bigta,Head,54,-434,-12,0,5,1,1,0","Bigta,Neck,25,-403,-22,0,8,1,1,0","Bigta,Body,2,-339.2,-22,0,9,1,1,0","Bigta,Arm Up,-2,-375,-41,0,2,1,1,0","Bigta,Arm Low,-2,-351,56,0,4,1,1,0","Bigta,Fist,31,-342,57,0,5,1,1,0",,,,"Bigta,Leg Up,0,-267,50,0,4,1,1,0","Bigta,Leg Low,35,-214,9,0,3,1,1,0","Bigta,Foot,48,-175,-14,0,4,1,1,0","Bigta,Leg Up,29.2,-287.2,64,0,11,1,1,0","Bigta,Leg Low,65.6,-243.6,10,0,10,1,1,0","Bigta,Foot,69.6,-206.4,-23,0,11,1,1,0",,,"Bigta,Mouth_low,65,-409,-10,0,5,1,1,0","Bigta,Ear,0,-439,-30,0,3,1,1,0","Bigta,Tail,-73,-288,-26,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"Sertors,Head,2,-315,-9,0,2,1,1,0","Sertors,Neck,-7.2,-285.6,-46,0,4,1,1,0","Sertors,Body,-14.8,-201.6,0.5,0,5,1,1,0","Sertors,Arm Up,-31,-234,11,0,5,1,1,0","Sertors,Arm Low,-13.6,-206,52,0,2,1,1,0","Bigta,Fist,13.2,-196.4,52,0,1,1,1,0","Sertors,Arm Up,-11.6,-242,41,1,13,1,1,0","Sertors,Arm Low,24.4,-231.2,86,1,13,1,1,0","Sertors,Fist,66,-223.6,88,1,19,1,1,0","Sertors,Leg Up,-44,-104,-24.7,0,4,1,1,0","Sertors,Leg Low,-74,-50.4,-25,0,10,1,1,0","Sertors,Foot,-92.8,-9.6,-42.6,0,13,1,1,0","Sertors,Leg Up,26,-117,44.7,0,12,1,1,0","Sertors,Leg Low,51,-65,0.5,0,13,1,1,0","Sertors,Foot,48.8,-17.6,-26.5,0,15,1,1,0","Bigta,Lance_base,123.2,-357.6,89,0,8,1,1,0","Bigta,Shield,64,-334,179,0,11,1,1,0","Sertors,Ear,-67,-371,84,0,0,1,1,0","Sertors,Ear_back,-42,-365,66,0,12,1,1,0","Sertors,Tail,-70,-142,-39,0,6,1,1,0",,,,,,,,"Bigta,Head,18,-427,-11,0,5,1,1,0","Bigta,Neck,-12,-394,-12,0,8,1,1,0","Bigta,Body,-28,-335.2,-21,0,9,1,1,0","Bigta,Arm Up,-50.8,-366.4,-27,0,2,1,1,0","Bigta,Arm Low,-26.4,-342.8,65,0,4,1,1,0","Bigta,Fist,7.2,-340.4,81,0,5,1,1,0",,,,"Bigta,Leg Up,-32,-265,55,0,4,1,1,0","Bigta,Leg Low,5.6,-215.6,10,0,3,1,1,0","Bigta,Foot,18.4,-176,-13,0,4,1,1,0","Bigta,Leg Up,1,-277,64,0,11,1,1,0","Bigta,Leg Low,33,-237,8,0,10,1,1,0","Bigta,Foot,39.6,-202.4,-22,0,11,1,1,0",,,"Bigta,Mouth_low,30,-400,-9,0,5,1,1,0","Bigta,Ear,-29,-430,-21,0,3,1,1,0","Bigta,Tail,-101,-291,-41,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/2,"Sertors,Head,-39.2,-298.8,-12,0,2,1,1,0","Sertors,Neck,-45,-267,-18,0,4,1,1,0","Sertors,Body,-34.8,-169.6,10.5,0,5,1,1,0","Sertors,Arm Up,-65.2,-225.6,29,0,5,1,1,0","Sertors,Arm Low,-47.6,-188,52,0,2,1,1,0","Bigta,Fist,-24.8,-182.4,62,0,1,1,1,0","Sertors,Arm Up,-47,-229,46,1,13,1,1,0","Sertors,Arm Low,-11,-218,91,1,13,1,1,0","Sertors,Fist,38,-203.6,86,1,19,1,1,0","Sertors,Leg Up,-51.2,-90.4,-26.7,0,4,1,1,0","Sertors,Leg Low,-88,-40.4,-38,0,10,1,1,0","Sertors,Foot,-110.8,-7.6,-52.6,0,13,1,1,0","Sertors,Leg Up,23.2,-107.2,58.7,0,12,1,1,0","Sertors,Leg Low,55,-65,2.5,0,13,1,1,0","Sertors,Foot,54.8,-17.6,-31.5,0,15,1,1,0","Bigta,Lance_base,31.2,-309.6,86,0,8,1,1,0","Bigta,Shield,16,-307,179,0,10,1,1,0","Sertors,Ear,-103.6,-365,84,0,0,1,1,0","Sertors,Ear_back,-78.4,-359,66,0,12,1,1,0","Sertors,Tail,-83,-117,-29,0,5,1,1,0",,,,,,,,"Bigta,Head,-41,-404,-23,0,5,1,1,0","Bigta,Neck,-61,-378,-15,0,8,1,1,0","Bigta,Body,-68,-307.2,-6,0,9,1,1,0","Bigta,Arm Up,-96.8,-330.4,-32,0,3,1,1,0","Bigta,Arm Low,-94.4,-308.8,64,0,4,1,1,0","Bigta,Fist,-60.8,-306.4,80,0,5,1,1,0",,,,"Bigta,Leg Up,-59,-239,61,0,4,1,1,0","Bigta,Leg Low,-38,-189,-11,0,3,1,1,0","Bigta,Foot,-51.6,-144,-41,0,4,1,1,0","Bigta,Leg Up,-24,-241,61,0,11,1,1,0","Bigta,Leg Low,2,-202,-5,0,10,1,1,0","Bigta,Foot,-2.4,-148.4,-37,0,11,1,1,0",,,"Bigta,Mouth_low,-38,-376,-31,0,5,1,1,0","Bigta,Ear,-83,-404,-13,0,3,1,1,0","Bigta,Tail,-126,-257.2,-50,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Attack1/3,"Sertors,Head,-49.2,-298.8,-8,0,2,1,1,0","Sertors,Neck,-53,-263,-13,0,6,1,1,0","Sertors,Body,-38.8,-169.6,14.5,0,5,1,1,0","Sertors,Arm Up,-72,-223,29,0,5,1,1,0","Sertors,Arm Low,-47.6,-194,52,0,2,1,1,0","Bigta,Fist,-24.8,-188.4,62,0,1,1,1,0","Sertors,Arm Up,-14,-234,44,1,13,1,1,0","Sertors,Arm Low,-3.6,-219.2,91,1,13,1,1,0","Sertors,Fist,22,-207.6,86,1,19,1,1,0","Sertors,Leg Up,-51.2,-88.4,-34.7,0,4,1,1,0","Sertors,Leg Low,-96,-40.4,-38,0,10,1,1,0","Sertors,Foot,-124.8,-7.6,-52.6,0,13,1,1,0","Sertors,Leg Up,17.2,-107.2,58.7,0,12,1,1,0","Sertors,Leg Low,54,-66,15.5,0,13,1,1,0","Sertors,Foot,60.8,-17.6,-31.5,0,15,1,1,0","Bigta,Lance_base,11.2,-327.6,88,0,8,1,1,0","Bigta,Shield,-2,-294.8,177,0,10,1,1,0","Sertors,Ear,-113.6,-359,88,0,0,1,1,0","Sertors,Ear_back,-88.4,-359,70,0,12,1,1,0","Sertors,Tail,-81,-114,-22,0,6,1,1,0",,,,,,,,"Bigta,Head,-60,-395,-10,0,5,1,1,0","Bigta,Neck,-78.4,-358.4,-9,0,8,1,1,0","Bigta,Body,-76,-307.2,0,0,9,1,1,0","Bigta,Arm Up,-122.8,-336.4,-41,0,3,1,1,0","Bigta,Arm Low,-120.4,-318.8,78,0,4,1,1,0","Bigta,Fist,-76.8,-330.4,86,0,5,1,1,0",,,,"Bigta,Leg Up,-64,-235,54,0,4,1,1,0","Bigta,Leg Low,-36.4,-187.6,-1,0,3,1,1,0","Bigta,Foot,-40,-144,-35,0,4,1,1,0","Bigta,Leg Up,-30.8,-241.2,55,0,11,1,1,0","Bigta,Leg Low,1,-198,11,0,11,1,1,0","Bigta,Foot,5.6,-148.4,-33,0,11,1,1,0",,,"Bigta,Mouth_low,-53,-369,-18,0,5,1,1,0","Bigta,Ear,-102,-389,-7,0,3,1,1,0","Bigta,Tail,-134,-257.2,-44,0,11,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/4,"Sertors,Head,-2,-284,-15,0,2,1,1,0","Sertors,Neck,-20,-249,-3,0,4,1,1,0","Sertors,Body,-18.8,-175.6,-2.5,0,5,1,1,0","Sertors,Arm Up,-47.2,-223.6,14,0,5,1,1,0","Sertors,Arm Low,-29.6,-192,37,0,2,1,1,0","Bigta,Fist,-2,-180,47,0,1,1,1,0","Sertors,Arm Up,4,-232,29,1,13,1,1,0","Sertors,Arm Low,14.4,-217.2,76,1,13,1,1,0","Sertors,Fist,40,-205.6,71,1,19,1,1,0","Sertors,Leg Up,-51.2,-88.4,-27.7,0,4,1,1,0","Sertors,Leg Low,-92,-40.4,-44,0,10,1,1,0","Sertors,Foot,-120.8,-7.6,-48.6,0,13,1,1,0","Sertors,Leg Up,19.2,-105.2,61.7,0,12,1,1,0","Sertors,Leg Low,51,-63,3.5,0,13,1,1,0","Sertors,Foot,50.8,-17.6,-39.5,0,15,1,1,0","Bigta,Lance_stab,81.2,-321.6,88,0,8,1,1,1","Bigta,Shield,30,-310.8,-178,0,10,1,1,0","Sertors,Ear,-60,-353,81,0,0,1,1,0","Sertors,Ear_back,-27,-355,61,0,12,1,1,0","Sertors,Tail,-76,-111,-14,0,5,1,1,0",,,,,,,,"Bigta,Head,-23,-387,-18,0,5,1,1,0","Bigta,Neck,-44,-356,-21,0,8,1,1,0","Bigta,Body,-50,-301.2,-8,0,9,1,1,0","Bigta,Arm Up,-65,-331,-8,0,3,1,1,0","Bigta,Arm Low,-54,-307,85,0,4,1,1,0","Bigta,Fist,-6,-317,78,0,5,1,1,0",,,,"Bigta,Leg Up,-43,-229,56,0,4,1,1,0","Bigta,Leg Low,-13,-183,2,0,3,1,1,0","Bigta,Foot,-16,-141,-50,0,4,1,1,0","Bigta,Leg Up,-4.8,-235.2,47,0,11,1,1,0","Bigta,Leg Low,28,-188,15,0,10,1,1,0","Bigta,Foot,31,-144,-37,0,11,1,1,0",,,"Bigta,Mouth_low,-16,-361,-26,0,5,1,1,0","Bigta,Ear,-73,-389,-22,0,3,1,1,0","Bigta,Tail,-111,-251,-43,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.3,sprite_deal_damage",,"Pierce,1000,1"
Attack1/5,"Sertors,Head,22.8,-276.8,-20,0,2,1,1,0","Sertors,Neck,8.8,-251.6,-26,0,4,1,1,0","Sertors,Body,-8.8,-171.6,-10.5,0,5,1,1,0","Sertors,Arm Up,-15.2,-215.6,38,0,5,1,1,0","Sertors,Arm Low,-3.6,-190,35,0,2,1,1,0","Bigta,Fist,19.2,-176.4,39,0,1,1,1,0","Sertors,Arm Up,30,-222,21,1,13,1,1,0","Sertors,Arm Low,40.4,-207.2,68,1,13,1,1,0","Sertors,Fist,66,-195.6,63,1,19,1,1,0","Sertors,Leg Up,-45.2,-84.4,-23.7,0,4,1,1,0","Sertors,Leg Low,-84,-34.4,-53,0,10,1,1,0","Sertors,Foot,-120.8,-7.6,-58.6,0,13,1,1,0","Sertors,Leg Up,21.2,-101.2,65.7,0,12,1,1,0","Sertors,Leg Low,53,-62,3.5,0,13,1,1,0","Sertors,Foot,48.8,-17.6,-45.5,0,15,1,1,0","Bigta,Lance_stab,176.8,-299.6,88,0,8,1,1,1","Bigta,Shield,82.8,-280.4,179,0,10,1,1,0","Sertors,Ear,-33.6,-349,76,0,0,1,1,0","Sertors,Ear_back,-2.4,-347,56,0,12,1,1,0","Sertors,Tail,-75,-117,-22,0,6,1,1,0",,,,,,,,"Bigta,Head,48,-383,-6,0,5,1,1,0","Bigta,Neck,26,-353,-22,0,8,1,1,0","Bigta,Body,2,-289.2,-22,0,9,1,1,0","Bigta,Arm Up,11,-326,29,0,3,1,1,0","Bigta,Arm Low,53,-302,71,0,4,1,1,0","Bigta,Fist,93,-306,73,0,5,1,1,0",,,,"Bigta,Leg Up,-4,-218,48,0,4,1,1,0","Bigta,Leg Low,15,-169,-14,0,3,1,1,0","Bigta,Foot,-1.6,-132,-48,0,4,1,1,0","Bigta,Leg Up,31.2,-223.2,42,0,11,1,1,0","Bigta,Leg Low,53,-175,4,0,11,1,1,0","Bigta,Foot,47.6,-130.4,-46,0,11,1,1,0",,,"Bigta,Mouth_low,58,-357,-37,0,5,1,1,0","Bigta,Ear,-6,-395,-46,0,3,1,1,0","Bigta,Tail,-66,-255.2,-53,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.1,sprite_deal_damage",,
Attack1/6,"Sertors,Head,60.8,-260.8,-36,0,2,1,1,0","Sertors,Neck,38.8,-241.6,-31,0,4,1,1,0","Sertors,Body,9.2,-167.6,-26.5,0,5,1,1,0","Sertors,Arm Up,8.8,-205.6,6,0,5,1,1,0","Sertors,Arm Low,16.4,-172,35,0,2,1,1,0","Bigta,Fist,39.2,-158.4,39,0,1,1,1,0","Sertors,Arm Up,60,-214,21,1,13,1,1,0","Sertors,Arm Low,70.4,-199.2,68,1,13,1,1,0","Sertors,Fist,90,-175.6,63,1,19,1,1,0","Sertors,Leg Up,-47.2,-78.4,-25.7,0,4,1,1,0","Sertors,Leg Low,-88,-30.4,-58,0,10,1,1,0","Sertors,Foot,-118.8,-7.6,-58.6,0,13,1,1,0","Sertors,Leg Up,21.2,-95.2,71.7,0,12,1,1,0","Sertors,Leg Low,54,-60,4.5,0,13,1,1,0","Sertors,Foot,50.8,-13.6,-41.5,0,15,1,1,0","Bigta,Lance_stab,240.8,-284.8,88,0,8,1,1,1","Bigta,Shield,112.8,-270.4,167,0,10,1,1,0","Sertors,Ear,22.4,-343,64,0,0,1,1,0","Sertors,Ear_back,53.6,-341,44,0,12,1,1,0","Sertors,Tail,-71.6,-118,-25,0,4,1,1,0",,,,,,,,"Bigta,Head,82,-364,-23,0,5,1,1,0","Bigta,Neck,54,-332,-4,0,9,1,1,0","Bigta,Body,30,-273.2,-25,0,9,1,1,0","Bigta,Arm Up,27.8,-299.8,36,0,3,1,1,0","Bigta,Arm Low,56.2,-276.2,72,0,4,1,1,0","Bigta,Fist,109.8,-279.8,80,0,5,1,1,0",,,,"Bigta,Leg Up,25,-206,52,0,4,1,1,0","Bigta,Leg Low,44,-163,-17,0,3,1,1,0","Bigta,Foot,24,-121,-47,0,4,1,1,0","Bigta,Leg Up,59.2,-207.2,39,0,11,1,1,0","Bigta,Leg Low,81,-165,4,0,10,1,1,0","Bigta,Foot,78,-120,-49,0,11,1,1,0",,,"Bigta,Mouth_low,82,-339,-53,0,5,1,1,0","Bigta,Ear,37,-392,-64,0,3,1,1,0","Bigta,Tail,-38,-239.2,-56,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.5,sprite_deal_damage",,
Attack1/7,"Sertors,Head,75,-245,-37,0,2,1,1,0","Sertors,Neck,56.8,-225.6,-38,0,4,1,1,0","Sertors,Body,17.2,-155.6,-32.5,0,5,1,1,0","Sertors,Arm Up,13,-194,6,0,5,1,1,0","Sertors,Arm Low,21,-161,35,0,2,1,1,0","Bigta,Fist,44,-147,39,0,1,1,1,0","Sertors,Arm Up,60,-214,21,1,13,1,1,0","Sertors,Arm Low,70.4,-199.2,68,1,13,1,1,0","Sertors,Fist,90,-165,63,1,19,1,1,0","Sertors,Leg Up,-43.2,-74.4,-28.7,0,4,1,1,0","Sertors,Leg Low,-84,-26.4,-61,0,10,1,1,0","Sertors,Foot,-114.8,-3.6,-61.6,0,13,1,1,0","Sertors,Leg Up,45.2,-87.2,60.7,0,12,1,1,0","Sertors,Leg Low,67,-52,-16,0,13,1,1,0","Sertors,Foot,50.8,-13.6,-41.5,0,15,1,1,0","Bigta,Lance_base,296,-282,90,0,8,1,1,1","Bigta,Shield,128.4,-252,171,0,10,1,1,1","Sertors,Ear,37,-330,57,0,0,1,1,0","Sertors,Ear_back,62,-324,37,0,12,1,1,0","Sertors,Tail,-66,-112,-25,0,6,1,1,0",,,,,,,,"Bigta,Head,97,-343,-29,0,5,1,1,0","Bigta,Neck,67,-323,-30,0,8,1,1,0","Bigta,Body,36,-269.2,-27,0,9,1,1,0","Bigta,Arm Up,53,-293,56,0,3,1,1,0","Bigta,Arm Low,106,-276,78,0,4,1,1,0","Bigta,Fist,147.8,-275.8,56,0,5,1,1,0",,,,"Bigta,Leg Up,27,-200,46,0,4,1,1,0","Bigta,Leg Low,43.6,-149.6,-24,0,3,1,1,0","Bigta,Foot,20,-116,-67,0,4,1,1,0","Bigta,Leg Up,65.2,-203.2,37,0,11,1,1,0","Bigta,Leg Low,83.6,-161.6,-10,0,10,1,1,0","Bigta,Foot,75,-115,-44,0,11,1,1,0",,,"Bigta,Mouth_low,97,-316,-46,0,5,1,1,0","Bigta,Ear,48,-372,-61,0,3,1,1,0","Bigta,Tail,-32,-235.2,-58,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprite_deal_damage,,
Attack1/8,"Sertors,Head,56.8,-254.8,-26,0,2,1,1,0","Sertors,Neck,42.8,-231.6,-29,0,4,1,1,0","Sertors,Body,15.2,-163.6,-28.5,0,5,1,1,0","Sertors,Arm Up,8.8,-205.6,6,0,5,1,1,0","Sertors,Arm Low,16.4,-172,35,0,2,1,1,0","Bigta,Fist,39.2,-158.4,39,0,1,1,1,0","Sertors,Arm Up,60,-214,21,1,13,1,1,0","Sertors,Arm Low,70.4,-199.2,68,1,13,1,1,0","Sertors,Fist,90,-175.6,63,1,19,1,1,0","Sertors,Leg Up,-37,-80,-20.7,0,4,1,1,0","Sertors,Leg Low,-74,-30.4,-58,0,10,1,1,0","Sertors,Foot,-110.8,-7.6,-58.6,0,13,1,1,0","Sertors,Leg Up,25.2,-91.2,69.7,0,12,1,1,0","Sertors,Leg Low,56,-61,1.5,0,13,1,1,0","Sertors,Foot,50.8,-13.6,-41.5,0,15,1,1,0","Bigta,Lance_base,286,-282,90,0,8,1,1,0","Bigta,Shield,131.2,-248,168,0,10,1,1,0","Sertors,Ear,6.4,-331,69,0,0,1,1,0","Sertors,Ear_back,31.6,-321,49,0,12,1,1,0","Sertors,Tail,-65,-119,-25,0,6,1,1,0",,,,,,,,"Bigta,Head,89,-340,-28,0,5,1,1,0","Bigta,Neck,56,-316,-25,0,8,1,1,0","Bigta,Body,28,-269.2,-25,0,9,1,1,0","Bigta,Arm Up,46,-293,48,0,3,1,1,0","Bigta,Arm Low,97,-276,77,0,4,1,1.2,0","Bigta,Fist,139.8,-275.8,58,0,5,1,1,0",,,,"Bigta,Leg Up,20,-200,47,0,4,1,1,0","Bigta,Leg Low,35.6,-149.6,-22,0,3,1,1,0","Bigta,Foot,16.4,-112,-65,0,4,1,1,0","Bigta,Leg Up,57.2,-203.2,39,0,11,1,1,0","Bigta,Leg Low,75,-159,-8,0,11,1,1,0","Bigta,Foot,63.6,-110.4,-49,0,11,1,1,0",,,"Bigta,Mouth_low,95,-310,-40,0,5,1,1,0","Bigta,Ear,41,-358,-48,0,3,1,1,0","Bigta,Tail,-40,-235.2,-56,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprite_deal_damage,,
Attack1/9,"Sertors,Head,22.8,-276.8,-20,0,2,1,1,0","Sertors,Neck,8.8,-251.6,-26,0,4,1,1,0","Sertors,Body,-6.8,-171.6,-11.5,0,5,1,1,0","Sertors,Arm Up,-13.2,-217.6,17,0,5,1,1,0","Sertors,Arm Low,-3.6,-190,35,0,2,1,1,0","Bigta,Fist,19.2,-176.4,39,0,1,1,1,0","Sertors,Arm Up,30,-222,21,1,13,1,1,0","Sertors,Arm Low,40.4,-207.2,68,1,13,1,1,0","Sertors,Fist,66,-195.6,63,1,19,1,1,0","Sertors,Leg Up,-45.2,-84.4,-18.7,0,4,1,1,0","Sertors,Leg Low,-74,-34.4,-44,0,10,1,1,0","Sertors,Foot,-100.8,-3.6,-58.6,0,13,1,1,0","Sertors,Leg Up,21.2,-101.2,58.7,0,12,1,1,0","Sertors,Leg Low,53,-61,3.5,0,13,1,1,0","Sertors,Foot,52.8,-11.6,-34.5,0,15,1,1,0","Bigta,Lance_base,145.6,-292,85,0,8,1,1,0","Bigta,Shield,103.2,-286.4,177,0,10,1,1,0","Sertors,Ear,-33.6,-349,76,0,0,1,1,0","Sertors,Ear_back,-2.4,-347,56,0,12,1,1,0","Sertors,Tail,-74,-117,-22,0,6,1,1,0",,,,,,,,"Bigta,Head,49,-383,-23,0,5,1,1,0","Bigta,Neck,26,-357,-26,0,8,1,1,0","Bigta,Body,2,-293.2,-22,0,9,1,1,0","Bigta,Arm Up,-10,-331,-31,0,3,1,1,0","Bigta,Arm Low,-10.4,-294.8,65,0,4,1,1,0","Bigta,Fist,43.2,-298.4,73,0,5,1,1,0",,,,"Bigta,Leg Up,-2,-222,47,0,4,1,1,0","Bigta,Leg Low,17.6,-173.6,-14,0,3,1,1,0","Bigta,Foot,-1.6,-136,-48,0,4,1,1,0","Bigta,Leg Up,31.2,-227.2,42,0,11,1,1,0","Bigta,Leg Low,55,-183,0,0,10,1,1,0","Bigta,Foot,47.6,-134.4,-46,0,11,1,1,0",,,"Bigta,Mouth_low,51,-359,-19,0,5,1,1,0","Bigta,Ear,-1,-391,-30,0,3,1,1,0","Bigta,Tail,-66,-259.2,-53,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
