Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_CityCourtEnd/0,"dashisi,head,-7,-271,2,0,2,1,1,0","dashisi,neck,-8,-235,9,0,4,1,1,0","dashisi,body,-2,-191,6.5,0,5,1,1,0","dashisi,arm_up,-50,-189,-24,0,7,0.9,1,0","dashisi,arm_low,-69,-138,-11,0,9,1,1,0","dashisi,fist,-78,-103,-18,0,11,1,1,0","dashisi,arm_up,38,-208,48,1,13,1,1,0","dashisi,arm_low,78,-174,53,1,15,1,1,0","dashisi,fist_back,111,-148,27,0,12,1,1,0","dashisi,leg_up,-16,-106,-3.7,0,7,1,1,0","dashisi,leg_low,-34,-46,-18,0,10,1,1,0","dashisi,foot,-32,-11,-19.6,0,9,1,1,0","dashisi,leg_up,25,-127,35.7,0,16,1,1,0","dashisi,leg_low,34,-66,3.5,0,18,1,1,0","dashisi,foot,43,-34,-14,0,15,0.9,0.9,0",,,"dashisi,feather,-62,-314,-1,0,5,1,1,0","dashisi,wing1,-42,-223,-24,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/1,"dashisi,head,2.8,-186.8,4,0,2,1,1,0","dashisi,neck,-3.2,-129.6,25,0,4,1,1,0","dashisi,body,-2.8,-81.6,7.5,0,5,1,1,0","dashisi,arm_up,-49.2,-81.6,-25,0,5,1,1,0","dashisi,arm_low,-72.8,-28,-21,0,4,1,1,0","dashisi,open,-92,4.8,-27,1,3,1,1,0","dashisi,arm_up,42.4,-106,59,1,13,1,1,0","dashisi,arm_low,88.4,-83.2,66,1,13,1,1,0","dashisi,open,126.4,-76,64,0,12,1,1,0","dashisi,leg_up,-17.2,3.6,-3.7,0,7,1,1,0","dashisi,leg_low,-36,69.6,-13,0,10,1,1,0","dashisi,foot,-31.2,108,-17.6,0,9,1,1,0","dashisi,leg_up,25.2,0.8,27.7,0,16,1,1,0","dashisi,leg_low,41.2,67.2,11.5,0,18,1,1,0","dashisi,foot,56,108.8,-9,0,15,1,1,0",,,"dashisi,feather,-32.8,-254.4,-18,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/2,"dashisi,head,-7.2,-186.8,11,0,2,1,1,0","dashisi,neck,-9.2,-129.6,35,0,4,1,1,0","dashisi,body,1.2,-81.6,13.5,0,5,1,1,0","dashisi,arm_up,-45.2,-81.6,-28,0,5,1,1,0","dashisi,arm_low,-70.8,-32,-25,0,4,1,1,0","dashisi,open,-96,-1.2,-33,1,3,1,1,0","dashisi,arm_up,42.4,-114,72,1,13,1,1,0","dashisi,arm_low,88.4,-107.2,83,1,13,1,1,0","dashisi,open,130.4,-112,82,0,12,1,1,0","dashisi,leg_up,-11.2,3.6,-6.7,0,7,1,1,0","dashisi,leg_low,-34,69.6,-20,0,10,1,1,0","dashisi,foot,-37.2,108,-22.6,0,9,1,1,0","dashisi,leg_up,39.2,-7.2,33.7,0,16,1,1,0","dashisi,leg_low,63.2,59.2,14.5,0,18,1,1,0","dashisi,foot,78,102.8,-9,0,15,1,1,0",,,"dashisi,feather,-50.8,-248.4,-13,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/3,"dashisi,head,-13.2,-188.8,19,0,2,1,1,0","dashisi,neck,-9.2,-127.6,37,0,4,1,1,0","dashisi,body,7.2,-81.6,22.5,0,5,1,1,0","dashisi,arm_up,-45.2,-79.6,-20,0,5,1,1,0","dashisi,arm_low,-66.8,-32,-20,0,4,1,1,0","dashisi,open,-90,2.8,-26,1,3,1,1,0","dashisi,arm_up,42.4,-122,96,1,13,1,1,0","dashisi,arm_low,88.4,-135.2,103,1,13,1,1,0","dashisi,open,126.4,-156,111,0,12,1,1,0","dashisi,leg_up,-1.2,-2.4,-3.7,0,7,1,1,0","dashisi,leg_low,-24,61.6,-27,0,10,1,1,0","dashisi,foot,-31.2,100,-29.6,0,9,1,1,0","dashisi,leg_up,45.2,-17.2,37.7,0,16,1,1,0","dashisi,leg_low,69.2,45.2,14.5,0,18,1,1,0","dashisi,foot,90,86.8,-9,0,15,1,1,0",,,"dashisi,feather,-72.8,-240.4,-7,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/4,"dashisi,head,-21.2,-186.8,32,0,2,1,1,0","dashisi,neck,-9.2,-127.6,37,0,4,1,1,0","dashisi,body,7.2,-81.6,31.5,0,5,1,1,0","dashisi,arm_up,-45.2,-71.6,-14,0,5,1,1,0","dashisi,arm_low,-62.8,-22,-14,0,4,1,1,0","dashisi,open,-78,18.8,-11,1,3,1,1,0","dashisi,arm_up,42.4,-134,113,1,13,1,1,0","dashisi,arm_low,88.4,-161.2,124,1,13,1,1,0","dashisi,open,122.4,-192,125,0,12,1,1,0","dashisi,leg_up,10.8,-4.4,-1.7,0,7,1,1,0","dashisi,leg_low,-4,59.6,-23,0,10,1,1,0","dashisi,foot,-11.2,98,-25.6,0,9,1,1,0","dashisi,leg_up,53.2,-27.2,42.7,0,16,1,1,0","dashisi,leg_low,77.2,29.2,14.5,0,18,1,1,0","dashisi,foot,98,68.8,-9,0,15,1,1,0",,,"dashisi,feather,-100.8,-226.4,6,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/5,"dashisi,head,-27.2,-182.8,37,0,2,1,1,0","dashisi,neck,-9.2,-127.6,43,0,4,1,1,0","dashisi,body,7.2,-81.6,31.5,0,5,1,1,0","dashisi,arm_up,-45.2,-71.6,-14,0,5,1,1,0","dashisi,arm_low,-66.8,-22,-30,0,4,1,1,0","dashisi,open,-90,16.8,-14,1,3,1,1,0","dashisi,arm_up,42.4,-134,113,1,13,1,1,0","dashisi,arm_low,78.4,-165.2,158,1,13,1,1,0","dashisi,open,92.4,-206,133,0,12,1,1,0","dashisi,leg_up,14.8,-4.4,1.3,0,7,1,1,0","dashisi,leg_low,0,55.6,-21,0,10,1,1,0","dashisi,foot,-5.2,98,-22.6,0,9,1,1,0","dashisi,leg_up,57.2,-27.2,48.7,0,16,1,1,0","dashisi,leg_low,85.2,25.2,11.5,0,18,1,1,0","dashisi,foot,102,64.8,-1,0,15,1,1,0",,,"dashisi,feather,-110.8,-212.4,11,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/6,"dashisi,head,-27.2,-182.8,40,0,2,1,1,0","dashisi,neck,-9.2,-127.6,43,0,4,1,1,0","dashisi,body,7.2,-81.6,31.5,0,5,1,1,0","dashisi,arm_up,-45.2,-71.6,-17,0,5,1,1,0","dashisi,arm_low,-70.8,-22,-33,0,4,1,1,0","dashisi,open,-94,12.8,-22,1,3,1,1,0","dashisi,arm_up,38.4,-140,135,1,13,1,1,0","dashisi,arm_low,62.4,-183.2,158,1,13,1,1,0","dashisi,open,76.4,-224,133,0,12,1,1,0","dashisi,leg_up,14.8,-4.4,1.3,0,7,1,1,0","dashisi,leg_low,0,55.6,-21,0,10,1,1,0","dashisi,foot,-5.2,98,-22.6,0,9,1,1,0","dashisi,leg_up,57.2,-27.2,48.7,0,16,1,1,0","dashisi,leg_low,85.2,25.2,11.5,0,18,1,1,0","dashisi,foot,102,64.8,-1,0,15,1,1,0",,,"dashisi,feather,-110.8,-208.4,15,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/7,"dashisi,head,-27.2,-186.8,36,0,2,1,1,0","dashisi,neck,-9.2,-127.6,43,0,4,1,1,0","dashisi,body,7.2,-81.6,31.5,0,5,1,1,0","dashisi,arm_up,-51.2,-73.6,-51,0,5,1,1,0","dashisi,arm_low,-50.8,-74,138,0,4,1,1,0","dashisi,open,-22.8,-92.8,127,1,3,1,1,0","dashisi,arm_up,38.4,-140,135,1,13,1,1,0","dashisi,arm_low,40.4,-141.2,-57,1,9,1,1,0","dashisi,open,10.4,-121.2,-87,0,3,1,1,0","dashisi,leg_up,14.8,-4.4,6.3,0,7,1,1,0","dashisi,leg_low,20,59.6,15,1,10,1,1,0","dashisi,foot,15.2,93.6,13.4,1,9,1,1,0","dashisi,leg_up,53.2,-27.2,28.7,1,16,1,1,0","dashisi,leg_low,91.2,25.2,22.5,1,18,1,1,0","dashisi,foot,94,62.8,16,1,15,1,1,0",,,"dashisi,feather,-110.8,-218.4,8,0,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_CityCourtEnd/8,"dashisi,head,-61.2,-166.8,37,1,2,1,1,0","dashisi,neck,-13.2,-121.6,33,1,4,1,1,0","dashisi,body,7.2,-81.6,31.5,1,5,1,1,0","dashisi,arm_up,44,-135.6,112,1,5,1,1,0","dashisi,arm_low,94.8,-162,118,1,4,1,1,0","dashisi,open,120,-182.4,114,0,3,1,1,0","dashisi,arm_up,-48.4,-64,-30,0,13,1,1,0","dashisi,arm_low,-79.2,-22.4,-32,0,13,1,1,0","dashisi,open,-110.4,2.8,-45,1,12,1,1,0","dashisi,leg_up,74.8,-34.4,68,1,7,1,1,0","dashisi,leg_low,132,-23.6,81,1,10,1,1,0","dashisi,foot,166,-7.2,79,1,9,1,1,0","dashisi,leg_up,29.2,-3.2,18.7,1,16,1,1,0","dashisi,leg_low,59.2,49.2,31.5,1,18,1,1,0","dashisi,foot,64.4,82.4,14,1,15,1,1,0",,,"dashisi,feather,-92.8,-246.4,86,1,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"movement,swirl,0,-60,17,0,0,1,1,0",,,,,,,,,,
EXCLUDE_CityCourtEnd/9,"dashisi,head,-51.2,-170.8,27,1,2,1,1,0","dashisi,neck,-13.2,-125.6,23,1,4,1,1,0","dashisi,body,7.2,-83.6,26.5,1,5,1,1,0","dashisi,arm_up,50,-135.6,112,1,5,1,1,0","dashisi,arm_low,100.8,-162,118,1,4,1,1,0","dashisi,open,126,-182.4,114,0,3,1,1,0","dashisi,arm_up,-46.4,-70,-34,0,13,1,1,0","dashisi,arm_low,-77.2,-30.4,-37,0,13,1,1,0","dashisi,open,-108.4,-5.2,-45,1,12,1,1,0","dashisi,leg_up,74.8,-36.4,71,1,7,1,1,0","dashisi,leg_low,136,-33.6,93,1,10,1,1,0","dashisi,foot,166,-23.2,93,1,9,1,1,0","dashisi,leg_up,35.2,-3.2,23.7,1,16,1,1,0","dashisi,leg_low,69.2,49.2,39.5,1,18,1,1,0","dashisi,foot,82.4,82.4,31,1,15,1,1,0",,,"dashisi,feather,-72.8,-256.4,80,1,5,1,1,0","dashisi,wing1,-52,-213,6,0,9,1,1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
