Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,,"doll_princess_tank,neck,-84,-182,0,0,5,1,1,0","doll_princess_tank,body,98,-115,0,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,1,-41,0,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,head,-72,-199,0,0,2,1,1,0",,"doll_princess,body,-72,-150,0,0,3,1,1,0","doll_princess,arm_up,-95,-166,-6,0,3,1,1,0","doll_princess,arm_low,-78,-148,98,0,1,1,1,0",,"doll_princess,arm_up,-42,-181,92,0,3,1,1,0","doll_princess,arm_low,-22,-195,-180,0,5,1,1,0",,,,,,,,,,"doll_princess,hair_back,-66,-115,6,0,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,,"doll_princess_tank,neck,-84,-182,1,0,9,1,1,0","doll_princess_tank,body,98,-115,0,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,1,-41,0,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,laugh,-74,-199,8,0,2,1,1,0",,"doll_princess,body,-72,-150,0,0,3,1,1,0","doll_princess,arm_up,-95,-166,-6,0,3,1,1,0","doll_princess,arm_low,-81,-146,90,0,1,1,1,0",,"doll_princess,arm_up,-42,-169,42,0,4,1,1,0","doll_princess,arm_low,-49,-151,-110,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-54,-113,17,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,,"doll_princess_tank,neck,-85,-180,2,0,9,1,1,0","doll_princess_tank,body,98,-117,1,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,2,-41,1,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-77,-198,12,0,2,1,1,0",,"doll_princess,body,-73,-149,1,0,3,1,1,0","doll_princess,arm_up,-96,-164,-5,0,3,1,1,0","doll_princess,arm_low,-81,-145,91,0,1,1,1,0",,"doll_princess,arm_up,-43,-168,43,0,4,1,1,0","doll_princess,arm_low,-49,-161,-140,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-54,-112,18,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,,"doll_princess_tank,neck,-94,-185,12,0,9,1,1,0","doll_princess_tank,body,97,-155,11,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,16,-63,11,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-89,-204,22,0,2,1,1,0",,"doll_princess,body,-77,-157,11,0,3,1,1,0","doll_princess,arm_up,-102,-167,5,0,3,1,1,0","doll_princess,arm_low,-84,-151,101,0,1,1,1,0",,"doll_princess,arm_up,-51,-181,53,0,4,1,1,0","doll_princess,arm_low,-65,-183,-120,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-52,-124,28,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"explosion_big,base,0,0,0,0,0,1,1,1",,,,,,,,,,
Die/3,,"doll_princess_tank,neck,-112,-278,22,0,9,1,1,0","doll_princess_tank,body,82,-282,21,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,18,-177,21,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-110,-298,32,0,2,1,1,0",,"doll_princess,body,-90,-254,21,0,3,1,1,0","doll_princess,arm_up,-116,-259,15,0,3,1,1,0","doll_princess,arm_low,-96,-247,111,0,1,1,1,0",,"doll_princess,arm_up,-69,-282,63,0,4,1,1,0","doll_princess,arm_low,-83,-281,-110,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-60,-226,38,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,,"doll_princess_tank,neck,-140,-471,32,0,9,1,1,0","doll_princess_tank,body,51,-509,31,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,6,-394,31,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-141,-491,42,0,2,1,1,0",,"doll_princess,body,-114,-451,31,0,3,1,1,0","doll_princess,arm_up,-140,-451,25,0,3,1,1,0","doll_princess,arm_low,-118,-443,121,0,1,1,1,0",,"doll_princess,arm_up,-98,-482,73,0,4,1,1,0","doll_princess,arm_low,-112,-479,-100,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-79,-429,48,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cannon_ball_small,2000,0"
Die/5,,"doll_princess_tank,neck,-188,-551,32,0,9,1,1,0","doll_princess_tank,body,3,-589,31,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,-42,-474,31,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-189,-571,42,0,2,1,1,0",,"doll_princess,body,-162,-531,31,0,3,1,1,0","doll_princess,arm_up,-188,-531,25,0,3,1,1,0","doll_princess,arm_low,-166,-523,121,0,1,1,1,0",,"doll_princess,arm_up,-146,-562,73,0,4,1,1,0","doll_princess,arm_low,-160,-559,-100,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-127,-509,48,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,,"doll_princess_tank,neck,-228,-711,32,0,9,1,1,0","doll_princess_tank,body,-37,-749,31,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,-82,-634,31,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-229,-731,42,0,2,1,1,0",,"doll_princess,body,-202,-691,31,0,3,1,1,0","doll_princess,arm_up,-228,-691,25,0,3,1,1,0","doll_princess,arm_low,-206,-683,121,0,1,1,1,0",,"doll_princess,arm_up,-186,-722,73,0,4,1,1,0","doll_princess,arm_low,-200,-719,-100,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-167,-669,48,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,,"doll_princess_tank,neck,-816,-1484,62,0,9,1,1,0","doll_princess_tank,body,-669,-1612,61,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,-652,-1490,61,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-826,-1501,72,0,2,1,1,0",,"doll_princess,body,-784,-1479,61,0,3,1,1,0","doll_princess,arm_up,-806,-1467,55,0,3,1,1,0","doll_princess,arm_low,-782,-1470,151,0,1,1,1,0",,"doll_princess,arm_up,-785,-1514,103,0,4,1,1,0","doll_princess,arm_low,-795,-1505,-70,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-742,-1477,78,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/8,,"doll_princess_tank,neck,-1974,-2346,82,0,9,1,1,0","doll_princess_tank,body,-1880,-2517,81,0,1,1,1,0",,,,,,,,,"doll_princess_tank,foot1,-1822,-2409,81,0,2,1,1,0",,,,,,,,,,,,,,,,"doll_princess,happy,-1989,-2359,92,0,2,1,1,0",,"doll_princess,body,-1943,-2353,81,0,3,1,1,0","doll_princess,arm_up,-1959,-2334,75,0,3,1,1,0","doll_princess,arm_low,-1937,-2346,171,0,1,1,1,0",,"doll_princess,arm_up,-1955,-2385,123,0,4,1,1,0","doll_princess,arm_low,-1962,-2374,-50,0,2,1,1,0",,,,,,,,,,"doll_princess,hair_back,-1902,-2365,98,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
