Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Damaged/0,"hus,head,-8,-347,-0.5,0,4,1,1,0","hus,neck,-3,-298,-6,0,7,1,1,0","hus,body,-4,-197,2.5,0,6,1,1,0","hus,arm_up,-95,-237,-50,0,8,1,1,0","hus,arm_low,-157,-198,-80,0,15,1,1,0","hus,open_back,-224,-204,-75,0,17,1,1,0","hus,arm_up,84,-243,50,1,13,1,1,0","hus,arm_low,143,-212,103,0,15,1,1,0","hus,open_back,212,-228,80,1,17,1,1,0","hus,leg_up,-37,-101,-16,0,8,1,1,0","hus,leg_low,-50,-73,-33,0,14,1,1,0","hus,foot,-79,-28,-1.6,1,13,1,1,0","hus,leg_up,39,-97,20.7,0,12,1,1,0","hus,leg_low,51,-68,28.5,0,15,1,1,0","hus,foot,77,-28,3.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/1,"hus,open,-38,-347,9.5,0,4,1,1,0","hus,neck,-3,-298,-6,0,7,1,1,0","hus,body,-10,-190,10.5,0,6,1,1,0","hus,arm_up,-95,-224,-70,0,8,1,1,0","hus,arm_low,-168,-202,-90,0,15,1,1,0","hus,open_back,-233,-220,-85,0,17,1,1,0","hus,arm_up,82,-242,60,1,13,1,1,0","hus,arm_low,146,-221,113,0,15,1,1,0","hus,open_back,211,-249,90,1,17,1,1,0","hus,leg_up,-37,-101,-16,0,8,1,1,0","hus,leg_low,-50,-73,-33,0,14,1,1,0","hus,foot,-79,-28,-1.6,1,13,1,1,0","hus,leg_up,41,-100,20.7,0,12,1,1,0","hus,leg_low,51,-70,20.5,0,15,1,1,0","hus,foot,77,-29,8.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/2,"hus,oh,-51,-344,17.5,0,4,1,1,0","hus,neck,-7,-298,-4,0,7,1,1,0","hus,body,-10,-190,12.5,0,6,1,1,0","hus,arm_up,-97,-224,-76,0,8,1,1,0","hus,arm_low,-170,-211,-98,0,15,1,1,0","hus,open_back,-232,-239,-93,0,17,1,1,0","hus,arm_up,80,-251,64,1,13,1,1,0","hus,arm_low,144,-237,115,0,15,1,1,0","hus,open_back,209,-267,92,1,17,1,1,0","hus,leg_up,-35,-101,-14,0,8,1,1,0","hus,leg_low,-49,-71,-31,0,14,1,1,0","hus,foot,-78,-26,-1.6,1,13,1,1,0","hus,leg_up,46,-110,22.7,0,12,1,1,0","hus,leg_low,68,-85,42.5,0,15,1,1,0","hus,foot,117,-58,37.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Damaged/3,"hus,oh,-56,-338,24.5,0,4,1,1,0","hus,neck,-7,-298,-4,0,7,1,1,0","hus,body,-10,-190,12.5,0,6,1,1,0","hus,arm_up,-97,-224,-83,0,8,1,1,0","hus,arm_low,-172,-221,-102,0,15,1,1,0","hus,open_back,-232,-253,-97,0,17,1,1,0","hus,arm_up,80,-255,67,1,13,1,1,0","hus,arm_low,144,-245,118,0,15,1,1,0","hus,open_back,206,-278,95,1,17,1,1,0","hus,leg_up,-35,-101,-14,0,8,1,1,0","hus,leg_low,-49,-71,-31,0,14,1,1,0","hus,foot,-78,-26,-1.6,1,13,1,1,0","hus,leg_up,46,-110,26.7,0,12,1,1,0","hus,leg_low,71,-85,41.5,0,15,1,1,0","hus,foot,121,-65,45.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"word,oh,79,-353,26,0,0,1,1,0",,,,,,,,,,
Damaged/4,"hus,open,-35,-347,6.5,0,4,1,1,0","hus,neck,-3,-298,-6,0,7,1,1,0","hus,body,-10,-190,10.5,0,6,1,1,0","hus,arm_up,-95,-224,-70,0,8,1,1,0","hus,arm_low,-168,-202,-90,0,15,1,1,0","hus,open_back,-233,-220,-85,0,17,1,1,0","hus,arm_up,82,-242,60,1,13,1,1,0","hus,arm_low,146,-221,113,0,15,1,1,0","hus,open_back,211,-249,90,1,17,1,1,0","hus,leg_up,-37,-101,-16,0,8,1,1,0","hus,leg_low,-50,-73,-33,0,14,1,1,0","hus,foot,-79,-28,-1.6,1,13,1,1,0","hus,leg_up,41,-100,20.7,0,12,1,1,0","hus,leg_low,51,-70,20.5,0,15,1,1,0","hus,foot,77,-29,8.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"word,oh,120,-369,6,0,0,0.7,0.7,0",,,,,,,,,,
Damaged/5,"hus,head,-8,-347,-0.5,0,4,1,1,0","hus,neck,-3,-298,-6,0,7,1,1,0","hus,body,-4,-197,2.5,0,6,1,1,0","hus,arm_up,-95,-237,-50,0,8,1,1,0","hus,arm_low,-157,-198,-80,0,15,1,1,0","hus,open_back,-224,-204,-75,0,17,1,1,0","hus,arm_up,84,-243,50,1,13,1,1,0","hus,arm_low,143,-212,103,0,15,1,1,0","hus,open_back,212,-228,80,1,17,1,1,0","hus,leg_up,-37,-101,-16,0,8,1,1,0","hus,leg_low,-50,-73,-33,0,14,1,1,0","hus,foot,-79,-28,-1.6,1,13,1,1,0","hus,leg_up,39,-97,20.7,0,12,1,1,0","hus,leg_low,51,-68,28.5,0,15,1,1,0","hus,foot,77,-28,3.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"word,oh,152,-374,-4,0,0,0.5,0.5,0",,,,,,,,,,
Default/0,"hus,head,10,-336.4,-0.5,0,4,1,1,0","hus,neck,11,-298.4,-4,0,7,1,1,0","hus,body,7.6,-180.4,-1.5,0,6,1,1,0","hus,arm_up,-110.4,-236.2,-66,0,6,1,1,0","hus,arm_low,-180,-221.2,-85,0,9,1,1,0","hus,fist,-233.4,-215.4,-102,0,12,1,1,0","hus,arm_up,109.2,-235.6,72,0,13,1,1,0","hus,arm_low,178,-224.6,86,0,15,1,1,0","hus,fist_back,236.4,-223.2,73,0,21,1,1,0","hus,leg_up,-28,-88.4,-20.2,0,8,1,1,0","hus,leg_low,-38,-62.4,-21,0,14,1,1,0","hus,foot,-24.8,-17.4,-2.6,0,13,1,1,0","hus,leg_up,44,-84.4,10.7,0,12,1,1,0","hus,leg_low,49,-51.4,13.5,0,15,1,1,0","hus,foot,75.2,-18.4,5.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"hus,laugh,-1,-353,-3.5,0,4,1,1,0","hus,neck,-21,-308,4,0,7,1,1,0","hus,body,1,-209,5.5,0,6,1,1,0","hus,arm_up,-99,-240,-50,0,8,1,1,0","hus,arm_low,-166,-196,-70,0,15,1,1,0","hus,open_back,-234,-188,-65,0,17,1,1,0","hus,arm_up,91,-256,55,1,13,1,1,0","hus,arm_low,164,-222,88,0,15,1,1,0","hus,open_back,234,-219,65,1,17,1,1,0","hus,leg_up,-25,-108,-8,0,8,1,1,0","hus,leg_low,-30,-78,7,0,14,1,1,0","hus,foot,-57,-47,-11.6,1,13,1,1,0","hus,leg_up,54,-121,41.7,0,12,1,1,0","hus,leg_low,76,-105,58.5,0,15,1,1,0","hus,foot,126,-90,43.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"hus,laugh,-81,-362,26.5,0,4,1,1,0","hus,neck,-74,-314,34,0,7,1,1,0","hus,body,-6,-239,35.5,0,6,1,1,0","hus,arm_up,-108,-216,-20,0,8,1,1,0","hus,arm_low,-145,-143,-40,0,15,1,1,0","hus,open_back,-199,-103,-35,0,17,1,1,0","hus,arm_up,49,-324,85,1,13,1,1,0","hus,arm_low,129,-331,118,0,15,1,1,0","hus,open_back,190,-364,95,1,17,1,1,0","hus,leg_up,22,-138,22,0,8,1,1,0","hus,leg_low,33,-110,37,0,14,1,1,0","hus,foot,25,-68,18.4,1,13,1,1,0","hus,leg_up,84,-189,71.7,0,12,1,1,0","hus,leg_low,111,-186,88.5,0,15,1,1,0","hus,foot,161,-198,73.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/2,"hus,laugh,-137,-333,56.5,0,4,1,1,0","hus,neck,-107,-295,64,0,7,1,1,0","hus,body,-11,-264,65.5,0,6,1,1,0","hus,arm_up,-87,-193,10,0,8,1,1,0","hus,arm_low,-83,-112,-10,0,15,1,1,0","hus,open_back,-110,-50,-5,0,17,1,1,0","hus,arm_up,-7,-366,115,1,13,1,1,0","hus,arm_low,60,-411,148,0,15,1,1,0","hus,open_back,95,-471,125,1,17,1,1,0","hus,leg_up,63,-192,52,0,8,1,1,0","hus,leg_low,87,-172,67,0,14,1,1,0","hus,foot,101,-131,48.4,1,13,1,1,0","hus,leg_up,92,-267,101.7,0,12,1,1,0","hus,leg_low,116,-277,118.5,0,15,1,1,0","hus,foot,155,-312,103.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
