Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
AttackEnd/0,"iri,head,91,-311.4,-11.5,0,4,1,1,0","iri,neck,72,-254.4,-20,0,7,1,1,0","iri,body,35.6,-164.4,-24.5,0,6,1,1,0","iri,arm_up,-30.4,-217.2,-28,0,2,1,1,0","iri,arm_low,-48.8,-149.2,26,0,3,1,1,0","iri,fist,-20.8,-102.6,12,0,4,1,1,0","iri,arm_up_back,107.2,-202.6,63,0,13,1,1,0","iri,arm_low,135.2,-221,-146,0,15,1,1,0","iri,open,105.2,-250.6,-137,0,17,1,1,0","iri,leg_up,-41,-80.4,-41,0,8,1,1,0","iri,leg_low,-65,-62.4,-41,0,14,1,1,0","iri,foot,-72.8,-19.4,-18.6,0,13,1,1,0","iri,leg_up,60,-80.4,51.7,0,12,1,1,0","iri,leg_low,76,-55.4,5.5,0,15,1,1,0","iri,foot,102.2,-18.4,8.5,0,15,1,1,0","iri,base,65.2,-111.6,96,0,5,1,1,1",,"iri,minibag,-13.6,-119.2,-18,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"iri,backpack,11,-224.8,-19,0,16,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
AttackEnd/1,"iri,head,63,-327.4,-4.5,0,4,1,1,0","iri,neck,50,-274.4,-20,0,7,1,1,0","iri,body,29.6,-172.4,-17.5,0,6,1,1,0","iri,arm_up,-62.4,-239.2,-52,0,7,1,1,0","iri,arm_low,-132,-189.6,-36,0,15,1,1,0","iri,fist,-164.4,-142.2,-12,1,17,1,1,0","iri,arm_up_back,107.2,-223.6,73,0,13,1,1,0","iri,arm_low,135.2,-242,-136,0,15,1,1,0","iri,open,105.2,-271.6,-127,0,17,1,1,0","iri,leg_up,-41,-84.4,-26,0,8,1,1,0","iri,leg_low,-58,-62.4,-38,0,14,1,1,0","iri,foot,-56.8,-19.4,-10.6,0,13,1,1,0","iri,leg_up,60,-75.4,51.7,0,12,1,1,0","iri,leg_low,68,-60.4,11.5,0,15,1,1,0","iri,foot,95.2,-18.4,8.5,0,15,1,1,0","iri,base,-86.8,-104.4,61,0,18,1,1,0",,"iri,minibag,-21.6,-117.2,-19,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"iri,backpack,0,-240.8,-13,0,16,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shortsword_sheathe,1500,0"
AttackEnd/2,"iri,head,59,-325.4,-9.5,0,4,1,1,0","iri,neck,46,-272.4,-20,0,7,1,1,0","iri,body,25.6,-170.4,-17.5,0,6,1,1,0","iri,arm_up,-64.4,-223.2,-33,0,7,1,1,0","iri,arm_low,-104.8,-170.6,-12,0,15,1,1,0","iri,fist,-113.4,-126.2,10,1,17,1,1,0","iri,arm_up_back,105.2,-220.6,73,0,13,1,1,0","iri,arm_low,133.2,-239,-136,0,15,1,1,0","iri,open,103.2,-268.6,-127,0,17,1,1,0","iri,leg_up,-45,-88.4,-29,0,8,1,1,0","iri,leg_low,-61,-62.4,-34,0,14,1,1,0","iri,foot,-56.8,-19.4,-10.6,0,13,1,1,0","iri,leg_up,52,-80.4,46.7,0,12,1,1,0","iri,leg_low,64,-55.4,5.5,0,15,1,1,0","iri,foot,90.2,-18.4,8.5,0,15,1,1,0","iri,base,-27.8,-106.4,73,0,18,1,1,0",,"iri,minibag,-25.6,-115.2,-24,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"iri,backpack,-6,-234.8,-20,0,16,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Idle/0,"iri,head,9,-337.4,-6.5,0,4,1,1,0","iri,neck,16,-278.4,-16,0,7,1,1,0","iri,body,7.6,-180.4,-3.5,0,6,1,1,0","iri,arm_up,-78.4,-207.2,-3,0,7,1,1,0","iri,arm_low,-86,-139.6,7,0,9,1,1,0","iri,open,-78.4,-95.2,-3,0,3,1,1,0","iri,arm_up_back,77.2,-221.6,38,0,13,1,1,0","iri,arm_low,101.6,-150.4,-18,0,15,1,1,0","iri,open,68,-106.4,-38,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-29.6,-109.2,-8,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Idle/1,"iri,head,-1,-333.4,-3.5,0,4,1,1,0","iri,neck,6,-274.4,-19,0,7,1,1,0","iri,body,5.6,-176.4,-1.5,0,6,1,1,0","iri,arm_up,-82.4,-199.2,-5,0,7,1,1,0","iri,arm_low,-90,-131.6,5,0,9,1,1,0","iri,open,-78.4,-87.2,-5,0,3,1,1,0","iri,arm_up_back,77.2,-219.6,41,0,13,1,1,0","iri,arm_low,101.6,-152.4,-19,0,15,1,1,0","iri,open,68,-104.4,-34,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-29.6,-109.2,-4,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
EXCLUDE_Idle/2,"iri,head,-11,-333.4,-0.5,0,4,1,1,0","iri,neck,0,-270.4,-19,0,7,1,1,0","iri,body,1.6,-176.4,0.5,0,6,1,1,0","iri,arm_up,-86.4,-195.2,-2,0,7,1,1,0","iri,arm_low,-94,-127.6,8,0,9,1,1,0","iri,open,-82.4,-83.2,-2,0,3,1,1,0","iri,arm_up_back,73.2,-219.6,43,0,13,1,1,0","iri,arm_low,99.6,-152.4,-18,0,15,1,1,0","iri,open,64,-104.4,-31,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-31.6,-109.2,5,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,,
EXCLUDE_Idle/3,"iri,head,-19,-331.4,3.5,0,4,1,1,0","iri,neck,-8,-270.4,-19,0,7,1,1,0","iri,body,-0.4,-176.4,2.5,0,6,1,1,0","iri,arm_up,-86.4,-191.2,1,0,7,1,1,0","iri,arm_low,-94,-123.6,11,0,9,1,1,0","iri,open,-82.4,-79.2,1,0,3,1,1,0","iri,arm_up_back,69.2,-219.6,43,0,13,1,1,0","iri,arm_low,99.6,-156.4,-16,0,15,1,1,0","iri,open,64,-104.4,-32,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-31.6,-109.2,5,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.9,,
EXCLUDE_Idle/4,"iri,head,-11,-333.4,-0.5,0,4,1,1,0","iri,neck,0,-270.4,-19,0,7,1,1,0","iri,body,1.6,-176.4,0.5,0,6,1,1,0","iri,arm_up,-86.4,-195.2,-2,0,7,1,1,0","iri,arm_low,-94,-127.6,8,0,9,1,1,0","iri,open,-82.4,-83.2,-2,0,3,1,1,0","iri,arm_up_back,73.2,-219.6,43,0,13,1,1,0","iri,arm_low,99.6,-152.4,-18,0,15,1,1,0","iri,open,64,-104.4,-31,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-31.6,-109.2,5,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
EXCLUDE_Idle/5,"iri,head,-1,-333.4,-3.5,0,4,1,1,0","iri,neck,6,-274.4,-19,0,7,1,1,0","iri,body,5.6,-176.4,-1.5,0,6,1,1,0","iri,arm_up,-82.4,-199.2,-5,0,7,1,1,0","iri,arm_low,-90,-131.6,5,0,9,1,1,0","iri,open,-78.4,-87.2,-5,0,3,1,1,0","iri,arm_up_back,77.2,-219.6,41,0,13,1,1,0","iri,arm_low,101.6,-152.4,-19,0,15,1,1,0","iri,open,68,-104.4,-34,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-29.6,-109.2,-4,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,,
EXCLUDE_Nod/0,"iri,head,15,-333.4,-7.5,0,4,1,1,0","iri,neck,22,-274.4,-19,0,7,1,1,0","iri,body,7.6,-176.4,-5.5,0,6,1,1,0","iri,arm_up,-74.4,-203.2,-5,0,2,1,1,0","iri,arm_low,-48,-129.6,54,0,3,1,1,0","iri,open,11.6,-98.4,43,0,3,1,1,0","iri,arm_up_back,81.2,-217.6,29,0,13,1,1,0","iri,arm_low,81.6,-152.4,-48,0,5,1,1,0","iri,open,42,-138.4,-60,1,5,1,1,0","iri,leg_up,-33,-84.4,-44.2,0,8,1,1,0","iri,leg_low,-37,-62.4,-27,0,14,1,1,0","iri,foot,-62.8,-19.4,-3.6,1,13,1,1,0","iri,leg_up,42,-84.4,8.7,0,12,1,1,0","iri,leg_low,52,-51.4,13.5,0,15,1,1,0","iri,foot,82.2,-18.4,5.5,0,15,1,1,0","iri,base,-6.8,-118.4,87,0,14,1,1,0",,"iri,minibag,-29.6,-109.2,-11,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
