Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"kak,head,-16,-313,3,0,2,1,1,0",,"kak,body,-18,-198,-1.5,0,5,1,1,0","kak,arm_up,-60,-240,-43,0,1,1,1,0","kak,arm_low,-62,-190,21,0,2,1,1,0","kak,fist,-28,-140,41,0,2,1,1,0","kak,arm_up,20,-239,42,1,13,1,1,0","kak,arm_low,55,-200,67,1,15,1,1,0","kak,open,114,-171,70,0,14,1,1,0","kak,leg_up,-56,-124,-10.7,1,4,1,1,0","kak,leg_low,-73,-63,-13,1,10,1,1,0","kak,foot,-97,-11,-2.6,1,13,1,1,0","kak,leg_up,9,-109,37.7,0,12,1,1,0","kak,leg_low,40,-60,13.5,0,13,1,1,0","kak,foot2,62,-15,-1.5,0,15,1,1,0","kak,base,63,-157,-74,1,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"kak,head,-26,-318,4,0,2,1,1,0",,"kak,body,-21,-201,3.5,0,5,1,1,0","kak,arm_up,-61,-242,-19,0,1,1,1,0","kak,arm_low,-44,-191,41,0,2,1,1,0","kak,fist,6,-155,61,0,2,1,1,0","kak,arm_up,10,-250,63,1,13,1,1,0","kak,arm_low,48,-221,78,1,15,1,1,0","kak,open,100,-201,68,0,16,1,1,0","kak,leg_up,-58,-126,-11.7,1,4,1,1,0","kak,leg_low,-73,-67,-10,1,10,1,1,0","kak,foot,-87,-14,7.4,1,13,1,1,0","kak,leg_up,11,-117,45.7,0,12,1,1,0","kak,leg_low,40,-66,13.5,0,13,1,1,0","kak,foot2,60,-17,-11.5,0,15,1,1,0","kak,base,81,-201,-55,1,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"kak,head,-39,-330,10,0,2,1,1,0",,"kak,body,-23,-216,11.5,0,5,1,1,0","kak,arm_up,-51,-250,17,0,1,1,1,0","kak,arm_low,-8,-223,77,0,2,1,1,0","kak,fist,51,-223,97,0,2,1,1,0","kak,arm_up,-1,-267,59,1,13,1,1,0","kak,arm_low,29,-251,124,1,15,1,1,0","kak,open,74,-266,109,0,17,0.9,0.9,0","kak,leg_up,-54,-127,-8.7,1,4,1,1,0","kak,leg_low,-70,-67,-14,1,10,1,1,0","kak,foot,-87,-14,10.4,1,13,1,1,0","kak,leg_up,14,-122,37.7,0,12,1,1,0","kak,leg_low,43,-67,10.5,0,13,1,1,0","kak,foot2,60,-17,-15.5,0,15,1,1,0","kak,base,89,-305,-19,1,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/3,"kak,head,-49,-332,16,0,2,1,1,0",,"kak,body,-25,-218,13.5,0,5,1,1,0","kak,arm_up,-46,-257,37,0,1,1,1,0","kak,arm_low,4,-245,97,0,2,1,1,0","kak,fist,59,-266,117,0,2,1,1,0","kak,arm_up,-5,-280,84,1,13,1,1,0","kak,arm_low,29,-284,144,1,15,1,1,0","kak,open,66,-314,129,0,17,0.9,0.9,0","kak,leg_up,-54,-129,-6.7,1,4,1,1,0","kak,leg_low,-67,-67,-16,1,10,1,1,0","kak,foot,-87,-14,11.4,1,13,1,1,0","kak,leg_up,14,-127,35.7,0,12,1,1.1,0","kak,leg_low,43,-71,7.5,0,13,1,1.1,0","kak,foot2,59,-21,-18.5,0,15,1,1,0","kak,base,69,-358,0,1,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/4,"kak,head,-51,-332,17,0,2,1,1,0",,"kak,body,-25,-218,13.5,0,5,1,1,0","kak,arm_up,-39,-279,87,0,1,1,1,0","kak,arm_low,3,-310,147,0,2,1,1,0","kak,fist,21,-365,167,0,2,1,1,0","kak,arm_up,-30,-293,134,1,13,1,1,0","kak,arm_low,1,-325,180,1,15,1,1,0","kak,open,17,-369,159,0,17,0.9,0.9,0","kak,leg_up,-54,-127,-5.7,1,4,1,1,0","kak,leg_low,-69,-67,-19,1,10,1,1,0","kak,foot,-88,-14,12.4,1,13,1,1,0","kak,leg_up,14,-127,35.7,0,12,1,1.1,0","kak,leg_low,43,-71,7.5,0,13,1,1.1,0","kak,foot2,59,-21,-18.5,0,15,1,1,0","kak,base,-41,-431,52,0,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/5,"kak,head,-58,-332,24,0,2,1,1,0",,"kak,body,-26,-218,14.5,0,5,1,1,0","kak,arm_up,-50,-297,127,0,1,1,1,0","kak,arm_low,-33,-348,-180,0,2,1,1,0","kak,fist,-50,-405,-156,0,2,1,1,0","kak,arm_up,-51,-314,174,1,13,1,1,0","kak,arm_low,-38,-357,-152,1,15,1,1,0","kak,open,-54,-402,-172,0,17,0.9,0.9,0","kak,leg_up,-54,-128,-4.7,1,4,1,1,0","kak,leg_low,-69,-67,-19,1,10,1,1,0","kak,foot,-88,-14,12.4,1,13,1,1,0","kak,leg_up,14,-129,35.7,0,12,1,1.1,0","kak,leg_low,43,-73,7.5,0,13,1,1.1,0","kak,foot2,58,-22,-20.5,0,15,1,1,0","kak,base,-150,-413,92,0,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/6,"kak,head,-59,-332,26,0,2,1,1,0",,"kak,body,-26,-218,14.5,0,5,1,1,0","kak,arm_up,-53,-297,131,0,1,1,1,0","kak,arm_low,-40,-348,-176,0,2,1,1,0","kak,fist,-61,-405,-152,0,2,1,1,0","kak,arm_up,-54,-314,178,1,13,1,1,0","kak,arm_low,-45,-357,-148,1,15,1,1,0","kak,open,-65,-402,-168,0,17,0.9,0.9,0","kak,leg_up,-54,-128,-4.7,1,4,1,1,0","kak,leg_low,-69,-67,-19,1,10,1,1,0","kak,foot,-88,-14,12.4,1,13,1,1,0","kak,leg_up,14,-129,35.7,0,12,1,1.1,0","kak,leg_low,43,-73,7.5,0,13,1,1.1,0","kak,foot2,58,-22,-20.5,0,15,1,1,0","kak,base,-156,-392,105,0,3,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Attack1/7,"kak,head,-8,-332,6,0,2,1,1,0",,"kak,body,-7,-215,-5.5,0,5,1,1,0","kak,arm_up,-3,-295,111,0,1,1,1,0","kak,arm_low,27,-339,170,0,2,1,1,0","kak,fist,26,-400,-172,0,2,1,1,0","kak,arm_up,2,-312,158,1,13,1,1,0","kak,arm_low,25,-349,-168,1,15,1,1,0","kak,open,21,-398,180,0,17,0.9,0.9,0","kak,leg_up,-55,-135,-8.7,1,4,1,1,0","kak,leg_low,-74,-67,-21,1,10,1,1,0","kak,foot,-95,-14,6.4,1,13,1,1,0","kak,leg_up,15,-131,33.7,0,12,1,1.1,0","kak,leg_low,43,-72,7.5,0,13,1,1.1,0","kak,foot2,58,-22,-20.5,0,15,1,1,0","kak,swing,-76,-432,75,1,3,0.8,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.2,sprite_deal_damage",,"swing_bulk,2500,0"
Attack1/8,"kak,head,23,-321,1,0,2,1,1,0",,"kak,body,1,-199,-18.5,0,5,1,1,0","kak,arm_up,22,-269,81,0,1,1,1,0","kak,arm_low,82,-280,110,0,2,1,1,0","kak,fist,132,-311,130,0,2,1,1,0","kak,arm_up,34,-285,118,1,13,1,1,0","kak,arm_low,83,-302,137,1,15,1,1,0","kak,open,125,-320,90,0,17,0.9,0.9,0","kak,leg_up,-59,-129,-17.7,1,5,1,1,0","kak,leg_low,-85,-67,-27,1,10,1,1,0","kak,foot,-115,-14,-3.6,1,13,1,1,0","kak,leg_up,15,-123,44.7,0,12,1,1.1,0","kak,leg_low,47,-68,-2.5,0,13,1,1.1,0","kak,foot2,61,-20,-10.5,0,15,1,1,0","kak,swing,101,-427,14,1,3,0.8,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.1",,
Attack1/9,"kak,head,54,-302,-17,0,2,1,1,0",,"kak,body,8,-193,-26.5,0,5,1,1,0","kak,arm_up,45,-247,51,0,1,1,1,0","kak,arm_low,103,-218,60,0,2,1,1,0","kak,fist,159,-199,70,0,2,1,1,0","kak,arm_up,63,-250,83,1,13,1,1,0","kak,arm_low,126,-234,77,1,15,1,1,0","kak,open,163,-213,60,0,17,0.9,0.9,0","kak,leg_up,-59,-127,-21.7,1,5,1,1,0","kak,leg_low,-87,-67,-20,1,10,1,1,0","kak,foot,-115,-14,-8.6,1,13,1,1,0","kak,leg_up,15,-119,49.7,0,12,1,1.1,0","kak,leg_low,47,-67,-4.5,0,13,1,1.1,0","kak,foot2,61,-20,-10.5,0,15,1,1,0","kak,swing,250,-269,-53,1,3,0.8,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.1,sprite_deal_damage",,
