Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_Nod/0,"king,head,-3,-455.4,0,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,-16.8,-258.8,47,0,12,1,1,0","king,fist,51.2,-209.6,64,0,6,1,1,0","king,arm_up,58,-345.4,18,1,22,1,1,0","king,arm_low,94,-258.4,14,1,22,1,1,0","king,open,118.8,-164,8,1,21,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,36,-102.8,5,1,10,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Nod/1,"king,head,1,-455.4,-8,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,-16.8,-258.8,47,0,12,1,1,0","king,fist,51.2,-213.6,66,0,6,1,1,0","king,arm_up,58,-345.4,18,1,22,1,1,0","king,arm_low,94,-258.4,14,1,22,1,1,0","king,open,118.8,-164,8,1,21,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,36,-102.8,5,1,10,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Nod/2,"king,head,1,-453.4,-14,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,-16.8,-258.8,47,0,12,1,1,0","king,fist,51.2,-213.6,69,0,6,1,1,0","king,arm_up,62,-333.4,16,1,22,1,1,0","king,arm_low,94,-254.4,14,1,22,1,1,0","king,open,114.8,-164,6,1,21,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,36,-102.8,5,1,10,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Nod/3,"king,head,1,-455.4,-8,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,-16.8,-258.8,47,0,12,1,1,0","king,fist,51.2,-213.6,66,0,6,1,1,0","king,arm_up,58,-345.4,18,1,22,1,1,0","king,arm_low,94,-258.4,14,1,22,1,1,0","king,open,118.8,-164,8,1,21,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,36,-102.8,5,1,10,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Nod/4,"king,head,-3,-455.4,0,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,-16.8,-258.8,47,0,12,1,1,0","king,fist,51.2,-209.6,64,0,6,1,1,0","king,arm_up,58,-345.4,18,1,22,1,1,0","king,arm_low,94,-258.4,14,1,22,1,1,0","king,open,118.8,-164,8,1,21,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,36,-102.8,5,1,10,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Start/0,"king,head,-3,-455.4,0,0,4,1,1,0","king,neck,4,-412.4,-1,0,18,1,1,0","king,body,1.2,-304.4,-1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,7.2,-258.8,70,0,12,1,1,0","king,open,95.2,-223.6,73,0,6,1,1,0","king,arm_up,68,-335.4,26,1,22,1,1,0","king,arm_low,120,-244.4,20,1,22,1,1,0","king,open,162.8,-156,20,0,27,1,1,0","king,leg_up,-23,-104.4,-3.2,0,10,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,34,-100.8,5,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,3.2,-308.4,1,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/1,"king,head,-11,-455.4,0,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,29.2,-266.8,85,0,12,1,1,0","king,bare,137.6,-253.6,81,0,14,1,1,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,136,-272.4,43,1,22,1,1,0","king,bare,224,-210.8,46,0,27,1,1,0","king,leg_up,-29,-102.4,-9.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,42,-102.8,8,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-308.4,3,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/2,"king,head,-9,-455.4,-4,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,35.2,-292.8,100,0,12,1,1,0","king,start,133.6,-307.6,105,0,14,1,1,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,148,-272.4,49,1,22,1,1,0","king,bare,242,-218.8,52,0,27,1,1,0","king,leg_up,-25,-102.4,-5.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,44,-102.8,10,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-308.4,2,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/3,"king,head,-11,-455.4,-1,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,1,0,15,1,1,0","king,arm_up,-43.6,-314,11,0,13,1,1,0","king,arm_low,39.2,-310.8,115,0,12,1,1,0","king,start,123.6,-343.6,127,1,14,0.9,0.9,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,156,-282.4,57,1,22,1,1,0","king,bare,256,-246.8,68,0,27,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,42,-104.8,7,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-308.4,4,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/4,"king,head,-13,-459.4,3,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,1,0,15,1,1,0","king,arm_up,-37.6,-322,31,0,13,1,1,0","king,arm_low,39.2,-324.8,128,0,12,1,1,0","king,start,107.6,-389.6,149,1,14,1,1,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,148,-300.4,70,1,22,1,1,0","king,bare,256,-288.8,81,0,27,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,42,-104.8,5,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-308.4,4,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/5,"king,head,-15,-459.4,7,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,1,0,15,1,1,0","king,arm_up,-21.6,-328,58,0,13,1,1,0","king,arm_low,65.2,-334.8,128,0,12,1,1,0","king,start,127.6,-405.6,159,1,14,1,1,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,148,-304.4,82,1,22,1,1,0","king,bare,256,-308.8,81,0,27,1,1,0","king,leg_up,-25,-102.4,-7.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,42,-104.8,5,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-308.4,4,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
EXCLUDE_Start/6,"king,head,-19,-463.4,4,0,4,1,1,0","king,neck,0,-412.4,3,0,18,1,1,0","king,body,1.2,-304.4,3,0,15,1,1,0","king,arm_up,-9.6,-328,77,0,13,1,1,0","king,arm_low,85.2,-336.8,122,0,12,1,1,0","king,start,153.6,-399.6,156,1,14,1,1,0","king,arm_up,64,-345.4,37,1,22,1,1,0","king,arm_low,148,-304.4,76,1,22,1,1,0","king,bare,256,-292.8,74,0,27,1,1,0","king,leg_up,-25,-102.4,-9.2,0,11,1,1,0","king,leg_low,-57,-76.4,-3,0,23,1,1,0","king,foot,-72.8,-13.4,9,1,22,1,1,0","king,leg_up,42,-104.8,7,1,9,1,1,0","king,leg_low,70,-77.4,6.5,0,25,1,1,0","king,foot,96.2,-4.4,-8,0,24,1,1,0",,,"king,cloak,-0.8,-312.4,6,0,10,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,
