Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"noxbox,head,5,-275,0,0,14,1,1,0","noxbox,neck,9,-209,0,0,17,1,1,0","noxbox,body,3,-139,0,0,16,1,1,0","noxbox,arm_up,-67,-173,-60,0,8,1.1,1.1,0","noxbox,arm_low,-110,-144,-56,0,10,1,1,0",,"noxbox,arm_up,68,-179,63,0,18,1,1,0","noxbox,arm_low,117,-151,63,0,20,1,1,0",,"noxbox,leg_up,-23,-64,2,0,18,1,1,0","noxbox,leg_low,-23,-26,0,0,21,1,1,0","noxbox,foot,-14,2,-0.6,0,23,1,1,0","noxbox,leg_up,34,-65,1,0,18,1,1,0","noxbox,leg_low,34,-29,0,0,20,1,1,0","noxbox,foot,45,-2,0.5,0,22,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/0,"noxbox,head,-1,-280,6,0,14,1,1,0","noxbox,neck,9,-213,0,0,17,1,1,0","noxbox,body,3,-143,0,0,16,1,1,0","noxbox,arm_up,-67,-167,-40,0,8,1.1,1.1,0","noxbox,arm_low,-95,-118,-24,0,10,1,1,0",,"noxbox,arm_up,68,-183,63,0,18,1,1,0","noxbox,arm_low,118,-159,63,0,20,1,1,0",,"noxbox,leg_up,-23,-70,-6,0,18,1,1,0","noxbox,leg_low,-28,-30,-7,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,30,-68,11,0,18,1,1,0","noxbox,leg_low,36,-32,10,0,20,1,1,0","noxbox,foot,52,-3,1.5,0,22,1,1,0","noxbox,base,158,-193,159,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/1,"noxbox,head_2,-8,-280,7,0,14,1,1,0","noxbox,neck,4,-213,1,0,17,1,1,0","noxbox,body,1,-143,3,0,16,1,1,0","noxbox,arm_up,-69,-167,-47,0,8,1.1,1.1,0","noxbox,arm_low,-98,-118,-22,0,10,1,1,0",,"noxbox,arm_up,68,-185,64,0,18,1,1,0","noxbox,arm_low,118,-162,64,0,20,1,1,0",,"noxbox,leg_up,-23,-70,-6,0,18,1,1,0","noxbox,leg_low,-28,-30,-7,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,32,-68,11,0,18,1,1,0","noxbox,leg_low,39,-32,10,0,20,1,1,0","noxbox,foot,54,-3,1.5,0,22,1,1,0","noxbox,base,158,-197,160,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/2,"noxbox,head_2,-19,-280,14,0,14,1,1,0","noxbox,neck,-2,-213,11,0,17,1,1,0","noxbox,body,-1,-143,5,0,16,1,1,0","noxbox,arm_up,-74,-167,-47,0,8,1.1,1.1,0","noxbox,arm_low,-103,-118,-22,0,10,1,1,0",,"noxbox,arm_up,64,-184,67,0,18,1,1,0","noxbox,arm_low,114,-168,75,0,20,1,1,0",,"noxbox,leg_up,-22,-69,-10,0,18,1,1,0","noxbox,leg_low,-28,-30,-6,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,34,-68,13,0,18,1,1,0","noxbox,leg_low,42,-32,10,0,20,1,1,0","noxbox,foot,57,-3,1.5,0,22,1,1,0","noxbox,base,150,-208,168,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Damaged/3,"noxbox,head_2,-28,-277,14,0,14,1,1,0","noxbox,neck,-11,-213,15,0,17,1,1,0","noxbox,body,-5,-143,7,0,16,1,1,0","noxbox,arm_up,-80,-167,-49,0,8,1.1,1.1,0","noxbox,arm_low,-109,-119,-22,0,10,1,1,0",,"noxbox,arm_up,63,-189,71,0,18,1,1,0","noxbox,arm_low,113,-177,79,0,20,1,1,0",,"noxbox,leg_up,-23,-68,-10,0,18,1,1,0","noxbox,leg_low,-29,-30,-4,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,35,-68,17,0,18,1,1,0","noxbox,leg_low,45,-32,15,0,20,1,1,0","noxbox,foot,63,-5,10.5,0,22,1,1,0","noxbox,base,149,-221,172,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/4,"noxbox,head_2,-8,-280,7,0,14,1,1,0","noxbox,neck,4,-213,1,0,17,1,1,0","noxbox,body,1,-143,3,0,16,1,1,0","noxbox,arm_up,-69,-167,-47,0,8,1.1,1.1,0","noxbox,arm_low,-98,-118,-22,0,10,1,1,0",,"noxbox,arm_up,68,-185,64,0,18,1,1,0","noxbox,arm_low,118,-162,64,0,20,1,1,0",,"noxbox,leg_up,-23,-70,-6,0,18,1,1,0","noxbox,leg_low,-28,-30,-7,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,32,-68,11,0,18,1,1,0","noxbox,leg_low,39,-32,10,0,20,1,1,0","noxbox,foot,54,-3,1.5,0,22,1,1,0","noxbox,base,158,-197,160,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/5,"noxbox,head,-1,-280,6,0,14,1,1,0","noxbox,neck,9,-213,0,0,17,1,1,0","noxbox,body,3,-143,0,0,16,1,1,0","noxbox,arm_up,-67,-167,-40,0,8,1.1,1.1,0","noxbox,arm_low,-95,-118,-24,0,10,1,1,0",,"noxbox,arm_up,68,-183,63,0,18,1,1,0","noxbox,arm_low,118,-159,63,0,20,1,1,0",,"noxbox,leg_up,-23,-70,-6,0,18,1,1,0","noxbox,leg_low,-28,-30,-7,0,21,1,1,0","noxbox,foot,-42,-2,-0.6,1,23,1,1,0","noxbox,leg_up,30,-68,11,0,18,1,1,0","noxbox,leg_low,36,-32,10,0,20,1,1,0","noxbox,foot,52,-3,1.5,0,22,1,1,0","noxbox,base,158,-193,159,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"noxbox,head,-32,-281,21,0,14,1,1,0","noxbox,neck,-7,-225,1,0,17,1,1,0","noxbox,body,0,-148,11,0,16,1,1,0","noxbox,arm_up,-80,-166,-49,0,8,1.1,1.1,0","noxbox,arm_low,-116,-123,-33,0,10,1,1,0",,"noxbox,arm_up,57,-208,74,0,18,1,1,0","noxbox,arm_low,111,-194,74,0,20,1,1,0",,"noxbox,leg_up,-22,-61,-35,0,18,1,1,0","noxbox,leg_low,-31,-31,4,0,21,1,1,0","noxbox,foot,-39,-3,2.4,1,23,1,1,0","noxbox,leg_up,51,-80,52,0,18,1,1,0","noxbox,leg_low,71,-54,31,0,20,1,1,0","noxbox,foot,94,-33,32.5,0,22,1,1,0","noxbox,base,143,-235,170,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"noxbox,head,-75,-301,41,0,14,1,1,0","noxbox,neck,-35,-256,20,0,17,1,1,0","noxbox,body,-11,-182,21,0,16,1,1,0","noxbox,arm_up,-94,-183,-39,0,8,1.1,1.1,0","noxbox,arm_low,-116,-131,-13,0,10,1,1,0",,"noxbox,arm_up,35,-251,84,0,18,1,1,0","noxbox,arm_low,83,-263,114,0,20,1,1,0",,"noxbox,leg_up,-17,-92,-25,0,18,1,1,0","noxbox,leg_low,-21,-61,14,0,21,1,1,0","noxbox,foot,-24,-22,42.4,1,23,1,1,0","noxbox,leg_up,51,-125,61,0,18,1,1,0","noxbox,leg_low,75,-101,41,0,20,1,1,0","noxbox,foot,102,-85,42.5,0,22,1,1,0","noxbox,base,82,-315,-160,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"noxbox,head,-160,-288,61,0,14,1,1,0","noxbox,neck,-107,-259,40,0,17,1,1,0","noxbox,body,-58,-198,41,0,16,1,1,0","noxbox,arm_up,-137,-171,-19,0,8,1.1,1.1,0","noxbox,arm_low,-140,-114,7,0,10,1,1,0",,"noxbox,arm_up,-49,-280,134,0,18,1,1,0","noxbox,arm_low,-28,-324,164,0,20,1,1,0",,"noxbox,leg_up,-34,-111,-5,0,18,1,1,0","noxbox,leg_low,-27,-80,34,0,21,1,1,0","noxbox,foot,-17,-43,62.4,1,23,1,1,0","noxbox,leg_up,18,-166,81,0,18,1,1,0","noxbox,leg_low,51,-154,61,0,20,1,1,0","noxbox,foot,83,-148,62.5,0,22,1,1,0","noxbox,base,132,-355,140,0,26,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
