"Name","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_r_foot","p1_l_leg_up","p1_l_leg_low","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p1_special_6","p1_special_7","p1_special_8","p1_special_9","p1_special_10","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_r_foot","p2_l_leg_up","p2_l_leg_low","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p2_special_6","p2_special_7","p2_special_8","p2_special_9","p2_special_10","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_r_foot","p3_l_leg_up","p3_l_leg_low","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p3_special_6","p3_special_7","p3_special_8","p3_special_9","p3_special_10","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_r_foot","p4_l_leg_up","p4_l_leg_low","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","p4_special_6","p4_special_7","p4_special_8","p4_special_9","p4_special_10","effect_1","effect_2","effect_3","effect_4","effect_5","effect_6","effect_7","effect_8","frame_property","animation_property","sound_effect"
"EXCLUDE_CityIdle/0","quivenly,head,31.6,-411.6,-9.5,0,10,1,1,0",,"quivenly,body,15.2,-240.4,-2,0,12,1,1,0","quivenly,arm_up,-43.6,-283.2,-6,0,10,1,1,0","quivenly,arm_low,-30.8,-199.2,23,0,9,1,1,0","white_human,open,10,-132,35,0,10,1,1,0","quivenly,arm_up,91,-292,38,0,19,1,1,0","quivenly,arm_low,174,-295,87,1,19,1,1,0","white_human,open,166.8,-329.2,99,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-1,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,158,-329.2,-109,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5","parchment_write,500,10"
"EXCLUDE_CityIdle/1","quivenly,head,31.6,-411.6,-11.5,0,10,1,1,0",,"quivenly,body,15.2,-240.4,-2,0,12,1,1,0","quivenly,arm_up,-43.6,-283.2,-8,0,10,1,1,0","quivenly,arm_low,-30.8,-199.2,27,0,9,1,1,0","white_human,open,10,-132,39,0,10,1,1,0","quivenly,arm_up,68.4,-288.8,21,1,19,1,1,0","quivenly,arm_low,114.4,-289.2,133,1,19,1,1,0","white_human,open,166.8,-319.2,103,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-1,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,158,-323.2,-111,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/2","quivenly,head,31.6,-411.6,-13.5,0,10,1,1,0",,"quivenly,body,15.2,-240.4,-2,0,12,1,1,0","quivenly,arm_up,-43.6,-283.2,-8,0,10,1,1,0","quivenly,arm_low,-30.8,-199.2,27,0,9,1,1,0","white_human,open,10,-132,39,0,10,1,1,0","quivenly,arm_up,68.4,-288.8,21,1,19,1,1,0","quivenly,arm_low,108.4,-285.2,133,1,19,1,1,0","white_human,open,158.8,-315.2,103,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-1,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,152,-319.2,-115,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/3","quivenly,head,27.6,-411.6,-10.5,0,10,1,1,0",,"quivenly,body,15.2,-240.4,-2,0,12,1,1,0","quivenly,arm_up,-43.6,-283.2,-6,0,10,1,1,0","quivenly,arm_low,-34.8,-199.2,21,0,9,1,1,0","white_human,open,8,-132,46,0,10,1,1,0","quivenly,arm_up,68.4,-290.8,21,1,19,1,1,0","quivenly,arm_low,102.4,-285.2,133,1,19,1,1,0","white_human,open,148.8,-315.2,103,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-1,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,148,-315.2,-118,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5","parchment_write,500,10"
"EXCLUDE_CityIdle/4","quivenly,head,25.6,-411.6,-5.5,0,10,1,1,0",,"quivenly,body,15.2,-240.4,-2,0,12,1,1,0","quivenly,arm_up,-43.6,-283.2,-6,0,10,1,1,0","quivenly,arm_low,-34.8,-199.2,21,0,9,1,1,0","white_human,open,8,-132,46,0,10,1,1,0","quivenly,arm_up,68.4,-292.8,27,1,19,1,1,0","quivenly,arm_low,106.4,-289.2,136,1,19,1,1,0","white_human,open,148.8,-321.2,112,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-1,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,148,-325.2,-113,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/5","quivenly,head,39.6,-411.6,-9.5,0,10,1,1,0",,"quivenly,body,19.2,-240.4,-5,0,12,1,1,0","quivenly,arm_up,-39.6,-281.2,-12,0,10,1,1,0","quivenly,arm_low,-30.8,-195.2,22,0,9,1,1,0","white_human,open,8,-132,46,0,10,1,1,0","quivenly,arm_up,68.4,-292.8,27,1,19,1,1,0","quivenly,arm_low,130.4,-289.2,121,1,19,1,1,0","white_human,open,192.8,-321.2,112,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-3,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,192,-325.2,-113,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/6","quivenly,head,45.6,-411.6,-12.5,0,10,1,1,0",,"quivenly,body,19.2,-240.4,-5,0,12,1,1,0","quivenly,arm_up,-39.6,-281.2,-14,0,10,1,1,0","quivenly,arm_low,-30.8,-195.2,25,0,9,1,1,0","white_human,open,8,-132,40,0,10,1,1,0","quivenly,arm_up,86.4,-300.8,35,1,19,1,1,0","quivenly,arm_low,144.4,-289.2,118,1,19,1,1,0","white_human,open,202.8,-315.2,105,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-3,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,214,-313.2,-127,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/7","quivenly,head,55.6,-411.6,-12.5,0,10,1,1,0",,"quivenly,body,23.2,-240.4,-7,0,12,1,1,0","quivenly,arm_up,-35.6,-285.2,-15,0,10,1,1,0","quivenly,arm_low,-28.8,-195.2,19,0,9,1,1,0","white_human,open,8,-132,36,0,10,1,1,0","quivenly,arm_up,96.4,-300.8,42,1,19,1,1,0","quivenly,arm_low,164.4,-285.2,110,1,19,1,1,0","white_human,open,228.8,-301.2,96,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-3,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,242,-295.2,-137,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/8","quivenly,head,55.6,-411.6,-12.5,0,10,1,1,0",,"quivenly,body,23.2,-240.4,-7,0,12,1,1,0","quivenly,arm_up,-35.6,-285.2,-15,0,10,1,1,0","quivenly,arm_low,-28.8,-195.2,19,0,9,1,1,0","white_human,open,8,-132,36,0,10,1,1,0","quivenly,arm_up,96.4,-300.8,42,1,19,1,1,0","quivenly,arm_low,164.4,-291.2,118,1,19,1,1,0","white_human,open,224.8,-313.2,102,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-3,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,238,-311.2,-133,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
"EXCLUDE_CityIdle/9","quivenly,head,55.6,-411.6,-14.5,0,10,1,1,0",,"quivenly,body,23.2,-240.4,-7,0,12,1,1,0","quivenly,arm_up,-35.6,-285.2,-15,0,10,1,1,0","quivenly,arm_low,-28.8,-195.2,19,0,9,1,1,0","white_human,open,8,-132,36,0,10,1,1,0","quivenly,arm_up,96.4,-300.8,42,1,19,1,1,0","quivenly,arm_low,164.4,-285.2,110,1,19,1,1,0","white_human,open,228.8,-301.2,96,1,24,1,1,0","quivenly,leg_up,35.6,-88.8,-3,0,14,1,1,0",,"quivenly,foot,25.6,-18.8,0,0,19,1,1,0",,,"quivenly,foot,98.4,-22.8,5.5,0,22,1,1,0",,,"item,pen,242,-295.2,-137,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5",
