Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Vraesier,Head,24,-521.4,-9,0,4,1,1,0","Vraesier,Neck,1,-478.4,-15.5,0,7,1,1,0","Vraesier,Body,-9.8,-356.4,-7,0,6,1,1,0","Vraesier,Arm Up,-94,-409.4,-32.4,0,6,1,1,0","Vraesier,Arm Low,-131.8,-317.4,-6.3,0,8,1,1,0","Vraesier,Fist,-138,-245.5,-21.2,0,10,1,1,0","Vraesier,Arm Up,66,-397.6,24.8,0,18,1,1,0","Vraesier,Arm Low,41.2,-343.4,-76,0,4,1,1,0","Vraesier,Fist,-30.5,-327.5,-66,1,5,1,1,0","Vraesier,Leg Up,-65,-217.4,-12.7,0,8,1,1,0","Vraesier,Leg Low,-99,-121.4,-16,0,10,1,1,0","Vraesier,Foot,-98.8,-28.4,-3.1,0,13,1,1,0","Vraesier,Leg Up,31,-221.4,32.7,0,12,1,1,0","Vraesier,Leg Low,66,-123.4,8,0,13,1,1,0","Vraesier,Foot,96.2,-31.4,6.5,0,15,1,1,0","Vraesier,Greatsword_base,-13.4,-348.4,12.1,0,14,1,1,0","Vraesier,Sword_base,-47.5,-424,-170.7,0,6,1,1,0","Vraesier,Handkerchief,-49.6,-272.6,-4,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Attack1/1,"Vraesier,Head,52,-514.4,-15,0,4,1,1,0","Vraesier,Neck,31,-477.4,-17,0,7,1,1,0","Vraesier,Body,-6.8,-358.4,-14,0,6,1,1,0","Vraesier,Arm Up,-83,-423.4,-47.3,0,4,1,1,0","Vraesier,Arm Low,-145.8,-346.4,-24,0,6,1,1,0","Vraesier,Fist,-173,-275.5,-33.2,0,13,1,1,0","Vraesier,Arm Up,74,-383.6,15,0,18,1,1,0","Vraesier,Arm Low,45.2,-309.4,-55,0,4,1,1,0","Vraesier,Fist,0.4,-278.2,-40,1,3,1,1,0","Vraesier,Leg Up,-75,-226.4,-12.7,0,8,1,1.1,0","Vraesier,Leg Low,-119,-126.4,-30,0,10,1,1,0","Vraesier,Foot,-139.8,-34.4,-19.1,0,13,1,1,0","Vraesier,Leg Up,24,-214.4,37.7,0,12,1,1,0","Vraesier,Leg Low,66,-123.4,11,0,13,1,1,0","Vraesier,Foot,98.2,-32.4,4.5,0,15,1,1,0","Vraesier,Greatsword_base,-10.4,-350.4,3.1,0,14,1,1,0","Vraesier,Sword_base,-55.6,-362,-148,0,4,1,1,0","Vraesier,Handkerchief,-60.6,-282.6,-23,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"Vraesier,Head,45,-517.4,-10,0,4,1,1,0","Vraesier,Neck,25,-480.4,-17,0,7,1,1,0","Vraesier,Body,-7.8,-358.4,-13,0,6,1,1,0","Vraesier,Arm Up,-86,-422.4,-47.3,0,4,1,1,0","Vraesier,Arm Low,-151.8,-342.4,-26,0,3,1,1,0","Vraesier,Fist,-182,-273.5,-34.2,0,10,1,1,0","Vraesier,Arm Up,84,-387.6,23,0,18,1,1,0","Vraesier,Arm Low,75.2,-304.4,-33,0,4,1,1,0","Vraesier,Fist,54.4,-263.2,-12,1,1,1,1,0","Vraesier,Leg Up,-85,-218.4,-22.7,0,8,1,1,0","Vraesier,Leg Low,-135,-125.4,-25,0,10,1,1,0","Vraesier,Foot,-151.8,-33.4,-18.1,0,13,1,1,0","Vraesier,Leg Up,26,-214.4,46.7,0,12,1,1,0","Vraesier,Leg Low,79,-123.4,8,0,13,1,1,0","Vraesier,Foot,111.2,-32.4,5.5,0,15,1,1,0","Vraesier,Greatsword_base,-12.4,-349.4,5.1,0,14,1,1,0","Vraesier,Sword_swing_2,-35.6,-322,-122,0,2,1,1,1","Vraesier,Hankerchief_speed2,-68.6,-297.6,4,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.3,,
Attack1/3,"Vraesier,Head,44,-506.4,-6,0,4,1,1,0","Vraesier,Neck,20,-474.4,-25,0,7,1,1,0","Vraesier,Body,-11.8,-346.4,-14,0,6,1,1,0","Vraesier,Arm Up,-89,-417.4,-47.3,0,4,1,1,0","Vraesier,Arm Low,-160.8,-344.4,-34,0,6,1,1,0","Vraesier,Fist,-195,-281.5,-36.2,0,13,1,1,0","Vraesier,Arm Up,74,-397.6,34.3,0,18,1,1,0","Vraesier,Arm Low,104.2,-308.4,8,0,19,1,1,0","Vraesier,Fist,114.4,-236.2,29,1,5,1,1,0","Vraesier,Leg Up,-83,-216.4,-20.7,0,8,1,1,0","Vraesier,Leg Low,-137,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-164.8,-33.4,-24.1,0,13,1,1,0","Vraesier,Leg Up,27,-212.4,45.7,0,12,1,1,0","Vraesier,Leg Low,79,-119.4,7,0,13,1,1,0","Vraesier,Foot,109.2,-29.4,7.5,0,15,1,1,0","Vraesier,Greatsword_base,-12.4,-344.4,5.1,0,14,1,1,0","Vraesier,Sword_swing_2,18.6,-188.8,-68,0,7,1,1,1","Vraesier,Hankerchief_speed1,-74.6,-288.6,-17,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.1,,
Attack1/4,"Vraesier,Head,48,-506.4,-5,0,4,1,1,0","Vraesier,Neck,21,-476.4,-25,0,7,1,1,0","Vraesier,Body,-9.8,-346.4,-16,0,6,1,1,0","Vraesier,Arm Up,-85,-419.4,-51.3,0,4,1,1,0","Vraesier,Arm Low,-156.8,-351.4,-34,0,6,1,1,0","Vraesier,Fist,-194,-288.5,-42.2,0,13,1,1,0","Vraesier,Arm Up,85,-397.6,63.3,0,18,1,1,0","Vraesier,Arm Low,163.2,-356.4,66,0,19,1,1,0","Vraesier,Fist,228.2,-328.6,91,1,21,1,1,0","Vraesier,Leg Up,-86,-216.4,-22.7,0,8,1,1,0","Vraesier,Leg Low,-142,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-168.8,-33.4,-24.1,0,13,1,1,0","Vraesier,Leg Up,27,-212.4,45.7,0,12,1,1,0","Vraesier,Leg Low,79,-119.4,7,0,13,1,1,0","Vraesier,Foot,109.2,-29.4,7.5,0,15,1,1,0","Vraesier,Greatsword_base,-12.4,-344.4,4.1,0,14,1,1,0","Vraesier,Sword_swing_2,195.2,-226,-15,0,23,1,1,1","Vraesier,Hankerchief_speed2,-74.6,-297.6,-36,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.1,sprite_deal_damage",,"Swing Flat Small,1000,1"
Attack1/5,"Vraesier,Head,13,-512.4,1,0,4,1,1,0","Vraesier,Neck,-7,-477.4,-20,0,7,1,1,0","Vraesier,Body,-20.8,-348.4,-6,0,6,1,1,0","Vraesier,Arm Up,-109,-404.4,-50.3,0,4,1,1,0","Vraesier,Arm Low,-179.8,-328.4,-31,0,6,1,1,0","Vraesier,Fist,-216,-267.5,-44.2,0,13,1,1,0","Vraesier,Arm Up,72,-413.6,70.3,0,18,1,1,0","Vraesier,Arm Low,157.2,-378.4,73,0,19,1,1,0","Vraesier,Fist,222.2,-362.6,116,1,21,1,1,0","Vraesier,Leg Up,-82,-216.4,-17.7,0,8,1,1,0","Vraesier,Leg Low,-133,-123.4,-36,0,10,1,1,0","Vraesier,Foot,-166.8,-35.4,-27.1,0,13,1,1,0","Vraesier,Leg Up,25,-210.4,42.7,0,12,1,1,0","Vraesier,Leg Low,73,-114.4,5,0,13,1,1,0","Vraesier,Foot,96.2,-26.4,3.5,0,15,1,1,0","Vraesier,Greatsword_base,-16.4,-348.4,16.1,0,14,1,1,0","Vraesier,Sword_swing_2,271.2,-276,33,0,23,1,1,1","Vraesier,Hankerchief_speed1,-80.6,-289.6,-24,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.1,sprite_deal_damage",,
Attack1/6,"Vraesier,Head,-5,-513.4,-1,0,4,1,1,0","Vraesier,Neck,-24,-481.4,-20,0,7,1,1,0","Vraesier,Body,-27.8,-348.4,-1,0,6,1,1,0","Vraesier,Arm Up,-121,-404.4,-50.3,0,4,1,1,0","Vraesier,Arm Low,-197.8,-334.4,-37,0,6,1,1,0","Vraesier,Fist,-241,-271.5,-48.2,0,13,1,1,0","Vraesier,Arm Up,72,-433.6,100.3,0,18,1,1,0","Vraesier,Arm Low,157.2,-442.4,97,0,19,1,1,0","Vraesier,Fist Back,212.2,-430.6,26,0,21,1,1,0","Vraesier,Leg Up,-83,-216.4,-22.7,0,8,1,1.1,0","Vraesier,Leg Low,-138,-123.4,-36,0,10,1,1,0","Vraesier,Foot,-171.8,-35.4,-27.1,0,13,1,1,0","Vraesier,Leg Up,31,-206.4,44.7,0,12,1,1.1,0","Vraesier,Leg Low,82,-111.4,4,0,13,1,1,0","Vraesier,Foot,104.2,-23.4,2.5,0,15,1,1,0","Vraesier,Greatsword_base,-26.4,-341.4,17.1,0,14,1,1,0","Vraesier,Sword_swing_2,319.2,-456,105,0,23,1,1,1","Vraesier,Hankerchief_speed2,-77.6,-284.6,-19,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.1,sprite_deal_damage",,
Attack1/7,"Vraesier,Head,-10,-510.4,0,0,4,1,1,0","Vraesier,Neck,-29,-474.4,-17,0,7,1,1,0","Vraesier,Body,-29.8,-344.4,0,0,6,1,1,0","Vraesier,Arm Up,-127,-402.4,-52.3,0,4,1,1,0","Vraesier,Arm Low,-194.8,-334.4,-31,0,6,1,1,0","Vraesier,Fist,-226,-268.5,-38.2,0,13,1,1,0","Vraesier,Arm Up,62,-447.6,109,0,18,1,1,0","Vraesier,Arm Low,146.8,-476,114,0,21,1,1,0","Vraesier,Fist Back,201.8,-485.6,55,0,25,1,1,0","Vraesier,Leg Up,-81,-216.4,-25.7,0,8,1,1,0","Vraesier,Leg Low,-141,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-171.8,-34.4,-30.1,0,13,1,1,0","Vraesier,Leg Up,31,-206.4,44.7,0,12,1,1.1,0","Vraesier,Leg Low,81,-111.4,2,0,13,1,1,0","Vraesier,Foot,104.2,-23.4,2.5,0,15,1,1,0","Vraesier,Greatsword_base,-31.4,-339.4,19.1,0,14,1,1,0","Vraesier,Sword_swing_2,275.6,-571.6,140,0,27,1,1,1","Vraesier,Hankerchief_speed1,-79.6,-283.6,-17,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.2,sprite_deal_damage",,
Attack1/8,"Vraesier,Head,-15,-507.4,-1,0,4,1,1,0","Vraesier,Neck,-34,-471.4,-18,0,7,1,1,0","Vraesier,Body,-30.8,-344.4,2,0,6,1,1,0","Vraesier,Arm Up,-127,-395.4,-49.3,0,4,1,1,0","Vraesier,Arm Low,-194.8,-323.4,-31,0,6,1,1,0","Vraesier,Fist,-226,-256.5,-36.2,0,13,1,1,0","Vraesier,Arm Up,51,-446.6,124,0,18,1,1,0","Vraesier,Arm Low,130,-506,140,0,20,1,1,0","Vraesier,Fist Back,179,-550,121,0,22,1,1,0","Vraesier,Leg Up,-81,-216.4,-25.7,0,8,1,1,0","Vraesier,Leg Low,-141,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-171.8,-34.4,-30.1,0,13,1,1,0","Vraesier,Leg Up,31,-206.4,44.7,0,12,1,1.1,0","Vraesier,Leg Low,81,-111.4,2,0,13,1,1,0","Vraesier,Foot,104.2,-23.4,2.5,0,15,1,1,0","Vraesier,Greatsword_base,-26.4,-339.4,24.1,0,14,1,1,0","Vraesier,Sword_swing_2,188,-649,173,0,23,0.9,0.9,1","Vraesier,Hankerchief_speed2,-83.6,-285.6,-29,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.5,sprite_deal_damage",,
Attack1/9,"Vraesier,Head,-13,-507.4,-4,0,4,1,1,0","Vraesier,Neck,-35,-471.4,-19,0,7,1,1,0","Vraesier,Body,-30.8,-344.4,2,0,6,1,1,0","Vraesier,Arm Up,-127,-395.4,-49.3,0,4,1,1,0","Vraesier,Arm Low,-190.8,-320.4,-24,0,6,1,1,0","Vraesier,Fist,-218,-251.5,-34.2,0,13,1,1,0","Vraesier,Arm Up,45,-446.6,129,0,18,1,1,0","Vraesier,Arm Low,116.8,-520,150,0,20,1,1,0","Vraesier,Fist Back,158,-580,131,0,22,1,1,0","Vraesier,Leg Up,-81,-216.4,-25.7,0,8,1,1,0","Vraesier,Leg Low,-141,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-171.8,-34.4,-30.1,0,13,1,1,0","Vraesier,Leg Up,31,-206.4,44.7,0,12,1,1.1,0","Vraesier,Leg Low,81,-111.4,2,0,13,1,1,0","Vraesier,Foot,104.2,-23.4,2.5,0,15,1,1,0","Vraesier,Greatsword_base,-26.4,-339.4,24.1,0,14,1,1,0","Vraesier,Sword_base,125,-659,-157,0,23,0.9,0.9,1","Vraesier,Hankerchief_speed2,-83.6,-284.6,-18,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/10,"Vraesier,Head,-14,-509.4,1,0,4,1,1,0","Vraesier,Neck,-35,-471.4,-19,0,7,1,1,0","Vraesier,Body,-32.8,-344.4,3,0,6,1,1,0","Vraesier,Arm Up,-129,-395.4,-48.3,0,4,1,1,0","Vraesier,Arm Low,-191.8,-318.4,-23,0,6,1,1,0","Vraesier,Fist,-218,-249.5,-33.2,0,13,1,1,0","Vraesier,Arm Up,37,-446.6,138,0,18,1,1,0","Vraesier,Arm Low,98.8,-520,154,0,20,1,1,0","Vraesier,Fist Back,133,-584,137,0,22,1,1,0","Vraesier,Leg Up,-83,-216.4,-24.7,0,8,1,1,0","Vraesier,Leg Low,-143,-124.4,-32,0,10,1,1,0","Vraesier,Foot,-171.8,-34.4,-27.1,0,13,1,1,0","Vraesier,Leg Up,33,-206.4,45.7,0,12,1,1.1,0","Vraesier,Leg Low,85,-111.4,5,0,13,1,1,0","Vraesier,Foot,110.2,-23.4,3.5,0,15,1,1,0","Vraesier,Greatsword_base,-31.4,-338.4,24.1,0,14,1,1,0","Vraesier,Sword_base,84,-661,-148,0,23,0.9,0.9,1","Vraesier,Hankerchief_speed1,-85.6,-277.6,-3,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
