Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_Cheer/0,"Yuawies,Head,-3,-509.4,-4,0,4,1,1,0","Yuawies,Neck,-8,-432.4,1,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,1,0,6,1,1,0","Yuawies,Arm Up,-71,-372.4,-12,0,1,1,1,0","Yuawies,Arm Low,-101.2,-302.4,-6,0,2,1,1,0","White_human,Open,-126.8,-249.6,-28,0,3,1,1,0","Yuawies,Arm Up,45.2,-380.4,23,1,18,1,1,0","Yuawies,Arm Low,70.8,-317.2,-17,1,19,1,1,0","White_human,Open,63.2,-259.2,-12,1,21,1,1,0","Yuawies,Leg Up,-32,-181,1,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-3,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,28,-183,2,0,9,1,1,0","Yuawies,Leg Low,25,-79,-1,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,10,-360.4,1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/1,"Yuawies,Head,1,-509.4,-6,0,4,1,1,0","Yuawies,Neck,-8,-432.4,1,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,1,0,6,1,1,0","Yuawies,Arm Up,-71,-372.4,-10,0,1,1,1,0","Yuawies,Arm Low,-91.2,-296.4,4,0,2,1,1,0","White_human,Open,-106.8,-235.6,-13,0,3,1,1,0","Yuawies,Arm Up,45.2,-374.4,16,1,18,1,1,0","Yuawies,Arm Low,54.8,-307.2,-41,1,19,1,1,0","White_human,Open,25.2,-259.2,-19,1,21,1,1,0","Yuawies,Leg Up,-27.6,-182,-2,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-3,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,35.6,-180,5,0,9,1,1,0","Yuawies,Leg Low,32,-79.4,-7,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,10,-360.4,1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/2,"Yuawies,Head,-3,-509.4,-1,0,4,1,1,0","Yuawies,Neck,-8,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,3,0,6,1,1,0","Yuawies,Arm Up,-71,-372.4,-10,0,1,1,1,0","Yuawies,Arm Low,-87.2,-296.4,13,0,2,1,1,0","White_human,Open,-90.8,-229.6,-2,0,3,1,1,0","Yuawies,Arm Up,45.2,-374.4,16,1,18,1,1,0","Yuawies,Arm Low,80.8,-311.2,17,1,19,1,1,0","White_human,Open,124.8,-278.4,65,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,39.6,-180,2,0,9,1,1,0","Yuawies,Leg Low,32,-79.4,-9,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,10,-360.4,4,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,128,-290,-6,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/3,"Yuawies,Head,-7,-509.4,1,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-69,-366.4,-8,0,1,1,1,0","Yuawies,Arm Low,-83.2,-290.4,17,0,2,1,1,0","White_human,Open,-78.8,-221.6,8,0,3,1,1,0","Yuawies,Arm Up,45.2,-374.4,21,1,18,1,1,0","Yuawies,Arm Low,88.8,-333.2,55,1,19,1,1,0","White_human,Open,152.8,-324.4,84,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,158,-340,-4,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/4,"Yuawies,Head,-7,-509.4,3,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-69,-366.4,-11,0,1,1,1,0","Yuawies,Arm Low,-89.2,-290.4,14,0,2,1,1,0","White_human,Open,-88.8,-221.6,3,0,3,1,1,0","Yuawies,Arm Up,47.2,-394.4,53,1,18,1,1,0","Yuawies,Arm Low,110.8,-383.2,97,1,19,1,1,0","White_human,Open,165.6,-398,90,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,169.2,-409.6,-1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/5,"Yuawies,Head,-15,-509.4,6,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-73,-366.4,-17,0,1,1,1,0","Yuawies,Arm Low,-101.2,-290.4,6,0,2,1,1,0","White_human,Open,-112.8,-227.6,-11,0,3,1,1,0","Yuawies,Arm Up,47.2,-406.4,68,1,18,1,1,0","Yuawies,Arm Low,110.8,-413.2,106,1,19,1,1,0","White_human,Open,165.6,-444,107,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,169.2,-471.6,-1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/6,"Yuawies,Head,-19,-509.4,8,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-77,-366.4,-17,0,1,1,1,0","Yuawies,Arm Low,-107.2,-290.4,2,0,2,1,1,0","White_human,Open,-128.8,-227.6,-16,0,3,1,1,0","Yuawies,Arm Up,47.2,-416.4,105,1,18,1,1,0","Yuawies,Arm Low,116.8,-453.2,106,1,19,1,1,0","White_human,Open,171.6,-484,107,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,175.2,-511.6,-1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
EXCLUDE_Cheer/7,"Yuawies,Head,-19,-509.4,11,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-77,-366.4,-19,0,1,1,1,0","Yuawies,Arm Low,-111.2,-290.4,-1,0,2,1,1,0","White_human,Open,-132.8,-227.6,-19,0,3,1,1,0","Yuawies,Arm Up,47.2,-424.4,113,1,18,1,1,0","Yuawies,Arm Low,114.8,-467.2,109,1,19,1,1,0","White_human,Open,169.6,-504,113,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,173.2,-533.6,6,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,,
EXCLUDE_Cheer/8,"Yuawies,Head,-15,-509.4,6,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-73,-366.4,-17,0,1,1,1,0","Yuawies,Arm Low,-101.2,-290.4,6,0,2,1,1,0","White_human,Open,-112.8,-227.6,-11,0,3,1,1,0","Yuawies,Arm Up,47.2,-406.4,68,1,18,1,1,0","Yuawies,Arm Low,110.8,-413.2,106,1,19,1,1,0","White_human,Open,165.6,-444,107,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,169.2,-471.6,-1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Cheer/9,"Yuawies,Head,-7,-509.4,3,0,4,1,1,0","Yuawies,Neck,-12,-432.4,6,0,5,1,1,0","Yuawies,Body,-6.4,-320.8,5,0,6,1,1,0","Yuawies,Arm Up,-69,-366.4,-11,0,1,1,1,0","Yuawies,Arm Low,-89.2,-290.4,14,0,2,1,1,0","White_human,Open,-88.8,-221.6,3,0,3,1,1,0","Yuawies,Arm Up,47.2,-394.4,53,1,18,1,1,0","Yuawies,Arm Low,110.8,-383.2,97,1,19,1,1,0","White_human,Open,165.6,-398,90,0,21,1,1,0","Yuawies,Leg Up,-23.6,-182,-5,0,8,1,1,0","Yuawies,Leg Low,-37,-84.4,-6,0,10,1,1,0","Yuawies,Foot,-26.8,-21.4,2.9,0,13,1,1,0","Yuawies,Leg Up,45.6,-184,8,0,9,1,1,0","Yuawies,Leg Low,36,-79.4,-13,0,13,1,1,0","Yuawies,Foot,42.2,-22.4,2,0,15,1,1,0",,,"Yuawies,Boobs,6,-360.4,7,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Item,Golden Goblet,169.2,-409.6,-1,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
