Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"animal_phoenix,head,33,-361,-7,0,4,1,1,0","animal_phoenix,neck,-3,-299,1,0,4,1,1,0","animal_phoenix,body,-4.8,-193.6,-1.5,0,5,1,1,0","animal_phoenix,arm_up,-104,-238,-85,0,3,1,1,0",,,"animal_phoenix,arm_up,53,-229,103,0,18,1,1,0",,,"animal_phoenix,leg_up,-46,-100,-13.7,0,4,1,1,0","animal_phoenix,leg_low,-62,-46.4,-14,0,10,1,1,0","animal_phoenix,foot,-41,-10,-4.6,0,9,1,1,0","animal_phoenix,leg_up,7,-104,31.7,0,16,1,1,0","animal_phoenix,leg_low,31,-51,22.5,0,18,1,1,0","animal_phoenix,foot,68,-12,1,0,15,1,1,0",,,"animal_phoenix,tail,-64,-101,-13,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/0,"animal_phoenix,head,119,-270,-11,0,4,1,1,0","animal_phoenix,neck,68,-232,-50,0,4,1,1,0","animal_phoenix,body,-12,-156,-45.5,0,5,1,1,0","animal_phoenix,arm_up,-65,-192,-68,0,3,1,1,0",,,"animal_phoenix,arm_up,-61,-204,-75,0,18,1,1,0",,,"animal_phoenix,leg_up,-50,-102,-7.7,0,4,1,1,0","animal_phoenix,leg_low,-68,-46,-19,0,10,1,1,0","animal_phoenix,foot,-49,-10,-4.6,0,9,1,1,0","animal_phoenix,leg_up,17,-99,13.7,0,16,1,1,0","animal_phoenix,leg_low,22,-49,11.5,0,18,1,1,0","animal_phoenix,foot,51,-10,-4,0,15,1,1,0",,,"animal_phoenix,tail,-118,-112,-31,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"animal_phoenix,head,107,-276,0,0,4,1,1,0","animal_phoenix,neck,62,-233,-40,0,4,1,1,0","animal_phoenix,body,-13,-156,-44.5,0,5,1,1,0","animal_phoenix,arm_up,-65,-185,-65,0,3,1,1,0",,,"animal_phoenix,arm_up,-61,-197,-72,0,18,1,1,0",,,"animal_phoenix,leg_up,-50,-102,-7.7,0,4,1,1,0","animal_phoenix,leg_low,-68,-46,-19,0,10,1,1,0","animal_phoenix,foot,-49,-10,-4.6,0,9,1,1,0","animal_phoenix,leg_up,17,-99,15.7,0,16,1,1,0","animal_phoenix,leg_low,23,-49,7.5,0,18,1,1,0","animal_phoenix,foot,51,-10,-4,0,15,1,1,0",,,"animal_phoenix,tail,-118,-109,-29,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"animal_phoenix,head,76,-291,12,0,4,1,1,0","animal_phoenix,neck,45,-238,-30,0,4,1,1,0","animal_phoenix,body,-17,-156,-37.5,0,5,1,1,0","animal_phoenix,arm_up,-59,-175,-55,0,3,1,1,0",,,"animal_phoenix,arm_up,-57,-187,-62,0,18,1,1,0",,,"animal_phoenix,leg_up,-50,-102,-7.7,0,4,1,1,0","animal_phoenix,leg_low,-68,-46,-19,0,10,1,1,0","animal_phoenix,foot,-49,-10,-4.6,0,9,1,1,0","animal_phoenix,leg_up,17,-99,19.7,0,16,1,1,0","animal_phoenix,leg_low,26,-49,9.5,0,18,1,1,0","animal_phoenix,foot,55,-10,-4,0,15,1,1,0",,,"animal_phoenix,tail,-118,-99,-24,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,"animal_phoenix,head,69,-292,14,0,4,1,1,0","animal_phoenix,neck,38,-237,-25,0,4,1,1,0","animal_phoenix,body,-19,-156,-36.5,0,5,1,1,0","animal_phoenix,arm_up,-60,-168,-50,0,3,1,1,0",,,"animal_phoenix,arm_up,-58,-180,-57,0,18,1,1,0",,,"animal_phoenix,leg_up,-50,-102,-3.7,0,4,1,1,0","animal_phoenix,leg_low,-68,-46,-22,0,10,1,1,0","animal_phoenix,foot,-51,-10,-4.6,0,9,1,1,0","animal_phoenix,leg_up,15,-99,20.7,0,16,1,1,0","animal_phoenix,leg_low,25,-49,10.5,0,18,1,1,0","animal_phoenix,foot,55,-10,-3,0,15,1,1,0",,,"animal_phoenix,tail,-118,-97,-21,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pierce_small,1000,0"
Attack1/4,"animal_phoenix,head,107,-276,0,0,4,1,1,0","animal_phoenix,neck,62,-233,-40,0,4,1,1,0","animal_phoenix,body,-13,-156,-44.5,0,5,1,1,0","animal_phoenix,arm_up,-65,-185,-65,0,3,1,1,0",,,"animal_phoenix,arm_up,-61,-197,-72,0,18,1,1,0",,,"animal_phoenix,leg_up,-49,-102,-6.7,0,4,1,1,0","animal_phoenix,leg_low,-70,-46,-25,0,10,1,1,0","animal_phoenix,foot,-56,-10,-7.6,0,9,1,1,0","animal_phoenix,leg_up,17,-99,15.7,0,16,1,1,0","animal_phoenix,leg_low,23,-49,7.5,0,18,1,1,0","animal_phoenix,foot,51,-10,-4,0,15,1,1,0",,,"animal_phoenix,tail,-118,-109,-29,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.5",,
Attack1/5,"animal_phoenix,head,155,-255,-14,0,4,1,1,0","animal_phoenix,neck,102,-220,-54,0,4,1,1,0","animal_phoenix,body,5,-156,-54.5,0,5,1,1,0","animal_phoenix,arm_up,-44,-189,-75,0,3,1,1,0",,,"animal_phoenix,arm_up,-38,-201,-82,0,18,1,1,0",,,"animal_phoenix,leg_up,-44,-102,-13.7,0,4,1,1,0","animal_phoenix,leg_low,-75,-47,-36,0,10,1,1,0","animal_phoenix,foot,-65,-10,-15.6,0,9,1,1,0","animal_phoenix,leg_up,23,-99,8.7,0,16,1,1,0","animal_phoenix,leg_low,23,-49,-0.5,0,18,1,1,0","animal_phoenix,foot,48,-10,-7,0,15,1,1,0",,,"animal_phoenix,tail,-118,-121,-44,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprite_deal_damage,play_time_mod_0.2",,
Attack1/6,"animal_phoenix,head,165,-239,-23,0,4,1,1,0","animal_phoenix,neck,109,-213,-62,0,4,1,1,0","animal_phoenix,body,10,-156,-57.5,0,5,1,1,0","animal_phoenix,arm_up,-41,-189,-79,0,3,1,1,0",,,"animal_phoenix,arm_up,-35,-199,-86,0,18,1,1,0",,,"animal_phoenix,leg_up,-40,-103,-17.7,0,4,1,1,0","animal_phoenix,leg_low,-75,-51,-40,0,10,1,1,0","animal_phoenix,foot,-69,-11,-19.6,0,9,1,1,0","animal_phoenix,leg_up,26,-99,1.7,0,16,1,1,0","animal_phoenix,leg_low,23,-49,-3.5,0,18,1,1,0","animal_phoenix,foot,45,-10,-10,0,15,1,1,0",,,"animal_phoenix,tail,-118,-138,-48,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprite_deal_damage,,
Attack1/7,"animal_phoenix,head,166,-230,-18,0,4,1,1,0","animal_phoenix,neck,112,-204,-62,0,4,1,1,0","animal_phoenix,body,10,-154,-63.5,0,5,1,1,0","animal_phoenix,arm_up,-37,-187,-82,0,3,1,1,0",,,"animal_phoenix,arm_up,-31,-199,-89,0,18,1,1,0",,,"animal_phoenix,leg_up,-42,-103,-18.7,0,4,1,1,0","animal_phoenix,leg_low,-78,-51,-41,0,10,1,1,0","animal_phoenix,foot,-74,-11,-20.6,0,9,1,1,0","animal_phoenix,leg_up,28,-99,11.7,0,16,1,1,0","animal_phoenix,leg_low,26,-49,-10.5,0,18,1,1,0","animal_phoenix,foot,45,-10,-11,0,15,1,1,0",,,"animal_phoenix,tail,-116,-159,-60,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/8,"animal_phoenix,head,145,-251,-14,0,4,1,1,0","animal_phoenix,neck,92,-216,-54,0,4,1,1,0","animal_phoenix,body,5,-156,-54.5,0,5,1,1,0","animal_phoenix,arm_up,-44,-189,-75,0,3,1,1,0",,,"animal_phoenix,arm_up,-38,-201,-82,0,18,1,1,0",,,"animal_phoenix,leg_up,-44,-102,-13.7,0,4,1,1,0","animal_phoenix,leg_low,-75,-47,-36,0,10,1,1,0","animal_phoenix,foot,-65,-10,-15.6,0,9,1,1,0","animal_phoenix,leg_up,23,-99,8.7,0,16,1,1,0","animal_phoenix,leg_low,23,-49,-0.5,0,18,1,1,0","animal_phoenix,foot,48,-10,-7,0,15,1,1,0",,,"animal_phoenix,tail,-118,-121,-44,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
