Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,,,,,,,,,,,,,,,,,,"bone,bone,-27,-48,-42,1,0,0.8,0.8,0","bone,bone,30,-50,44,1,1,0.8,0.8,0","bone,bone,-2,-102,-91,1,2,0.8,0.8,0","bone,bone,-58,-60,-10,1,3,0.8,0.8,0","bone,bone,62,-60,10,1,4,0.8,0.8,0","bone,bone,-28,-160,-20,1,5,0.8,0.8,0","bone,bone,30,-159,21,1,6,0.8,0.8,0","bone,bone,1,-222,90,1,7,0.8,0.8,0","bone,bone,-26,-279,-20,1,8,0.8,0.8,0","bone,bone,22,-281,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,,,,,,,,,,,,,,,,,,"bone,bone,-27,-48,-42,1,0,0.8,0.8,0","bone,bone,30,-50,44,1,1,0.8,0.8,0","bone,bone,-2,-102,-91,1,2,0.8,0.8,0","bone,bone,-58,-60,-10,1,3,0.8,0.8,0","bone,bone,62,-60,10,1,4,0.8,0.8,0","bone,bone,-28,-160,-20,1,5,0.8,0.8,0","bone,bone,30,-159,21,1,6,0.8,0.8,0","bone,bone,1,-222,90,1,7,0.8,0.8,0","bone,bone,-26,-279,-20,1,8,0.8,0.8,0","bone,bone,22,-281,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2000000,,
Die/0,,,,,,,,,,,,,,,,,,"bone,bone,-27,-46,-50,1,0,0.8,0.8,0","bone,bone,30,-44,51,1,1,0.8,0.8,0","bone,bone,-2,-101,-91,1,2,0.8,0.8,0","bone,bone,-58,-59,-17,1,3,0.8,0.8,0","bone,bone,62,-59,10,1,4,0.8,0.8,0","bone,bone,-28,-159,-30,1,5,0.8,0.8,0","bone,bone,30,-158,21,1,6,0.8,0.8,0","bone,bone,1,-221,90,1,7,0.8,0.8,0","bone,bone,-26,-274,-30,1,8,0.8,0.8,0","bone,bone,22,-274,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,,,,,,,,,,,,,,,,,,"bone,bone,-30,-19,-75,1,0,0.8,0.8,0","bone,bone,47,-9,91,1,1,0.8,0.8,0","bone,bone,-2,-91,-91,1,2,0.8,0.8,0","bone,bone,-68,-49,-27,1,3,0.8,0.8,0","bone,bone,65,-54,30,1,4,0.8,0.8,0","bone,bone,-31,-147,-31,1,5,0.8,0.8,0","bone,bone,32,-148,30,1,6,0.8,0.8,0","bone,bone,1,-199,90,1,7,0.8,0.8,0","bone,bone,-26,-252,-30,1,8,0.8,0.8,0","bone,bone,22,-252,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/2,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-85,1,0,0.8,0.8,0","bone,bone,57,-9,84,1,1,0.8,0.8,0","bone,bone,-2,-81,-91,1,2,0.8,0.8,0","bone,bone,-78,-39,-37,1,3,0.8,0.8,0","bone,bone,75,-40,40,1,4,0.8,0.8,0","bone,bone,-31,-137,-31,1,5,0.8,0.8,0","bone,bone,32,-138,30,1,6,0.8,0.8,0","bone,bone,1,-189,90,1,7,0.8,0.8,0","bone,bone,-26,-242,-30,1,8,0.8,0.8,0","bone,bone,22,-242,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/3,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-88,1,0,0.8,0.8,0","bone,bone,57,-7,86,1,1,0.8,0.8,0","bone,bone,-2,-31,-91,1,2,0.8,0.8,0","bone,bone,-78,-25,-67,1,3,0.8,0.8,0","bone,bone,85,-21,60,1,4,0.8,0.8,0","bone,bone,-32,-77,-41,1,5,0.8,0.8,0","bone,bone,41,-76,46,1,6,0.8,0.8,0","bone,bone,1,-119,90,1,7,0.8,0.8,0","bone,bone,-26,-172,-30,1,8,0.8,0.8,0","bone,bone,22,-172,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-89,1,0,0.8,0.8,0","bone,bone,57,-7,85,1,1,0.8,0.8,0","bone,bone,-2,-31,-92,1,2,0.8,0.8,0","bone,bone,-78,-25,-68,1,3,0.8,0.8,0","bone,bone,85,-21,62,1,4,0.8,0.8,0","bone,bone,-32,-57,-71,1,5,0.8,0.8,0","bone,bone,41,-56,66,1,6,0.8,0.8,0","bone,bone,1,-75,90,1,7,0.8,0.8,0","bone,bone,-26,-128,-30,1,8,0.8,0.8,0","bone,bone,22,-128,20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-89,1,0,0.8,0.8,0","bone,bone,57,-7,85,1,1,0.8,0.8,0","bone,bone,-2,-31,-92,1,2,0.8,0.8,0","bone,bone,-78,-25,-68,1,3,0.8,0.8,0","bone,bone,85,-21,62,1,4,0.8,0.8,0","bone,bone,-32,-57,-71,1,5,0.8,0.8,0","bone,bone,41,-56,66,1,6,0.8,0.8,0","bone,bone,1,-74,89,1,7,0.8,0.8,0","bone,bone,-66,-118,40,1,8,0.8,0.8,0","bone,bone,57,-138,-20,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-89,1,0,0.8,0.8,0","bone,bone,57,-7,85,1,1,0.8,0.8,0","bone,bone,-2,-31,-92,1,2,0.8,0.8,0","bone,bone,-78,-25,-68,1,3,0.8,0.8,0","bone,bone,85,-21,62,1,4,0.8,0.8,0","bone,bone,-32,-57,-71,1,5,0.8,0.8,0","bone,bone,41,-56,66,1,6,0.8,0.8,0","bone,bone,1,-74,89,1,7,0.8,0.8,0","bone,bone,-117,-94,110,1,8,0.8,0.8,0","bone,bone,90,-92,-110,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,,,,,,,,,,,,,,,,,,"bone,bone,-40,-9,-89,1,0,0.8,0.8,0","bone,bone,57,-7,85,1,1,0.8,0.8,0","bone,bone,-2,-31,-92,1,2,0.8,0.8,0","bone,bone,-78,-25,-68,1,3,0.8,0.8,0","bone,bone,85,-21,62,1,4,0.8,0.8,0","bone,bone,-32,-57,-71,1,5,0.8,0.8,0","bone,bone,41,-56,66,1,6,0.8,0.8,0","bone,bone,1,-74,89,1,7,0.8,0.8,0","bone,bone,-114,-47,130,1,8,0.8,0.8,0","bone,bone,90,-62,-130,1,9,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
