Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Barman_one,Head,-3.5,-233.7,0,0,7,1,0","Barman_one,Neck,1.6,-210.4,15,0,8,1,0","Barman_one,Body,-1.4,-150.2,-0.5,0,6,1,0","Barman_one,Arm Up,-46.8,-177.6,-69,1,4,1,0","Barman_one,Arm Low,-90,-152.8,11,1,3,1,0","Barman_one,Open,-130.2,-142.2,19,1,14,1,0","Barman_one,Arm Up,37.4,-170,45,0,13,1,0","Barman_one,Arm Low,76.4,-141.6,2,0,10,1,0","Barman_one,Open,121.2,-139.4,-13,0,16,1,0","Barman_one,Leg Up,-21.5,-95.2,-10.7,0,8,1,0","Barman_one,Leg Low,-34.5,-42.2,-15,0,10,1,0","Barman_one,Foot,-29.4,-1.7,-0.6,0,13,1,0","Barman_one,Leg Up,18,-94.2,10.7,0,12,1,0","Barman_one,Leg Low,29,-45.7,11.5,0,13,1,0","Barman_one,Foot,49.1,-7.2,7.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Barman_one,Head,-3.5,-216.7,1,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-1.4,-134.2,1.5,0,6,1,0","Barman_one,Arm Up,-23.2,-153.2,9,0,4,1,0","Barman_one,Arm Low,-6.4,-106.4,-29,0,4,1,0","Barman_one,Open,24,-85.8,-47,0,6,1,0","Barman_one,Arm Up,32.4,-158,43,0,13,1,0","Barman_one,Arm Low,64.4,-119.6,-29,0,10,1,0","Barman_one,Open,93.8,-97.6,-51,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Barman_one,Head,-3.5,-216.7,-2,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-2.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-27.2,-153.2,2,0,4,1,0","Barman_one,Arm Low,-12.4,-106.4,-32,0,4,1,0","Barman_one,Open,16,-85.8,-52,0,6,1,0","Barman_one,Arm Up,32.4,-156,41,0,13,1,0","Barman_one,Arm Low,61.4,-115.6,-31,0,10,1,0","Barman_one,Open,91.8,-91.6,-51,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"Barman_one,Head,-3.5,-216.7,-4,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-2.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-32.2,-153.2,-5,0,4,1,0","Barman_one,Arm Low,-21.4,-106.4,-37,0,4,1,0","Barman_one,Open,7,-80.8,-52,0,6,1,0","Barman_one,Arm Up,30.4,-156,37,0,13,1,0","Barman_one,Arm Low,56.4,-115.6,-35,0,10,1,0","Barman_one,Open,83.8,-93.6,-54,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"Barman_one,Head,-3.5,-216.7,-6,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-2.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-35.2,-153.2,-11,0,4,1,0","Barman_one,Arm Low,-31.4,-106.4,-45,0,4,1,0","Barman_one,Open,-6,-76.8,-57,0,6,1,0","Barman_one,Arm Up,30.4,-156,37,0,13,1,0","Barman_one,Arm Low,56.4,-115.6,-32,0,10,1,0","Barman_one,Open,83.8,-93.6,-49,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"Barman_one,Head,-3.5,-216.7,-4,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-2.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-32.2,-153.2,-5,0,4,1,0","Barman_one,Arm Low,-21.4,-106.4,-37,0,4,1,0","Barman_one,Open,7,-80.8,-52,0,6,1,0","Barman_one,Arm Up,30.4,-156,37,0,13,1,0","Barman_one,Arm Low,56.4,-115.6,-35,0,10,1,0","Barman_one,Open,83.8,-93.6,-54,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"Barman_one,Head,-3.5,-216.7,-2,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-2.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-27.2,-153.2,2,0,4,1,0","Barman_one,Arm Low,-12.4,-106.4,-32,0,4,1,0","Barman_one,Open,16,-85.8,-52,0,6,1,0","Barman_one,Arm Up,32.4,-156,41,0,13,1,0","Barman_one,Arm Low,61.4,-115.6,-31,0,10,1,0","Barman_one,Open,91.8,-91.6,-51,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/0,"Barman_one,Head,-3.5,-216.7,-4,0,7,1,0","Barman_one,Neck,1.6,-193.4,15,0,8,1,0","Barman_one,Body,-1.4,-134.2,-0.5,0,6,1,0","Barman_one,Arm Up,-13.2,-154.2,41,0,4,1,0","Barman_one,Arm Low,22.6,-122.4,-6,0,4,1,0","Barman_one,Open,61,-106.8,-59,0,14,1,0","Barman_one,Arm Up,34.4,-158,49,0,13,1,0","Barman_one,Arm Low,74.4,-140.6,21,0,10,1,0","Barman_one,Open,114.2,-151.4,-2,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
PresetCityStandIdle/1,"Barman_one,Head,-7.5,-216.7,2,0,7,1,0","Barman_one,Neck,-1.4,-193.4,6,0,8,1,0","Barman_one,Body,-1.4,-134.2,1.5,0,6,1,0","Barman_one,Arm Up,-13.2,-154.2,41,0,4,1,0","Barman_one,Arm Low,22.6,-120.4,-10,0,4,1,0","Barman_one,Open,59,-106.8,-43,0,14,1,0","Barman_one,Arm Up,34.4,-160,56,0,13,1,0","Barman_one,Arm Low,76.4,-142.6,17,0,10,1,0","Barman_one,Open,117.2,-152.4,3,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
PresetCityStandIdle/2,"Barman_one,Head,-5.5,-216.7,-2,0,7,1,0","Barman_one,Neck,-1.4,-193.4,1,0,8,1,0","Barman_one,Body,-1.4,-134.2,1.5,0,6,1,0","Barman_one,Arm Up,-13.2,-154.2,41,0,4,1,0","Barman_one,Arm Low,22.6,-118.4,-16,0,4,1,0","Barman_one,Open,59,-102.8,-36,0,14,1,0","Barman_one,Arm Up,34.4,-163,59,0,13,1,0","Barman_one,Arm Low,76.4,-152.6,26,0,10,1,0","Barman_one,Open,114.2,-166.4,9,0,16,1,0","Barman_one,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_one,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_one,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_one,Leg Up,25,-84.2,69,0,12,1,0","Barman_one,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_one,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,
