Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Civilian1,Head,1.5,-264.7,-9,0,7,1,0",,"Civilian1,Body,-0.4,-186.2,-1.5,0,6,1,0","Civilian1,Arm Up,56.4,-204.4,-4,0,4,1,0","Civilian1,Arm Low,97.2,-174.4,2,0,10,1,0","Civilian1,Open,109,-124.6,-25,0,16,1,0","Civilian1,Arm Up,34.8,-183.8,100,1,13,1,0","Civilian1,Back Arm Low,69.4,-142.8,-31,0,15,1,0","Civilian1,Open,138.8,-173.4,2,0,14,1,0","Civilian1,Leg Up,-26.5,-103.2,-12.7,0,8,1,0","Civilian1,Leg Low,-48.5,-42.2,-21,0,10,1,0","Civilian1,Foot,-44.4,-2.7,-0.6,0,13,1,0","Civilian1,Leg Up,23,-107.2,23.7,0,12,1,0","Civilian1,Leg Low,40,-45.7,12.5,0,13,1,0","Civilian1,Foot,64.1,-7.2,7.5,0,15,1,0",,,"Civilian1,Lower_shirt,-2,-109.2,0,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetPeaceStandIdle/0,"Civilian1,Head,1.5,-270.7,-10,0,7,1,0",,"Civilian1,Body,-0.4,-190.2,-1.5,0,6,1,0","Civilian1,Arm Up,46.4,-199.4,-36,0,4,1,0","Civilian1,Arm Low,67.8,-145.6,-41,0,9,1,0","Civilian1,Open,102,-116.6,-36,0,16,1,0","Civilian1,Arm Up,24.8,-192.8,76,1,13,1,0","Civilian1,Back Arm Low,45.4,-143.4,-56,0,16,1,0","Civilian1,Open,73.4,-114,-41,0,18,1,0","Civilian1,Leg Up,-21.5,-107.2,-4.7,0,8,1,0","Civilian1,Leg Low,-34.5,-46.2,-15,0,10,1,0","Civilian1,Foot,-26.4,-2.7,-0.6,0,13,1,0","Civilian1,Leg Up,18,-108.2,15.7,0,12,1,0","Civilian1,Leg Low,28,-49.7,2.5,0,13,1,0","Civilian1,Foot,45.1,-4.2,3.5,0,15,1,0",,,"Civilian1,Lower_shirt,-2,-113.2,0,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetPeaceStandIdle/1,"Civilian1,Head,4.5,-267.7,-16,0,7,1,0",,"Civilian1,Body,1.6,-188.2,-4.5,0,6,1,0","Civilian1,Arm Up,43.4,-191.4,-44,0,4,1,0","Civilian1,Arm Low,56.8,-133.6,-49,0,10,1,0","Civilian1,Open,82,-103.6,-49,0,16,1,0","Civilian1,Arm Up,24.8,-192.8,76,1,13,1,0","Civilian1,Back Arm Low,36.4,-137.4,-63,0,16,1,0","Civilian1,Open,59.4,-102,-51,0,18,1,0","Civilian1,Leg Up,-21.5,-107.2,-4.7,0,8,1,0","Civilian1,Leg Low,-34.5,-46.2,-15,0,10,1,0","Civilian1,Foot,-26.4,-2.7,-0.6,0,13,1,0","Civilian1,Leg Up,18,-108.2,15.7,0,12,1,0","Civilian1,Leg Low,28,-49.7,2.5,0,13,1,0","Civilian1,Foot,45.1,-4.2,3.5,0,15,1,0",,,"Civilian1,Lower_shirt,-2,-113.2,0,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetPeaceStandIdle/2,"Civilian1,Head,12.5,-264.7,-19,0,7,1,0",,"Civilian1,Body,4.6,-186.2,-7.5,0,6,1,0","Civilian1,Arm Up,41.4,-188.4,-49,0,4,1,0","Civilian1,Arm Low,54.8,-130.6,-51,0,10,1,0","Civilian1,Open,82,-95.6,-54,0,16,1,0","Civilian1,Arm Up,24.8,-192.8,76,1,13,1,0","Civilian1,Back Arm Low,34.4,-137.4,-66,0,16,1,0","Civilian1,Open,53.4,-100,-56,0,18,1,0","Civilian1,Leg Up,-21.5,-107.2,-2.7,0,8,1,0","Civilian1,Leg Low,-34.5,-46.2,-15,0,10,1,0","Civilian1,Foot,-26.4,-2.7,-0.6,0,13,1,0","Civilian1,Leg Up,18,-108.2,15.7,0,12,1,0","Civilian1,Leg Low,26,-49.7,2.5,0,13,1,0","Civilian1,Foot,45.1,-4.2,3.5,0,15,1,0",,,"Civilian1,Lower_shirt,-2,-113.2,-2,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetPeaceStandIdle/3,"Civilian1,Head,4.5,-267.7,-16,0,7,1,0",,"Civilian1,Body,1.6,-188.2,-4.5,0,6,1,0","Civilian1,Arm Up,43.4,-191.4,-44,0,4,1,0","Civilian1,Arm Low,56.8,-133.6,-49,0,10,1,0","Civilian1,Open,82,-103.6,-49,0,16,1,0","Civilian1,Arm Up,24.8,-192.8,76,1,13,1,0","Civilian1,Back Arm Low,36.4,-137.4,-63,0,16,1,0","Civilian1,Open,59.4,-102,-51,0,18,1,0","Civilian1,Leg Up,-21.5,-107.2,-4.7,0,8,1,0","Civilian1,Leg Low,-34.5,-46.2,-15,0,10,1,0","Civilian1,Foot,-26.4,-2.7,-0.6,0,13,1,0","Civilian1,Leg Up,18,-108.2,15.7,0,12,1,0","Civilian1,Leg Low,28,-49.7,2.5,0,13,1,0","Civilian1,Foot,45.1,-4.2,3.5,0,15,1,0",,,"Civilian1,Lower_shirt,-2,-113.2,0,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetPeaceStandRun/0,"Civilian1,Head,9.5,-266.7,-11,0,7,1,0",,"Civilian1,Body,5.6,-187.2,-6.5,0,6,1,0","Civilian1,Arm Up,68.4,-230.4,34,0,4,1,0","Civilian1,Arm Low,127.6,-233,28,0,9,1,0","Civilian1,Open,166,-252.4,30,0,16,1,0","Civilian1,Arm Up,31.8,-198.8,90,1,13,1,0","Civilian1,Back Arm Low,67.4,-145.4,-40,0,16,1,0","Civilian1,Open,101,-119.6,-43,0,18,1,0","Civilian1,Leg Up,-25.5,-107.2,-16.7,0,8,1,0","Civilian1,Leg Low,-51.5,-51.2,-28,0,10,1,0","Civilian1,Foot,-52.4,-5.7,-10.6,0,13,1,0","Civilian1,Leg Up,16,-108.2,30.7,0,12,1,0","Civilian1,Leg Low,35,-52.7,8.5,0,13,1,0","Civilian1,Foot,56.1,-8.2,-6.5,0,15,1,0",,,"Civilian1,Lower_shirt,-3,-113.2,1,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
PresetPeaceStandRun/1,"Civilian1,Head,12.5,-266.7,-13,0,7,1,0",,"Civilian1,Body,5.6,-187.2,-9.5,0,6,1,0","Civilian1,Arm Up,68.4,-216.4,13,0,4,1,0","Civilian1,Arm Low,125.6,-193,2,0,9,1,0","Civilian1,Open,167,-192.4,-6,0,16,1,0","Civilian1,Arm Up,34.8,-198.8,101,1,13,1,0","Civilian1,Back Arm Low,79.4,-146.4,-33,0,16,1,0","Civilian1,Open,115,-123.6,-32,0,18,1,0","Civilian1,Leg Up,-18.5,-107.2,0.3,0,8,1,0","Civilian1,Leg Low,-32.5,-51.2,-20,0,10,1,0","Civilian1,Foot,-32.4,-3.7,-15.6,0,13,1,0","Civilian1,Leg Up,14,-108.2,18.7,0,12,1,0","Civilian1,Leg Low,19,-52.7,-9.5,0,13,1,0","Civilian1,Foot,28.1,-6.2,-9.5,0,15,1,0",,,"Civilian1,Lower_shirt,-5,-113.2,-3,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
PresetPeaceStandRun/2,"Civilian1,Head,18.5,-266.7,-18,0,7,1,0",,"Civilian1,Body,7.6,-187.2,-9.5,0,6,1,0","Civilian1,Arm Up,68.4,-200.4,-8,0,4,1,0","Civilian1,Arm Low,112.6,-162,-15,0,9,1,0","Civilian1,Open,152,-152.4,-13,0,16,1,0","Civilian1,Arm Up,34.8,-198.8,113,1,13,1,0","Civilian1,Back Arm Low,89.4,-153.4,-28,0,16,1,0","Civilian1,Open,129,-137.6,-13,0,18,1,0","Civilian1,Leg Up,-15.5,-104.2,17.3,0,8,1,0","Civilian1,Leg Low,-18.5,-51.2,-14,0,10,1,0","Civilian1,Foot,-13.4,-5.7,-15.6,0,13,1,0","Civilian1,Leg Up,8,-108.2,3.7,0,12,1,0","Civilian1,Leg Low,-3,-52.7,-22.5,0,13,1,0","Civilian1,Foot,-2.9,-9.2,-19.5,0,15,1,0",,,"Civilian1,Lower_shirt,-7,-113.2,-11,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
PresetPeaceStandRun/3,"Civilian1,Head,24.5,-265.7,-24,0,7,1,0",,"Civilian1,Body,7.6,-187.2,-11.5,0,6,1,0","Civilian1,Arm Up,68.4,-194.4,-21,0,4,1,0","Civilian1,Arm Low,106.6,-146,-24,0,9,1,0","Civilian1,Open,144,-130.4,-15,0,16,1,0","Civilian1,Arm Up,42.8,-206.8,139,1,13,1,0","Civilian1,Back Arm Low,110.4,-201.4,17,0,16,1,0","Civilian1,Open,151.4,-217.6,24,0,18,1,0","Civilian1,Leg Up,-6.5,-105.2,38.3,0,8,1,0","Civilian1,Leg Low,5.5,-54.2,-8,0,10,1,0","Civilian1,Foot,11.6,-8.7,-17.6,0,13,1,0","Civilian1,Leg Up,-2,-108.2,-22.3,0,12,1,0","Civilian1,Leg Low,-33,-56.7,-41.5,0,13,1,0","Civilian1,Foot,-46.9,-17.2,-32.5,0,15,1,0",,,"Civilian1,Lower_shirt,-9,-113.2,-16,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
PresetPeaceStandRun/4,"Civilian1,Head,18.5,-266.7,-18,0,7,1,0",,"Civilian1,Body,7.6,-187.2,-9.5,0,6,1,0","Civilian1,Arm Up,68.4,-200.4,-8,0,4,1,0","Civilian1,Arm Low,112.6,-162,-15,0,9,1,0","Civilian1,Open,152,-152.4,-13,0,16,1,0","Civilian1,Arm Up,34.8,-198.8,113,1,13,1,0","Civilian1,Back Arm Low,89.4,-153.4,-28,0,16,1,0","Civilian1,Open,129,-137.6,-13,0,18,1,0","Civilian1,Leg Up,-15.5,-104.2,17.3,0,8,1,0","Civilian1,Leg Low,-18.5,-51.2,-14,0,10,1,0","Civilian1,Foot,-13.4,-5.7,-15.6,0,13,1,0","Civilian1,Leg Up,8,-108.2,3.7,0,12,1,0","Civilian1,Leg Low,-3,-52.7,-22.5,0,13,1,0","Civilian1,Foot,-2.9,-9.2,-19.5,0,15,1,0",,,"Civilian1,Lower_shirt,-7,-113.2,-11,0,7,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
