Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Tom,Head,9.4,-172.4,9,0,2,1,0","Tom,Neck,1.4,-147.8,-2,0,4,1,0","Tom,Body,-2.4,-107.8,-1.5,0,5,1,0","Tom,Arm Up,-24.6,-122.8,-84,0,2,1,0","Tom,Arm Low,-53.8,-117.6,-82,0,3,1,0","Tom,Fist,-78.8,-112.6,-120,0,11,1,0","Tom,Arm Up,14.2,-120,86,1,13,1,0","Tom,Arm Low,44.2,-114.6,80,0,13,1,0","Tom,Fist,69.4,-109,31,0,19,1,0","Tom,Leg Up,-18.6,-61.2,-20.7,0,4,1,0","Tom,Leg Low,-24,-25.2,1,0,10,1,0","Tom,Foot,-24.4,5.2,-25.6,0,13,1,0","Tom,Leg Up,5.6,-61.6,23.7,0,12,1,0","Tom,Leg Low,14.6,-32.4,8.5,0,13,1,0","Tom,Foot,25.4,-0.8,-10.5,0,15,1,0",,,,,"Tom,Tail,-39,-67.4,-23,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/0,"Tom,Head,-36.3,-187.2,7,0,2,1,0","Tom,Neck,-44.3,-162.6,-2,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-15.6,-122.8,76,0,3,1,0","Tom,Fist,12,-117.8,39,0,11,1,0","Tom,Arm Up,-31.5,-134.8,86,1,13,1,0","Tom,Arm Low,-6.5,-132.4,88,0,13,1,0","Tom,Fist,21.7,-129.8,43,0,19,1,0","Tom,Leg Up,-62.3,-76,-15.7,0,4,1,0","Tom,Leg Low,-69.7,-40,1,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-47.1,-76.4,14.7,0,12,1,0","Tom,Leg Low,-39.1,-39.2,11.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry Head,-204,-10.6,107,0,8,1,0",,"Tom,Tail,-83.7,-83.2,-26,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/1,"Tom,Head,-34.3,-185.2,2,0,2,1,0","Tom,Neck,-44.3,-162.6,-2,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-43.6,-130.2,56,0,2,1,0","Tom,Arm Low,-14.6,-118.8,80,0,3,1,0","Tom,Fist,14,-114.8,43,0,11,1,0","Tom,Arm Up,-31.5,-131.8,79,1,13,1,0","Tom,Arm Low,-3.5,-135.4,118,0,13,1,0","Tom,Fist,21.7,-146.8,81,0,19,1,0","Tom,Leg Up,-62.3,-76,-15.7,0,4,1,0","Tom,Leg Low,-69.7,-40,1,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-47.1,-76.4,14.7,0,12,1,0","Tom,Leg Low,-39.1,-39.2,11.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry Head,-197,-7.6,43,0,8,1,0",,"Tom,Tail,-83.7,-83.2,-26,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/2,"Tom,Head,-36.3,-187.2,7,0,2,1,0","Tom,Neck,-44.3,-162.6,-2,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-15.6,-122.8,76,0,3,1,0","Tom,Fist,12,-117.8,39,0,11,1,0","Tom,Arm Up,-31.5,-134.8,86,1,13,1,0","Tom,Arm Low,-3.5,-132.4,84,0,13,1,0","Tom,Fist,23.7,-123.8,31,0,19,1,0","Tom,Leg Up,-62.3,-76,-15.7,0,4,1,0","Tom,Leg Low,-69.7,-40,1,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-47.1,-76.4,14.7,0,12,1,0","Tom,Leg Low,-39.1,-39.2,11.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry,-196.4,-23.8,43,0,8,1,0",,"Tom,Tail,-83.7,-83.2,-26,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/3,"Tom,Head,-34.3,-185.2,2,0,2,1,0","Tom,Neck,-44.3,-162.6,-2,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-14.6,-128.8,100,0,3,1,0","Tom,Fist,17,-134.8,60,0,11,1,0","Tom,Arm Up,-31.5,-131.8,79,1,13,1,0","Tom,Arm Low,-3.5,-124.4,68,0,13,1,0","Tom,Fist,23.7,-113.8,20,0,19,1,0","Tom,Leg Up,-62.3,-76,-15.7,0,4,1,0","Tom,Leg Low,-69.7,-40,1,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-47.1,-76.4,14.7,0,12,1,0","Tom,Leg Low,-39.1,-39.2,11.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry,-192.4,-11.8,8,0,8,1,0",,"Tom,Tail,-83.7,-83.2,-26,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
PresetCityStandIdle/4,"Tom,Head,-55.3,-185.2,-4,1,2,1,0","Tom,Neck,-44.3,-162.6,-2,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-15.6,-131.8,105,0,3,1,0","Tom,Fist,11,-138.8,64,0,11,1,0","Tom,Arm Up,-31.5,-131.8,79,1,13,1,0","Tom,Arm Low,-3.5,-122.4,65,0,13,1,0","Tom,Fist,22.7,-107.8,17,0,19,1,0","Tom,Leg Up,-62.3,-76,-15.7,0,4,1,0","Tom,Leg Low,-69.7,-40,1,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-47.1,-76.4,14.7,0,12,1,0","Tom,Leg Low,-39.1,-39.2,11.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry,-192.4,-11.8,8,0,8,1,0",,"Tom,Tail,-83.7,-83.2,-26,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/5,"Tom,Head,-60.3,-181.2,9,1,2,1,0","Tom,Neck,-46.3,-164.6,4,0,4,1,0","Tom,Body,-48.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-16.6,-132.8,119,0,3,1,0","Tom,Fist,7,-147.8,86,0,11,1,0","Tom,Arm Up,-31.5,-131.8,79,1,13,1,0","Tom,Arm Low,-3.5,-118.4,60,0,13,1,0","Tom,Fist,23.7,-104.8,18,0,19,1,0","Tom,Leg Up,-62.3,-76,-12.7,0,4,1,0","Tom,Leg Low,-69.7,-40,-2,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-45.1,-76.4,18.7,0,12,1,0","Tom,Leg Low,-38.1,-39.2,6.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry,-192.4,-13.8,21,0,8,1,0",,"Tom,Tail,-85.7,-74.2,-22,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/6,"Tom,Head,-63.3,-176.2,18,1,2,1,0","Tom,Neck,-47.3,-164.6,9,0,4,1,0","Tom,Body,-47.1,-122.6,-1.5,0,5,1,0","Tom,Arm Up,-45.6,-133.2,67,0,2,1,0","Tom,Arm Low,-16.6,-134.8,128,0,3,1,0","Tom,Fist,4,-151.8,88,0,11,1,0","Tom,Arm Up,-31.5,-131.8,79,1,13,1,0","Tom,Arm Low,-3.5,-116.4,56,0,13,1,0","Tom,Fist,21.7,-99.8,13,0,19,1,0","Tom,Leg Up,-62.3,-76,-12.7,0,4,1,0","Tom,Leg Low,-69.7,-40,-2,0,10,1,0","Tom,Foot,-70.1,-9.6,-25.6,0,13,1,0","Tom,Leg Up,-45.1,-76.4,18.7,0,12,1,0","Tom,Leg Low,-38.1,-39.2,6.5,0,13,1,0","Tom,Foot,-32.3,-7.6,-17.5,0,15,1,0",,,"Tom,Jerry,-192.4,-13.8,24,0,8,1,0",,"Tom,Tail,-83.7,-72.2,-16,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
PresetCityStandIdle/7,"Tom,Head,-81.3,-183.2,12,1,2,1,0","Tom,Neck,-64.3,-159.6,1,1,4,1,0","Tom,Body,-63.1,-119.6,-1.5,1,5,1,0","Tom,Arm Up,-67.6,-129.2,-36,1,2,1,0","Tom,Arm Low,-91,-105.6,-47,1,3,1,0","Tom,Fist,-112.4,-88.8,-19,1,11,1,0","Tom,Arm Up,-81.5,-129.8,-68,0,13,1,0","Tom,Arm Low,-106.8,-112.8,-51,1,13,1,0","Tom,Fist,-129.8,-96.4,-7,1,19,1,0","Tom,Leg Up,-67.3,-72,-21.7,1,4,1,0","Tom,Leg Low,-71.7,-40,5,1,10,1,0","Tom,Foot,-75.1,-5.6,19,1,13,1,0","Tom,Leg Up,-54.1,-74.4,20.7,1,12,1,0","Tom,Leg Low,-43.1,-39.2,11.5,1,13,1,0","Tom,Foot,-42.3,-5.6,21.5,1,15,1,0",,,"Tom,Jerry,-192.4,-13.8,21,0,8,1,0",,"Tom,Tail,-29.8,-72.6,12,1,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Movement,Swirl,-79.2,-92.8,0,0,2,1,0",,,,,,,,play_time_mod_0.7,,
PresetCityStandIdle/8,"Tom,Head,-120.3,-174.2,24,1,2,1,0","Tom,Neck,-98.3,-155.6,15,1,4,1,0","Tom,Body,-87.1,-117.6,18.5,1,5,1,0","Tom,Arm Up,-95.6,-132.2,-25,1,2,1,0","Tom,Arm Low,-113,-101.6,-32,1,3,1,0","Tom,Fist,-130.4,-81.8,0,1,11,1,0","Tom,Arm Up,-105.5,-128.8,-66,0,13,1,0","Tom,Arm Low,-130.8,-107.8,-44,1,13,1,0","Tom,Fist,-150.8,-86.4,-5,1,19,1,0","Tom,Leg Up,-75.3,-75,-1.7,1,4,1,0","Tom,Leg Low,-70.7,-40,18,1,10,1,0","Tom,Foot,-63.1,-7.6,40,1,13,1,0","Tom,Leg Up,-78.1,-74.4,13.7,1,12,1,0","Tom,Leg Low,-73.1,-39.2,8.5,1,13,1,0","Tom,Foot,-74.3,-5.6,23.5,1,15,1,0",,,"Tom,Jerry,-192.4,-13.8,26,0,8,1,0",,"Tom,Tail,-43.8,-83.6,16,1,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
