Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CombatStopTalk/0,"Adaqua,Head,-2.5,-254.7,12,0,4,1,0","Adaqua,Neck,-0.8,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,2,0,13,1,0","Adaqua,Arm Up,-9.5,-189.2,56.6,0,8,1,0","Adaqua,Arm Low,30.6,-182.6,123,0,7,1,0","Adaqua,Twopoint,61.6,-211.6,140,0,10,1,0","Adaqua,Arm Up,33.6,-191.2,20,1,25,1,0","Adaqua,Arm Low,50.2,-146.8,17,1,25,1,0","Adaqua,Fist,62.8,-113.6,15,1,23,1,0","Adaqua,Leg Up,-25.5,-99.2,-12.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-21,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,22.2,-95.8,12.7,0,19,1,0","Adaqua,Leg Low,30,-46.7,6,0,18,1,0","Adaqua,Foot,45.1,-10.2,2,0,20,1,0","Adaqua Bow,Base,54.6,-128.5,-249,0,25,1,0","Adaqua Bow,Quiver,0.4,-134.4,96,0,21,1,0","Adaqua,Cloak,-44.4,-178,3,0,5,1,0","Nayedien,Cloak Wide,-11.8,-169.8,36,0,28,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatStopTalk/1,"Adaqua,Head,-2.5,-254.7,10,0,4,1,0","Adaqua,Neck,-0.8,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,2,0,13,1,0","Adaqua,Arm Up,-13.5,-184.2,41.6,0,8,1,0","Adaqua,Arm Low,23.6,-168.6,116,0,7,1,0","Adaqua,Twopoint,60.6,-190.6,126,0,10,1,0","Adaqua,Arm Up,36.6,-191.2,24,1,25,1,0","Adaqua,Arm Low,60.2,-150.8,23,1,25,1,0","Adaqua,Fist,72.8,-121.6,22,1,23,1,0","Adaqua,Leg Up,-25.5,-99.2,-12.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-21,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,22.2,-95.8,12.7,0,19,1,0","Adaqua,Leg Low,30,-46.7,6,0,18,1,0","Adaqua,Foot,45.1,-10.2,2,0,20,1,0","Adaqua Bow,Base,60.6,-134.5,-244,0,25,1,0","Adaqua Bow,Quiver,0.4,-134.4,94,0,21,1,0","Adaqua,Cloak,-42.4,-177,7,0,5,1,0","Nayedien,Cloak Wide,-11.8,-169.8,35,0,28,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatStopTalk/2,"Adaqua,Head,0.5,-254.7,10,0,4,1,0","Adaqua,Neck,2.2,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,-2,0,13,1,0","Adaqua,Arm Up,-27.5,-176.2,11.6,0,8,1,0","Adaqua,Arm Low,-3.4,-149.6,97,0,7,1,0","Adaqua,Twopoint,35.8,-158.9,104,0,10,1,0","Adaqua,Arm Up,39.6,-191.2,29,1,25,1,0","Adaqua,Arm Low,64.2,-150.8,31,1,25,1,0","Adaqua,Fist,81.8,-121.6,35,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-14.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-19,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,22.2,-95.8,15.7,0,19,1,0","Adaqua,Leg Low,30,-46.7,4,0,18,1,0","Adaqua,Foot,45.1,-10.2,0,0,20,1,0","Adaqua Bow,Base,70.6,-134.5,-239,0,24,1,0","Adaqua Bow,Quiver,1.4,-134.4,92,0,24,1,0","Adaqua,Cloak,-40.4,-177,6,0,5,1,0","Nayedien,Cloak Wide,-11.8,-168.8,35,0,28,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatStopTalk/3,"Adaqua,Head,0.5,-254.7,9,0,4,1,0","Adaqua,Neck,2.2,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,-2,0,13,1,0","Adaqua,Arm Up,-35.5,-176.2,-3.4,0,8,1,0","Adaqua,Arm Low,-22.4,-142.6,51,0,7,1,0","Adaqua,Twopoint,10.6,-120.8,58,0,10,1,0","Adaqua,Arm Up,41.6,-191.2,36,1,24,1,0","Adaqua,Arm Low,81.2,-158.8,55,1,23,1,0","Adaqua,Fist,109.2,-139.4,50,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-14.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-19,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,25.2,-95.8,20.7,0,19,1,0","Adaqua,Leg Low,37,-46.7,7,0,18,1,0","Adaqua,Foot,52.1,-10.2,0,0,20,1,0","Adaqua Bow,Base,101.8,-152.6,-215,0,22,1,0","Adaqua Bow,Quiver,1.4,-134.4,95,0,24,1,0","Adaqua,Cloak,-42.4,-178,2,0,5,1,0","Nayedien,Cloak Wide,-15.8,-171.8,30,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatStopTalk/4,"Adaqua,Head,2.5,-251.7,9,0,4,1,0","Adaqua,Neck,2.2,-232.8,-3,0,12,1,0","Adaqua,Body,-2.2,-168.4,-2,0,13,1,0","Adaqua,Arm Up,-37.5,-179.2,-9.4,0,8,1,0","Adaqua,Arm Low,-39.4,-140.6,15,0,7,1,0","Adaqua,Open,-25.2,-107.4,22,0,10,1,0","Adaqua,Arm Up,43.6,-195.2,46,1,24,1,0","Adaqua,Arm Low,83.2,-168.8,63,1,23,1,0","Adaqua,Fist,112.2,-153.4,61,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-11.2,0,15,1,0","Adaqua,Leg Low,-45.5,-46.2,-24,0,14,1,0","Adaqua,Foot,-46.4,-9.7,-5.1,0,18,1,0","Adaqua,Leg Up,28.2,-95.8,30.7,0,19,1,0","Adaqua,Leg Low,39,-46.7,3,0,18,1,0","Adaqua,Foot,52.1,-10.2,1,0,20,1,0","Adaqua Bow,Base,104.8,-165.6,-208,0,22,1,0","Adaqua Bow,Quiver,1.4,-131.4,93,0,24,1,0","Adaqua,Cloak,-46.4,-175,1,0,5,1,0","Nayedien,Cloak Wide,-17.8,-177.8,31,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatStopTalk/5,"Adaqua,Head,6.5,-251.7,2,0,4,1,0","Adaqua,Neck,4.2,-232.8,-7,0,12,1,0","Adaqua,Body,-2.2,-168.4,-3,0,13,1,0","Adaqua,Arm Up,-42.5,-187.2,-28.4,0,8,1,0","Adaqua,Arm Low,-61.4,-143.6,-2,0,7,1,0","Adaqua,Open,-58,-108.8,7,0,10,1,0","Adaqua,Arm Up,43.6,-198.2,53,1,24,1,0","Adaqua,Arm Low,86.2,-176.8,69,1,23,1,0","Adaqua,Fist,115.2,-164.4,67,1,21,1,0","Adaqua,Leg Up,-27.5,-99.2,-20.2,0,15,1,0","Adaqua,Leg Low,-46.5,-48.2,-20,0,14,1,0","Adaqua,Foot,-46.4,-9.7,-5.1,0,18,1,0","Adaqua,Leg Up,25.2,-95.8,34.7,0,19,1,0","Adaqua,Leg Low,39,-46.7,3,0,18,1,0","Adaqua,Foot,52.1,-10.2,1,0,20,1,0","Adaqua Bow,Base,104.8,-174.6,-203,0,22,1,0","Adaqua Bow,Quiver,1.4,-131.4,93,0,24,1,0","Adaqua,Cloak,-51.4,-180,-11,0,5,1,0","Nayedien,Cloak Wide,-23.8,-175.8,30,0,25,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CombatTalk/0,"Adaqua,Head,6.5,-251.7,2,0,4,1,0","Adaqua,Neck,4.2,-232.8,-7,0,12,1,0","Adaqua,Body,-2.2,-168.4,-3,0,13,1,0","Adaqua,Arm Up,-42.5,-187.2,-28.4,0,8,1,0","Adaqua,Arm Low,-61.4,-143.6,-2,0,7,1,0","Adaqua,Open,-58,-108.8,7,0,10,1,0","Adaqua,Arm Up,43.6,-198.2,53,1,24,1,0","Adaqua,Arm Low,86.2,-176.8,69,1,23,1,0","Adaqua,Fist,115.2,-164.4,67,1,21,1,0","Adaqua,Leg Up,-27.5,-99.2,-20.2,0,15,1,0","Adaqua,Leg Low,-46.5,-48.2,-20,0,14,1,0","Adaqua,Foot,-46.4,-9.7,-5.1,0,18,1,0","Adaqua,Leg Up,25.2,-95.8,34.7,0,19,1,0","Adaqua,Leg Low,39,-46.7,3,0,18,1,0","Adaqua,Foot,52.1,-10.2,1,0,20,1,0","Adaqua Bow,Base,104.8,-174.6,-203,0,22,1,0","Adaqua Bow,Quiver,1.4,-131.4,93,0,24,1,0","Adaqua,Cloak,-51.4,-180,-11,0,5,1,0","Nayedien,Cloak Wide,-23.8,-175.8,30,0,25,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.9,
CombatTalk/1,"Adaqua,Head,2.5,-251.7,9,0,4,1,0","Adaqua,Neck,2.2,-232.8,-3,0,12,1,0","Adaqua,Body,-2.2,-168.4,-2,0,13,1,0","Adaqua,Arm Up,-37.5,-179.2,-9.4,0,8,1,0","Adaqua,Arm Low,-39.4,-140.6,15,0,7,1,0","Adaqua,Open,-25.2,-107.4,22,0,10,1,0","Adaqua,Arm Up,43.6,-195.2,46,1,24,1,0","Adaqua,Arm Low,83.2,-168.8,63,1,23,1,0","Adaqua,Fist,112.2,-153.4,61,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-11.2,0,15,1,0","Adaqua,Leg Low,-45.5,-46.2,-24,0,14,1,0","Adaqua,Foot,-46.4,-9.7,-5.1,0,18,1,0","Adaqua,Leg Up,28.2,-95.8,30.7,0,19,1,0","Adaqua,Leg Low,39,-46.7,3,0,18,1,0","Adaqua,Foot,52.1,-10.2,1,0,20,1,0","Adaqua Bow,Base,104.8,-165.6,-208,0,22,1,0","Adaqua Bow,Quiver,1.4,-131.4,93,0,24,1,0","Adaqua,Cloak,-46.4,-175,1,0,5,1,0","Nayedien,Cloak Wide,-17.8,-177.8,31,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.9,
CombatTalk/2,"Adaqua,Head,0.5,-254.7,9,0,4,1,0","Adaqua,Neck,2.2,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,-2,0,13,1,0","Adaqua,Arm Up,-35.5,-176.2,-3.4,0,8,1,0","Adaqua,Arm Low,-22.4,-142.6,51,0,7,1,0","Adaqua,Twopoint,10.6,-120.8,58,0,10,1,0","Adaqua,Arm Up,41.6,-191.2,36,1,24,1,0","Adaqua,Arm Low,81.2,-158.8,55,1,23,1,0","Adaqua,Fist,109.2,-139.4,50,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-14.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-19,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,25.2,-95.8,20.7,0,19,1,0","Adaqua,Leg Low,37,-46.7,7,0,18,1,0","Adaqua,Foot,52.1,-10.2,0,0,20,1,0","Adaqua Bow,Base,101.8,-152.6,-215,0,22,1,0","Adaqua Bow,Quiver,1.4,-134.4,95,0,24,1,0","Adaqua,Cloak,-42.4,-178,2,0,5,1,0","Nayedien,Cloak Wide,-15.8,-171.8,30,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.9,
CombatTalk/3,"Adaqua,Head,0.5,-254.7,10,0,4,1,0","Adaqua,Neck,2.2,-234.8,-3,0,12,1,0","Adaqua,Body,-2.2,-172.4,-2,0,13,1,0","Adaqua,Arm Up,-27.5,-176.2,11.6,0,8,1,0","Adaqua,Arm Low,-3.4,-149.6,97,0,7,1,0","Adaqua,Twopoint,35.8,-158.9,104,0,10,1,0","Adaqua,Arm Up,39.6,-191.2,29,1,25,1,0","Adaqua,Arm Low,64.2,-150.8,31,1,25,1,0","Adaqua,Fist,81.8,-121.6,35,1,21,1,0","Adaqua,Leg Up,-25.5,-99.2,-14.2,0,15,1,0","Adaqua,Leg Low,-43.5,-46.2,-19,0,14,1,0","Adaqua,Foot,-41.4,-9.7,-2.1,0,18,1,0","Adaqua,Leg Up,22.2,-95.8,15.7,0,19,1,0","Adaqua,Leg Low,30,-46.7,4,0,18,1,0","Adaqua,Foot,45.1,-10.2,0,0,20,1,0","Adaqua Bow,Base,70.6,-134.5,-239,0,24,1,0","Adaqua Bow,Quiver,1.4,-134.4,92,0,24,1,0","Adaqua,Cloak,-40.4,-177,6,0,5,1,0","Nayedien,Cloak Wide,-11.8,-168.8,35,0,28,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.9,
