Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Animal1,Head,75.2,-114.6,0,0,2,1,0","Animal1,Neck,39.2,-109.2,-5,0,5,1,0","Animal1,Body,-2.4,-63.8,-18.5,0,5,1,0",,,,,,,,,,,,,,,"Animal1,Antenna,76.8,-141.6,-58,0,7,1,0","Animal1,Antenna,58.8,-147.4,-2,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/0,"Animal1,Head,54.2,-146.6,12,0,2,1,0","Animal1,Neck,27.2,-129.2,21,0,5,1,0","Animal1,Body,-2.4,-70.8,-8.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,78.2,-147.8,-207,0,21,1,0","Round Shield,Base,30.4,-83.6,31,0,0,1,0","Animal1,Antenna,56.8,-172.6,-43,0,7,1,0","Animal1,Antenna,37.8,-171.4,8,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/1,"Animal1,Head,44.2,-147.6,19,0,2,1,0","Animal1,Neck,17.2,-130.2,28,0,5,1,0","Animal1,Body,-2.4,-71.8,-1.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,72.2,-150.8,-200,0,21,1,0","Round Shield,Base,24.4,-86.6,38,0,0,1,0","Animal1,Antenna,38.8,-175.6,-36,0,7,1,0","Animal1,Antenna,19.8,-174.4,15,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/2,"Animal1,Head,33.2,-153.6,16,0,2,1,0","Animal1,Neck,6.2,-136.2,25,0,5,1,0","Animal1,Body,-2.4,-74.8,13.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,61.2,-157.8,-203,0,21,1,0","Round Shield,Base,13.4,-93.6,35,0,0,1,0","Animal1,Antenna,35.8,-179.6,-39,0,7,1,0","Animal1,Antenna,16.8,-178.4,12,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatAirHeavyDamaged/3,"Animal1,Head,18.2,-164.6,31,0,2,1,0","Animal1,Neck,-3.8,-140.2,40,0,5,1,0","Animal1,Body,-2.4,-76.8,22.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,47.2,-163.8,-188,0,21,1,0","Round Shield,Base,2.4,-104.6,50,0,0,1,0","Animal1,Antenna,6.8,-191.6,-13,0,7,1,0","Animal1,Antenna,-12.2,-185.4,38,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/4,"Animal1,Head,33.2,-155.6,16,0,2,1,0","Animal1,Neck,6.2,-138.2,25,0,5,1,0","Animal1,Body,-2.4,-76.8,13.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,57.2,-156.8,-203,0,21,1,0","Round Shield,Base,9.4,-92.6,35,0,0,1,0","Animal1,Antenna,35.8,-181.6,-39,0,7,1,0","Animal1,Antenna,16.8,-180.4,12,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/5,"Animal1,Head,54.2,-151.6,12,0,2,1,0","Animal1,Neck,27.2,-134.2,21,0,5,1,0","Animal1,Body,-2.4,-75.8,-8.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,78.2,-152.8,-207,0,21,1,0","Round Shield,Base,30.4,-88.6,31,0,0,1,0","Animal1,Antenna,56.8,-177.6,-43,0,7,1,0","Animal1,Antenna,37.8,-176.4,8,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirKnockdown/0,"Animal1,Head,44.2,-146.6,19,0,2,1,0","Animal1,Neck,17.2,-129.2,28,0,5,1,0","Animal1,Body,-2.4,-70.8,-1.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,72.2,-149.8,-200,0,21,1,0","Round Shield,Base,24.4,-85.6,38,0,0,1,0","Animal1,Antenna,38.8,-174.6,-36,0,7,1,0","Animal1,Antenna,19.8,-173.4,15,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
PresetCombatAirKnockdown/1,"Animal1,Head,20.2,-157.6,27,0,2,1,0","Animal1,Neck,-1.8,-135.2,36,0,5,1,0","Animal1,Body,-14.4,-76.8,6.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,43.2,-164.8,-177,0,21,1,0","Round Shield,Base,12.4,-94.6,55,0,0,1,0","Animal1,Antenna,4.8,-177.6,-19,0,7,1,0","Animal1,Antenna,-14.2,-176.4,32,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
PresetCombatAirKnockdown/2,"Animal1,Head,14.2,-159.6,30,0,2,1,0","Animal1,Neck,-7.8,-137.2,39,0,5,1,0","Animal1,Body,-14.4,-76.8,9.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,37.2,-166.8,-174,0,21,1,0","Round Shield,Base,6.4,-96.6,58,0,0,1,0","Animal1,Antenna,-1.2,-179.6,-16,0,7,1,0","Animal1,Antenna,-20.2,-178.4,35,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
