Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Animal_snail_sword,Head,75.2,-114.6,0,0,2,1,0","Animal_snail_sword,Neck,39.2,-109.2,-5,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-18.5,0,5,1,0",,,,,,,,,,,,,,,"Animal_snail_sword,Antenna,76.8,-141.6,-58,0,7,1,0","Animal_snail_sword,Antenna,58.8,-147.4,-2,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/0,"Animal_snail_sword,Head,71.2,-126.6,-3,0,2,1,0","Animal_snail_sword,Neck,39.2,-114.2,6,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-23.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,95.2,-129.8,-222,0,21,1,0","Round Shield,Base,47.4,-65.6,16,0,0,1,0","Animal_snail_sword,Antenna,73.8,-154.6,-58,0,7,1,0","Animal_snail_sword,Antenna,54.8,-153.4,-7,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/1,"Animal_snail_sword,Head,71.2,-115.6,-7,0,2,1,0","Animal_snail_sword,Neck,39.2,-109.2,2,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-30.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,95.2,-121.8,-226,0,21,1,0","Round Shield,Base,47.4,-57.6,16,0,0,1,0","Animal_snail_sword,Antenna,76.8,-149.6,-64,0,7,1,0","Animal_snail_sword,Antenna,57.8,-148.4,-13,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatAirDie/2,"Animal_snail_sword,Head,74.2,-106.6,-14,0,2,1,0","Animal_snail_sword,Neck,42.2,-100.2,-5,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-35.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-112.8,-233,0,21,1,0","Round Shield,Base,50.4,-48.6,9,0,0,1,0","Animal_snail_sword,Antenna,79.8,-140.6,-71,0,7,1,0","Animal_snail_sword,Antenna,60.8,-139.4,-20,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/3,"Animal_snail_sword,Head,74.2,-80.6,-14,0,2,1,0","Animal_snail_sword,Neck,42.2,-74.2,-5,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-64.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-70.8,-256,0,21,1,0","Round Shield,Base,115.6,-49.2,-45,0,0,1,0","Animal_snail_sword,Antenna,79.8,-110.6,-71,0,7,1,0","Animal_snail_sword,Antenna,60.8,-113.4,-20,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/4,"Animal_snail_sword,Head,78.2,-44.6,-27,0,2,1,0","Animal_snail_sword,Neck,46.2,-53.2,-18,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-92.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-41.8,-284,0,21,1,0","Round Shield,Base,141.6,-51.2,-101,0,0,1,0","Animal_snail_sword,Antenna,83.8,-74.6,-84,0,7,1,0","Animal_snail_sword,Antenna,64.8,-77.4,-33,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/5,"Animal_snail_sword,Head,64.2,-39.6,-47,0,2,1,0","Animal_snail_sword,Neck,31.2,-64.2,-56,0,5,1,0","Animal_snail_sword,Body,-2.4,-63.8,-92.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-22.8,-265,0,21,1,0","Round Shield,Base,173.6,-51.2,-222,0,0,1,0","Animal_snail_sword,Antenna,86.8,-62.6,-84,0,7,1,0","Animal_snail_sword,Antenna,67.8,-65.4,-33,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/6,"Animal_snail_sword,Head,53.2,-41.6,-47,0,6,1,0",,"Animal_snail_sword,Body,-2.4,-63.8,-92.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-22.8,-283,0,21,1,0","Round Shield,Base,206.6,-51.2,-274,0,0,1,0","Animal_snail_sword,Antenna,77.8,-58.6,-97,0,11,1,0","Animal_snail_sword,Antenna,65.8,-64.4,-65,0,13,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/7,,,"Animal_snail_sword,Body,-2.4,-63.8,-92.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,98.2,-18.8,-277,0,21,1,0","Round Shield,Base,240.6,-52,-325,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirHeavyDamaged/0,"Animal_snail_sword,Head,54.2,-146.6,12,0,2,1,0","Animal_snail_sword,Neck,27.2,-129.2,21,0,5,1,0","Animal_snail_sword,Body,-2.4,-70.8,-8.5,0,5,1,0",,,,,,,,,,,,,"Snail Sword,Base,78.2,-147.8,-207,0,21,1,0","Round Shield,Base,30.4,-83.6,31,0,0,1,0","Animal_snail_sword,Antenna,56.8,-172.6,-43,0,7,1,0","Animal_snail_sword,Antenna,37.8,-171.4,8,0,9,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
