Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Barman_two,Head,-3.5,-233.7,0,0,4,1,0","Barman_two,Neck,1.6,-210.4,15,0,8,1,0","Barman_two,Body,-1.4,-150.2,-0.5,0,6,1,0","Barman_two,Arm Up,-46.8,-177.6,-69,1,4,1,0","Barman_two,Arm Low,-90,-152.8,11,1,3,1,0","Barman_two,Open,-130.2,-142.2,19,1,14,1,0","Barman_two,Arm Up,37.4,-170,45,0,13,1,0","Barman_two,Arm Low,76.4,-141.6,2,0,10,1,0","Barman_two,Open,121.2,-139.4,-13,0,16,1,0","Barman_two,Leg Up,-21.5,-95.2,-10.7,0,8,1,0","Barman_two,Leg Low,-34.5,-42.2,-15,0,10,1,0","Barman_two,Foot,-29.4,-1.7,-0.6,0,13,1,0","Barman_two,Leg Up,18,-94.2,10.7,0,12,1,0","Barman_two,Leg Low,29,-45.7,11.5,0,13,1,0","Barman_two,Foot,49.1,-7.2,7.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Barman_two,Head,-3.5,-216.7,1,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-134.2,-2.5,0,6,1,0","Barman_two,Arm Up,-34.2,-154.2,-10,0,4,1,0","Barman_two,Arm Low,-28.4,-112.6,-38,0,4,1,0","Barman_two,Open,0.4,-86.2,-58,0,5,1,0","Barman_two,Arm Up,27.4,-152.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-108.6,-58,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Barman_two,Head,-3.5,-216.7,-1,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-134.2,-2.5,0,6,1,0","Barman_two,Arm Up,-32.2,-153.2,-9,0,4,1,0","Barman_two,Arm Low,-26.4,-112.6,-36,0,4,1,0","Barman_two,Open,4.4,-86.2,-56,0,5,1,0","Barman_two,Arm Up,27.4,-152.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-108.6,-58,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"Barman_two,Head,-3.5,-214.7,-3,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-132.2,-2.5,0,6,1,0","Barman_two,Arm Up,-32.2,-151.2,-9,0,4,1,0","Barman_two,Arm Low,-26.4,-110.6,-34,0,4,1,0","Barman_two,Open,4.4,-85.2,-56,0,5,1,0","Barman_two,Arm Up,27.4,-150.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-106.6,-59,0,10,1,0","Barman_two,Open,50.8,-77.2,110,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"Barman_two,Head,-3.5,-212.7,-5,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-132.2,-2.5,0,6,1,0","Barman_two,Arm Up,-32.2,-151.2,-9,0,4,1,0","Barman_two,Arm Low,-26.4,-110.6,-32,0,4,1,0","Barman_two,Open,4.4,-87.2,-54,0,5,1,0","Barman_two,Arm Up,27.4,-150.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-106.6,-59,0,10,1,0","Barman_two,Open,50.8,-77.2,110,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"Barman_two,Head,-3.5,-214.7,-3,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-132.2,-2.5,0,6,1,0","Barman_two,Arm Up,-32.2,-151.2,-9,0,4,1,0","Barman_two,Arm Low,-26.4,-110.6,-34,0,4,1,0","Barman_two,Open,4.4,-85.2,-56,0,5,1,0","Barman_two,Arm Up,27.4,-150.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-106.6,-59,0,10,1,0","Barman_two,Open,50.8,-77.2,110,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"Barman_two,Head,-3.5,-216.7,-1,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-134.2,-2.5,0,6,1,0","Barman_two,Arm Up,-32.2,-153.2,-9,0,4,1,0","Barman_two,Arm Low,-26.4,-112.6,-36,0,4,1,0","Barman_two,Open,4.4,-86.2,-56,0,5,1,0","Barman_two,Arm Up,27.4,-152.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-108.6,-58,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/0,"Barman_two,Head,-3.5,-216.7,-4,0,4,1,0","Barman_two,Neck,1.6,-193.4,15,0,8,1,0","Barman_two,Body,-3.4,-134.2,-2.5,0,6,1,0","Barman_two,Arm Up,-34.2,-155.2,-14,0,4,1,0","Barman_two,Arm Low,-19.4,-117.6,-23,0,4,1,0","Barman_two,Open,14.4,-100.2,-50,0,5,1,0","Barman_two,Arm Up,27.4,-152.2,15,1,13,1,0","Barman_two,Arm Low,42.4,-108.6,-58,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.6,
PresetCityStandIdle/1,"Barman_two,Head,-7.5,-216.7,2,0,4,1,0","Barman_two,Neck,-1.4,-193.4,6,0,8,1,0","Barman_two,Body,-6.4,-134.2,1.5,0,6,1,0","Barman_two,Arm Up,-38.2,-155.2,-14,0,4,1,0","Barman_two,Arm Low,-21.4,-123.6,-11,0,4,1,0","Barman_two,Open,16.4,-112.2,-33,0,5,1,0","Barman_two,Arm Up,24.4,-153.2,18,1,13,1,0","Barman_two,Arm Low,41.4,-108.6,-57,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.6,
PresetCityStandIdle/2,"Barman_two,Head,-9.5,-218.7,7,0,4,1,0","Barman_two,Neck,-1.4,-193.4,1,0,8,1,0","Barman_two,Body,-7.4,-134.2,1.5,0,6,1,0","Barman_two,Arm Up,-34.2,-153.2,-9,0,4,1,0","Barman_two,Arm Low,-16.4,-124.6,2,0,4,1,0","Barman_two,Open,23.4,-122.2,-16,0,5,1,0","Barman_two,Arm Up,22.4,-153.2,20,1,13,1,0","Barman_two,Arm Low,41.4,-108.6,-57,0,10,1,0","Barman_two,Open,50.8,-77.2,113,1,10,1,0","Barman_two,Leg Up,-9.5,-79.2,32,0,8,1,0","Barman_two,Leg Low,-0.8,-43.6,-10,0,10,1,0","Barman_two,Foot,0.6,-3.8,-0.6,0,13,1,0","Barman_two,Leg Up,25,-84.2,69,0,12,1,0","Barman_two,Leg Low,49,-49.6,1.5,0,13,1,0","Barman_two,Foot,62.1,-6.2,4.5,0,15,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.6,
