Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Furlest,Head,4.5,-284.7,-1,0,4,1,0","Furlest,Neck,2,-264,-2,0,18,1,0","Furlest,Body,-1.4,-179.2,0.5,0,15,1,0","Furlest,Arm Up,-61.5,-225.2,-60,0,17,1,0","Furlest,Arm Low,-106.6,-204.4,-56,0,18,1,0","Furlest,Fist,-138.2,-189.6,-64,0,20,1,0","Furlest,Arm Up,46,-226.7,64,1,22,1,0","Furlest,Arm Low,91.6,-209,59,1,28,1,0","Furlest,Fist,122.4,-194.8,62,1,33,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Furlest,Head,4.5,-287.7,-1,0,4,1,0","Furlest,Neck,2,-265,-2,0,18,1,0","Furlest,Body,-1.4,-180.2,0.5,0,15,1,0","Furlest,Arm Up,-48.5,-220.2,-23,0,17,1,0","Furlest,Arm Low,-64.4,-172.8,-3,0,19,1,0","Furlest,Fist,-66.6,-136,4,0,21,1,0","Furlest,Arm Up,43,-219.7,30,1,22,1,0","Furlest,Arm Low,60.6,-183,10,1,29,1,0","Furlest,Fist,70.8,-141.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Furlest,Head,4.5,-285.7,-3,0,4,1,0","Furlest,Neck,2,-263,-4,0,18,1,0","Furlest,Body,-1.4,-178.2,0.5,0,15,1,0","Furlest,Arm Up,-48.5,-218.2,-23,0,17,1,0","Furlest,Arm Low,-64.4,-170.8,-3,0,19,1,0","Furlest,Fist,-66.6,-134,4,0,21,1,0","Furlest,Arm Up,43,-217.7,30,1,22,1,0","Furlest,Arm Low,60.6,-181,10,1,29,1,0","Furlest,Fist,70.8,-139.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"Furlest,Head,10.5,-283.7,-5,0,4,1,0","Furlest,Neck,8,-261,-6,0,18,1,0","Furlest,Body,0.6,-176.2,-1,0,15,1,0","Furlest,Arm Up,-47.5,-215.2,-23,0,17,1,0","Furlest,Arm Low,-63.4,-167.8,-3,0,19,1,0","Furlest,Fist,-65.6,-131,4,0,21,1,0","Furlest,Arm Up,44,-214.7,30,1,22,1,0","Furlest,Arm Low,61.6,-178,10,1,29,1,0","Furlest,Fist,71.8,-136.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"Furlest,Head,12.5,-283.7,-7,0,4,1,0","Furlest,Neck,6,-261,-6,0,18,1,0","Furlest,Body,2.6,-176.2,-1.5,0,15,1,0","Furlest,Arm Up,-45.5,-215.2,-23,0,17,1,0","Furlest,Arm Low,-61.4,-167.8,-3,0,19,1,0","Furlest,Fist,-63.6,-131,4,0,21,1,0","Furlest,Arm Up,44,-212.7,30,1,22,1,0","Furlest,Arm Low,61.6,-176,10,1,29,1,0","Furlest,Fist,71.8,-134.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"Furlest,Head,10.5,-283.7,-5,0,4,1,0","Furlest,Neck,8,-261,-6,0,18,1,0","Furlest,Body,0.6,-176.2,-1,0,15,1,0","Furlest,Arm Up,-47.5,-215.2,-23,0,17,1,0","Furlest,Arm Low,-63.4,-167.8,-3,0,19,1,0","Furlest,Fist,-65.6,-131,4,0,21,1,0","Furlest,Arm Up,44,-214.7,30,1,22,1,0","Furlest,Arm Low,61.6,-178,10,1,29,1,0","Furlest,Fist,71.8,-136.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"Furlest,Head,4.5,-285.7,-3,0,4,1,0","Furlest,Neck,2,-263,-4,0,18,1,0","Furlest,Body,-1.4,-178.2,0.5,0,15,1,0","Furlest,Arm Up,-48.5,-218.2,-23,0,17,1,0","Furlest,Arm Low,-64.4,-170.8,-3,0,19,1,0","Furlest,Fist,-66.6,-134,4,0,21,1,0","Furlest,Arm Up,43,-217.7,30,1,22,1,0","Furlest,Arm Low,60.6,-181,10,1,29,1,0","Furlest,Fist,70.8,-139.8,7,1,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/0,"Furlest,Head,4.5,-287.7,-1,0,4,1,0","Furlest,Neck,2,-265,-2,0,18,1,0","Furlest,Body,-1.4,-180.2,0.5,0,15,1,0","Furlest,Arm Up,-48.5,-220.2,-26,0,17,1,0","Furlest,Arm Low,-67.4,-172.8,-6,0,19,1,0","Furlest,Fist,-71.6,-136,4,0,21,1,0","Furlest,Arm Up,46,-222.7,52,1,22,1,0","Furlest,Arm Low,90.6,-201,72,1,29,1,0","Furlest,Open,130.4,-199.8,94,0,34,1,0","Furlest,Leg Up,20.8,-64.8,-0.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/1,"Furlest,Head,2.5,-285.7,1,0,4,1,0","Furlest,Neck,2,-265,-2,0,18,1,0","Furlest,Body,-1.4,-180.2,1.5,0,15,1,0","Furlest,Arm Up,-50.5,-217.2,-29,0,17,1,0","Furlest,Arm Low,-69.4,-170.8,-3,0,19,1,0","Furlest,Fist,-72.6,-134,8,0,21,1,0","Furlest,Arm Up,46,-222.7,50,1,22,1,0","Furlest,Arm Low,86.6,-207,86,1,29,1,0","Furlest,Open,130.4,-214.8,100,0,34,1,0","Furlest,Leg Up,20.8,-64.8,-2.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/2,"Furlest,Head,2.5,-285.7,4,0,4,1,0","Furlest,Neck,2,-265,-2,0,18,1,0","Furlest,Body,-1.4,-180.2,1.5,0,15,1,0","Furlest,Arm Up,-50.5,-217.2,-26,0,17,1,0","Furlest,Arm Low,-69.4,-170.8,1,0,19,1,0","Furlest,Fist,-69.6,-134,12,0,21,1,0","Furlest,Arm Up,46,-224.7,54,1,22,1,0","Furlest,Arm Low,90.6,-215,92,1,29,1,0","Furlest,Open,132.4,-223.8,99,0,34,1,0","Furlest,Leg Up,20.8,-64.8,-2.2,0,24,1,0",,"Furlest,Foot,-14.4,-11.7,3,0,25,1,0",,,"Furlest,Foot,57.1,-11.2,3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,play_time_mod_1.5,
