Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Hermanos,Head,-1.5,-243.7,0,0,4,1,0","Hermanos,Neck,2,-222.2,-1,0,18,1,0","Hermanos,Body,-1.4,-172.2,-1.5,0,15,1,0","Hermanos,Arm Up,-60.5,-197.2,-79,0,13,1,0","Hermanos,Arm Low,-108.6,-193.4,-82,0,12,1,0","Hermanos,Fist,-152.2,-189.6,-97,0,14,1,0","Hermanos,Arm Up,47,-196.7,77,1,22,1,0","Hermanos,Arm Low,85.6,-196,88,1,22,1,0","Hermanos,Fist,119.4,-190.8,81,1,27,1,0","Hermanos,Leg Up,-11.5,-71.2,-7.2,0,7,1,0","Hermanos,Leg Low,-31.5,-41.2,-9,0,23,1,0","Hermanos,Foot,-24.4,-7.7,0,0,22,1,0","Hermanos,Leg Up,15,-67.4,7,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Hermanos,Head,-1.5,-227.7,0,0,4,1,0","Hermanos,Neck,2,-206.2,-1,0,18,1,0","Hermanos,Body,0.6,-152.2,-1,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,-8.4,-129.4,47,0,12,1,0","Hermanos,Open,31.6,-101.8,64,0,6,1,0","Hermanos,Arm Up,29,-172.7,18,1,22,1,0","Hermanos,Arm Low,47,-129.2,14,1,22,1,0","Hermanos,Open,58.4,-82,5,1,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,18,-51.4,5,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Idle/1,"Hermanos,Head,0.5,-227.7,-2,0,4,1,0","Hermanos,Neck,6,-204.2,-5,0,18,1,0","Hermanos,Body,0.6,-152.2,-3.5,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,-8.4,-129.4,47,0,12,1,0","Hermanos,Open,31.6,-101.8,66,0,6,1,0","Hermanos,Arm Up,29,-172.7,18,1,22,1,0","Hermanos,Arm Low,47,-129.2,12,1,22,1,0","Hermanos,Open,58.4,-82,2,1,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,18,-51.4,5,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Idle/2,"Hermanos,Head,2.5,-227.7,-3,0,4,1,0","Hermanos,Neck,6,-204.2,-7,0,18,1,0","Hermanos,Body,0.6,-152.2,-4.5,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,-8.4,-129.4,47,0,12,1,0","Hermanos,Open,31.6,-101.8,68,0,6,1,0","Hermanos,Arm Up,29,-172.7,18,1,22,1,0","Hermanos,Arm Low,47,-127.2,10,1,22,1,0","Hermanos,Open,57.4,-82,1,1,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,18,-51.4,5,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Idle/3,"Hermanos,Head,0.5,-227.7,-2,0,4,1,0","Hermanos,Neck,6,-204.2,-5,0,18,1,0","Hermanos,Body,0.6,-152.2,-3.5,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,-8.4,-129.4,47,0,12,1,0","Hermanos,Open,31.6,-101.8,66,0,6,1,0","Hermanos,Arm Up,29,-172.7,18,1,22,1,0","Hermanos,Arm Low,47,-129.2,12,1,22,1,0","Hermanos,Open,58.4,-82,2,1,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,18,-51.4,5,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,
Start/0,"Hermanos,Head,-1.5,-227.7,0,0,4,1,0","Hermanos,Neck,2,-206.2,-1,0,18,1,0","Hermanos,Body,0.6,-152.2,-1,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,3.6,-129.4,70,0,12,1,0","Hermanos,Open,47.6,-111.8,73,0,6,1,0","Hermanos,Arm Up,34,-167.7,26,1,22,1,0","Hermanos,Arm Low,60,-122.2,20,1,22,1,0","Hermanos,Open,81.4,-78,20,0,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,21,-50.4,8,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Start/1,"Hermanos,Head,-5.5,-227.7,0,0,4,1,0","Hermanos,Neck,0,-206.2,3,0,18,1,0","Hermanos,Body,0.6,-152.2,1,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,14.6,-133.4,85,0,12,1,0","Hermanos,Bare,68.8,-126.8,81,0,14,1,0","Hermanos,Arm Up,32,-172.7,37,1,22,1,0","Hermanos,Arm Low,68,-136.2,43,1,22,1,0","Hermanos,Bare,112,-105.4,46,0,27,1,0","Hermanos,Leg Up,-14.5,-51.2,-9.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,21,-51.4,8,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Start/2,"Hermanos,Head,-4.5,-227.7,-4,0,4,1,0","Hermanos,Neck,0,-206.2,3,0,18,1,0","Hermanos,Body,0.6,-152.2,1,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,17.6,-146.4,100,0,12,1,0","Hermanos,Start,61.8,-162.8,-47,0,14,1,0","Hermanos,Arm Up,32,-172.7,37,1,22,1,0","Hermanos,Arm Low,74,-136.2,49,1,22,1,0","Hermanos,Bare,121,-109.4,52,0,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-5.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,22,-51.4,10,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Start/3,"Hermanos,Head,-5.5,-227.7,-1,0,4,1,0","Hermanos,Neck,0,-206.2,3,0,18,1,0","Hermanos,Body,0.6,-152.2,1,0,15,1,0","Hermanos,Arm Up,-21.8,-157,11,0,13,1,0","Hermanos,Arm Low,19.6,-155.4,115,0,12,1,0","Hermanos,Start,53.8,-185.8,-22,0,14,1,0","Hermanos,Arm Up,32,-172.7,37,1,22,1,0","Hermanos,Arm Low,78,-141.2,57,1,22,1,0","Hermanos,Bare,128,-123.4,68,0,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,21,-52.4,7,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Start/4,"Hermanos,Head,-6.5,-229.7,3,0,4,1,0","Hermanos,Neck,0,-206.2,3,0,18,1,0","Hermanos,Body,0.6,-152.2,1,0,15,1,0","Hermanos,Arm Up,-18.8,-161,31,0,13,1,0","Hermanos,Arm Low,19.6,-162.4,128,0,12,1,0","Hermanos,Start,50.8,-197.8,-19,0,14,1,0","Hermanos,Arm Up,32,-172.7,37,1,22,1,0","Hermanos,Arm Low,74,-150.2,70,1,22,1,0","Hermanos,Bare,128,-144.4,81,0,27,1,0","Hermanos,Leg Up,-12.5,-51.2,-7.2,0,7,1,0","Hermanos,Leg Low,-28.5,-38.2,-3,0,23,1,0","Hermanos,Foot,-36.4,-6.7,9,1,22,1,0","Hermanos,Leg Up,21,-52.4,5,1,10,1,0","Hermanos,Leg Low,35,-38.7,6.5,0,25,1,0","Hermanos,Foot_back,48.1,-2.2,-8,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5,hold",play_time_mod_0.7,
