Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Iri,Head,4.5,-169.7,0.5,0,4,1,0","Iri,Neck,8,-139.2,-16,0,7,1,0","Iri,Body,3.8,-90.2,-1.5,0,6,1,0","Iri,Arm Up,-55.2,-117.6,-68,0,7,1,0","Iri,Arm Low,-90,-112.6,-85,0,9,1,0","Iri,Fist,-117.2,-110.2,-104,0,12,1,0","Iri,Arm Up Back,54.6,-117.8,72,0,13,1,0","Iri,Arm Low Back,89,-114.8,82,0,15,1,0","Iri,Fist Back,118.2,-109.6,73,0,21,1,0","Iri,Leg Up,-18.5,-43.2,-30.2,0,8,1,0","Iri,Leg Low,-20.5,-31.2,-21,0,14,1,0","Iri,Foot,-14.4,-8.7,-0.6,0,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,39.1,-9.2,5.5,0,15,1,0",,,"Iri,Minibag,-13.8,-57.6,-5,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Iri,Backpack,-20,-115.4,0,0,16,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Iri,Head,4.5,-168.7,-6.5,0,4,1,0","Iri,Neck,8,-139.2,-16,0,7,1,0","Iri,Body,3.8,-90.2,-3.5,0,6,1,0","Iri,Arm Up,-39.2,-103.6,-3,0,7,1,0","Iri,Arm Low,-43,-69.8,7,0,9,1,0","Iri,Open,-39.2,-47.6,-3,0,3,1,0","Iri,Arm Up Back,38.6,-110.8,38,0,13,1,0","Iri,Arm Low Back,50.8,-75.2,-18,0,15,1,0","Iri,Open,34,-53.2,-38,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-8,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/1,"Iri,Head,-0.5,-166.7,-3.5,0,4,1,0","Iri,Neck,3,-137.2,-19,0,7,1,0","Iri,Body,2.8,-88.2,-1.5,0,6,1,0","Iri,Arm Up,-41.2,-99.6,-5,0,7,1,0","Iri,Arm Low,-45,-65.8,5,0,9,1,0","Iri,Open,-39.2,-43.6,-5,0,3,1,0","Iri,Arm Up Back,38.6,-109.8,41,0,13,1,0","Iri,Arm Low Back,50.8,-76.2,-19,0,15,1,0","Iri,Open,34,-52.2,-34,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-4,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
Idle/2,"Iri,Head,-5.5,-166.7,-0.5,0,4,1,0","Iri,Neck,0,-135.2,-19,0,7,1,0","Iri,Body,0.8,-88.2,0.5,0,6,1,0","Iri,Arm Up,-43.2,-97.6,-2,0,7,1,0","Iri,Arm Low,-47,-63.8,8,0,9,1,0","Iri,Open,-41.2,-41.6,-2,0,3,1,0","Iri,Arm Up Back,36.6,-109.8,43,0,13,1,0","Iri,Arm Low Back,49.8,-76.2,-18,0,15,1,0","Iri,Open,32,-52.2,-31,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-15.8,-54.6,5,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,,
Idle/3,"Iri,Head,-9.5,-165.7,3.5,0,4,1,0","Iri,Neck,-4,-135.2,-19,0,7,1,0","Iri,Body,-0.2,-88.2,2.5,0,6,1,0","Iri,Arm Up,-43.2,-95.6,1,0,7,1,0","Iri,Arm Low,-47,-61.8,11,0,9,1,0","Iri,Open,-41.2,-39.6,1,0,3,1,0","Iri,Arm Up Back,34.6,-109.8,43,0,13,1,0","Iri,Arm Low Back,49.8,-78.2,-16,0,15,1,0","Iri,Open,32,-52.2,-32,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-15.8,-54.6,5,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.9,,
Idle/4,"Iri,Head,-5.5,-166.7,-0.5,0,4,1,0","Iri,Neck,0,-135.2,-19,0,7,1,0","Iri,Body,0.8,-88.2,0.5,0,6,1,0","Iri,Arm Up,-43.2,-97.6,-2,0,7,1,0","Iri,Arm Low,-47,-63.8,8,0,9,1,0","Iri,Open,-41.2,-41.6,-2,0,3,1,0","Iri,Arm Up Back,36.6,-109.8,43,0,13,1,0","Iri,Arm Low Back,49.8,-76.2,-18,0,15,1,0","Iri,Open,32,-52.2,-31,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-15.8,-54.6,5,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
Idle/5,"Iri,Head,-0.5,-166.7,-3.5,0,4,1,0","Iri,Neck,3,-137.2,-19,0,7,1,0","Iri,Body,2.8,-88.2,-1.5,0,6,1,0","Iri,Arm Up,-41.2,-99.6,-5,0,7,1,0","Iri,Arm Low,-45,-65.8,5,0,9,1,0","Iri,Open,-39.2,-43.6,-5,0,3,1,0","Iri,Arm Up Back,38.6,-109.8,41,0,13,1,0","Iri,Arm Low Back,50.8,-76.2,-19,0,15,1,0","Iri,Open,34,-52.2,-34,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-4,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,,
Nod/0,"Iri,Head,7.5,-166.7,-7.5,0,4,1,0","Iri,Neck,11,-137.2,-19,0,7,1,0","Iri,Body,3.8,-88.2,-5.5,0,6,1,0","Iri,Arm Up,-37.2,-101.6,-5,0,2,1,0","Iri,Arm Low,-24,-64.8,54,0,3,1,0","Iri,Open,5.8,-49.2,43,0,3,1,0","Iri,Arm Up Back,40.6,-108.8,29,0,13,1,0","Iri,Arm Low Back,40.8,-76.2,-48,0,5,1,0","Iri,Open,21,-69.2,-60,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-11,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod/1,"Iri,Head,11.5,-164.7,-10.5,0,4,1,0","Iri,Neck,11,-137.2,-19,0,7,1,0","Iri,Body,3.8,-86.2,-7.5,0,6,1,0","Iri,Arm Up,-36.2,-101.6,-7,0,2,1,0","Iri,Arm Low,-26,-65.8,59,0,3,1,0","Iri,Open,5.8,-52.2,51,0,3,1,0","Iri,Arm Up Back,42.6,-105.8,24,0,13,1,0","Iri,Arm Low Back,40.8,-74.2,-45,0,5,1,0","Iri,Open,21,-64.2,-51,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,87,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-11,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod/2,"Iri,Head,27.5,-156.7,-24.5,0,4,1,0","Iri,Neck,20,-135.2,-24,0,7,1,0","Iri,Body,6.8,-83.2,-13.5,0,6,1,0","Iri,Arm Up,-29.2,-101.6,-9,0,2,1,0","Iri,Arm Low,-19,-65.8,57,0,3,1,0","Iri,Open,12.8,-52.2,49,0,3,1,0","Iri,Arm Up Back,42.6,-99.8,22,0,13,1,0","Iri,Arm Low Back,39.8,-65.2,-52,0,5,1,0","Iri,Open,21,-58.2,-53,1,5,1,0","Iri,Leg Up,-16.5,-42.2,-44.2,0,8,1,0","Iri,Leg Low,-18.5,-31.2,-27,0,14,1,0","Iri,Foot,-31.4,-9.7,-3.6,1,13,1,0","Iri,Leg Up,21,-42.2,8.7,0,12,1,0","Iri,Leg Low,26,-25.7,13.5,0,15,1,0","Iri,Foot,41.1,-9.2,5.5,0,15,1,0","Iri Sword,Base,-3.4,-59.2,85,0,14,1,0",,"Iri,Minibag,-14.8,-54.6,-11,0,5,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
