Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Bow/0,"Kapuni,Head,9.1,-84.8,-2,0,2,1,0","Kapuni,Neck,2.1,-56.2,13,0,4,1,0","Kapuni,Body,2.3,-31.2,-3,0,8,1,0","Kapuni,Arm Up,-21.1,-37.8,-36,0,3,1,0","Kapuni,Arm Low,-34.9,-12.2,-12,0,6,1,0","Kapuni,Fist,-40.5,5.5,-23,0,8,1,0","Kapuni,Arm Up,22.7,-39.2,46,0,11,1,0","Kapuni,Arm Low,48.1,-20.2,55,1,13,1,0","Kapuni,Fist Back,63.1,-14.4,63,0,17,1,0","Kapuni,Leg Up,-7.9,6.4,3.3,0,9,1,0","Kapuni,Leg Low,-14.3,35.4,-9,0,12,1,0","Kapuni,Foot,-13.9,54.6,-24.6,0,11,1,0","Kapuni,Leg Up,13.3,7,54.7,0,18,1,0","Kapuni,Leg Low,23.3,33.2,-10.5,0,20,1,0","Kapuni,Foot,23.7,54,-25,0,17,1,0",,,"Kapuni,Hat,12.3,-83,-11,0,1,1,0","Kapuni,Wing,-31.5,-46,-4,0,9,1,0","Kapuni,Wing,-16.1,-56,-40,0,14,1,0","Kapuni,Cloak Right,-11.7,-31,-2,0,5,1,0","Kapuni,Cloak Left,16.5,-29.4,-3,0,5,1,0","Kapuni,Staff,65.7,-21.6,-13,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow/1,"Kapuni,Head,19.1,-81.8,-7,0,2,1,0","Kapuni,Neck,10.1,-52.2,2,0,4,1,0","Kapuni,Body,7.3,-31.2,-11,0,8,1,0","Kapuni,Arm Up,-17.1,-37.8,-49,0,3,1,0","Kapuni,Arm Low,-37.9,-15.2,-29,0,6,1,0","Kapuni,Open,-49.5,0.5,-47,0,8,1,0","Kapuni,Arm Up,27.7,-32.2,37,0,11,1,0","Kapuni,Arm Low,51.1,-13.2,64,1,13,1,0","Kapuni,Fist Back,68.1,-8.4,73,0,17,1,0","Kapuni,Leg Up,-7.9,3.4,-7.7,0,9,1,0","Kapuni,Leg Low,-20.3,35.4,-24,0,12,1,0","Kapuni,Foot,-22.9,53.6,-36.6,0,11,1,0","Kapuni,Leg Up,15.3,7,54.7,0,18,1,0","Kapuni,Leg Low,23.3,33.2,-15.5,0,20,1,0","Kapuni,Foot,21.7,54,-29,0,17,1,0",,,"Kapuni,Hat,22.3,-80,-16,0,1,1,0","Kapuni,Wing,-23.5,-46,-6,0,9,1,0","Kapuni,Wing,-12.1,-56,-50,0,14,1,0","Kapuni,Cloak Right,-8.7,-29,-11,0,5,1,0","Kapuni,Cloak Left,19.5,-23.4,-8,0,5,1,0","Kapuni,Staff,70.7,-17.6,-9,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow/2,"Kapuni,Head,33.1,-73.8,-27,0,2,1,0","Kapuni,Neck,15.1,-48.2,-17,0,4,1,0","Kapuni,Body,9.3,-26.2,-21,0,8,1,0","Kapuni,Arm Up,-13.1,-39.8,-58,0,3,1,0","Kapuni,Arm Low,-37.9,-23.2,-43,0,6,1,0","Kapuni,Open,-52.5,-11.5,-67,0,8,1,0","Kapuni,Arm Up,31.7,-27.2,38,0,11,1,0","Kapuni,Arm Low,51.1,-9.2,51,1,13,1,0","Kapuni,Fist Back,68.1,-1.4,57,0,17,1,0","Kapuni,Leg Up,-9.9,3.4,-12.7,0,9,1,0","Kapuni,Leg Low,-26.3,35.4,-31,0,12,1,0","Kapuni,Foot,-31.9,53.6,-50.6,0,11,1,0","Kapuni,Leg Up,13.3,7,56.7,0,18,1,0","Kapuni,Leg Low,23.3,33.2,-22.5,0,20,1,0","Kapuni,Foot,19.7,54,-29,0,17,1,0",,,"Kapuni,Hat,36.3,-71,-37,0,1,1,0","Kapuni,Wing,-17.5,-47,-2,0,9,1,0","Kapuni,Wing,-1.1,-50,-63,0,14,1,0","Kapuni,Cloak Right,-6.7,-29,-7,0,5,1,0","Kapuni,Cloak Left,23.5,-17.4,-10,0,5,1,0","Kapuni,Staff,73.7,-11.6,-16,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow/3,"Kapuni,Head,35.1,-69.8,-31,0,2,1,0","Kapuni,Neck,12.1,-49.2,-20,0,4,1,0","Kapuni,Body,9.3,-25.2,-23,0,8,1,0","Kapuni,Arm Up,-17.1,-43.8,-72,0,3,1,0","Kapuni,Arm Low,-47.9,-36.2,-72,0,6,1,0","Kapuni,Open,-67.5,-32.5,-95,0,8,1,0","Kapuni,Arm Up,31.7,-31.2,48,0,11,1,0","Kapuni,Arm Low,56.1,-13.2,64,1,13,1,0","Kapuni,Fist Back,72.1,-9.4,65,0,17,1,0","Kapuni,Leg Up,-11.9,3.4,-21.7,0,9,1,0","Kapuni,Leg Low,-32.3,32.4,-40,0,12,1,0","Kapuni,Foot,-39.9,46.6,-68.6,0,11,1,0","Kapuni,Leg Up,13.3,7,60.7,0,18,1,0","Kapuni,Leg Low,23.3,30.2,-27.5,0,20,1,0","Kapuni,Foot,17.7,48,-41,0,17,1,0",,,"Kapuni,Hat,38.3,-66,-45,0,1,1,0","Kapuni,Wing,-14.5,-52,-15,0,9,1,0","Kapuni,Wing,-2.1,-51,-43,0,14,1,0","Kapuni,Cloak Right,-4.7,-29,-4,0,5,1,0","Kapuni,Cloak Left,23.5,-17.4,-10,0,5,1,0","Kapuni,Staff,77.7,-21.6,-14,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
CourtEnd/0,"Kapuni,Head,7.1,-84.8,3,0,2,1,0","Kapuni,Neck,2.1,-58.2,19,0,4,1,0","Kapuni,Body,0.3,-31.2,0,0,8,1,0","Kapuni,Arm Up,-14.1,-35.8,0,0,3,1,0","Kapuni,Arm Low,-6.9,-10.2,50,0,4,1,0","Kapuni,Fist,5.2,-0.8,67,0,8,1,0","Kapuni,Arm Up,20.7,-39.2,38,0,11,1,0","Kapuni,Arm Low,42.1,-17.2,49,1,13,1,0","Kapuni,Fist Back,58.1,-8.4,61,0,17,1,0","Kapuni,Leg Up,-7.9,6.4,3.3,0,9,1,0","Kapuni,Leg Low,-14.3,35.4,-4,0,12,1,0","Kapuni,Foot,-11.9,54.6,-20.6,0,11,1,0","Kapuni,Leg Up,13.3,7,54.7,0,18,1,0","Kapuni,Leg Low,23.3,33.2,-10.5,0,20,1,0","Kapuni,Foot,23.7,54,-25,0,17,1,0",,,"Kapuni,Hat,8.3,-85,-2,0,1,1,0","Kapuni,Wing,-34.5,-46,0,0,9,1,0","Kapuni,Wing,-19.1,-56,-36,0,14,1,0","Kapuni,Cloak Right,-12.7,-31,0,0,5,1,0","Kapuni,Cloak Left,15.5,-29.4,-1,0,5,1,0","Kapuni,Staff,60.7,-15.6,-15,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CourtEnd/1,"Kapuni,Head,2.1,-86.8,8,0,2,1,0","Kapuni,Neck,-0.9,-58.2,22,0,4,1,0","Kapuni,Body,0.3,-31.2,5,0,8,1,0","Kapuni,Arm Up,-14.1,-35.8,8,0,3,1,0","Kapuni,Arm Low,-2.9,-10.2,56,0,4,1,0","Kapuni,Fist,13.2,-0.8,74,0,8,1,0","Kapuni,Arm Up,20.7,-43.2,46,0,11,1,0","Kapuni,Arm Low,44.1,-26.2,58,1,13,1,0","Kapuni,Fist Back,59.1,-23.4,69,0,17,1,0","Kapuni,Leg Up,-5.9,6.4,6.3,0,9,1,0","Kapuni,Leg Low,-13.3,35.4,-13,0,12,1,0","Kapuni,Foot,-11.9,54.6,-25.6,0,11,1,0","Kapuni,Leg Up,16.3,7,58.7,0,18,1,0","Kapuni,Leg Low,29.3,31.2,0.5,0,20,1,0","Kapuni,Foot,31.7,52,-4,0,17,1,0",,,"Kapuni,Hat,8.3,-87,2,0,1,1,0","Kapuni,Wing,-27.2,-47.3,19,0,9,1,0","Kapuni,Wing,-16.8,-55.3,-47,0,14,1,0","Kapuni,Cloak Right,-12.7,-31,0,0,5,1,0","Kapuni,Cloak Left,15.5,-31.4,2,0,5,1,0","Kapuni,Staff,61.7,-28.6,-12,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.8,,
CourtEnd/2,"Kapuni,Head,2.1,-86.8,3,0,2,1,0","Kapuni,Neck,-0.9,-58.2,20,0,4,1,0","Kapuni,Body,0.3,-31.2,5,0,8,1,0","Kapuni,Arm Up,-9.1,-34.8,25,0,3,1,0","Kapuni,Arm Low,7.1,-13.2,63,0,4,1,0","Kapuni,Open,26.2,-4.8,64,0,8,1,0","Kapuni,Arm Up,20.7,-46.2,49,0,11,1,0","Kapuni,Arm Low,46.1,-29.2,58,1,13,1,0","Kapuni,Fist Back,62.1,-22.4,44,0,17,1,0","Kapuni,Leg Up,-5.9,8.4,-0.7,0,9,1,0","Kapuni,Leg Low,-14.3,35.4,-18,0,12,1,0","Kapuni,Foot,-13.9,54.6,-25.6,0,11,1,0","Kapuni,Leg Up,18.3,7,61.7,0,18,1,0","Kapuni,Leg Low,33.3,31.2,13.5,0,20,1,0","Kapuni,Foot,39.7,50,4,0,17,1,0",,,"Kapuni,Hat,10.3,-87,-3,0,1,1,0","Kapuni,Wing,-24.2,-43.8,32,0,9,1,0","Kapuni,Wing,-11.8,-45.8,-37,0,14,1,0","Kapuni,Cloak Right,-10.7,-31,4,0,5,1,0","Kapuni,Cloak Left,16.5,-32.4,4,0,5,1,0","Kapuni,Staff,71.7,-25.6,-60,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
CourtEnd/3,"Kapuni,Head,4.1,-88.8,-3,0,2,1,0","Kapuni,Neck,-0.9,-60.2,14,0,4,1,0","Kapuni,Body,0.3,-32.2,2,0,8,1,0","Kapuni,Arm Up,-7.1,-40.8,35,0,3,1,0","Kapuni,Arm Low,15.1,-20.2,72,0,4,1,0","Kapuni,Open,37.2,-14.8,74,0,8,1,0","Kapuni,Arm Up,20.7,-46.2,56,0,11,1,0","Kapuni,Arm Low,49.1,-37.2,81,1,13,1,0","Kapuni,Fist Back,62.1,-31.4,38,0,17,1,0","Kapuni,Leg Up,-9.9,8.4,-11.7,0,9,1,0","Kapuni,Leg Low,-22.3,35.4,-18,0,12,1,0","Kapuni,Foot,-21.9,54.6,-25.6,0,11,1,0","Kapuni,Leg Up,18.3,7,67.7,0,18,1,0","Kapuni,Leg Low,33.3,31.2,13.5,0,20,1,0","Kapuni,Foot,39.7,50,4,0,17,1,0",,,"Kapuni,Hat,11.3,-87,-14,0,1,1,0","Kapuni,Wing,-24.2,-49.3,19,0,9,1,0","Kapuni,Wing,-13.8,-57.3,-47,0,14,1,0","Kapuni,Cloak Right,-10.7,-31,9,0,5,1,0","Kapuni,Cloak Left,16.5,-34.4,9,0,5,1,0","Kapuni,Staff,73.7,-32.6,-63,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
CourtEnd/4,"Kapuni,Head,2.1,-88.8,2,0,2,1,0","Kapuni,Neck,-0.9,-60.2,22,0,4,1,0","Kapuni,Body,4.3,-32.2,8,0,8,1,0","Kapuni,Arm Up,-4.1,-43.8,61,0,3,1,0","Kapuni,Arm Low,30.1,-33.2,87,0,4,1,0","Kapuni,Open,47.2,-32.8,86,0,8,1,0","Kapuni,Arm Up,20.7,-52.2,81,0,11,1,0","Kapuni,Arm Low,49.1,-49.2,75,1,13,1,0","Kapuni,Fist Back,63.1,-44.4,34,0,17,1,0","Kapuni,Leg Up,-12.9,8.4,-14.7,0,9,1,0","Kapuni,Leg Low,-28.3,35.4,-28,0,12,1,0","Kapuni,Foot,-32.9,54.6,-34.6,0,11,1,0","Kapuni,Leg Up,17.3,4,62.7,0,18,1,0","Kapuni,Leg Low,42.3,31.2,28.5,0,20,1,0","Kapuni,Foot,54.7,43,29,0,17,1,0",,,"Kapuni,Hat,7.3,-88,-8,0,1,1,0","Kapuni,Wing,-34.5,-46,0,0,9,1,0","Kapuni,Wing,-19.1,-56,-36,0,14,1,0","Kapuni,Cloak Right,-10.7,-31,14,0,5,1,0","Kapuni,Cloak Left,16.5,-34.4,14,0,5,1,0","Kapuni,Staff,73.7,-54.6,-69,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CourtEnd/5,"Kapuni,Head,14.1,-86.8,-16,0,2,1,0","Kapuni,Neck,6.1,-60.2,15,0,4,1,0","Kapuni,Body,5.3,-32.2,-4,0,8,1,0","Kapuni,Arm Up,-4.1,-43.8,44,0,3,1,0","Kapuni,Arm Low,25.1,-25.2,75,0,4,1,0","Kapuni,Open,44.2,-18.8,63,0,8,1,0","Kapuni,Arm Up,20.7,-48.2,67,0,11,1,0","Kapuni,Arm Low,49.1,-39.2,67,1,13,1,0","Kapuni,Fist Back,63.1,-34.4,26,0,17,1,0","Kapuni,Leg Up,-11.9,8.4,-0.7,0,9,1,0","Kapuni,Leg Low,-24.3,35.4,-35,0,12,1,0","Kapuni,Foot,-29.9,52.6,-39.6,0,11,1,0","Kapuni,Leg Up,12.3,4,41.7,0,18,1,0","Kapuni,Leg Low,30.3,34.2,28.5,0,20,1,0","Kapuni,Foot,41.7,48,10,0,17,1,0",,,"Kapuni,Hat,19.3,-84,-26,0,1,1,0","Kapuni,Wing,-27.2,-42.8,19,0,9,1,0","Kapuni,Wing,-19.8,-48.8,-22,0,14,1,0","Kapuni,Cloak Right,-9.7,-31,-1,0,5,1,0","Kapuni,Cloak Left,17.5,-26.4,-9,0,5,1,0","Kapuni,Staff,77.7,-37.6,-78,0,20,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_15,,
