Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"King,Head,-1.5,-243.7,0,0,4,1,0","King,Neck,2,-222.2,-1,0,18,1,0","King,Body,-1.4,-172.2,-1.5,0,15,1,0","King,Arm Up,-57.5,-199.2,-78,0,13,1,0","King,Arm Low,-108.6,-193.4,-77,0,12,1,0","King,Fist,-152.2,-187.6,-93,0,14,1,0","King,Arm Up,53,-196.7,77,1,22,1,0","King,Arm Low,89.6,-193,76,1,22,1,0","King,Fist,133.4,-184.8,81,1,27,1,0","King,Leg Up,-11.5,-71.2,-7.2,0,7,1,0","King,Leg Low,-31.5,-41.2,-9,0,23,1,0","King,Foot,-24.4,-7.7,0,0,22,1,0","King,Leg Up,15,-67.4,7,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-7.2,0,0,24,1,0",,,"King,Cloak,1.6,-172.2,0,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"King,Head,-1.5,-227.7,0,0,4,1,0","King,Neck,2,-206.2,-1,0,18,1,0","King,Body,0.6,-152.2,-1,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-104.8,64,0,6,1,0","King,Arm Up,33,-163.7,13,1,22,1,0","King,Arm Low,47,-129.2,14,1,22,1,0","King,Open,60.4,-86,8,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"King,Head,0.5,-227.7,-2,0,4,1,0","King,Neck,4,-206.2,-5,0,18,1,0","King,Body,0.6,-152.2,-3.5,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-103.8,66,0,6,1,0","King,Arm Up,34,-163.7,12,1,22,1,0","King,Arm Low,45,-129.2,10,1,22,1,0","King,Open,57.4,-85,4,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,0,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"King,Head,2.5,-227.7,-3,0,4,1,0","King,Neck,6,-204.2,-7,0,18,1,0","King,Body,0.6,-152.2,-4.5,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,24.6,-102.8,68,0,6,1,0","King,Arm Up,34,-165.7,12,1,22,1,0","King,Arm Low,45,-127.2,10,1,22,1,0","King,Open,57.4,-84,7,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,-1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"King,Head,3.5,-227.7,-5,0,4,1,0","King,Neck,6,-204.2,-7,0,18,1,0","King,Body,0.6,-152.2,-6.5,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-127.4,47,0,12,1,0","King,Fist,24.6,-102.8,72,0,6,1,0","King,Arm Up,35,-161.7,6,1,22,1,0","King,Arm Low,42,-125.2,4,1,22,1,0","King,Open,51.4,-84,5,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,2.6,-154.2,-2,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"King,Head,2.5,-227.7,-3,0,4,1,0","King,Neck,6,-204.2,-7,0,18,1,0","King,Body,0.6,-152.2,-4.5,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,24.6,-102.8,68,0,6,1,0","King,Arm Up,34,-165.7,12,1,22,1,0","King,Arm Low,45,-127.2,10,1,22,1,0","King,Open,57.4,-84,7,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,-1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"King,Head,0.5,-227.7,-2,0,4,1,0","King,Neck,4,-206.2,-5,0,18,1,0","King,Body,0.6,-152.2,-3.5,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-103.8,66,0,6,1,0","King,Arm Up,34,-163.7,12,1,22,1,0","King,Arm Low,45,-129.2,10,1,22,1,0","King,Open,57.4,-85,4,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,0,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Nod/0,"King,Head,-1.5,-227.7,0,0,4,1,0","King,Neck,2,-206.2,-1,0,18,1,0","King,Body,0.6,-152.2,-1,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-104.8,64,0,6,1,0","King,Arm Up,29,-172.7,18,1,22,1,0","King,Arm Low,47,-129.2,14,1,22,1,0","King,Open,59.4,-82,8,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod/1,"King,Head,0.5,-227.7,-8,0,4,1,0","King,Neck,2,-206.2,-1,0,18,1,0","King,Body,0.6,-152.2,-1,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-106.8,66,0,6,1,0","King,Arm Up,29,-172.7,18,1,22,1,0","King,Arm Low,47,-129.2,14,1,22,1,0","King,Open,59.4,-82,8,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod/2,"King,Head,0.5,-226.7,-14,0,4,1,0","King,Neck,2,-206.2,-1,0,18,1,0","King,Body,0.6,-152.2,-1,0,15,1,0","King,Arm Up,-21.8,-157,11,0,13,1,0","King,Arm Low,-8.4,-129.4,47,0,12,1,0","King,Fist,25.6,-106.8,69,0,6,1,0","King,Arm Up,31,-166.7,16,1,22,1,0","King,Arm Low,47,-127.2,14,1,22,1,0","King,Open,57.4,-82,6,1,21,1,0","King,Leg Up,-12.5,-51.2,-7.2,0,11,1,0","King,Leg Low,-28.5,-38.2,-3,0,23,1,0","King,Foot,-36.4,-6.7,9,1,22,1,0","King,Leg Up,18,-51.4,5,1,10,1,0","King,Leg Low,35,-38.7,6.5,0,25,1,0","King,Foot,48.1,-2.2,-8,0,24,1,0",,,"King,Cloak,1.6,-154.2,1,0,10,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
