Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Bow/0,"Merlaros,Head,5.5,-245.7,-4,0,4,1,0","Merlaros,Neck,5,-225.2,-6,0,18,1,0","Merlaros,Body,-2.4,-161.2,-1.5,0,15,1,0","Merlaros,Arm Up,-41.5,-187.2,-33,0,18,1,0","Merlaros,Arm Low,-46.4,-152.6,29,0,17,1,0",,"Merlaros,Arm Up,33,-185.7,25,1,23,1,0","Merlaros,Arm Low,37.8,-158,-51,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Bow/1,"Merlaros,Head,12.5,-243.7,-12,0,4,1,0","Merlaros,Neck,11,-223.2,-6,0,18,1,0","Merlaros,Body,0.6,-159.2,-4.5,0,15,1,0","Merlaros,Arm Up,-39.5,-187.2,-35,0,18,1,0","Merlaros,Arm Low,-44.4,-152.6,27,0,17,1,0",,"Merlaros,Arm Up,35,-185.7,23,1,23,1,0","Merlaros,Arm Low,39.8,-158,-53,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Bow/2,"Merlaros,Head,19.5,-241.7,-17,0,4,1,0","Merlaros,Neck,17,-223.2,-6,0,18,1,0","Merlaros,Body,4.6,-156.2,-7.5,0,15,1,0","Merlaros,Arm Up,-35.5,-185.2,-35,0,18,1,0","Merlaros,Arm Low,-40.4,-150.6,27,0,17,1,0",,"Merlaros,Arm Up,39,-179.7,19,1,23,1,0","Merlaros,Arm Low,43.8,-152,-57,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Bow/3,"Merlaros,Head,31.5,-236.7,-17,0,4,1,0","Merlaros,Neck,29,-218.2,-6,0,18,1,0","Merlaros,Body,7.6,-154.2,-12.5,0,15,1,0","Merlaros,Arm Up,-33.5,-185.2,-38,0,18,1,0","Merlaros,Arm Low,-41.4,-150.6,23,0,17,1,0",,"Merlaros,Arm Up,42,-173.7,9,1,23,1,0","Merlaros,Arm Low,39.8,-144,-64,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
Bow/4,"Merlaros,Head,45.5,-226.7,-31,0,4,1,0","Merlaros,Neck,40,-210.2,-6,0,18,1,0","Merlaros,Body,12.6,-150.2,-18.5,0,15,1,0","Merlaros,Arm Up,-23.5,-182.2,-41,0,18,1,0","Merlaros,Arm Low,-31.4,-147.6,20,0,17,1,0",,"Merlaros,Arm Up,49,-162.7,9,1,23,1,0","Merlaros,Arm Low,46.8,-133,-64,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5,hold",play_time_mod_0.7,
Default/0,"Merlaros,Head,1.5,-251.7,0,0,4,1,0","Merlaros,Neck,5,-229.2,-2,0,18,1,0","Merlaros,Body,-2.4,-165.2,-0.5,0,15,1,0","Merlaros,Arm Up,-56.5,-198.2,-75,0,17,1,0","Merlaros,Arm Low,-102.6,-190.4,-78,0,12,1,0","Merlaros,Fist,-137.2,-181.6,-80,0,14,1,0","Merlaros,Arm Up,52,-196.7,63,1,22,1,0","Merlaros,Arm Low,92.6,-187,73,1,22,1,0","Merlaros,Fist,127.4,-172.8,65,1,27,1,0","Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Merlaros,Head,1.5,-249.7,0,0,4,1,0","Merlaros,Neck,5,-227.2,-2,0,18,1,0","Merlaros,Body,-2.4,-165.2,-0.5,0,15,1,0","Merlaros,Arm Up,-43.5,-187.2,-29,0,18,1,0","Merlaros,Arm Low,-48.4,-152.6,33,0,17,1,0",,"Merlaros,Arm Up,33,-187.7,29,1,23,1,0","Merlaros,Arm Low,37.8,-160,-47,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Merlaros,Head,5.5,-247.7,-2,0,4,1,0","Merlaros,Neck,7,-227.2,-4,0,18,1,0","Merlaros,Body,-0.4,-163.2,-1.5,0,15,1,0","Merlaros,Arm Up,-39.5,-187.2,-31,0,18,1,0","Merlaros,Arm Low,-44.4,-152.6,31,0,17,1,0",,"Merlaros,Arm Up,35,-185.7,27,1,23,1,0","Merlaros,Arm Low,39.8,-158,-49,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/2,"Merlaros,Head,7.5,-245.7,-4,0,4,1,0","Merlaros,Neck,9,-225.2,5,0,18,1,0","Merlaros,Body,-0.4,-161.2,-1.5,0,15,1,0","Merlaros,Arm Up,-37.5,-187.2,-33,0,18,1,0","Merlaros,Arm Low,-44.4,-152.6,29,0,17,1,0",,"Merlaros,Arm Up,35,-185.7,25,1,23,1,0","Merlaros,Arm Low,39.8,-158,-51,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/3,"Merlaros,Head,9.5,-245.7,-6,0,4,1,0","Merlaros,Neck,9,-223.2,-3,0,18,1,0","Merlaros,Body,-0.4,-161.2,-3.5,0,15,1,0","Merlaros,Arm Up,-35.5,-187.2,-33,0,18,1,0","Merlaros,Arm Low,-44.4,-152.6,26,0,17,1,0",,"Merlaros,Arm Up,35,-184.7,25,1,23,1,0","Merlaros,Arm Low,37.8,-158,-53,1,22,1,0",,"Merlaros,Leg Up,-21.5,-89.2,-5.2,0,17,1,0","Merlaros,Leg Low,-27.5,-39.2,-9,0,23,1,0","Merlaros,Foot,-21.4,-7.7,0,0,22,1,0","Merlaros,Leg Up,21.2,-92.4,7,0,20,1,0","Merlaros,Leg Low,28,-40.7,5.5,0,25,1,0","Merlaros,Foot_back,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
