Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Nayedien,Head,8.5,-260.7,3,0,7,1,0","Nayedien,Neck,5,-229.2,0,0,10,1,0","Nayedien,Body,4.6,-162.2,0,0,9,1,0",,"Nayedien,Arm Low,-76.4,-171.6,-50,0,12,1,0","Nayedien,Open,-109,-155.6,-68,0,13,1,0",,"Nayedien,Arm Low,92.6,-156,54,1,14,1,0","Nayedien,Open,127,-140.4,59,1,15,1,0","Nayedien,Leg Up,-19.5,-86.2,-15.2,1,11,1,0","Nayedien,Leg Low,-33.5,-34.2,-16,1,11,1,0","Nayedien,Foot,-44.4,-1.7,-31.6,1,14,1,0","Nayedien,Leg Up,30,-88.2,18.7,0,15,1,0","Nayedien,Leg Low,50,-33.7,17.5,0,14,1,0","Nayedien,Foot,61.1,-3.2,26.5,0,16,1,0",,,"Nayedien,Cloak_below,3.8,-92,-3,0,20,1,0","Nayedien,Cloak,7.2,-182.8,4,0,17,1,0","Nayedien,Shoulder,-20.4,-198.2,-3,0,8,1,0","Nayedien,Shoulder_strap,9.4,-206.6,-9,0,9,1,0","Nayedien,Shoulder_inner,33.8,-198.8,0,0,8,1,0","Nayedien,Cloak Up,-44.5,-187.2,-51,0,6,1,0","Nayedien,Cloak Up Back,55,-178.7,50,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,1.6,-164,3,0,22,1,0","Nayedien,Hair_outer,-61.6,-197.4,3,0,23,1,0","Nayedien,Hair_inner,67.4,-183.6,4,0,23,1,0","Nayedien,Hair_extend_2,-14.2,-211,18,1,5,1,0","Nayedien,Hair_extend_3,38.4,-204.6,-20,0,5,1,0","Nayedien,Hair_extend_2,-50.6,-279.4,-74,1,25,1,0","Nayedien,Hair_extend_3,62.2,-258.8,44,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/0,"Nayedien,Head,33.5,-270.7,-20,0,7,1,0","Nayedien,Neck,21,-244.2,-8,0,10,1,0","Nayedien,Body,13.6,-180.2,-16,0,9,1,0",,"Nayedien,Arm Low,-26.4,-184.6,32,0,12,1,0","Nayedien,Open,0.8,-148.6,49,0,13,1,0","Nayedien,Arm Up,57.2,-195,32,0,16,1,0","Nayedien,Arm Low,77.2,-152.8,9,1,15,1,0","Nayedien,Open,96.6,-114.6,31,1,16,1,0","Nayedien,Leg Up,-30.5,-115.2,-46.2,1,11,1,0","Nayedien,Leg Low,-73.5,-73.2,-46,1,11,1,0","Nayedien,Foot,-95.4,-48.7,-20.6,1,14,1,0","Nayedien,Leg Up,27,-125.2,34.7,0,15,1,0","Nayedien,Leg Low,40,-71.7,-14.5,0,14,1,0","Nayedien,Foot,34.1,-41.2,-10.5,0,16,1,0",,,"Nayedien,Cloak_below,-3.2,-165.6,16,2,20,1,0","Nayedien,Cloak Wide,21.6,-205.4,9,0,17,1,0","Nayedien,Shoulder,-7.4,-222.2,-37,0,8,1,0","Nayedien,Shoulder_strap,22.4,-224.6,-20,0,9,1,0","Nayedien,Shoulder_inner,52.8,-216.8,10,0,8,1,0","Nayedien,Cloak Up,-38.4,-219.8,-99,1,6,1,0","Nayedien,Cloak Up Back,87,-213.7,82,0,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,-22.4,-237,-50,0,22,1,0","Nayedien,Hair_outer,-50.6,-289.4,-78,0,23,1,0","Nayedien,Hair_inner,38.4,-185.6,-43,0,23,1,0","Nayedien,Hair_extend_2,9.8,-240,92,1,5,1,0","Nayedien,Hair_extend_2,43.4,-241.6,-134,0,5,1,0","Nayedien,Hair_extend_3,-1.6,-320.4,-127,0,25,1,0","Nayedien,Hair_extend_3,88.8,-266.8,80,1,26,1,0","Nayedien,Hair_extend_3,20,-271.8,65,1,0,1,0","Nayedien,Hair_extend_1,-17.8,-270.2,-161,1,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/1,"Nayedien,Head,43.8,-270.8,-19,0,7,1,0","Nayedien,Neck,29.3,-247.3,-7,0,10,1,0","Nayedien,Body,14.9,-181.3,-15,0,9,1,0",,"Nayedien,Arm Low,-20.1,-179.7,65,0,12,1,0","Nayedien,Open,8.5,-178.7,91,0,8,1,0",,"Nayedien,Arm Low,60.9,-164.1,-42,1,14,1,0","Nayedien,Open,39.1,-145.5,-75,1,8,1,0","Nayedien,Leg Up,-23.2,-119.3,-25,0,11,1,0","Nayedien,Leg Low,-43.5,-70.9,-22,0,11,1,0","Nayedien,Foot,-54.9,-39.7,-20,0,14,1,0","Nayedien,Leg Up,29.3,-117.3,24.7,0,15,1,0","Nayedien,Leg Low,32.3,-69.8,-15.5,0,14,1,0","Nayedien,Foot,31.4,-39.3,24.5,0,16,1,0",,,"Nayedien,Cloak_below,-10.9,-111.1,-26,0,20,1,0","Nayedien,Cloak,30.5,-186.9,9,0,17,1,0","Nayedien,Shoulder,-0.1,-212.3,-3,0,8,1,0","Nayedien,Shoulder_strap,32.7,-221.7,-3,0,9,1,0","Nayedien,Shoulder_inner,55.1,-214.9,-9,0,8,1,0","Nayedien,Cloak Up,-26.2,-197.3,-46,0,6,1,0","Nayedien,Cloak Up Back,76.3,-193.8,45,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,0.9,-193.1,-15,0,22,1,0","Nayedien,Hair_outer,-48.3,-229.5,-21,0,23,1,0","Nayedien,Hair_inner,67.7,-177.7,-26,0,23,1,0","Nayedien,Hair_extend_3,6.1,-241.1,42,1,5,1,0","Nayedien,Hair_extend_2,53.7,-222.7,-37,0,5,1,0","Nayedien,Hair_extend_1,-3.3,-305.5,-107,1,25,1,0","Nayedien,Hair_extend_2,96.3,-251.7,36,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/2,"Nayedien,Head,39.9,-256,-19,0,7,1,0","Nayedien,Neck,25.4,-232.5,-7,0,10,1,0","Nayedien,Body,11,-166.5,-15,0,9,1,0",,"Nayedien,Arm Low,-11,-165.9,91,1,7,1,0","Nayedien,Open,24.6,-177.9,105,0,6,1,0",,"Nayedien,Arm Low,52,-149.3,-51,1,14,1,0","Nayedien,Open,25.2,-130.7,-81,1,8,1,0","Nayedien,Leg Up,-22.2,-115.7,-25,0,11,1,0","Nayedien,Leg Low,-47.2,-69.9,-44,0,11,1,0","Nayedien,Foot,-65.8,-47.9,-38,0,14,1,0","Nayedien,Leg Up,19.4,-104.5,24.7,0,15,1,0","Nayedien,Leg Low,14.4,-59,-39,0,14,1,0","Nayedien,Foot,-8.2,-38.5,-44,0,16,1,0",,,"Nayedien,Cloak_below,-14.8,-96.3,-26,0,20,1,0","Nayedien,Cloak,26.6,-172.1,9,0,17,1,0","Nayedien,Shoulder,-1,-202.5,-22,0,8,1,0","Nayedien,Shoulder_strap,28.8,-206.9,-3,0,9,1,0","Nayedien,Shoulder_inner,51.2,-200.1,-9,0,8,1,0","Nayedien,Cloak Up,-30.1,-192.5,-52,0,6,1,0","Nayedien,Cloak Up Back,72.4,-179,45,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,-18,-184.3,-25,0,22,1,0","Nayedien,Hair_outer,-55.2,-225.7,-33,0,23,1,0","Nayedien,Hair_inner,53.8,-162.9,-31,0,23,1,0","Nayedien,Hair_extend_3,-0.8,-236.3,32,1,5,1,0","Nayedien,Hair_extend_2,49.8,-207.9,-37,0,5,1,0","Nayedien,Hair_extend_1,-7.2,-290.7,-107,1,25,1,0","Nayedien,Hair_extend_2,92.4,-236.9,36,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatAirDie/3,"Nayedien,Head,57.9,-197.9,-31,0,7,1,0","Nayedien,Neck,37.4,-172.4,-24,0,10,1,0","Nayedien,Body,22,-110.4,-15,0,9,1,0",,"Nayedien,Arm Low,0,-115.8,83,1,7,1,0","Nayedien,Open,35.6,-121.8,105,0,6,1,0",,"Nayedien,Arm Low,63,-93.2,-51,1,14,1,0","Nayedien,Open,36.2,-74.6,-81,1,8,1,0","Nayedien,Leg Up,-12.8,-50.6,-18,0,11,1,0","Nayedien,Leg Low,-46.4,-15.6,-87,0,11,1,0","Nayedien,Foot,-74.8,-10.8,-48,0,14,1,0","Nayedien,Leg Up,30.4,-43.4,24.7,0,15,1,0","Nayedien,Leg Low,18.4,-7.9,-82,0,14,1,0","Nayedien,Foot,-8.2,-3.4,-98,0,16,1,0",,,"Nayedien,Cloak_below,0.2,-49.2,-21,0,20,1,0","Nayedien,Cloak,37.6,-121,9,0,17,1,0","Nayedien,Shoulder,10,-146.4,-22,0,8,1,0","Nayedien,Shoulder_strap,39.8,-150.8,-5,0,9,1,0","Nayedien,Shoulder_inner,62.2,-144,-16,0,8,1,0","Nayedien,Cloak Up,-19.1,-140.4,-70,0,6,1,0","Nayedien,Cloak Up Back,86.4,-126.9,64,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,-10,-133.2,-33,0,22,1,0","Nayedien,Hair_outer,-47.2,-182.6,-46,0,23,1,0","Nayedien,Hair_inner,58.8,-98.8,-41,0,23,1,0","Nayedien,Hair_extend_3,15.2,-176.2,50,1,5,1,0","Nayedien,Hair_extend_2,63.8,-149.8,-40,0,5,1,0","Nayedien,Hair_extend_1,19.8,-240.6,-114,1,25,1,0","Nayedien,Hair_extend_2,110.4,-178.8,36,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/4,"Nayedien,Head,104,-158.9,-37,0,7,1,0","Nayedien,Neck,76.5,-136.4,-56,0,10,1,0","Nayedien,Body,42.1,-90.4,-37,0,9,1,0",,"Nayedien,Arm Low,35.1,-95.8,77,1,7,1,0","Nayedien,Open,70.7,-101.8,99,0,6,1,0","Nayedien,Arm Up,108.1,-101.4,77,0,7,1,0","Nayedien,Arm Low,149.5,-81.8,58,1,14,1,0","Nayedien,Open,184.9,-68.6,67,1,8,1,0","Nayedien,Leg Up,-3.7,-43.6,-26,0,11,1,0","Nayedien,Leg Low,-41.3,-18.6,-87,0,11,1,0","Nayedien,Foot,-69.7,-13.8,-48,0,14,1,0","Nayedien,Leg Up,29.5,-37.4,20.7,0,15,1,0","Nayedien,Leg Low,15.5,-10.9,-82,0,14,1,0","Nayedien,Foot,-11.1,-6.4,-98,0,16,1,0",,,"Nayedien,Cloak_below,-3.7,-40.2,-35,0,20,0.9,0","Nayedien,Cloak,72.7,-101,3,0,17,1,0","Nayedien,Shoulder,45.1,-128.4,-33,0,8,1,0","Nayedien,Shoulder_strap,74.9,-130.8,-11,0,9,1,0","Nayedien,Shoulder_inner,106.3,-112,18,0,8,1,0","Nayedien,Cloak Up,16,-122.4,-68,0,6,1,0","Nayedien,Cloak Up Back,121.5,-103.9,65,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,31.1,-99.2,-42,0,22,1,0","Nayedien,Hair_outer,-1.1,-151.6,-57,0,23,1,0","Nayedien,Hair_inner,90.9,-59.8,-54,0,23,1,0","Nayedien,Hair_extend_3,55.7,-152.6,30,1,5,1,0","Nayedien,Hair_extend_2,113.9,-119.8,-50,0,5,1,0","Nayedien,Hair_extend_1,65.9,-201.6,-120,1,25,1,0","Nayedien,Hair_extend_2,156.5,-139.8,30,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/5,"Nayedien,Head,141.1,-118,-41,0,7,1,0","Nayedien,Neck,114.2,-99.4,-56,0,10,1,0","Nayedien,Body,58.6,-69.2,-62,0,9,1,0",,"Nayedien,Arm Low,57.6,-79.6,70,1,7,1,0","Nayedien,Open,94.4,-76.4,77,0,6,1,0","Nayedien,Arm Up,127.4,-58.4,71,0,15,1,0","Nayedien,Arm Low,168.8,-38.8,58,1,14,1,0","Nayedien,Open,204.2,-25.6,67,1,8,1,0","Nayedien,Leg Up,-1.2,-41.4,-26,0,11,1,0","Nayedien,Leg Low,-38.8,-16.4,-87,0,11,1,0","Nayedien,Foot,-67.2,-11.6,-48,0,14,1,0","Nayedien,Leg Up,32,-35.2,20.7,0,15,1,0","Nayedien,Leg Low,18,-8.7,-82,0,14,1,0","Nayedien,Foot,-8.6,-4.2,-98,0,16,1,0",,,"Nayedien,Cloak_below,5.8,-32,-47,0,20,1,0","Nayedien,Cloak,92.5,-73.9,-26,0,17,1,0","Nayedien,Shoulder,80,-98.3,-39,0,8,1,0","Nayedien,Shoulder_strap,100.8,-89.7,-68,0,9,1,0","Nayedien,Shoulder_inner,126.4,-67.9,18,0,8,1,0","Nayedien,Cloak Up,48.8,-104.3,-86,0,6,1,0","Nayedien,Cloak Up Back,161.2,-61.2,96,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,52.2,-80.3,-62,0,22,1,0","Nayedien,Hair_outer,36,-137.7,-75,0,23,1,0","Nayedien,Hair_inner,91,-18.9,-68,0,23,1,0","Nayedien,Hair_extend_3,92.8,-111.7,26,1,5,1,0","Nayedien,Hair_extend_2,151,-78.9,-54,0,5,1,0","Nayedien,Hair_extend_1,103,-160.7,-124,1,25,1,0","Nayedien,Hair_extend_2,193.6,-98.9,26,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/6,"Nayedien,Head,159.7,-68,-49,0,7,1,0","Nayedien,Neck,134.6,-50,-67,0,10,1,0","Nayedien,Body,69.6,-45.2,-89,0,9,1,0",,"Nayedien,Arm Low,66.6,-49.6,33,1,7,1,0","Nayedien,Open,99.8,-29.2,72,0,6,1,0","Nayedien,Arm Up,136.4,-21.4,92,0,15,1,0","Nayedien,Arm Low,178.9,-6,58,1,14,1,0","Nayedien,Open,214.3,6.2,67,1,8,1,0","Nayedien,Leg Up,7.8,-36.4,-26,0,11,1,0","Nayedien,Leg Low,-29.8,-11.4,-87,0,11,1,0","Nayedien,Foot,-58.2,-6.6,-48,0,14,1,0","Nayedien,Leg Up,41,-30.2,20.7,0,15,1,0","Nayedien,Leg Low,27,-3.7,-82,0,14,1,0","Nayedien,Foot,0.4,0.8,-98,0,16,1,0",,,"Nayedien,Cloak_below,14.8,-27,-47,0,20,1,0","Nayedien,Cloak,108.5,-39.9,-19,0,17,1,0","Nayedien,Shoulder,97,-68.3,-69,0,8,1,0","Nayedien,Shoulder_strap,115.8,-49.7,-89,0,9,1,0","Nayedien,Shoulder_inner,141.4,-27.9,-3,0,8,1,0","Nayedien,Cloak Up,68.8,-82.3,-98,0,6,1,0","Nayedien,Cloak Up Back,176.2,-9.2,86,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,70.8,-58.3,-87,0,22,1,0","Nayedien,Hair_outer,54.6,-116.7,-94,0,23,1,0","Nayedien,Hair_inner,83,1.6,-81,0,23,1,0","Nayedien,Hair_extend_3,111.4,-61.7,18,1,5,1,0","Nayedien,Hair_extend_2,169.6,-28.9,-62,0,5,1,0","Nayedien,Hair_extend_2,132.6,-117.7,-132,1,25,1,0","Nayedien,Hair_extend_2,199.2,-26.9,13,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/7,"Nayedien,Head,151.7,-53,-60,0,7,1,0","Nayedien,Neck,119.6,-38,-76,0,10,1,0","Nayedien,Body,56.6,-38.2,-97,0,9,1,0",,"Nayedien,Arm Low,58.6,-37.6,21,1,7,1,0","Nayedien,Open,87.8,-8.2,63,0,6,1,0","Nayedien,Arm Up,128.4,-6.4,92,0,15,1,0","Nayedien,Arm Low,170.9,-4,84,1,14,1,0","Nayedien,Open,206.3,-1.8,68,1,8,1,0","Nayedien,Leg Up,-0.2,-36.4,-26,0,11,1,0","Nayedien,Leg Low,-37.8,-11.4,-87,0,11,1,0","Nayedien,Foot,-66.2,-6.6,-48,0,14,1,0","Nayedien,Leg Up,33,-30.2,20.7,0,15,1,0","Nayedien,Leg Low,19,-3.7,-82,0,14,1,0","Nayedien,Foot,-7.6,0.8,-98,0,16,1,0",,,"Nayedien,Cloak_below,6.8,-27,-47,0,20,1,0","Nayedien,Cloak,100.5,-39.9,-19,0,17,1,0","Nayedien,Shoulder,87,-61.3,-84,0,8,1,0","Nayedien,Shoulder_strap,101.8,-27.7,-74,0,9,1,0","Nayedien,Shoulder_inner,122.4,-14.9,-134,0,8,1,0","Nayedien,Cloak Up,60.8,-64.3,-85,0,6,1,0","Nayedien,Cloak Up Back,168.2,-9.2,86,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,62.8,-49.3,-87,0,22,1,0","Nayedien,Hair_outer,63.6,-101.7,-86,0,23,1,0","Nayedien,Hair_inner,75,8.6,-91,0,23,1,0","Nayedien,Hair_extend_3,107.4,-55.7,7,1,5,1,0","Nayedien,Hair_extend_2,162.6,-26.9,-85,0,5,1,0","Nayedien,Hair_extend_2,132.6,-106.7,-143,1,25,1,0","Nayedien,Hair_extend_2,191.2,-5.9,2,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirDie/8,"Nayedien,Head,152.7,-55,-77,0,7,1,0","Nayedien,Neck,120.6,-39,-76,0,10,1,0","Nayedien,Body,57.6,-39.2,-101,0,9,1,0",,"Nayedien,Arm Low,57.6,-31.6,12,1,7,1,0","Nayedien,Open,82.8,-1.2,72,0,6,1,0","Nayedien,Arm Up,129.4,-7.4,92,0,15,1,0","Nayedien,Arm Low,171.9,-5,84,1,14,1,0","Nayedien,Open,207.3,-2.8,68,1,8,1,0","Nayedien,Leg Up,0.8,-37.4,-26,0,11,1,0","Nayedien,Leg Low,-36.8,-12.4,-87,0,11,1,0","Nayedien,Foot,-65.2,-7.6,-48,0,14,1,0","Nayedien,Leg Up,34,-31.2,20.7,0,15,1,0","Nayedien,Leg Low,20,-4.7,-82,0,14,1,0","Nayedien,Foot,-6.6,-0.2,-98,0,16,1,0",,,"Nayedien,Cloak_below,7.8,-28,-47,0,20,1,0","Nayedien,Cloak,101.5,-40.9,-19,0,17,1,0","Nayedien,Shoulder,88,-62.3,-84,0,8,1,0","Nayedien,Shoulder_strap,102.8,-28.7,-74,0,9,1,0","Nayedien,Shoulder_inner,127.4,-14.9,-123,0,8,1,0","Nayedien,Cloak Up,61.8,-65.3,-85,0,6,1,0","Nayedien,Cloak Up Back,161.2,-7.2,80,1,7,1,0",,,,,,,,,,,,,,,,,,,,,"Nayedien,Hair_back,60.8,-32.3,-56,0,22,0.9,0","Nayedien,Hair_outer,64.6,-70.7,-54,0,23,1,0","Nayedien,Hair_inner,76,7.6,-91,0,23,1,0","Nayedien,Hair_extend_3,108.4,-56.7,7,1,5,1,0","Nayedien,Hair_extend_2,163.6,-27.9,-85,0,5,1,0","Nayedien,Hair_extend_2,133.6,-107.7,-143,1,25,1,0","Nayedien,Hair_extend_2,192.2,-6.9,2,0,26,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
