Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Nraesier,Head,7.5,-271.7,0,0,4,1,0","Nraesier,Neck,2,-249.2,-7,0,8,1,0","Nraesier,Body,0.6,-179.2,0,0,7,1,0","Nraesier,Arm Up,-33.6,-213,-30,0,7,1,0","Nraesier,Arm Low,-59.4,-174.4,-37,1,7,1,0","Nraesier,Fist,-78,-146.2,-44,0,9,1,0","Nraesier,Arm Up Back,33,-208.7,6,0,13,1,0","Nraesier,Arm Low,58.4,-170.8,38,0,13,1,0","Nraesier,Fist Back,79.6,-143.2,23,0,16,1,0","Nraesier,Leg Up,-21.5,-103.2,-15.2,1,11,1,0","Nraesier,Leg Low,-27.5,-52.2,-8,0,10,1,0","Nraesier,Foot,-26.4,-11.7,4.4,0,13,1,0","Nraesier,Leg Up,24,-106.2,12.7,1,15,1,0","Nraesier,Leg Low,40,-55.7,5.5,0,13,1,0","Nraesier,Foot,50.1,-13.2,8.5,0,15,1,0",,,"Nraesier,Cape,1.4,-213.4,-4,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Nraesier,Head,-2.5,-235.7,0,0,4,1,0","Nraesier,Neck,-8,-216.2,-13,0,8,1,0","Nraesier,Body,-4.4,-144.2,2,0,7,1,0",,"Nraesier,Arm Low,-50.8,-136.8,-12,1,7,1,0","Nraesier,Fist,-52.6,-98.6,-6,0,2,1,0",,"Nraesier,Arm Low,56.4,-147.8,64,0,13,1,0","Nraesier,Fist Back,85,-133,45,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,43,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-16,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,-1.6,-177.4,1,0,6,1,0","Item,Beer Mug,111.8,-123.4,-17,1,19,1,0","Item,Meat,-22,-98.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/1,"Nraesier,Head,0.5,-235.7,-2,0,4,1,0","Nraesier,Neck,-5,-216.2,-15,0,8,1,0","Nraesier,Body,-4.4,-144.2,0,0,7,1,0",,"Nraesier,Arm Low,-50.8,-136.8,-10,1,7,1,0","Nraesier,Fist,-52.6,-99.6,-9,0,2,1,0",,"Nraesier,Arm Low,53.4,-145.8,65,0,13,1,0","Nraesier,Fist Back,83,-131,45,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,47,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-18,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,0.4,-177.4,-1,0,6,1,0","Item,Beer Mug,111.8,-123.4,-13,1,19,1,0","Item,Meat,-22,-98.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
Idle/2,"Nraesier,Head,2.5,-233.7,-2,0,4,1,0","Nraesier,Neck,-3,-216.2,-15,0,8,1,0","Nraesier,Body,-4.4,-144.2,-1,0,7,1,0",,"Nraesier,Arm Low,-52.8,-136.8,-12,1,7,1,0","Nraesier,Fist,-57.6,-99.6,-12,0,2,1,0",,"Nraesier,Arm Low,50.4,-144.8,65,0,13,1,0","Nraesier,Fist Back,80,-129,53,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,49,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-20,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,0.4,-177.4,-3,0,6,1,0","Item,Beer Mug,107.8,-123.4,-10,1,19,1,0","Item,Meat,-26,-100.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/3,"Nraesier,Head,6.5,-233.7,-5,0,4,1,0","Nraesier,Neck,-1,-216.2,-18,0,8,1,0","Nraesier,Body,-4.4,-144.2,-3,0,7,1,0",,"Nraesier,Arm Low,-52.8,-138.8,-10,1,7,1,0","Nraesier,Fist,-55.6,-99.6,-6,0,2,1,0",,"Nraesier,Arm Low,50.4,-144.8,68,0,13,1,0","Nraesier,Fist Back,80,-131,57,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,51,1,11,1,0","Nraesier,Leg Low,7.4,-38.2,-22,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,0.4,-177.4,-5,0,6,1,0","Item,Beer Mug,107.8,-125.4,-8,1,19,1,0","Item,Meat,-27,-103.4,-90,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,,
Idle/4,"Nraesier,Head,2.5,-233.7,-2,0,4,1,0","Nraesier,Neck,-3,-216.2,-15,0,8,1,0","Nraesier,Body,-4.4,-144.2,-1,0,7,1,0",,"Nraesier,Arm Low,-52.8,-136.8,-12,1,7,1,0","Nraesier,Fist,-57.6,-99.6,-12,0,2,1,0",,"Nraesier,Arm Low,50.4,-144.8,65,0,13,1,0","Nraesier,Fist Back,80,-129,53,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,49,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-20,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,0.4,-177.4,-3,0,6,1,0","Item,Beer Mug,107.8,-123.4,-10,1,19,1,0","Item,Meat,-26,-100.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/5,"Nraesier,Head,0.5,-235.7,-2,0,4,1,0","Nraesier,Neck,-5,-216.2,-15,0,8,1,0","Nraesier,Body,-4.4,-144.2,0,0,7,1,0",,"Nraesier,Arm Low,-50.8,-136.8,-10,1,7,1,0","Nraesier,Fist,-52.6,-99.6,-9,0,2,1,0",,"Nraesier,Arm Low,53.4,-145.8,65,0,13,1,0","Nraesier,Fist Back,83,-131,45,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,47,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-18,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,0.4,-177.4,-1,0,6,1,0","Item,Beer Mug,111.8,-123.4,-13,1,19,1,0","Item,Meat,-22,-98.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCityStandIdle/0,"Nraesier,Head,-2.5,-235.7,3,0,4,1,0","Nraesier,Neck,-8,-216.2,-13,0,8,1,0","Nraesier,Body,-4.4,-144.2,2,0,7,1,0",,"Nraesier,Arm Low,-50.8,-136.8,-12,1,7,1,0","Nraesier,Fist,-52.6,-101.6,-6,0,2,1,0",,"Nraesier,Arm Low,56.4,-147.8,58,0,13,1,0","Nraesier,Fist Back,83,-130,40,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,43,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-16,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape,-1.6,-177.4,1,0,6,1,0","Item,Beer Mug,108.8,-118.4,-19,1,19,1,0","Item,Meat,-22,-100.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,
PresetCityStandIdle/1,"Nraesier,Head,3.5,-235.7,-3,0,4,1,0","Nraesier,Neck,-4,-213.2,-13,0,8,1,0","Nraesier,Body,-2.4,-144.2,1,0,7,1,0",,"Nraesier,Arm Low,-47.8,-136.8,-5,1,7,1,0","Nraesier,Fist,-43.6,-101.6,-2,0,2,1,0","Nraesier,Arm Up,31.4,-180.6,23,1,14,1,0","Nraesier,Arm Low,59.4,-161.8,105,0,13,1,0","Nraesier,Fist Back,87.8,-165.4,76,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,43,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-16,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape Drink,0.4,-177.4,0,0,6,1,0","Item,Beer Mug,112.2,-169.2,12,1,19,1,0","Item,Meat,-16,-104.4,-80,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,
PresetCityStandIdle/2,"Nraesier,Head,9.5,-235.7,-6,0,4,1,0","Nraesier,Neck,2,-213.2,-13,0,8,1,0","Nraesier,Body,-0.4,-144.2,-1,0,7,1,0",,"Nraesier,Arm Low,-48.8,-143.8,-12,1,7,1,0","Nraesier,Fist,-50.6,-106.6,-7,0,2,1,0","Nraesier,Arm Up,41.4,-183.6,33,1,7,1,0","Nraesier,Arm Low,66.4,-173.8,134,0,13,1,0","Nraesier,Fist Back,90.8,-191.4,86,0,16,1,0","Nraesier,Leg Up,-10.5,-69.2,43,1,11,1,0","Nraesier,Leg Low,7.4,-39.2,-16,0,10,1,0","Nraesier,Foot,2.8,-5.2,-4.6,0,13,1,0","Nraesier,Leg Up,22,-77.2,71.7,1,15,1,0","Nraesier,Leg Low,53.4,-50,1.5,0,13,1,0","Nraesier,Foot,57.6,-15.8,6.5,0,15,1,0",,,"Nraesier,Cape Drink,4.4,-180.4,1,0,6,1,0","Item,Beer Mug,120.2,-196.2,12,1,19,0.9,0","Item,Meat,-20,-107.4,-95,0,3,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,
