Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Approve/0,"Orsanoas,Head,14.6,-297.4,2.5,0,5,1,0","Orsanoas,Neck,10,-275.2,9,0,9,1,0","Orsanoas,Body,0.6,-186.2,-3,0,6,1,0","Orsanoas,Arm Up,-49.3,-208.6,-13,0,4,1,0","Orsanoas,Arm Low,-48,-168.2,23,0,3,1,0","Orsanoas,Fist,-27,-132.6,57,1,5,1,0","Orsanoas,Arm Up,32.8,-218.4,-7,1,13,1,0","Orsanoas,Arm Low,48.6,-174.2,23,1,13,1,0","Orsanoas,Fist Back,65.6,-145.4,34,1,11,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,32,-95.2,18.7,0,12,1,0","Orsanoas,Leg Low,44,-47.7,4.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-44.2,-194.6,-13,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/1,"Orsanoas,Head,10.6,-297.4,5.5,0,5,1,0","Orsanoas,Neck,8,-275.2,9,0,9,1,0","Orsanoas,Body,-1.4,-186.2,-1,0,6,1,0","Orsanoas,Arm Up,-33.3,-207.6,16,0,4,1,0","Orsanoas,Arm Low,-14,-159.2,30,0,3,1,0","Orsanoas,Fist,9,-127.6,57,1,5,1,0","Orsanoas,Arm Up,38.8,-220.4,19,1,13,1,0","Orsanoas,Arm Low,53.6,-177.2,6,1,13,1,0","Orsanoas,Fist Back,53.6,-142.4,-4,1,11,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,32,-95.2,18.7,0,12,1,0","Orsanoas,Leg Low,44,-47.7,4.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-43.2,-188.6,-4,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/2,"Orsanoas,Head,5.6,-297.4,7.5,0,5,1,0","Orsanoas,Neck,5,-275.2,9,0,9,1,0","Orsanoas,Body,-1.4,-187.2,1,0,6,1,0","Orsanoas,Arm Up,-35.3,-205.6,22,0,4,1,0","Orsanoas,Arm Low,-7,-182.2,80,0,3,1,0","Orsanoas,Fist,28,-173.6,73,1,5,1,0","Orsanoas,Arm Up,38.8,-220.4,19,1,13,1,0","Orsanoas,Arm Low,35.6,-184.2,-36,1,6,1,0","Orsanoas,Fist,15.6,-158.4,-50,1,6,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,34,-95.2,21.7,0,12,1,0","Orsanoas,Leg Low,46,-47.7,1.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-43.2,-184.6,0,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/3,"Orsanoas,Head,2.6,-299.4,12.5,0,5,1,0","Orsanoas,Neck,3,-275.2,9,0,9,1,0","Orsanoas,Body,-1.4,-187.2,1,0,6,1,0","Orsanoas,Arm Up,-35.3,-205.6,25,0,4,1,0","Orsanoas,Arm Low,-6,-200.2,122,0,3,1,0","Orsanoas,Fist,26,-213.6,99,1,6,1,0","Orsanoas,Arm Up,38.8,-221.4,19,1,13,1,0","Orsanoas,Arm Low,30.6,-201.2,-85,1,6,1,0","Orsanoas,Fist,-1.2,-206.8,-104,1,6,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,34,-95.2,21.7,0,12,1,0","Orsanoas,Leg Low,46,-47.7,1.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-41.2,-179.6,3,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/4,"Orsanoas,Head,7.6,-297.4,3.5,0,5,1,0","Orsanoas,Neck,5,-275.2,9,0,9,1,0","Orsanoas,Body,0.6,-187.2,-1,0,6,1,0","Orsanoas,Arm Up,-33.3,-205.6,21,0,4,1,0","Orsanoas,Arm Low,-4,-200.2,120,0,3,1,0","Orsanoas,Fist,28,-213.6,97,1,6,1,0","Orsanoas,Arm Up,42.8,-219.4,17,1,13,1,0","Orsanoas,Arm Low,32.6,-199.2,-87,1,6,1,0","Orsanoas,Fist,0.8,-206.8,-111,1,6,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,34,-95.2,21.7,0,12,1,0","Orsanoas,Leg Low,46,-47.7,1.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-44.2,-184.6,-4,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Approve/5,"Orsanoas,Head,29.6,-290.4,-10.5,0,5,1,0","Orsanoas,Neck,19,-275.2,18,0,9,1,0","Orsanoas,Body,4.6,-186.2,-6,0,6,1,0","Orsanoas,Arm Up,-25.3,-206.6,21,0,4,1,0","Orsanoas,Arm Low,4,-201.2,116,0,3,1,0","Orsanoas,Fist,36,-214.6,93,1,6,1,0","Orsanoas,Arm Up,48.8,-218.4,14,1,13,1,0","Orsanoas,Arm Low,38.6,-199.2,-93,1,6,1,0","Orsanoas,Fist,6.8,-206.8,-117,1,6,1,0","Orsanoas,Leg Up,-30.2,-94.2,-14.2,0,8,1,0","Orsanoas,Leg Low,-38.5,-47.2,-6,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,37,-97.2,25.7,0,12,1,0","Orsanoas,Leg Low,49,-49.7,-6.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-40.2,-198.6,-19,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/6,"Orsanoas,Head,29.6,-287.4,-15.5,0,5,1,0","Orsanoas,Neck,19,-275.2,18,0,9,1,0","Orsanoas,Body,4.6,-186.2,-6,0,6,1,0","Orsanoas,Arm Up,-25.3,-206.6,20,0,4,1,0","Orsanoas,Arm Low,4,-202.2,118,0,3,1,0","Orsanoas,Fist,36,-214.6,87,1,6,1,0","Orsanoas,Arm Up,48.8,-217.4,14,1,13,1,0","Orsanoas,Arm Low,36.6,-201.2,-96,1,6,1,0","Orsanoas,Fist,6.8,-205.8,-108,1,6,1,0","Orsanoas,Leg Up,-30.2,-94.2,-14.2,0,8,1,0","Orsanoas,Leg Low,-38.5,-47.2,-6,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,39,-97.2,27.7,0,12,1,0","Orsanoas,Leg Low,51,-49.7,-8.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-38.2,-198.6,-16,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Approve/7,"Orsanoas,Head,25.6,-292.4,-4.5,0,5,1,0","Orsanoas,Neck,17,-275.2,18,0,9,1,0","Orsanoas,Body,4.6,-186.2,-4,0,6,1,0","Orsanoas,Arm Up,-25.3,-206.6,22,0,4,1,0","Orsanoas,Arm Low,4,-202.2,120,0,3,1,0","Orsanoas,Fist,36,-215.6,95,1,6,1,0","Orsanoas,Arm Up,48.8,-219.4,13,1,13,1,0","Orsanoas,Arm Low,36.6,-203.2,-94,1,6,1,0","Orsanoas,Fist,6.8,-208.8,-103,1,6,1,0","Orsanoas,Leg Up,-30.2,-94.2,-14.2,0,8,1,0","Orsanoas,Leg Low,-38.5,-47.2,-6,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,39,-97.2,27.7,0,12,1,0","Orsanoas,Leg Low,51,-49.7,-8.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-40.2,-195.6,-13,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approve/8,"Orsanoas,Head,7.6,-297.4,3.5,0,5,1,0","Orsanoas,Neck,5,-275.2,9,0,9,1,0","Orsanoas,Body,0.6,-187.2,-1,0,6,1,0","Orsanoas,Arm Up,-31.3,-205.6,21,0,4,1,0","Orsanoas,Arm Low,-4,-200.2,120,0,3,1,0","Orsanoas,Fist,28,-213.6,97,1,6,1,0","Orsanoas,Arm Up,40.8,-221.4,17,1,13,1,0","Orsanoas,Arm Low,32.6,-199.2,-87,1,6,1,0","Orsanoas,Fist,0.8,-206.8,-111,1,6,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,34,-95.2,21.7,0,12,1,0","Orsanoas,Leg Low,46,-47.7,1.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-44.2,-184.6,-4,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
Approve/9,"Orsanoas,Head,5.6,-297.4,7.5,0,5,1,0","Orsanoas,Neck,5,-275.2,9,0,9,1,0","Orsanoas,Body,-1.4,-187.2,1,0,6,1,0","Orsanoas,Arm Up,-39.3,-205.6,18,0,4,1,0","Orsanoas,Arm Low,-16,-175.2,69,0,3,1,0","Orsanoas,Fist,20,-161.6,73,1,5,1,0","Orsanoas,Arm Up,38.8,-220.4,19,1,13,1,0","Orsanoas,Arm Low,35.6,-184.2,-36,1,6,1,0","Orsanoas,Fist,15.6,-158.4,-50,1,6,1,0","Orsanoas,Leg Up,-28.2,-89.2,-10.2,0,8,1,0","Orsanoas,Leg Low,-36.5,-46.2,-14,0,12,1,0","Orsanoas,Foot,-32.4,-5.7,0.4,0,15,1,0","Orsanoas,Leg Up,34,-95.2,21.7,0,12,1,0","Orsanoas,Leg Low,46,-47.7,1.5,0,15,1,0","Orsanoas,Foot,55.1,-7.2,3.5,0,17,1,0",,,"Orsanoas,Cloak,-43.2,-184.6,0,0,14,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,,
