Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Peurrus,Head,1.5,-264.7,0,0,4,1,0","Peurrus,Neck,5,-229.2,-2,0,18,1,0","Peurrus,Body,-2.4,-165.2,-0.5,0,15,1,0","Peurrus,Arm Up,-66.5,-197.2,-66,0,17,1,0","Peurrus,Arm Low,-105.6,-190.4,-73,0,12,1,0","Peurrus,Fist,-136.2,-178.6,-70,0,14,1,0","Peurrus,Arm Up,52,-201.7,59,1,22,1,0","Peurrus,Arm Low,89.6,-191,66,1,22,1,0","Peurrus,Fist,119.4,-174.8,65,1,27,1,0","Peurrus,Leg Up,-23.5,-80.2,-4.2,0,24,1,0","Peurrus,Leg Low,-30.5,-39.2,-9,0,23,1,0","Peurrus,Foot,-26.4,-7.7,0,0,22,1,0","Peurrus,Leg Up,22.2,-80.4,13,0,26,1,0","Peurrus,Leg Low,28,-40.7,9.5,0,25,1,0","Peurrus,Foot,42.1,-7.2,0,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Peurrus,Head,4.8,-266.4,-3,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-2.4,-165.2,-0.5,0,15,1,0","Peurrus,Arm Up,-44,-184.4,-14,0,17,1,0","Peurrus,Arm Low,-49.2,-142.8,16,0,12,1,0","Peurrus,Fist,-35.6,-117.4,39,0,14,1,0","Peurrus,Arm Up,37.2,-192,16,1,22,1,0","Peurrus,Arm Low,64.8,-159,38,1,22,1,0","Peurrus,Open,85.2,-128.4,30,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Peurrus,Head,2.8,-266.4,1,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-2.4,-165.2,-0.5,0,15,1,0","Peurrus,Arm Up,-44,-184.4,-14,0,17,1,0","Peurrus,Arm Low,-50.2,-142.8,13,0,12,1,0","Peurrus,Fist,-39.6,-115.4,35,0,14,1,0","Peurrus,Arm Up,37.2,-192,16,1,22,1,0","Peurrus,Arm Low,62.8,-157,31,1,22,1,0","Peurrus,Open,80.2,-125.4,29,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"Peurrus,Head,-4.2,-266.4,5,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-4.4,-165.2,1.5,0,15,1,0","Peurrus,Arm Up,-47,-183.4,-16,0,17,1,0","Peurrus,Arm Low,-53.2,-141.8,11,0,12,1,0","Peurrus,Fist,-42.6,-114.4,33,0,14,1,0","Peurrus,Arm Up,34.2,-192,19,1,22,1,0","Peurrus,Arm Low,58.8,-157,30,1,22,1,0","Peurrus,Open,72.2,-123.4,22,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"Peurrus,Head,-7.2,-266.4,10,0,4,1,0","Peurrus,Neck,2.4,-234.8,-6,0,18,1,0","Peurrus,Body,-4.4,-165.2,2.5,0,15,1,0","Peurrus,Arm Up,-47,-181.4,-14,0,17,1,0","Peurrus,Arm Low,-53.2,-139.8,13,0,12,1,0","Peurrus,Fist,-42.6,-112.4,35,0,14,1,0","Peurrus,Arm Up,34.2,-192,19,1,22,1,0","Peurrus,Arm Low,55.8,-157,24,1,22,1,0","Peurrus,Open,67.2,-122.4,22,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"Peurrus,Head,-4.2,-266.4,5,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-4.4,-165.2,1.5,0,15,1,0","Peurrus,Arm Up,-47,-183.4,-16,0,17,1,0","Peurrus,Arm Low,-53.2,-141.8,11,0,12,1,0","Peurrus,Fist,-42.6,-114.4,33,0,14,1,0","Peurrus,Arm Up,34.2,-192,19,1,22,1,0","Peurrus,Arm Low,58.8,-157,30,1,22,1,0","Peurrus,Open,72.2,-123.4,22,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"Peurrus,Head,2.8,-266.4,1,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-2.4,-165.2,-0.5,0,15,1,0","Peurrus,Arm Up,-44,-184.4,-14,0,17,1,0","Peurrus,Arm Low,-50.2,-142.8,13,0,12,1,0","Peurrus,Fist,-39.6,-115.4,35,0,14,1,0","Peurrus,Arm Up,37.2,-192,16,1,22,1,0","Peurrus,Arm Low,62.8,-157,31,1,22,1,0","Peurrus,Open,80.2,-125.4,29,1,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/0,"Peurrus,Head,4.8,-266.4,-3,0,4,1,0","Peurrus,Neck,4.4,-234.8,-6,0,18,1,0","Peurrus,Body,-2.4,-165.2,-0.5,0,15,1,0","Peurrus,Arm Up,-42,-182.4,-16,0,17,1,0","Peurrus,Arm Low,-49.2,-142.8,16,0,12,1,0","Peurrus,Fist,-35.6,-117.4,39,0,14,1,0","Peurrus,Arm Up,49.2,-201,50,1,22,1,0","Peurrus,Arm Low,94.8,-198,96,1,22,1,0","Peurrus,Open,129.4,-198.8,72,0,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/1,"Peurrus,Head,8.8,-266.4,-5,0,4,1,0","Peurrus,Neck,8.4,-234.8,-6,0,18,1,0","Peurrus,Body,-0.4,-165.2,-2.5,0,15,1,0","Peurrus,Arm Up,-39,-186.4,-17,0,17,1,0","Peurrus,Arm Low,-47.2,-144.8,16,0,12,1,0","Peurrus,Fist,-32.6,-117.4,42,0,14,1,0","Peurrus,Arm Up,49.2,-198,46,1,22,1,0","Peurrus,Arm Low,95.8,-187,84,1,22,1,0","Peurrus,Open,135.4,-177.8,71,0,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/2,"Peurrus,Head,11.8,-266.4,-10,0,4,1,0","Peurrus,Neck,9.4,-234.8,-6,0,18,1,0","Peurrus,Body,-0.4,-165.2,-4.5,0,15,1,0","Peurrus,Arm Up,-39,-186.4,-22,0,17,1,0","Peurrus,Arm Low,-44.2,-144.8,23,0,12,1,0","Peurrus,Fist,-27.6,-117.4,45,0,14,1,0","Peurrus,Arm Up,49.2,-198,46,1,22,1,0","Peurrus,Arm Low,94.8,-183,71,1,22,1,0","Peurrus,Open,133.4,-167.8,67,0,27,1,0","Peurrus,Leg Up,-6.5,-91.2,32,0,24,1,0","Peurrus,Leg Low,-2.5,-44.2,-3,0,23,1,0","Peurrus,Foot,5.4,-8.2,0,0,22,1,0","Peurrus,Leg Up,32.2,-91.4,36,0,26,1,0","Peurrus,Leg Low,43,-47.7,6.5,0,25,1,0","Peurrus,Foot,57.1,-11.2,3,0,24,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
