Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Rban9,Head,0.4,-152.4,-14,0,2,1,0","Rban9,Neck,-3.6,-138.8,-3,0,4,1,0","Rban9,Body,1.6,-100.8,-3.5,0,5,1,0","Rban9,Arm Up,-21.6,-122.8,-55,0,5,1,0","Rban9,Arm Low,-37.8,-115.6,-75,0,4,1,0","Rban9,Fist,-53.2,-111.4,-96,0,9,1,0","Rban9,Arm Up,19.2,-120,52,1,13,1,0","Rban9,Arm Low,35.2,-111.6,65,1,13,1,0","Rban9,Fist,46,-100.8,21,0,19,1,0","Rban9,Leg Up,-16.6,-57.2,-24.7,0,4,1,0","Rban9,Leg Low,-26,-28.2,1,0,10,1,0","Rban9,Foot,-29.4,-4.8,-22.6,0,13,1,0","Rban9,Leg Up,4.6,-58.6,24.7,0,12,1,0","Rban9,Leg Low,14.6,-30.4,28.5,0,13,1,0","Rban9,Foot,24.4,-7.8,-10.5,0,15,1,0",,,"Rban9,Ear,-23,-190.2,63,0,0,1,0","Rban9,Ear_back,-6.4,-195.2,43,0,12,1,0","Rban9,Tail,-28.8,-81,-5,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirArrive2/0,"Rban9,Head,25.2,-150.6,-110,0,2,1,0","Rban9,Neck,10.2,-157.6,-114,0,4,1,0","Rban9,Body,-24.2,-172.6,-123.5,0,5,1,0","Rban9,Arm Up,-8,-152.2,26,0,5,1,0","Rban9,Arm Low,-6,-136.2,1,0,4,1,0","Rban9,Fist,-5.2,-122.2,-27,0,9,1,0","Rban9,Arm Up,11.4,-136.8,1,1,13,1,0","Rban9,Arm Low,14.6,-120,24,1,13,1,0","Rban9,Fist,22.2,-106.2,57,1,19,1,0","Rban9,Leg Up,-64.4,-210.2,-121,0,4,1,0","Rban9,Leg Low,-84.4,-220,-137,0,10,1,0","Rban9,Foot,-96.8,-238.2,-169,0,13,1,0","Rban9,Leg Up,-59.4,-200.6,-115,0,12,1,0","Rban9,Leg Low,-78.2,-219,-179,0,13,1,0","Rban9,Foot,-79.4,-239.2,164,0,15,1,0","Rabbit Dagger,Base,4.6,-87.6,14,0,21,1,1","Rabbit Dagger,Base,34.8,-77.6,25,0,21,1,1","Rban9,Ear,42.2,-189.6,25,0,0,1,0","Rban9,Ear_back,54.2,-184.2,-4,0,12,1,0","Rban9,Tail,-40,-217,-119,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatAirArrive2/1,"Rban9,Head,25.2,-150.6,-112,0,2,1,0","Rban9,Neck,10.2,-157.6,-116,0,4,1,0","Rban9,Body,-24.2,-172.6,-125.5,0,5,1,0","Rban9,Arm Up,-8,-152.2,24,0,5,1,0","Rban9,Arm Low,-6,-136.2,-1,0,4,1,0","Rban9,Fist,-5.2,-122.2,-29,0,9,1,0","Rban9,Arm Up,11.4,-136.8,-1,1,13,1,0","Rban9,Arm Low,14.6,-120,22,1,13,1,0","Rban9,Fist,22.2,-106.2,55,1,19,1,0","Rban9,Leg Up,-64.4,-210.2,-123,0,4,1,0","Rban9,Leg Low,-81.4,-223,-143,0,10,1,0","Rban9,Foot,-93.8,-239.2,-180,0,13,1,0","Rban9,Leg Up,-59.4,-200.6,-117,0,12,1,0","Rban9,Leg Low,-78.2,-219,-181,0,13,1,0","Rban9,Foot,-79.4,-242.2,152,0,15,1,0","Rabbit Dagger,Base,2.6,-87.6,12,0,21,1,1","Rabbit Dagger,Base,32.8,-77.6,23,0,21,1,1","Rban9,Ear,42.2,-189.6,20,0,0,1,0","Rban9,Ear_back,54.2,-184.2,-10,0,12,1,0","Rban9,Tail,-38,-217,-135,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirArrive2Prepare/0,"Rban9,Head,30.1,-197.4,-87,0,2,1,0","Rban9,Neck,9.1,-196.4,-89,0,4,1,0","Rban9,Body,-23.3,-190.4,-87.5,0,5,1,0","Rban9,Arm Up,-11.1,-196,-21,0,5,1,0","Rban9,Arm Low,-10.1,-183,43,0,4,1,0","Rban9,Fist,5.2,-175.4,44,0,9,1,0","Rban9,Arm Up,7.3,-171.6,-48,1,13,1,0","Rban9,Arm Low,-5.4,-171.6,-153,1,13,1,0","Rban9,Fist,7.8,-169.8,101,1,3,1,0","Rban9,Leg Up,-75,-192.2,-92,0,4,1,0","Rban9,Leg Low,-104.2,-200.4,-130,0,10,1,0","Rban9,Foot,-121.3,-216.3,-169,0,13,1,0","Rban9,Leg Up,-75.4,-196.4,-85,0,12,1,0","Rban9,Leg Low,-99.6,-200.8,-122,0,13,1,0","Rban9,Foot,-107.9,-213.3,170,0,15,1,0","Rabbit Dagger,Base,36.8,-185.6,116,0,10,1,1","Rabbit Dagger,Base,0.4,-200.4,-169,0,4,1,1","Rban9,Ear,20.1,-236.4,65,0,0,1,0","Rban9,Ear_back,29.1,-232,55,0,12,1,0","Rban9,Tail,-60.2,-215.2,-110,0,2,1,0",,,,,,,,"Animal7,Head,57.4,-309.4,-35,0,4,1,0","Animal7,Neck,31.8,-294.4,-54,0,6,1,0","Animal7,Body,-12,-283,-84,0,7,1,0","Animal7,Fly,-89.2,-340.8,-33,0,10,1,0",,,"Animal7,Fly,-112.6,-325,-29,0,0,1,0",,,"Animal7,Leg Up,-28.2,-246.6,-30,0,6,1,0","Animal7,Leg Low,-44.8,-223.8,-23,0,7,1,0","Animal7,Foot,-41.4,-200,-19,0,7,1,0","Animal7,Leg Up,-9.4,-248.6,-12,0,9,1,0","Animal7,Leg Low,-21,-222.6,-10,0,10,1,0","Animal7,Foot,-10,-201.2,-4,0,11,1,0",,,"Animal7,Tail,-71.6,-288.6,-50,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/1,"Rban9,Head,19.2,-206.6,-12,0,2,1,0","Rban9,Neck,8.2,-194.6,-71,0,4,1,0","Rban9,Body,-24.2,-194.6,-89.5,0,5,1,0","Rban9,Arm Up,-11,-186.2,-11,0,5,1,0","Rban9,Arm Low,-12.4,-166.6,16,0,4,1,0","Rban9,Fist,-7.2,-150.6,-17,0,9,1,0","Rban9,Arm Up,2.4,-183.8,22,1,13,1,0","Rban9,Arm Low,13.8,-172.4,78,1,13,1,0","Rban9,Fist,26.4,-171.2,125,1,19,1,0","Rban9,Leg Up,-64.4,-187.2,-44.7,0,4,1,0","Rban9,Leg Low,-87,-170,-64,0,10,1,0","Rban9,Foot,-105,-162.6,-73,0,13,1,0","Rban9,Leg Up,-51.4,-179.6,-40,0,12,1,0","Rban9,Leg Low,-75,-159.8,-59,0,13,1,0","Rban9,Foot,-95.8,-150.2,-78,0,15,1,0","Rabbit Spear,Base,65,-203,129,0,21,1.1,0",,"Rban9,Ear,0,-250.2,56,0,0,1,0","Rban9,Ear_back,24.8,-246.4,18,0,12,1,0","Rban9,Tail,-63,-215,-69,0,2,1,0",,,,,,,,"Animal7,Head,57.4,-309.4,-35,0,4,1,0","Animal7,Neck,31.8,-294.4,-54,0,6,1,0","Animal7,Body,-12,-283,-84,0,7,1,0","Animal7,Fly,-92.2,-336.8,-27,0,10,1,0",,,"Animal7,Fly,-114.6,-322,-22,0,0,1,0",,,"Animal7,Leg Up,-28.2,-246.6,-30,0,6,1,0","Animal7,Leg Low,-44.8,-223.8,-23,0,7,1,0","Animal7,Foot,-41.4,-200,-19,0,7,1,0","Animal7,Leg Up,-9.4,-248.6,-12,0,9,1,0","Animal7,Leg Low,-21,-222.6,-10,0,10,1,0","Animal7,Foot,-10,-201.2,-4,0,11,1,0",,,"Animal7,Tail,-71.6,-288.6,-50,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/2,"Rban9,Head,22.2,-209.6,-9,0,2,1,0","Rban9,Neck,13.2,-203.6,-59,0,4,1,0","Rban9,Body,-24.2,-196.6,-83.5,0,5,1,0","Rban9,Arm Up,-8,-182.2,24,0,5,1,0","Rban9,Arm Low,0.6,-167.6,50,0,4,1,0","Rban9,Fist,15.8,-156.6,8,0,9,1,0","Rban9,Arm Up,7.4,-190.8,22,1,13,1,0","Rban9,Arm Low,18.8,-177.4,65,1,13,1,0","Rban9,Fist,31.4,-173.2,107,1,19,1,0","Rban9,Leg Up,-64.4,-187.2,-44.7,0,4,1,0","Rban9,Leg Low,-87,-170,-64,0,10,1,0","Rban9,Foot,-105,-162.6,-73,0,13,1,0","Rban9,Leg Up,-51.4,-179.6,-40,0,12,1,0","Rban9,Leg Low,-75,-159.8,-59,0,13,1,0","Rban9,Foot,-95.8,-150.2,-78,0,15,1,0","Rabbit Spear,Base,53,-211,154,0,21,1.1,0",,"Rban9,Ear,-9,-243.2,83,0,0,1,0","Rban9,Ear_back,12.8,-250.4,53,0,12,1,0","Rban9,Tail,-63,-217,-78,0,2,1,0",,,,,,,,"Animal7,Head,58.4,-295.4,-67,0,4,1,0","Animal7,Neck,31.8,-290.4,-58,0,6,1,0","Animal7,Body,-12,-281,-84,0,7,1,0","Animal7,Fly,-91.2,-336.8,-31,0,10,1,0",,,"Animal7,Fly,-114.6,-321,-27,0,0,1,0",,,"Animal7,Leg Up,-28.2,-244.6,-28,0,6,1,0","Animal7,Leg Low,-43.8,-228.8,-25,0,7,1,0","Animal7,Foot,-41.4,-205,-17,0,7,1,0","Animal7,Leg Up,-9.4,-246.6,-10,0,9,1,0","Animal7,Leg Low,-21,-220.6,-8,0,10,1,0","Animal7,Foot,-10,-199.2,-2,0,11,1,0",,,"Animal7,Tail,-71.6,-279.6,-37,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/3,"Rban9,Head,22.2,-207.6,-21,0,2,1,0","Rban9,Neck,13.2,-203.6,-59,0,4,1,0","Rban9,Body,-24.2,-194.6,-90.5,0,5,1,0","Rban9,Arm Up,-6,-185.2,17,0,5,1,0","Rban9,Arm Low,-1.4,-166.6,41,0,4,1,0","Rban9,Fist,12.8,-152.6,3,0,9,1,0","Rban9,Arm Up,7.4,-187.8,17,1,13,1,0","Rban9,Arm Low,18.8,-175.4,59,1,13,1,0","Rban9,Fist,31.4,-169.2,107,1,19,1,0","Rban9,Leg Up,-64.4,-187.2,-44.7,0,4,1,0","Rban9,Leg Low,-87,-170,-64,0,10,1,0","Rban9,Foot,-105,-162.6,-73,0,13,1,0","Rban9,Leg Up,-51.4,-179.6,-40,0,12,1,0","Rban9,Leg Low,-75,-159.8,-59,0,13,1,0","Rban9,Foot,-95.8,-150.2,-78,0,15,1,0","Rabbit Spear,Base,53,-198,146,0,21,1.1,0",,"Rban9,Ear,-2,-243.2,78,0,0,1,0","Rban9,Ear_back,19.8,-245.4,45,0,12,1,0","Rban9,Tail,-63,-213,-58,0,2,1,0",,,,,,,,"Animal7,Head,69.4,-309.4,-55,0,4,1,0","Animal7,Neck,42.8,-302.4,-55,0,6,1,0","Animal7,Body,-1,-293,-81,0,7,1,0","Animal7,Fly,-80.2,-348.8,-28,0,10,1,0",,,"Animal7,Fly,-103.6,-333,-24,0,0,1,0",,,"Animal7,Leg Up,-17.2,-256.6,-25,0,6,1,0","Animal7,Leg Low,-32.8,-240.8,-22,0,7,1,0","Animal7,Foot,-30.4,-217,-14,0,7,1,0","Animal7,Leg Up,1.6,-258.6,-7,0,9,1,0","Animal7,Leg Low,-10,-232.6,-5,0,10,1,0","Animal7,Foot,1,-211.2,1,0,11,1,0",,,"Animal7,Tail,-60.6,-291.6,-34,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/4,"Rban9,Head,23.2,-187.6,-65,0,2,1,0","Rban9,Neck,10.2,-183.6,-89,0,4,1,0","Rban9,Body,-24.2,-190.6,-110.5,0,5,1,0","Rban9,Arm Up,-14,-191.2,-45,0,5,1,0","Rban9,Arm Low,-25.4,-179.6,-37,0,4,1,0","Rban9,Fist,-28.2,-165.6,-55,0,9,1,0","Rban9,Arm Up,3.4,-176.8,16,1,13,1,0","Rban9,Arm Low,13.8,-160.4,42,1,13,1,0","Rban9,Fist,26.4,-152.2,92,1,19,1,0","Rban9,Leg Up,-70.4,-196.2,-68.7,0,4,1,0","Rban9,Leg Low,-93,-190,-81,0,10,1,0","Rban9,Foot,-113,-193.6,-162,0,13,1,0","Rban9,Leg Up,-58.4,-186.6,-57,0,12,1,0","Rban9,Leg Low,-80,-176.8,-81,0,13,1,0","Rban9,Foot,-100.8,-178.2,-133,0,15,1,0","Rabbit Spear,Base,44,-147,76,0,21,1,0",,"Rban9,Ear,36,-231.2,15,0,0,1,0","Rban9,Ear_back,58.8,-208.4,-39,0,12,1,0","Rban9,Tail,-60,-221,-76,0,2,1,0",,,,,,,,"Animal7,Head,88.4,-364.4,-11,0,4,1,0","Animal7,Neck,70.8,-347.4,-43,0,6,1,0","Animal7,Body,28,-325,-62,0,7,1,0","Animal7,Fly,-51.2,-371.8,-27,0,10,1,0",,,"Animal7,Fly,-75.6,-345,-15,0,0,1,0",,,"Animal7,Leg Up,11.8,-283.6,-28,0,6,1,0","Animal7,Leg Low,-7.8,-265.8,-34,0,7,1,0","Animal7,Foot,-9.4,-244,-22,0,7,1,0","Animal7,Leg Up,30.6,-289.6,-5,0,9,1,0","Animal7,Leg Low,21,-264.6,-20,0,10,1,0","Animal7,Foot,30,-238.2,-2,0,11,1,0",,,"Animal7,Tail,-31.6,-308.6,-24,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/5,"Rban9,Head,25.2,-157.6,-93,0,2,1,0","Rban9,Neck,10.2,-160.6,-111,0,4,1,0","Rban9,Body,-24.2,-175.6,-120.5,0,5,1,0","Rban9,Arm Up,-14,-176.2,-43,0,5,1,0","Rban9,Arm Low,-25.4,-164.6,-35,0,4,1,0","Rban9,Fist,-28.2,-147.6,-53,0,9,1,0","Rban9,Arm Up,2.4,-146.8,-47,1,13,1,0","Rban9,Arm Low,-4.8,-133.8,-11,1,13,1,0","Rban9,Fist,-4.4,-116.4,63,1,19,1,0","Rban9,Leg Up,-66.4,-198.2,-114,0,4,1,0","Rban9,Leg Low,-86.4,-213,-134,0,10,1,0","Rban9,Foot,-98.8,-231.2,-166,0,13,1,0","Rban9,Leg Up,-60.4,-188.6,-112,0,12,1,0","Rban9,Leg Low,-79.2,-209,-176,0,13,1,0","Rban9,Foot,-80.4,-229.2,167,0,15,1,0","Rabbit Spear,Stab,6,-102.2,37,0,21,1,0",,"Rban9,Ear,60.2,-189.6,-14,0,0,1,0","Rban9,Ear_back,66.2,-169.2,-48,0,12,1,0","Rban9,Tail,-53,-213,-84,0,2,1,0",,,,,,,,"Animal7,Head,139.4,-435.4,-11,0,4,1,0","Animal7,Neck,123.8,-414.4,-43,0,6,1,0","Animal7,Body,91,-388,-56,0,7,1,0","Animal7,Fly,-7.2,-414.8,-13,0,10,1,0",,,"Animal7,Fly,-17.6,-386,3,0,0,1,0",,,"Animal7,Leg Up,66.8,-349.6,-16,0,6,1,0","Animal7,Leg Low,51.2,-325.8,-34,0,7,1,0","Animal7,Foot,50.6,-305,-18,0,7,1,0","Animal7,Leg Up,93.6,-354.6,3,0,9,1,0","Animal7,Leg Low,84,-327.6,-20,0,10,1,0","Animal7,Foot,93,-307.2,-2,0,11,1,0",,,"Animal7,Tail,28.4,-361.6,-24,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/6,"Rban9,Head,25.2,-154.6,-96,0,2,1,0","Rban9,Neck,10.2,-157.6,-114,0,4,1,0","Rban9,Body,-24.2,-172.6,-123.5,0,5,1,0","Rban9,Arm Up,-14,-173.2,-46,0,5,1,0","Rban9,Arm Low,-25.4,-161.6,-38,0,4,1,0","Rban9,Fist,-28.2,-144.6,-56,0,9,1,0","Rban9,Arm Up,2.4,-143.8,-50,1,13,1,0","Rban9,Arm Low,-4.8,-130.8,-14,1,13,1,0","Rban9,Fist,-4.4,-113.4,60,1,19,1,0","Rban9,Leg Up,-66.4,-200.2,-121,0,4,1,0","Rban9,Leg Low,-86.4,-210,-137,0,10,1,0","Rban9,Foot,-98.8,-228.2,-169,0,13,1,0","Rban9,Leg Up,-60.4,-187.6,-115,0,12,1,0","Rban9,Leg Low,-79.2,-206,-179,0,13,1,0","Rban9,Foot,-80.4,-226.2,164,0,15,1,0","Rabbit Spear,Stab,4,-90.2,31,0,21,1,0",,"Rban9,Ear,47.2,-193.6,8,0,0,1,0","Rban9,Ear_back,51.2,-187.2,-1,0,12,1,0","Rban9,Tail,-45,-212,-108,0,2,1,0",,,,,,,,"Animal7,Head,265.7,-583.6,-6,0,4,1,0","Animal7,Neck,248.1,-562.6,-35,0,6,1,0","Animal7,Body,217.3,-536.2,-47,0,7,1,0","Animal7,Fly,119.1,-565,-9,0,10,1,0",,,"Animal7,Fly,108.7,-536.2,3,0,0,1,0",,,"Animal7,Leg Up,193.1,-497.8,-16,0,6,1,0","Animal7,Leg Low,177.5,-474,-34,0,7,1,0","Animal7,Foot,176.9,-453.2,-18,0,7,1,0","Animal7,Leg Up,219.9,-502.8,3,0,9,1,0","Animal7,Leg Low,210.3,-475.8,-20,0,10,1,0","Animal7,Foot,219.3,-455.4,-2,0,11,1,0",,,"Animal7,Tail,154.7,-506.8,-19,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
