Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Rban_hole,Head,-0.5,-44,-9,0,2,1,0","Rban_hole,Neck,1.4,-22.8,-3,0,4,1,0","Rban_hole,Body,0.8,-8.4,-1.5,0,5,1,0","Rban_hole,Arm Up,-19.2,-16,103,0,5,1,0","Rban_hole,Arm Low,-34.8,-15.6,-82,0,4,1,0","Rban_hole,Fist,-52.1,-12,-100,0,9,1,0","Rban_hole,Arm Up,14.3,-10.6,65,1,13,1,0","Rban_hole,Arm Low,34.3,-7.2,77,1,13,1,0","Rban_hole,Fist,49.1,-0.4,8,0,19,1,0","Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-25.9,-79.8,66,0,0,1,0","Rban_hole,Ear_back,-10.3,-82.8,52,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/0,"Rban_hole,Head,-0.5,-25,-9,0,2,1,0","Rban_hole,Neck,1.4,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-24.9,-57.8,66,0,0,1,0","Rban_hole,Ear_back,-9.3,-60.8,52,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/1,"Rban_hole,Head,-0.5,-25,-23,0,2,1,0","Rban_hole,Neck,1.4,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-17.9,-65.8,52,0,0,1,0","Rban_hole,Ear_back,-6.3,-65.8,36,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatStandDie/2,"Rban_hole,Head,3.5,-23,-30,0,2,1,0","Rban_hole,Neck,-2.6,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-11.9,-64.8,52,0,0,1,0","Rban_hole,Ear_back,2.7,-65.8,31,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/3,"Rban_hole,Head,4.5,-19,-49,0,2,1,0","Rban_hole,Neck,-2.6,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,25.1,-58.8,-4,0,0,1,0","Rban_hole,Ear_back,30.7,-56.8,-6,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/4,"Rban_hole,Head,4.5,-19,-49,0,2,1,0","Rban_hole,Neck,-2.6,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,37.1,-34.8,-57,0,0,1,0","Rban_hole,Ear_back,33.7,-20.8,-73,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/5,"Rban_hole,Head,4.5,-19,-49,0,2,1,0","Rban_hole,Neck,-2.6,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear_back,17.1,-8.8,-123,0,0,1,0","Rban_hole,Ear,24.7,-8.8,-107,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/0,"Rban_hole,Head,-0.5,-25,-9,0,2,1,0","Rban_hole,Neck,1.4,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-24.9,-57.8,66,0,0,1,0","Rban_hole,Ear_back,-9.3,-60.8,52,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/1,"Rban_hole,Head,-2.5,-25,16,0,2,1,0","Rban_hole,Neck,1.4,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-36.9,-53.8,85,0,0,1,0","Rban_hole,Ear_back,-21.3,-60.8,61,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/2,"Rban_hole,Head,-2.5,-25,31,0,2,1,0","Rban_hole,Neck,1.4,-7.8,-3,0,4,1,0",,,,,,,,"Rban_hole,Leg Up,-1.2,-5.2,1.3,0,4,1,0",,,,,,,,"Rban_hole,Ear,-40.9,-45.8,95,0,0,1,0","Rban_hole,Ear_back,-31.3,-58.8,71,0,12,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
