Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Rban_killer,Head,0.4,-152.4,-14,0,2,1,0","Rban_killer,Neck,-3.6,-138.8,-3,0,4,1,0","Rban_killer,Body,1.6,-100.8,-3.5,0,5,1,0","Rban_killer,Arm Up,-21.6,-122.8,-55,0,5,1,0","Rban_killer,Arm Low,-37.8,-115.6,-75,0,4,1,0","Rban_killer,Fist,-53.2,-111.4,-96,0,9,1,0","Rban_killer,Arm Up,19.2,-120,52,1,13,1,0","Rban_killer,Arm Low,35.2,-111.6,65,1,13,1,0","Rban_killer,Fist,46,-100.8,21,0,19,1,0","Rban_killer,Leg Up,-16.6,-57.2,-24.7,0,4,1,0","Rban_killer,Leg Low,-26,-28.2,1,0,10,1,0","Rban_killer,Foot,-29.4,-4.8,-22.6,0,13,1,0","Rban_killer,Leg Up,4.6,-58.6,24.7,0,12,1,0","Rban_killer,Leg Low,14.6,-30.4,28.5,0,13,1,0","Rban_killer,Foot,24.4,-7.8,-10.5,0,15,1,0",,,"Rban_killer,Ear,-23,-190.2,63,0,0,1,0","Rban_killer,Ear_back,-6.4,-195.2,43,0,12,1,0","Rban_killer,Tail,-28.8,-81,-5,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirArrive2/0,"Rban_killer,Head,25.2,-150.6,-110,0,2,1,0","Rban_killer,Neck,10.2,-157.6,-114,0,4,1,0","Rban_killer,Body,-24.2,-172.6,-123.5,0,5,1,0","Rban_killer,Arm Up,-8,-152.2,26,0,5,1,0","Rban_killer,Arm Low,-6,-136.2,1,0,4,1,0","Rban_killer,Fist,-5.2,-122.2,-27,0,9,1,0","Rban_killer,Arm Up,11.4,-136.8,1,1,13,1,0","Rban_killer,Arm Low,14.6,-120,24,1,13,1,0","Rban_killer,Fist,22.2,-106.2,57,1,19,1,0","Rban_killer,Leg Up,-64.4,-210.2,-121,0,4,1,0","Rban_killer,Leg Low,-84.4,-220,-137,0,10,1,0","Rban_killer,Foot,-96.8,-238.2,-169,0,13,1,0","Rban_killer,Leg Up,-59.4,-200.6,-115,0,12,1,0","Rban_killer,Leg Low,-78.2,-219,-179,0,13,1,0","Rban_killer,Foot,-79.4,-239.2,164,0,15,1,0","Rabbit Dagger,Base,4.6,-87.6,14,0,21,1,1","Rabbit Dagger,Base,34.8,-77.6,25,0,21,1,1","Rban_killer,Ear,42.2,-189.6,25,0,0,1,0","Rban_killer,Ear_back,54.2,-184.2,-4,0,12,1,0","Rban_killer,Tail,-40,-217,-119,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatAirArrive2/1,"Rban_killer,Head,25.2,-150.6,-112,0,2,1,0","Rban_killer,Neck,10.2,-157.6,-116,0,4,1,0","Rban_killer,Body,-24.2,-172.6,-125.5,0,5,1,0","Rban_killer,Arm Up,-8,-152.2,24,0,5,1,0","Rban_killer,Arm Low,-6,-136.2,-1,0,4,1,0","Rban_killer,Fist,-5.2,-122.2,-29,0,9,1,0","Rban_killer,Arm Up,11.4,-136.8,-1,1,13,1,0","Rban_killer,Arm Low,14.6,-120,22,1,13,1,0","Rban_killer,Fist,22.2,-106.2,55,1,19,1,0","Rban_killer,Leg Up,-64.4,-210.2,-123,0,4,1,0","Rban_killer,Leg Low,-81.4,-223,-143,0,10,1,0","Rban_killer,Foot,-93.8,-239.2,-180,0,13,1,0","Rban_killer,Leg Up,-59.4,-200.6,-117,0,12,1,0","Rban_killer,Leg Low,-78.2,-219,-181,0,13,1,0","Rban_killer,Foot,-79.4,-242.2,152,0,15,1,0","Rabbit Dagger,Base,2.6,-87.6,12,0,21,1,1","Rabbit Dagger,Base,32.8,-77.6,23,0,21,1,1","Rban_killer,Ear,42.2,-189.6,20,0,0,1,0","Rban_killer,Ear_back,54.2,-184.2,-10,0,12,1,0","Rban_killer,Tail,-38,-217,-135,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirArrive2Prepare/0,"Rban_killer,Head,30.1,-197.4,-87,0,2,1,0","Rban_killer,Neck,9.1,-196.4,-89,0,4,1,0","Rban_killer,Body,-23.3,-190.4,-87.5,0,5,1,0","Rban_killer,Arm Up,-11.1,-196,-21,0,5,1,0","Rban_killer,Arm Low,-10.1,-183,43,0,4,1,0","Rban_killer,Fist,5.2,-175.4,44,0,9,1,0","Rban_killer,Arm Up,7.3,-171.6,-48,1,13,1,0","Rban_killer,Arm Low,-5.4,-171.6,-153,1,13,1,0","Rban_killer,Fist,7.8,-169.8,101,1,3,1,0","Rban_killer,Leg Up,-75,-192.2,-92,0,4,1,0","Rban_killer,Leg Low,-104.2,-200.4,-130,0,10,1,0","Rban_killer,Foot,-121.3,-216.3,-169,0,13,1,0","Rban_killer,Leg Up,-75.4,-196.4,-85,0,12,1,0","Rban_killer,Leg Low,-99.6,-200.8,-122,0,13,1,0","Rban_killer,Foot,-107.9,-213.3,170,0,15,1,0","Rabbit Dagger,Base,36.8,-185.6,116,0,10,1,0","Rabbit Dagger,Base,0.4,-200.4,-169,0,4,1,0","Rban_killer,Ear,20.1,-236.4,65,0,0,1,0","Rban_killer,Ear_back,29.1,-232,55,0,12,1,0","Rban_killer,Tail,-60.2,-215.2,-110,0,2,1,0",,,,,,,,"Animal_eagle,Head,57.4,-309.4,-35,0,4,1,0","Animal_eagle,Neck,31.8,-294.4,-54,0,6,1,0","Animal_eagle,Body,-12,-283,-84,0,7,1,0","Animal_eagle,Fly,-89.2,-340.8,-33,0,10,1,0",,,"Animal_eagle,Fly,-112.6,-325,-29,0,0,1,0",,,"Animal_eagle,Leg Up,-28.2,-246.6,-30,0,6,1,0","Animal_eagle,Leg Low,-44.8,-223.8,-23,0,7,1,0","Animal_eagle,Foot,-41.4,-200,-19,0,7,1,0","Animal_eagle,Leg Up,-9.4,-248.6,-12,0,9,1,0","Animal_eagle,Leg Low,-21,-222.6,-10,0,10,1,0","Animal_eagle,Foot,-10,-201.2,-4,0,11,1,0",,,"Animal_eagle,Tail,-71.6,-288.6,-50,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/1,"Rban_killer,Head,30.1,-197.4,-90,0,2,1,0","Rban_killer,Neck,9.1,-196.4,-92,0,4,1,0","Rban_killer,Body,-23.3,-190.4,-90.5,0,5,1,0","Rban_killer,Arm Up,-11.1,-196,-24,0,5,1,0","Rban_killer,Arm Low,-10.1,-183,40,0,4,1,0","Rban_killer,Fist,5.2,-175.4,41,0,9,1,0","Rban_killer,Arm Up,7.3,-171.6,-51,1,13,1,0","Rban_killer,Arm Low,-5.4,-171.6,-156,1,13,1,0","Rban_killer,Fist,7.8,-169.8,98,1,3,1,0","Rban_killer,Leg Up,-75,-192.2,-95,0,4,1,0","Rban_killer,Leg Low,-104.2,-200.4,-133,0,10,1,0","Rban_killer,Foot,-121.3,-216.3,-172,0,13,1,0","Rban_killer,Leg Up,-75.4,-196.4,-88,0,12,1,0","Rban_killer,Leg Low,-99.6,-200.8,-125,0,13,1,0","Rban_killer,Foot,-107.9,-213.3,167,0,15,1,0","Rabbit Dagger,Base,36.8,-176.6,104,0,10,1,0","Rabbit Dagger,Base,-10.6,-190.4,-153,0,4,1,0","Rban_killer,Ear,20.1,-236.4,62,0,0,1,0","Rban_killer,Ear_back,29.1,-232,52,0,12,1,0","Rban_killer,Tail,-60.2,-215.2,-113,0,2,1,0",,,,,,,,"Animal_eagle,Head,58.4,-295.4,-67,0,4,1,0","Animal_eagle,Neck,31.8,-290.4,-58,0,6,1,0","Animal_eagle,Body,-12,-281,-84,0,7,1,0","Animal_eagle,Fly,-91.2,-336.8,-31,0,10,1,0",,,"Animal_eagle,Fly,-114.6,-321,-27,0,0,1,0",,,"Animal_eagle,Leg Up,-28.2,-244.6,-28,0,6,1,0","Animal_eagle,Leg Low,-43.8,-228.8,-25,0,7,1,0","Animal_eagle,Foot,-41.4,-205,-17,0,7,1,0","Animal_eagle,Leg Up,-9.4,-246.6,-10,0,9,1,0","Animal_eagle,Leg Low,-21,-220.6,-8,0,10,1,0","Animal_eagle,Foot,-10,-199.2,-2,0,11,1,0",,,"Animal_eagle,Tail,-71.6,-279.6,-37,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/2,"Rban_killer,Head,30.1,-194.4,-93,0,2,1,0","Rban_killer,Neck,9.1,-193.4,-95,0,4,1,0","Rban_killer,Body,-23.3,-187.4,-93.5,0,5,1,0","Rban_killer,Arm Up,-11.1,-193,-27,0,5,1,0","Rban_killer,Arm Low,-10.1,-180,37,0,4,1,0","Rban_killer,Fist,5.2,-172.4,38,0,9,1,0","Rban_killer,Arm Up,7.3,-168.6,-54,1,13,1,0","Rban_killer,Arm Low,-5.4,-168.6,-159,1,13,1,0","Rban_killer,Fist,7.8,-166.8,95,1,3,1,0","Rban_killer,Leg Up,-75,-189.2,-98,0,4,1,0","Rban_killer,Leg Low,-104.2,-197.4,-136,0,10,1,0","Rban_killer,Foot,-121.3,-213.3,-175,0,13,1,0","Rban_killer,Leg Up,-75.4,-193.4,-91,0,12,1,0","Rban_killer,Leg Low,-99.6,-197.8,-128,0,13,1,0","Rban_killer,Foot,-107.9,-210.3,164,0,15,1,0","Rabbit Dagger,Base,36.8,-155.6,90,0,10,1,0","Rabbit Dagger,Base,-24.6,-168.8,-121,0,4,1,0","Rban_killer,Ear,20.1,-233.4,59,0,0,1,0","Rban_killer,Ear_back,29.1,-229,49,0,12,1,0","Rban_killer,Tail,-60.2,-212.2,-116,0,2,1,0",,,,,,,,"Animal_eagle,Head,69.4,-309.4,-55,0,4,1,0","Animal_eagle,Neck,42.8,-302.4,-55,0,6,1,0","Animal_eagle,Body,-1,-293,-81,0,7,1,0","Animal_eagle,Fly,-80.2,-348.8,-28,0,10,1,0",,,"Animal_eagle,Fly,-103.6,-333,-24,0,0,1,0",,,"Animal_eagle,Leg Up,-17.2,-256.6,-25,0,6,1,0","Animal_eagle,Leg Low,-32.8,-240.8,-22,0,7,1,0","Animal_eagle,Foot,-30.4,-217,-14,0,7,1,0","Animal_eagle,Leg Up,1.6,-258.6,-7,0,9,1,0","Animal_eagle,Leg Low,-10,-232.6,-5,0,10,1,0","Animal_eagle,Foot,1,-211.2,1,0,11,1,0",,,"Animal_eagle,Tail,-60.6,-291.6,-34,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/3,"Rban_killer,Head,30.1,-171.4,-99,0,2,1,0","Rban_killer,Neck,7.1,-176.4,-96,0,4,1,0","Rban_killer,Body,-23.3,-183.4,-119.5,0,5,1,0","Rban_killer,Arm Up,-11.1,-189,-27,0,5,1,0","Rban_killer,Arm Low,-10.1,-177,37,0,4,1,0","Rban_killer,Fist,5.2,-169.4,38,0,9,1,0","Rban_killer,Arm Up,7.3,-165.6,-54,1,13,1,0","Rban_killer,Arm Low,-5.4,-165.6,-159,1,13,1,0","Rban_killer,Fist,7.8,-166.8,95,1,3,1,0","Rban_killer,Leg Up,-66,-205.2,-106,0,4,1,0","Rban_killer,Leg Low,-90.2,-221.4,-144,0,10,1,0","Rban_killer,Foot,-97.3,-242.3,-183,0,13,1,0","Rban_killer,Leg Up,-66.4,-209.4,-99,0,12,1,0","Rban_killer,Leg Low,-85.6,-216.8,-136,0,13,1,0","Rban_killer,Foot,-92.9,-234.3,156,0,15,1,0","Rabbit Dagger,Base,36.8,-146.6,66,0,10,1,0","Rabbit Dagger,Base,-28,-153.2,-76,0,4,1,0","Rban_killer,Ear,25.1,-212.4,40,0,0,1,0","Rban_killer,Ear_back,34.1,-208,30,0,12,1,0","Rban_killer,Tail,-48.2,-226.2,-122,0,2,1,0",,,,,,,,"Animal_eagle,Head,88.4,-364.4,-11,0,4,1,0","Animal_eagle,Neck,70.8,-347.4,-43,0,6,1,0","Animal_eagle,Body,28,-325,-62,0,7,1,0","Animal_eagle,Fly,-51.2,-371.8,-27,0,10,1,0",,,"Animal_eagle,Fly,-75.6,-345,-15,0,0,1,0",,,"Animal_eagle,Leg Up,11.8,-283.6,-28,0,6,1,0","Animal_eagle,Leg Low,-7.8,-265.8,-34,0,7,1,0","Animal_eagle,Foot,-9.4,-244,-22,0,7,1,0","Animal_eagle,Leg Up,30.6,-289.6,-5,0,9,1,0","Animal_eagle,Leg Low,21,-264.6,-20,0,10,1,0","Animal_eagle,Foot,30,-238.2,-2,0,11,1,0",,,"Animal_eagle,Tail,-31.6,-308.6,-24,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/4,"Rban_killer,Head,25.2,-190.6,-110,0,2,1,0","Rban_killer,Neck,10.2,-197.6,-114,0,4,1,0","Rban_killer,Body,-24.2,-212.6,-123.5,0,5,1,0","Rban_killer,Arm Up,-8,-192.2,26,0,5,1,0","Rban_killer,Arm Low,-6,-176.2,1,0,4,1,0","Rban_killer,Fist,-5.2,-162.2,-27,0,9,1,0","Rban_killer,Arm Up,11.4,-176.8,1,1,13,1,0","Rban_killer,Arm Low,14.6,-160,24,1,13,1,0","Rban_killer,Fist,22.2,-146.2,57,1,19,1,0","Rban_killer,Leg Up,-64.4,-250.2,-121,0,4,1,0","Rban_killer,Leg Low,-84.4,-260,-137,0,10,1,0","Rban_killer,Foot,-96.8,-278.2,-169,0,13,1,0","Rban_killer,Leg Up,-59.4,-240.6,-115,0,12,1,0","Rban_killer,Leg Low,-78.2,-259,-179,0,13,1,0","Rban_killer,Foot,-79.4,-279.2,164,0,15,1,0","Rabbit Dagger,Base,-5.4,-127.6,-5,0,21,1,0","Rabbit Dagger,Base,40.8,-117.6,33,0,21,1,0","Rban_killer,Ear,42.2,-229.6,25,0,0,1,0","Rban_killer,Ear_back,54.2,-224.2,-4,0,12,1,0","Rban_killer,Tail,-40,-257,-119,0,2,1,0",,,,,,,,"Animal_eagle,Head,139.4,-435.4,-11,0,4,1,0","Animal_eagle,Neck,123.8,-414.4,-43,0,6,1,0","Animal_eagle,Body,91,-388,-56,0,7,1,0","Animal_eagle,Fly,-7.2,-414.8,-13,0,10,1,0",,,"Animal_eagle,Fly,-17.6,-386,3,0,0,1,0",,,"Animal_eagle,Leg Up,66.8,-349.6,-16,0,6,1,0","Animal_eagle,Leg Low,51.2,-325.8,-34,0,7,1,0","Animal_eagle,Foot,50.6,-305,-18,0,7,1,0","Animal_eagle,Leg Up,93.6,-354.6,3,0,9,1,0","Animal_eagle,Leg Low,84,-327.6,-20,0,10,1,0","Animal_eagle,Foot,93,-307.2,-2,0,11,1,0",,,"Animal_eagle,Tail,28.4,-361.6,-24,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/5,"Rban_killer,Head,25.2,-173.6,-112,0,2,1,0","Rban_killer,Neck,10.2,-180.6,-116,0,4,1,0","Rban_killer,Body,-24.2,-195.6,-125.5,0,5,1,0","Rban_killer,Arm Up,-8,-175.2,24,0,5,1,0","Rban_killer,Arm Low,-6,-159.2,-1,0,4,1,0","Rban_killer,Fist,-5.2,-145.2,-29,0,9,1,0","Rban_killer,Arm Up,11.4,-159.8,-1,1,13,1,0","Rban_killer,Arm Low,14.6,-143,22,1,13,1,0","Rban_killer,Fist,22.2,-129.2,55,1,19,1,0","Rban_killer,Leg Up,-64.4,-233.2,-123,0,4,1,0","Rban_killer,Leg Low,-81.4,-246,-143,0,10,1,0","Rban_killer,Foot,-93.8,-262.2,-180,0,13,1,0","Rban_killer,Leg Up,-59.4,-223.6,-117,0,12,1,0","Rban_killer,Leg Low,-78.2,-242,-181,0,13,1,0","Rban_killer,Foot,-79.4,-265.2,152,0,15,1,0","Rabbit Dagger,Base,2.6,-110.6,12,0,21,1,0","Rabbit Dagger,Base,32.8,-100.6,23,0,21,1,0","Rban_killer,Ear,42.2,-212.6,20,0,0,1,0","Rban_killer,Ear_back,54.2,-207.2,-10,0,12,1,0","Rban_killer,Tail,-38,-240,-135,0,2,1,0",,,,,,,,"Animal_eagle,Head,265.7,-583.6,-6,0,4,1,0","Animal_eagle,Neck,248.1,-562.6,-35,0,6,1,0","Animal_eagle,Body,217.3,-536.2,-47,0,7,1,0","Animal_eagle,Fly,119.1,-565,-9,0,10,1,0",,,"Animal_eagle,Fly,108.7,-536.2,3,0,0,1,0",,,"Animal_eagle,Leg Up,193.1,-497.8,-16,0,6,1,0","Animal_eagle,Leg Low,177.5,-474,-34,0,7,1,0","Animal_eagle,Foot,176.9,-453.2,-18,0,7,1,0","Animal_eagle,Leg Up,219.9,-502.8,3,0,9,1,0","Animal_eagle,Leg Low,210.3,-475.8,-20,0,10,1,0","Animal_eagle,Foot,219.3,-455.4,-2,0,11,1,0",,,"Animal_eagle,Tail,154.7,-506.8,-19,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
PresetCombatAirArrive2Prepare/6,"Rban_killer,Head,25.2,-153.6,-110,0,2,1,0","Rban_killer,Neck,10.2,-160.6,-114,0,4,1,0","Rban_killer,Body,-24.2,-175.6,-123.5,0,5,1,0","Rban_killer,Arm Up,-8,-155.2,26,0,5,1,0","Rban_killer,Arm Low,-6,-139.2,1,0,4,1,0","Rban_killer,Fist,-5.2,-125.2,-27,0,9,1,0","Rban_killer,Arm Up,11.4,-139.8,1,1,13,1,0","Rban_killer,Arm Low,14.6,-123,24,1,13,1,0","Rban_killer,Fist,22.2,-109.2,57,1,19,1,0","Rban_killer,Leg Up,-64.4,-213.2,-121,0,4,1,0","Rban_killer,Leg Low,-84.4,-223,-137,0,10,1,0","Rban_killer,Foot,-96.8,-241.2,-169,0,13,1,0","Rban_killer,Leg Up,-59.4,-203.6,-115,0,12,1,0","Rban_killer,Leg Low,-78.2,-222,-179,0,13,1,0","Rban_killer,Foot,-79.4,-242.2,164,0,15,1,0","Rabbit Dagger,Base,4.6,-90.6,14,0,21,1,0","Rabbit Dagger,Base,34.8,-80.6,25,0,21,1,0","Rban_killer,Ear,42.2,-192.6,25,0,0,1,0","Rban_killer,Ear_back,54.2,-187.2,-4,0,12,1,0","Rban_killer,Tail,-40,-220,-119,0,2,1,0",,,,,,,,"Animal_eagle,Head,397.3,-741.4,-6,0,4,1,0","Animal_eagle,Neck,379.7,-720.4,-35,0,6,1,0","Animal_eagle,Body,348.9,-694,-47,0,7,1,0","Animal_eagle,Fly,250.7,-722.8,-9,0,10,1,0",,,"Animal_eagle,Fly,240.3,-694,3,0,0,1,0",,,"Animal_eagle,Leg Up,324.7,-655.6,-16,0,6,1,0","Animal_eagle,Leg Low,309.1,-631.8,-34,0,7,1,0","Animal_eagle,Foot,308.5,-611,-18,0,7,1,0","Animal_eagle,Leg Up,351.5,-660.6,3,0,9,1,0","Animal_eagle,Leg Low,341.9,-633.6,-20,0,10,1,0","Animal_eagle,Foot,350.9,-613.2,-2,0,11,1,0",,,"Animal_eagle,Tail,286.3,-664.6,-19,0,6,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.25,
