Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Serlon,Head,2.6,-261.6,1,0,4,1,0","Serlon,Neck,0,-241.2,5,0,19,1,0","Serlon,Body,-2.4,-161.2,-0.5,0,15,1,0","Serlon,Arm Up,-61.5,-198.2,-71,0,13,1,0","Serlon,Arm Low,-111.2,-185.8,-77,0,9,1,0","Serlon,Fist,-145.2,-178.2,-60,0,14,1,0","Serlon,Arm Up,50,-201.7,64,1,17,1,0","Serlon,Arm Low,97.6,-182,71,1,16,1,0","Serlon,Fist,126.4,-168.8,62,1,31,1,0","Serlon,Leg Up,-21.5,-87.2,-10.2,0,17,1,0","Serlon,Leg Low,-27.5,-43.2,-8,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,19.2,-87.4,12,1,20,1,0","Serlon,Leg Low,26,-41.7,0.5,0,25,1,0","Serlon,Foot,36.1,-9.2,-2,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Serlon,Head,9.6,-261.6,0,0,4,1,0","Serlon,Neck,2,-241.2,5,0,19,1,0","Serlon,Body,-0.4,-159.2,-2.5,0,15,1,0","Serlon,Arm Up,-43.5,-182.2,-14,0,13,1,0","Serlon,Arm Low,-57.2,-134.2,-12,0,9,1,0","Serlon,Fist,-63.8,-99.2,-4,0,14,1,0","Serlon,Arm Up,44,-183.7,13,1,17,1,0","Serlon,Arm Low,60.4,-136.8,19,1,16,1,0","Serlon,Fist,70.4,-102,14,1,31,1,0","Serlon,Leg Up,-19.5,-87.2,-6.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-10,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,21.2,-87.4,11,1,20,1,0","Serlon,Leg Low,27,-41.7,-3.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Serlon,Head,7.6,-261.6,2,0,4,1,0","Serlon,Neck,2,-241.2,5,0,19,1,0","Serlon,Body,-0.4,-159.2,-0.5,0,15,1,0","Serlon,Arm Up,-43.5,-182.2,-12,0,13,1,0","Serlon,Arm Low,-55.2,-134.2,-10,0,9,1,0","Serlon,Fist,-60.8,-99.2,-3,0,14,1,0","Serlon,Arm Up,44,-185.7,11,1,17,1,0","Serlon,Arm Low,56.4,-136.8,11,1,16,1,0","Serlon,Fist,65.4,-102,9,1,31,1,0","Serlon,Leg Up,-17.5,-87.2,-4.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-12,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,23.2,-87.4,11,1,20,1,0","Serlon,Leg Low,29,-41.7,-5.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
Idle/2,"Serlon,Head,3.6,-261.6,3,0,4,1,0","Serlon,Neck,-4,-241.2,4,0,19,1,0","Serlon,Body,-0.4,-159.2,0.5,0,15,1,0","Serlon,Arm Up,-42.5,-180.2,-7,0,13,1,0","Serlon,Arm Low,-52.2,-129.2,-9,0,9,1,0","Serlon,Fist,-56.8,-94.2,2,0,14,1,0","Serlon,Arm Up,40,-188.7,13,1,17,1,0","Serlon,Arm Low,54.4,-139.8,12,1,16,1,0","Serlon,Fist,61.4,-104,5,1,31,1,0","Serlon,Leg Up,-15.5,-87.2,-2.2,0,17,1,0","Serlon,Leg Low,-23.5,-43.2,-14,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,25.2,-87.4,13,1,20,1,0","Serlon,Leg Low,30,-41.7,-7.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/3,"Serlon,Head,-1.4,-261.6,3,0,4,1,0","Serlon,Neck,-4,-241.2,4,0,19,1,0","Serlon,Body,-2.4,-159.2,2.5,0,15,1,0","Serlon,Arm Up,-45.5,-177.2,-4,0,13,1,0","Serlon,Arm Low,-51.2,-127.2,-4,0,9,1,0","Serlon,Fist,-52.8,-93.2,8,0,14,1,0","Serlon,Arm Up,38,-186.7,13,1,17,1,0","Serlon,Arm Low,51.1,-139.3,9,1,16,1,0","Serlon,Fist,58.1,-101.5,5,1,31,1,0","Serlon,Leg Up,-15.5,-87.2,-2.2,0,17,1,0","Serlon,Leg Low,-23.5,-43.2,-14,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,26.2,-86.4,16,1,20,1,0","Serlon,Leg Low,31,-41.7,-8.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
Idle/4,"Serlon,Head,3.6,-261.6,3,0,4,1,0","Serlon,Neck,-4,-241.2,4,0,19,1,0","Serlon,Body,-0.4,-159.2,0.5,0,15,1,0","Serlon,Arm Up,-42.5,-180.2,-7,0,13,1,0","Serlon,Arm Low,-52.2,-129.2,-9,0,9,1,0","Serlon,Fist,-56.8,-94.2,2,0,14,1,0","Serlon,Arm Up,40,-188.7,13,1,17,1,0","Serlon,Arm Low,54.4,-139.8,12,1,16,1,0","Serlon,Fist,61.4,-104,5,1,31,1,0","Serlon,Leg Up,-15.5,-87.2,-2.2,0,17,1,0","Serlon,Leg Low,-23.5,-43.2,-14,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,25.2,-87.4,13,1,20,1,0","Serlon,Leg Low,30,-41.7,-7.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
Idle/5,"Serlon,Head,7.6,-261.6,2,0,4,1,0","Serlon,Neck,2,-241.2,5,0,19,1,0","Serlon,Body,-0.4,-159.2,-0.5,0,15,1,0","Serlon,Arm Up,-43.5,-182.2,-12,0,13,1,0","Serlon,Arm Low,-55.2,-134.2,-10,0,9,1,0","Serlon,Fist,-60.8,-99.2,-3,0,14,1,0","Serlon,Arm Up,44,-185.7,11,1,17,1,0","Serlon,Arm Low,56.4,-136.8,11,1,16,1,0","Serlon,Fist,65.4,-102,9,1,31,1,0","Serlon,Leg Up,-17.5,-87.2,-4.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-12,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,23.2,-87.4,11,1,20,1,0","Serlon,Leg Low,29,-41.7,-5.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/0,"Serlon,Head,9.6,-261.6,0,0,4,1,0","Serlon,Neck,2,-241.2,5,0,19,1,0","Serlon,Body,-0.4,-159.2,-2.5,0,15,1,0","Serlon,Arm Up,-43.5,-182.2,-14,0,13,1,0","Serlon,Arm Low,-57.2,-134.2,-12,0,9,1,0","Serlon,Fist,-63.8,-99.2,-4,0,14,1,0","Serlon,Arm Up,44,-183.7,13,1,17,1,0","Serlon,Arm Low,60.4,-136.8,19,1,16,1,0","Serlon,Fist,70.4,-102,14,1,31,1,0","Serlon,Leg Up,-19.5,-87.2,-6.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-10,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,21.2,-87.4,11,1,20,1,0","Serlon,Leg Low,27,-41.7,-3.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
PresetCityStandIdle/1,"Serlon,Head,11.6,-261.6,-2,0,4,1,0","Serlon,Neck,6,-239.2,5,0,19,1,0","Serlon,Body,0.6,-159.2,-3.5,0,15,1,0","Serlon,Arm Up,-41.5,-182.2,-14,0,13,1,0","Serlon,Arm Low,-55.2,-134.2,-12,0,9,1,0","Serlon,Fist,-61.8,-99.2,-4,0,14,1,0","Serlon,Arm Up,46,-181.7,13,1,17,1,0","Serlon,Arm Low,62.4,-134.8,19,1,16,1,0","Serlon,Fist,72.4,-100,14,1,31,1,0","Serlon,Leg Up,-19.5,-87.2,-6.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-10,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,21.2,-87.4,11,1,20,1,0","Serlon,Leg Low,27,-41.7,-3.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.7,play_time_mod_1.5,
PresetCityStandIdle/2,"Serlon,Head,13.6,-259.6,-4,0,4,1,0","Serlon,Neck,6,-239.2,5,0,19,1,0","Serlon,Body,0.6,-157.2,-3.5,0,15,1,0","Serlon,Arm Up,-41.5,-180.2,-14,0,13,1,0","Serlon,Arm Low,-55.2,-132.2,-12,0,9,1,0","Serlon,Fist,-61.8,-97.2,-4,0,14,1,0","Serlon,Arm Up,46,-179.7,13,1,17,1,0","Serlon,Arm Low,62.4,-132.8,19,1,16,1,0","Serlon,Fist,72.4,-98,14,1,31,1,0","Serlon,Leg Up,-19.5,-87.2,-6.2,0,17,1,0","Serlon,Leg Low,-25.5,-43.2,-10,0,23,1,0","Serlon,Foot,-21.4,-6.7,-5,0,25,1,0","Serlon,Leg Up,21.2,-87.4,13,1,20,1,0","Serlon,Leg Low,27,-41.7,-3.5,0,25,1,0","Serlon,Foot,38.1,-9.2,-3,0,27,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.1,play_time_mod_1.5,
