"Move","Name","Prepare Animation","After Animation","AI Condition","AI Range","Range","Cooldown","Resource Cost","Power","Penetrate","Impact X","Impact Y","Critical Chance Bonus","Element","Status","Enemy Status","Effect Enemy Status","Property"
"Attack1","Throw Toy",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack2","Throw Ball",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack3","Throw Stick",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack4","Throw Duck",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack5","Throw Train ",,,,2500,2500,,,5,,,,,"crush",,,,"arc"
"Attack6","Throw Apple",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack7","Throw Cake",,,,2500,2500,,,1,,,,,"crush",,,,"arc"
"Attack8","Throw Block",,,,2500,2500,,,3,,,,,"crush",,,,"arc"
"Attack9","Throw Spike",,,,2500,2500,,,10,,,,,"stab",,,,"arc"
"Attack10","Throw Firecracker",,,,2500,2500,,,18,,,,,"fire",,,"daze,disorient","arc"
"Skill1","Throw Shrapnel Bomb",,,,2500,2500,,10,30,200,50,50,,"stab",,,,"arc"
"Skill2","Throw Bomb",,,,2500,2500,,10,140,120,130,250,,"fire",,,,"arc"
