"Buttons","Move","Name","Position","Stat Requirement","Requirement Move","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"Strong","astrong","Burst Push","Air",,,,,200,,,,,15,70,100,,,,,"Physical",,,,"penetrate"
"Weak","sweak1","Spear Push","Stand",,,,,150,,,,,25,8,,,,100,,"Physical",,,,
"Weak","sweak2","Flail Arc","Stand",,"sweak1",,,180,,,,,50,12,50,,150,,,"Physical",,,,
"Weak","sweak3","Moon Rise Kick","Stand",,"sweak2",,,200,,,,,80,15,200,,50,,,"Physical",,,,
"Weak","sweak4","Power Push","Stand","Strength:40,Dexterity:40","sweak3",,,300,,,450,,60,10,300,,,,0.05,"Physical",,,,
"Weak","sweak5","Flurry Blows","Stand","Strength:60,Dexterity:50","sweak4",,,200,,,,,65,50,,,,350,,"Physical",,,,"multiple hits"
"Weak","sweak6","Power Burst","Stand","Strength:70,Dexterity:60","sweak5",,,600,,,700,,75,200,250,,150,,0.25,"Physical",,,,"penetrate"
"Weak","sweak7","Overload","Stand","Dexterity:70,Wisdom:50","sweak6",,,,,,,,-1000,,,,,,,"Physical",53,,,"penetrate"
"Strong","sweak1strong","Wind Spear Lift","Stand",,"sweak1",,,250,,,,,42,125,,,350,,,"Air",,,,
"Strong","sweak2strong","Flame Flail Crush","Stand",,"sweak2",,,450,,,,,91,160,350,,,,,"Fire",,15,,
"Strong","sweak3strong","Frost Sword Slice","Stand",,"sweak3",,,250,,,,,85,145,,250,,,,"Water",,,,
"Strong","sweak4strong","Smash of Light","Stand",,"sweak4",,,,,,,,200,250,,,,400,,"Physical",,,,
"Strong","sweak5strong","Dark Mace Smash","Stand",,"sweak5",,,,,,,,200,250,,,400,,,"Physical",,,,
"Strong","sweak6strong","Earth Piercing","Stand",,"sweak6",,,,,,,,300,415,,350,,,,"Earth",,,,
"Strong","sweak7strong","Air Spear Overload","Stand","Strength:70,Dexterity:70","sweak7",,,,,,,,500,700,,,500,,0.2,"Air",,,,
"Strong","sweak7strong1","Earth Axe Overload","Stand",,"sweak7strong",,,,,,,,500,700,,,,500,0.2,"Earth",,,,
